Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,15.033333,15.120000,14.400000,14.620000,136050,0.000000,0.000000,13.969718,14.050253,13.381193,13.585629,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,1989051.000000,
2015-01-05,14.533333,14.620000,14.073333,14.126667,218700,0.000000,0.000000,13.505095,13.585630,13.077640,13.127201,,,,,,,,,,50.000000,,,,,,,-0.033744,,,,,,,-0.033744,,,,3089502.072900,
2015-01-06,14.140000,14.160000,13.660000,13.900000,188850,0.000000,0.000000,13.139592,13.158177,12.693552,12.916572,,,,,,,,,,50.000000,,,,,,,-0.016045,,,,,,,-0.049247,,,,2625015.000000,
2015-01-07,14.033333,14.093333,13.793333,14.026667,198900,0.000000,0.000000,13.040471,13.096226,12.817451,13.034276,,,,,,,,,,50.000000,,,,,,,0.009113,,,,,,,-0.040584,,,,2789904.066300,
2015-01-08,14.093333,14.380000,13.973333,14.373333,246450,0.000000,0.000000,13.096226,13.362611,12.984716,13.356416,,,,,,,,,,50.000000,,,,,,,0.024715,,,,,,,-0.016872,,,,3542307.917850,
2015-01-09,14.333333,14.333333,14.126667,14.273333,165900,0.000000,0.000000,13.319245,13.319245,13.127201,13.263490,,,,,,,,,,50.000000,,,,,,,-0.006957,-0.023712,,,,,,-0.023712,,,,2367945.944700,
2015-01-12,14.226667,14.293333,13.993333,14.246667,216150,0.000000,0.000000,13.220126,13.282075,13.003300,13.238710,,,,,,,,,,50.000000,,,,,,,-0.001868,0.008494,,,,,,-0.025536,,,,3079417.072050,
2015-01-13,14.300000,14.660000,14.246667,14.526667,214050,0.000000,0.000000,13.288273,13.622802,13.238713,13.498902,,,,,,,,,,50.000000,,,,,,,0.019654,0.045084,,,,,,-0.006384,,,,3109433.071350,
2015-01-14,14.306667,14.646667,14.306667,14.540000,145500,0.000000,0.000000,13.294470,13.610414,13.294470,13.511294,,,,,,,,,,50.000000,,,,,,,0.000918,0.036597,,,,,,-0.005472,,,,2115570.000000,
2015-01-15,14.540000,14.540000,14.000000,14.200000,136350,0.000000,0.000000,13.511289,13.511289,13.009494,13.195344,,,,,,,,,,50.000000,,,,,,,-0.023384,-0.012060,,,,,,-0.028728,,,,1936170.000000,
2015-01-16,14.153333,14.633333,14.153333,14.620000,191850,0.000000,0.000000,13.151978,13.598018,13.151978,13.585629,,,,,,,,,,50.000000,,,,,,,0.029577,0.024288,,,,,,0.000000,,,,2804847.000000,
2015-01-20,14.620000,14.660000,14.273333,14.413333,169650,0.000000,0.000000,13.585632,13.622802,13.263492,13.393587,,,,,13.357913,,,,,50.000000,,,,,,,-0.014136,0.011699,,,,,,-0.014136,,,,2445221.943450,
2015-01-21,14.333333,14.540000,14.293333,14.400000,131250,0.000000,0.000000,13.319247,13.511292,13.282077,13.381197,,,,,13.361956,,,,,50.000000,,,,,,,-0.000925,-0.008720,,,,,,-0.015048,,,,1890000.000000,
2015-01-22,14.533333,15.066667,14.400000,15.020000,176550,0.000000,0.000000,13.505094,14.000694,13.381194,13.957330,,,,,13.463329,,,,,50.000000,,,,,0.401119,0.028739,0.043055,0.033012,,,,,,0.000000,,,,2651781.000000,
2015-01-23,15.046667,15.113333,14.820000,14.980000,129450,0.000000,0.000000,13.982111,14.044060,13.771480,13.920160,,,,,13.539856,,,,,61.645930,,,,,0.387436,0.027833,-0.002663,0.054930,,,,,,-0.002663,,,,1939161.000000,
2015-01-26,15.013333,15.233333,14.900000,15.193333,116400,0.000000,0.000000,13.951133,14.155568,13.845818,14.118398,,,,,13.635465,,,,,65.454890,,,,,0.379445,0.026876,0.014241,0.039216,,,,,,0.000000,,,,1768503.961200,
2015-01-27,15.020000,15.260000,14.826667,15.220000,125850,0.000000,0.000000,13.957331,14.180351,13.777676,14.143181,,,,,13.718422,,,,,65.910680,,,,,0.381762,0.026993,0.001755,0.055967,,,,,,0.000000,,,,1915437.000000,
2015-01-28,15.306667,15.306667,14.706667,14.820000,167850,0.000000,0.000000,14.223714,14.223714,13.666164,13.771479,,,,,13.727009,,,,,54.331984,,,,,0.398809,0.028959,-0.026281,0.029166,,,,,,-0.026281,,,,2487537.000000,
2015-01-29,14.860000,15.046667,14.673333,15.033333,170100,0.000000,0.000000,13.808653,13.982114,13.635193,13.969723,,,,,13.765980,,,,,58.517584,,,,,0.393902,0.028197,0.014395,0.000888,,,,,,-0.012264,,,,2557169.943300,
2015-01-30,14.873333,15.033333,14.520000,14.540000,206700,0.000000,0.000000,13.821044,13.969724,13.492710,13.511294,13.523991,,,,13.725360,,,,,47.643229,13.523991,14.240544,12.807438,0.491141,0.401584,0.029722,-0.032816,-0.029372,,,,,,-0.044678,,,172627.500000,3005418.000000,
2015-02-02,14.626667,15.060000,14.553333,15.040000,142800,0.000000,0.000000,13.591825,13.994499,13.523679,13.975914,13.543505,,,,13.765097,,,,,56.471934,13.543505,14.287845,12.799165,0.790465,0.408972,0.029263,0.034388,-0.010092,,,,,,-0.011827,,,172965.000000,2147712.000000,
2015-02-03,15.006667,15.580000,14.986667,15.520000,380400,0.000000,0.000000,13.944945,14.477714,13.926359,14.421960,13.608243,,,,13.868780,,,,,62.933935,13.608243,14.422103,12.794382,0.999912,0.421619,0.029235,0.031915,0.019711,0.061560,,,,0.358379,0.000000,,,181050.000000,5903808.000000,
2015-02-04,15.453333,15.966667,15.453333,15.726667,271350,0.000000,0.000000,14.360005,14.837021,14.360005,14.614001,13.693114,,,,13.985942,,,,,65.320995,13.693114,14.555831,12.830398,1.033713,0.426456,0.029181,0.013316,0.061179,0.113261,,,,0.333660,0.000000,,,185175.000000,4267431.090450,
2015-02-05,15.840000,15.853333,15.526667,15.786667,176400,0.000000,0.000000,14.719316,14.731706,14.428151,14.669756,13.774888,,,,14.093089,,,,,66.005490,13.774888,14.683485,12.866292,0.992445,0.415894,0.028350,0.003815,0.050111,0.135731,,,,0.324597,0.000000,,,184050.000000,2784768.058800,
2015-02-06,15.506667,15.926667,15.166667,15.473333,321300,0.000000,0.000000,14.409565,14.799850,14.093620,14.378590,13.825997,,,,14.137697,,,,,59.410580,13.825997,14.750340,12.901654,0.798911,0.440489,0.030635,-0.019848,0.064190,0.103137,,,,0.336688,-0.019848,,,187792.500000,4971581.892900,
2015-02-09,15.393333,15.553333,15.033333,15.106667,197700,0.000000,0.000000,14.304250,14.452930,13.969719,14.037865,13.864716,,,,14.122136,13.939222,0.182914,,,52.766497,13.864716,14.754061,12.975371,0.597347,0.444060,0.031633,-0.023697,0.004433,0.051020,,,,0.342502,-0.043074,,,189382.500000,2986588.065900,
2015-02-10,15.280000,15.306667,14.946667,15.233333,125850,0.000000,0.000000,14.198938,14.223719,13.889189,14.155573,13.910559,,,,14.127337,13.957541,0.169796,,,54.653204,13.910559,14.757550,13.063568,0.644638,0.435014,0.030731,0.008385,-0.018471,0.067259,,,,0.341233,-0.035051,,,184867.500000,1917114.958050,
2015-02-11,15.180000,15.286667,15.006667,15.266667,129900,0.000000,0.000000,14.106012,14.205132,13.944942,14.186547,13.944941,,,,14.136532,13.976729,0.159803,,,55.160766,13.944941,14.777273,13.112609,0.645138,0.420733,0.029657,0.002188,-0.029250,0.071596,,,,0.340744,-0.032939,,,180660.000000,1983140.043300,
2015-02-12,15.400000,15.660000,15.386667,15.600000,131100,0.000000,0.000000,14.310445,14.552050,14.298056,14.496296,13.994191,,,,14.192319,14.019843,0.172477,,,59.984343,13.994191,14.835007,13.153375,0.798582,0.416268,0.028715,0.021834,-0.011824,0.073887,,,,0.342126,-0.011824,,,179940.000000,2045160.000000,
2015-02-13,15.600000,15.666667,15.486667,15.580000,130800,0.000000,0.000000,14.496295,14.558245,14.390980,14.477710,14.058310,,,,14.236520,14.057501,0.179019,,,59.570247,14.058310,14.835826,13.280793,0.769705,0.396322,0.027375,-0.001282,0.006894,0.071527,,,,0.342430,-0.013091,,,179662.500000,2037864.000000,
2015-02-17,15.560000,15.666667,15.400000,15.426667,139200,0.000000,0.000000,14.459124,14.558244,14.310443,14.335224,14.095789,,,,14.251791,14.080158,0.171633,,,56.358134,14.095789,14.849264,13.342315,0.658887,0.384528,0.026824,-0.009842,0.021183,0.086385,,,,0.332082,-0.022804,,,177030.000000,2147392.046400,
