Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2020-12-10,146.000000,165.000000,141.250000,144.710007,70447500,0.000000,0.000000,146.000000,165.000000,141.250000,144.710007,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,10194458218.132500,
2020-12-11,146.550003,151.500000,135.100006,139.250000,26980800,0.000000,0.000000,146.550003,151.500000,135.100006,139.250000,,,,,,,,,,50.000000,,,,,,,-0.037731,,,,,,,-0.037731,,,,3757076400.000000,
2020-12-14,135.000000,135.300003,125.160004,130.000000,16966100,0.000000,0.000000,135.000000,135.300003,125.160004,130.000000,,,,,,,,,,50.000000,,,,,,,-0.066427,,,,,,,-0.101652,,,,2205593000.000000,
2020-12-15,126.690002,127.599998,121.500000,124.800003,10914400,0.000000,0.000000,126.690002,127.599998,121.500000,124.800003,,,,,,,,,,50.000000,,,,,,,-0.040000,,,,,,,-0.137586,,,,1362117152.743200,
2020-12-16,125.830002,142.000000,124.910004,137.990005,20409600,0.000000,0.000000,125.830002,142.000000,124.910004,137.990005,,,,,,,,,,50.000000,,,,,,,0.105689,,,,,,,-0.046438,,,,2816320806.048000,
2020-12-17,143.000000,152.449997,142.669998,147.050003,15054700,0.000000,0.000000,143.000000,152.449997,142.669998,147.050003,,,,,,,,,,50.000000,,,,,,,0.065657,0.016170,,,,,,0.000000,,,,2213793680.164100,
2020-12-18,150.449997,159.000000,150.300003,157.300003,15954200,0.000000,0.000000,150.449997,159.000000,150.300003,157.300003,,,,,,,,,,50.000000,,,,,,,0.069704,0.129623,,,,,,0.000000,,,,2509595707.862600,
2020-12-21,155.309998,172.000000,145.110001,163.020004,17788100,0.000000,0.000000,155.309998,172.000000,145.110001,163.020004,,,,,,,,,,50.000000,,,,,,,0.036364,0.254000,,,,,,0.000000,,,,2899816133.152400,
2020-12-22,170.000000,174.970001,161.050003,163.190002,9872600,0.000000,0.000000,170.000000,174.970001,161.050003,163.190002,,,,,,,,,,50.000000,,,,,,,0.001043,0.307612,,,,,,0.000000,,,,1611109613.745200,
2020-12-23,162.813995,168.250000,155.500000,158.009995,5852500,0.000000,0.000000,162.813995,168.250000,155.500000,158.009995,,,,,,,,,,50.000000,,,,,,,-0.031742,0.145083,,,,,,-0.031742,,,,924753495.737500,
