Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,72.699997,73.199997,71.889999,72.339996,2349200,0.000000,0.000000,72.699997,73.199997,71.889999,72.339996,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,169941118.603200,
2015-01-05,72.209999,72.430000,71.570000,71.980003,2403300,0.000000,0.000000,72.209999,72.430000,71.570000,71.980003,,,,,,,,,,50.000000,,,,,,,-0.004976,,,,,,,-0.004976,,,,172989541.209900,
2015-01-06,71.949997,72.099998,69.879997,70.529999,2895400,0.000000,0.000000,71.949997,72.099998,69.879997,70.529999,,,,,,,,,,50.000000,,,,,,,-0.020145,,,,,,,-0.025021,,,,204212559.104600,
2015-01-07,70.769997,71.290001,70.419998,71.110001,2378300,0.000000,0.000000,70.769997,71.290001,70.419998,71.110001,,,,,,,,,,50.000000,,,,,,,0.008223,,,,,,,-0.017003,,,,169120915.378300,
2015-01-08,71.400002,73.059998,71.309998,72.919998,2624200,0.000000,0.000000,71.400002,73.059998,71.309998,72.919998,,,,,,,,,,50.000000,,,,,,,0.025453,,,,,,,0.000000,,,,191356658.751600,
2015-01-09,72.889999,73.129997,71.629997,71.839996,1730300,0.000000,0.000000,72.889999,73.129997,71.629997,71.839996,,,,,,,,,,50.000000,,,,,,,-0.014811,-0.006912,,,,,,-0.014811,,,,124304745.078800,
2015-01-12,72.129997,72.260002,70.750000,71.120003,1337900,0.000000,0.000000,72.129997,72.260002,70.750000,71.120003,,,,,,,,,,50.000000,,,,,,,-0.010022,-0.011948,,,,,,-0.024685,,,,95151452.013700,
2015-01-13,71.949997,72.959999,69.949997,70.589996,2103800,0.000000,0.000000,71.949997,72.959999,69.949997,70.589996,,,,,,,,,,50.000000,,,,,,,-0.007452,0.000851,,,,,,-0.031953,,,,148507233.584800,
2015-01-14,69.879997,70.400002,68.980003,69.989998,1927100,0.000000,0.000000,69.879997,70.400002,68.980003,69.989998,,,,,,,,,,50.000000,,,,,,,-0.008500,-0.015750,,,,,,-0.040181,,,,134877725.145800,
2015-01-15,71.709999,71.750000,70.160004,70.290001,2839200,0.000000,0.000000,71.709999,71.750000,70.160004,70.290001,,,,,,,,,,50.000000,,,,,,,0.004286,-0.036067,,,,,,-0.036067,,,,199567370.839200,
2015-01-16,70.029999,71.849998,70.029999,71.730003,2375300,0.000000,0.000000,70.029999,71.849998,70.029999,71.730003,,,,,,,,,,50.000000,,,,,,,0.020487,-0.001531,,,,,,-0.016319,,,,170380276.125900,
2015-01-20,71.790001,71.989998,70.580002,71.489998,1612000,0.000000,0.000000,71.790001,71.989998,70.580002,71.489998,,,,,71.187758,,,,,50.000000,,,,,,,-0.003346,0.005202,,,,,,-0.019611,,,,115241876.776000,
2015-01-21,71.160004,71.889999,70.370003,71.540001,1787900,0.000000,0.000000,71.160004,71.889999,70.370003,71.540001,,,,,71.248920,,,,,50.000000,,,,,,,0.000699,0.013458,,,,,,-0.018925,,,,127906367.787900,
2015-01-22,71.900002,73.650002,70.900002,73.480003,2178500,0.000000,0.000000,71.900002,73.650002,70.900002,73.480003,,,,,71.628803,,,,,50.000000,,,,,1.788096,0.024334,0.027118,0.049864,,,,,,0.000000,,,,160076186.535500,
2015-01-23,73.440002,74.400002,73.059998,74.059998,1851700,0.000000,0.000000,73.440002,74.400002,73.059998,74.059998,,,,,72.036069,,,,,65.161743,,,,,1.740395,0.023500,0.007893,0.053635,,,,,,0.000000,,,,137136898.296600,
2015-01-26,72.610001,73.150002,71.680000,72.739998,3593700,0.000000,0.000000,72.610001,73.150002,71.680000,72.739998,,,,,72.152399,,,,,54.660587,,,,,1.806180,0.024831,-0.017823,0.014081,,,,,,-0.017823,,,,261405730.812600,
2015-01-27,71.709999,72.360001,71.059998,71.459999,1798600,0.000000,0.000000,71.709999,72.360001,71.059998,71.459999,,,,,72.039266,,,,,46.786730,,,,,1.793597,0.025099,-0.017597,-0.000420,,,,,,-0.035107,,,,128527954.201400,
2015-01-28,71.540001,71.839996,70.070000,70.250000,2281100,0.000000,0.000000,71.540001,71.839996,70.070000,70.250000,,,,,71.749676,,,,,40.803080,,,,,1.791308,0.025499,-0.016933,-0.018032,,,,,,-0.051445,,,,160247275.000000,
2015-01-29,70.029999,71.820000,69.779999,71.639999,2538100,0.000000,0.000000,70.029999,71.820000,69.779999,71.639999,,,,,71.732066,,,,,48.889685,,,,,1.814825,0.025333,0.019786,-0.025041,,,,,,-0.032676,,,,181829481.461900,
2015-01-30,71.320000,71.669998,70.059998,70.129997,2331800,0.000000,0.000000,71.320000,71.669998,70.059998,70.129997,71.561499,,,,71.476549,,,,,42.153039,71.561499,73.824653,69.298346,0.183737,1.795894,0.025608,-0.021078,-0.053065,,,,,,-0.053065,,,2246870.000000,163529127.004600,
2015-02-02,70.440002,71.199997,69.040001,71.110001,2381900,0.000000,0.000000,70.440002,71.199997,69.040001,71.110001,71.500000,,,,71.418416,,,,,47.234745,71.500000,73.740818,69.259182,0.412979,1.828853,0.025719,0.013974,-0.022409,,,,,,-0.039833,,,2248505.000000,169376911.381900,
2015-02-03,71.540001,71.970001,71.000000,71.919998,1555900,0.000000,0.000000,71.540001,71.970001,71.000000,71.919998,71.496999,,,,71.497589,,,,,51.061412,71.496999,73.735271,69.258728,0.594492,1.752565,0.024368,0.011391,0.006437,-0.005806,,,,0.248865,-0.028895,,,2206135.000000,111900324.888200,
2015-02-04,71.790001,72.620003,71.779999,72.279999,2165200,0.000000,0.000000,71.790001,72.620003,71.779999,72.279999,71.584499,,,,71.620598,,,,,52.703172,71.584499,73.800313,69.368685,0.656940,1.672893,0.023145,0.005006,0.028897,0.004168,,,,0.248833,-0.024035,,,2169625.000000,156500653.834800,
