Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,24.990000,25.160000,24.600000,24.959999,6910200,0.000000,0.000000,21.736571,21.884439,21.397345,21.710476,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,172478585.089800,
2015-01-05,24.750000,24.900000,24.150000,24.160000,11419800,0.000000,0.000000,21.527810,21.658281,21.005923,21.014622,,,,,,,,,,50.000000,,,,,,,-0.032052,,,,,,,-0.032052,,,,275902368.000000,
2015-01-06,24.129999,24.299999,23.230000,23.250000,19678300,0.000000,0.000000,20.988531,21.136399,20.205702,20.223099,,,,,,,,,,50.000000,,,,,,,-0.037665,,,,,,,-0.068510,,,,457520475.000000,
2015-01-07,23.370001,23.540001,23.090000,23.469999,15710300,0.000000,0.000000,20.327479,20.475347,20.083932,20.414459,,,,,,,,,,50.000000,,,,,,,0.009462,,,,,,,-0.059695,,,,368720725.289700,
2015-01-08,23.690001,24.320000,23.670000,24.219999,16696900,0.000000,0.000000,20.605821,21.153802,20.588425,21.066820,,,,,,,,,,50.000000,,,,,,,0.031956,,,,,,,-0.029647,,,,404398901.303100,
2015-01-09,24.100000,24.340000,23.900000,24.240000,8737000,0.000000,0.000000,20.962442,21.171197,20.788479,21.084215,,,,,,,,,,50.000000,,,,,,,0.000826,-0.028846,,,,,,-0.028846,,,,211784880.000000,
2015-01-12,24.270000,24.280001,23.520000,23.660000,12581500,0.000000,0.000000,21.110305,21.119003,20.457947,20.579720,,,,,,,,,,50.000000,,,,,,,-0.023928,-0.020695,,,,,,-0.052083,,,,297678290.000000,
2015-01-13,23.900000,24.280001,23.209999,23.330000,14419300,0.000000,0.000000,20.788476,21.119005,20.188307,20.292685,,,,,,,,,,50.000000,,,,,,,-0.013947,0.003441,,,,,,-0.065304,,,,336402269.000000,
2015-01-14,23.010000,23.320000,22.850000,23.020000,21954700,0.000000,0.000000,20.014348,20.283989,19.875179,20.023046,,,,,,,,,,50.000000,,,,,,,-0.013287,-0.019173,,,,,,-0.077724,,,,505397194.000000,
2015-01-15,23.570000,23.719999,23.240000,23.330000,26527200,0.000000,0.000000,20.501439,20.631910,20.214401,20.292685,,,,,,,,,,50.000000,,,,,,,0.013466,-0.036747,,,,,,-0.065304,,,,618879576.000000,
2015-01-16,23.209999,23.510000,22.879999,23.469999,16733200,0.000000,0.000000,20.188308,20.449252,19.901271,20.414459,,,,,,,,,,50.000000,,,,,,,0.006001,-0.031766,,,,,,-0.059695,,,,392728187.266800,
2015-01-20,23.580000,23.770000,23.309999,23.629999,13686000,0.000000,0.000000,20.510137,20.675402,20.275288,20.553627,,,,,20.512109,,,,,50.000000,,,,,,,0.006817,-0.001268,,,,,,-0.053285,,,,323400166.314000,
2015-01-21,23.750000,24.500000,23.639999,24.320000,13106700,0.000000,0.000000,20.658007,21.310365,20.562327,21.153799,,,,,20.623530,,,,,50.000000,,,,,,,0.029200,0.042435,,,,,,-0.025641,,,,318754944.000000,
2015-01-22,24.299999,24.629999,23.770000,24.620001,12543500,0.000000,0.000000,21.136404,21.423442,20.675406,21.414745,,,,,20.758249,,,,,50.000000,,,,,0.622873,0.029086,0.012336,0.069505,,,,,,-0.013622,,,,308820982.543500,
