Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2026-04-16,38.000000,39.049999,35.250000,38.750000,19256400,0.000000,0.000000,38.000000,39.049999,35.250000,38.750000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,746185500.000000,
2026-04-17,37.669998,39.240002,37.389999,38.000000,3822500,0.000000,0.000000,37.669998,39.240002,37.389999,38.000000,,,,,,,,,,50.000000,,,,,,,-0.019355,,,,,,,-0.019355,,,,145255000.000000,
2026-04-20,38.000000,38.480000,37.200001,37.650002,2202300,0.000000,0.000000,38.000000,38.480000,37.200001,37.650002,,,,,,,,,,50.000000,,,,,,,-0.009210,,,,,,,-0.028387,,,,82916599.404600,
2026-04-21,37.650002,39.450001,37.549999,37.750000,2092200,0.000000,0.000000,37.650002,39.450001,37.549999,37.750000,,,,,,,,,,50.000000,,,,,,,0.002656,,,,,,,-0.025806,,,,78980550.000000,
2026-04-22,38.320000,38.490002,35.590000,36.259998,4785500,0.000000,0.000000,38.320000,38.490002,35.590000,36.259998,,,,,,,,,,50.000000,,,,,,,-0.039470,,,,,,,-0.064258,,,,173522220.429000,
2026-04-23,36.259998,37.599998,35.869999,37.250000,1485800,0.000000,0.000000,36.259998,37.599998,35.869999,37.250000,,,,,,,,,,50.000000,,,,,,,0.027303,-0.038710,,,,,,-0.038710,,,,55346050.000000,
2026-04-24,37.369999,37.369999,35.000000,35.000000,1507600,0.000000,0.000000,37.369999,37.369999,35.000000,35.000000,,,,,,,,,,50.000000,,,,,,,-0.060403,-0.078947,,,,,,-0.096774,,,,52766000.000000,
2026-04-27,35.000000,35.799999,34.450001,35.230000,1315200,0.000000,0.000000,35.000000,35.799999,34.450001,35.230000,,,,,,,,,,50.000000,,,,,,,0.006571,-0.064276,,,,,,-0.090839,,,,46334496.000000,
2026-04-28,35.000000,35.580002,34.509998,35.040001,592200,0.000000,0.000000,35.000000,35.580002,34.509998,35.040001,,,,,,,,,,50.000000,,,,,,,-0.005393,-0.071788,,,,,,-0.095742,,,,20750688.592200,
2026-04-29,35.000000,35.430000,34.660000,35.150002,979100,0.000000,0.000000,35.000000,35.430000,34.660000,35.150002,,,,,,,,,,50.000000,,,,,,,0.003139,-0.030612,,,,,,-0.092903,,,,34415366.958200,
2026-04-30,35.060001,35.799999,34.439999,35.000000,725700,0.000000,0.000000,35.060001,35.799999,34.439999,35.000000,,,,,,,,,,50.000000,,,,,,,-0.004267,-0.060403,,,,,,-0.096774,,,,25399500.000000,
2026-05-01,35.000000,35.619999,34.810001,35.130001,698700,0.000000,0.000000,35.000000,35.619999,34.810001,35.130001,,,,,35.723627,,,,,50.000000,,,,,,,0.003714,0.003714,,,,,,-0.093419,,,,24545331.698700,
2026-05-04,35.130001,35.880001,35.000000,35.259998,586000,0.000000,0.000000,35.130001,35.880001,35.000000,35.259998,,,,,35.643123,,,,,50.000000,,,,,,,0.003700,0.000851,,,,,,-0.090065,,,,20662358.828000,
2026-05-05,34.990002,35.790001,34.980000,35.459999,535600,0.000000,0.000000,34.990002,35.790001,34.980000,35.459999,,,,,35.611943,,,,,50.000000,,,,,1.452413,0.040959,0.005672,0.011986,,,,,,-0.084903,,,,18992375.464400,
2026-05-06,35.000000,35.869999,34.840000,35.000000,554700,0.000000,0.000000,35.000000,35.869999,34.840000,35.000000,,,,,35.509432,,,,,27.498824,,,,,1.407445,0.040213,-0.012972,-0.004267,,,,,,-0.096774,,,,19414500.000000,
