Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,27.379999,27.879999,26.650000,26.950001,142500,0.000000,0.000000,27.379999,27.879999,26.650000,26.950001,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,3840375.142500,
2015-01-05,26.680000,26.830000,25.770000,26.200001,229300,0.000000,0.000000,26.680000,26.830000,25.770000,26.200001,,,,,,,,,,50.000000,,,,,,,-0.027829,,,,,,,-0.027829,,,,6007660.229300,
2015-01-06,26.280001,26.280001,24.730000,25.459999,259400,0.000000,0.000000,26.280001,26.280001,24.730000,25.459999,,,,,,,,,,50.000000,,,,,,,-0.028244,,,,,,,-0.055288,,,,6604323.740600,
2015-01-07,25.740000,25.950001,25.120001,25.490000,285300,0.000000,0.000000,25.740000,25.950001,25.120001,25.490000,,,,,,,,,,50.000000,,,,,,,0.001178,,,,,,,-0.054174,,,,7272297.000000,
2015-01-08,25.690001,26.250000,25.559999,25.840000,216700,0.000000,0.000000,25.690001,26.250000,25.559999,25.840000,,,,,,,,,,50.000000,,,,,,,0.013731,,,,,,,-0.041187,,,,5599528.000000,
2015-01-09,25.799999,26.410000,25.570000,26.139999,158200,0.000000,0.000000,25.799999,26.410000,25.570000,26.139999,,,,,,,,,,50.000000,,,,,,,0.011610,-0.030056,,,,,,-0.030056,,,,4135347.841800,
2015-01-12,26.059999,26.240000,25.260000,25.350000,120700,0.000000,0.000000,26.059999,26.240000,25.260000,25.350000,,,,,,,,,,50.000000,,,,,,,-0.030222,-0.032443,,,,,,-0.059369,,,,3059745.000000,
2015-01-13,25.650000,26.139999,25.280001,25.680000,121800,0.000000,0.000000,25.650000,26.139999,25.280001,25.680000,,,,,,,,,,50.000000,,,,,,,0.013018,0.008641,,,,,,-0.047124,,,,3127824.000000,
2015-01-14,25.379999,25.900000,25.320000,25.760000,151200,0.000000,0.000000,25.379999,25.900000,25.320000,25.760000,,,,,,,,,,50.000000,,,,,,,0.003115,0.010592,,,,,,-0.044156,,,,3894912.000000,
2015-01-15,26.100000,26.100000,25.110001,25.260000,142200,0.000000,0.000000,26.100000,26.100000,25.110001,25.260000,,,,,,,,,,50.000000,,,,,,,-0.019410,-0.022446,,,,,,-0.062709,,,,3591972.000000,
2015-01-16,25.190001,25.500000,24.879999,25.170000,194600,0.000000,0.000000,25.190001,25.500000,24.879999,25.170000,,,,,,,,,,50.000000,,,,,,,-0.003563,-0.037108,,,,,,-0.066048,,,,4898082.000000,
2015-01-20,25.129999,25.799999,24.799999,25.459999,297200,0.000000,0.000000,25.129999,25.799999,24.799999,25.459999,,,,,25.568481,,,,,50.000000,,,,,,,0.011522,0.004339,,,,,,-0.055288,,,,7566711.702800,
2015-01-21,25.350000,25.680000,24.850000,25.100000,118400,0.000000,0.000000,25.350000,25.680000,24.850000,25.100000,,,,,25.487135,,,,,50.000000,,,,,,,-0.014140,-0.022586,,,,,,-0.068646,,,,2971840.000000,
2015-01-22,25.280001,25.900000,24.860001,25.860001,135900,0.000000,0.000000,25.280001,25.900000,24.860001,25.860001,,,,,25.550622,,,,,50.000000,,,,,0.921604,0.035638,0.030279,0.003882,,,,,,-0.040445,,,,3514374.135900,
2015-01-23,25.820000,26.000000,25.500000,25.700001,86700,0.000000,0.000000,25.820000,26.000000,25.500000,25.700001,,,,,25.575645,,,,,44.316801,,,,,0.876722,0.034114,-0.006187,0.017419,,,,,,-0.046382,,,,2228190.086700,
2015-01-26,25.709999,25.770000,25.209999,25.690001,125500,0.000000,0.000000,25.709999,25.770000,25.209999,25.690001,,,,,25.594544,,,,,44.178060,,,,,0.844146,0.032859,-0.000389,0.020660,,,,,,-0.046753,,,,3224095.125500,
2015-01-27,25.350000,25.709999,25.330000,25.530001,97800,0.000000,0.000000,25.350000,25.709999,25.330000,25.530001,,,,,25.583998,,,,,41.916905,,,,,0.797862,0.031252,-0.006228,0.002749,,,,,,-0.052690,,,,2496834.097800,
2015-01-28,25.860001,25.910000,25.260000,25.400000,199700,0.000000,0.000000,25.860001,25.910000,25.260000,25.400000,,,,,25.554218,,,,,40.120114,,,,,0.783523,0.030847,-0.005092,0.011952,,,,,,-0.057514,,,,5072380.000000,
2015-01-29,25.350000,26.110001,25.209999,25.959999,149800,0.000000,0.000000,25.350000,26.110001,25.209999,25.959999,,,,,25.619372,,,,,50.052377,,,,,0.794537,0.030606,0.022047,0.003867,,,,,,-0.036735,,,,3888807.850200,
2015-01-30,25.820000,26.000000,25.580000,25.590000,203500,0.000000,0.000000,25.820000,26.000000,25.580000,25.590000,25.679500,,,,25.614687,,,,,44.768663,25.679500,26.520790,24.838211,0.446808,0.759922,0.029696,-0.014253,-0.004280,,,,,,-0.050464,,,171820.000000,5207565.000000,
2015-02-02,25.520000,26.030001,25.430000,25.959999,136600,0.000000,0.000000,25.520000,26.030001,25.430000,25.959999,25.630000,,,,25.669452,,,,,50.406635,25.630000,26.241710,25.018290,0.769735,0.745446,0.028715,0.014459,0.010510,,,,,,-0.036735,,,171525.000000,3546135.863400,
2015-02-03,26.040001,27.030001,26.000000,26.969999,155600,0.000000,0.000000,26.040001,27.030001,26.000000,26.969999,25.668500,,,,25.874739,,,,,61.853723,25.668500,26.491646,24.845354,1.290564,0.774275,0.028709,0.038906,0.056404,0.000742,,,,0.299995,0.000000,,,167840.000000,4196531.844400,
2015-02-04,26.850000,27.129999,26.580000,26.709999,153700,0.000000,0.000000,26.850000,27.129999,26.580000,26.709999,25.731000,,,,26.006057,,,,,58.133777,25.731000,26.669260,24.792740,1.021710,0.754694,0.028255,-0.009640,0.051575,0.019466,,,,0.284810,-0.009640,,,162555.000000,4105326.846300,
2015-02-05,26.770000,27.160000,26.660000,27.040001,153400,0.000000,0.000000,26.770000,27.160000,26.660000,27.040001,25.808500,,,,26.168065,,,,,61.313966,25.808500,26.905563,24.711437,1.061272,0.732805,0.027101,0.012355,0.041603,0.062058,,,,0.266278,0.000000,,,155960.000000,4147936.153400,
2015-02-06,26.969999,27.299999,26.820000,27.209999,173900,0.000000,0.000000,26.969999,27.299999,26.820000,27.209999,25.877000,,,,26.330862,,,,,62.878298,25.877000,27.140763,24.613237,1.027393,0.711389,0.026144,0.006287,0.063306,0.067477,,,,0.266424,0.000000,,,153820.000000,4731818.826100,
2015-02-09,27.180000,27.580000,26.480000,26.709999,201200,0.000000,0.000000,27.180000,27.580000,26.480000,26.709999,25.905500,,,,26.389959,26.128249,0.261709,,,55.739156,25.905500,27.218968,24.592032,0.806250,0.743878,0.027850,-0.018376,0.028891,0.033669,,,,0.273624,-0.018376,,,155970.000000,5374051.798800,
2015-02-10,27.000000,27.240000,26.139999,26.330000,91700,0.000000,0.000000,27.000000,27.240000,26.139999,26.330000,25.954500,,,,26.380632,26.145333,0.235299,,,50.999885,25.954500,27.253754,24.655246,0.644506,0.773292,0.029369,-0.014227,-0.023730,0.007269,,,,0.276479,-0.032341,,,154520.000000,2414461.000000,
2015-02-11,26.209999,26.700001,25.940001,26.299999,266100,0.000000,0.000000,26.209999,26.700001,25.940001,26.299999,25.985500,,,,26.368110,26.158291,0.209819,,,50.633844,25.985500,27.286761,24.684238,0.620844,0.772206,0.029361,-0.001139,-0.015350,0.037475,,,,0.253146,-0.033444,,,161735.000000,6998429.733900,
2015-02-12,26.420000,26.650000,26.150000,26.490000,163100,0.000000,0.000000,26.420000,26.650000,26.150000,26.490000,26.022000,,,,26.387011,26.185817,0.201195,,,52.937616,26.022000,27.337504,24.706496,0.677879,0.750197,0.028320,0.007224,-0.020340,0.031542,,,,0.250717,-0.026461,,,162330.000000,4320519.000000,
2015-02-13,26.500000,26.969999,26.440001,26.860001,71300,0.000000,0.000000,26.500000,26.969999,26.440001,26.860001,26.102000,,,,26.460267,26.241267,0.219000,,,57.132942,26.102000,27.416992,24.787008,0.788215,0.732559,0.027273,0.013968,-0.012863,0.042702,,,,0.254337,-0.012863,,,158785.000000,1915118.071300,
2015-02-17,27.000000,27.690001,27.000000,27.469999,192200,0.000000,0.000000,27.000000,27.690001,27.000000,27.469999,26.217000,,,,26.616491,26.341508,0.274983,,,62.990483,26.217000,27.589820,24.844180,0.956360,0.740297,0.026949,0.022710,0.028454,0.087490,,,,0.251257,0.000000,,,158665.000000,5279733.807800,
2015-02-18,27.500000,28.180000,27.370001,27.690001,146300,0.000000,0.000000,27.500000,28.180000,27.370001,27.690001,26.328500,,,,26.782437,26.450699,0.331738,,,64.855700,26.328500,27.801059,24.855940,0.962291,0.745788,0.026933,0.008009,0.051652,0.100119,,,,0.249993,0.000000,,,151120.000000,4051047.146300,
2015-02-19,27.709999,28.190001,27.709999,27.930000,116800,0.000000,0.000000,27.709999,28.190001,27.709999,27.930000,26.470000,,,,26.959701,26.569662,0.390039,,,66.820222,26.470000,27.988669,24.951331,0.980684,0.726566,0.026014,0.008667,0.061977,0.097015,,,,0.249202,0.000000,,,151040.000000,3262224.000000,
2015-02-20,27.959999,28.120001,27.650000,27.879999,96100,0.000000,0.000000,27.959999,28.120001,27.650000,27.879999,26.571000,,,,27.101770,26.674372,0.427398,0.322580,0.104818,65.992564,26.571000,28.184572,24.957428,0.905621,0.706636,0.025346,-0.001790,0.052473,0.110757,,,,0.241080,-0.001790,,,149050.000000,2679267.903900,
2015-02-23,27.780001,28.320000,27.559999,28.129999,120400,0.000000,0.000000,27.780001,28.320000,27.559999,28.129999,26.692500,,,,27.260417,26.790018,0.470399,0.355700,0.114699,68.118857,26.692500,28.393507,24.991493,0.922544,0.710755,0.025267,0.008967,0.047282,0.087780,,,,0.223741,0.000000,,,150735.000000,3386851.879600,
2015-02-24,28.100000,28.500000,28.000000,28.250000,111900,0.000000,0.000000,28.100000,28.500000,28.000000,28.250000,26.820500,,,,27.413034,26.905390,0.507644,0.388944,0.118700,69.117012,26.820500,28.587858,25.053141,0.904417,0.694579,0.024587,0.004266,0.028395,0.099222,,,,0.220588,0.000000,,,150055.000000,3161175.000000,
2015-02-25,28.180000,28.430000,27.680000,27.930000,81900,0.000000,0.000000,28.180000,28.430000,27.680000,27.930000,26.940500,,,,27.492732,26.985959,0.506773,0.414249,0.092524,63.415268,26.940500,28.664296,25.216704,0.787012,0.698810,0.025020,-0.011327,0.008667,0.087193,,,,0.226874,-0.011327,,,149260.000000,2287467.000000,
2015-02-26,27.980000,27.980000,27.320000,27.530001,93300,0.000000,0.000000,27.980000,27.980000,27.320000,27.530001,27.047000,,,,27.498476,27.028545,0.469931,0.426033,0.043898,57.076909,27.047000,28.627274,25.466725,0.652822,0.695862,0.025276,-0.014321,-0.014321,0.078339,,,,0.233155,-0.025487,,,143940.000000,2568549.093300,
2015-02-27,27.410000,27.780001,27.309999,27.410000,88000,0.000000,0.000000,27.410000,27.780001,27.309999,27.410000,27.119500,,,,27.484844,27.058279,0.426565,0.426144,0.000420,55.291443,27.119500,28.620874,25.618125,0.596745,0.678780,0.024764,-0.004359,-0.016858,0.079134,,,,0.232821,-0.029735,,,140850.000000,2412080.000000,
2015-03-02,27.350000,28.160000,27.350000,28.110001,120400,0.000000,0.000000,27.350000,28.160000,27.350000,28.110001,27.245500,,,,27.581143,27.139943,0.441199,0.429265,0.011934,62.634267,27.245500,28.624386,25.866614,0.813478,0.688662,0.024499,0.025538,-0.000711,0.082820,,,,0.236564,-0.004956,,,136695.000000,3384444.120400,
2015-03-03,28.020000,28.200001,27.500000,28.059999,203500,0.000000,0.000000,28.020000,28.200001,27.500000,28.059999,27.350500,,,,27.654891,27.211130,0.443761,0.432248,0.011513,61.852809,27.350500,28.633727,26.067272,0.776451,0.689513,0.024573,-0.001779,-0.006726,0.096522,,,,0.228305,-0.006726,,,140040.000000,5710209.796500,
2015-03-04,28.240000,28.920000,25.309999,25.650000,643500,0.000000,0.000000,28.240000,28.920000,25.309999,25.650000,27.284500,,,,27.346169,27.090739,0.255430,0.396070,-0.140640,37.541136,27.284500,28.769973,25.799027,-0.050161,0.907832,0.035393,-0.085887,-0.081633,-0.011941,,,,0.384396,-0.092035,,,164435.000000,16505775.000000,
2015-03-05,25.750000,26.330000,25.559999,25.799999,210600,0.000000,0.000000,25.750000,26.330000,25.559999,25.799999,27.239000,,,,27.108116,26.991503,0.116613,0.339153,-0.222540,39.144425,27.239000,28.849085,25.628914,0.053129,0.897563,0.034789,0.005848,-0.062841,-0.043382,,,,0.358088,-0.086726,,,167280.000000,5433479.789400,
2015-03-06,25.690001,25.930000,25.500000,25.510000,114200,0.000000,0.000000,25.690001,25.930000,25.500000,25.510000,27.162500,,,,26.862094,26.877919,-0.015825,0.267120,-0.282944,37.158474,27.162500,28.948208,25.376792,0.037298,0.862833,0.033823,-0.011240,-0.069318,-0.044927,,,,0.358569,-0.096991,,,165320.000000,2913242.000000,
2015-03-09,25.549999,25.770000,25.340000,25.639999,111900,0.000000,0.000000,25.549999,25.770000,25.340000,25.639999,27.084000,,,,26.673977,26.783256,-0.109278,0.190962,-0.300240,38.660803,27.084000,28.994584,25.173415,0.122105,0.830775,0.032402,0.005096,-0.087869,-0.051775,,,,0.355795,-0.092389,,,162220.000000,2869115.888100,
2015-03-10,25.430000,25.580000,25.139999,25.440001,117600,0.000000,0.000000,25.430000,25.580000,25.139999,25.440001,27.020500,,,,26.484047,26.680783,-0.196735,0.112701,-0.309436,37.187847,27.020500,29.063269,24.977731,0.113148,0.806340,0.031696,-0.007800,-0.093371,-0.065050,,,,0.354867,-0.099469,,,158040.000000,2991744.117600,
2015-03-11,25.459999,25.780001,25.370001,25.620001,95000,0.000000,0.000000,25.459999,25.780001,25.370001,25.620001,26.985000,,,,26.351065,26.600038,-0.248972,0.039828,-0.288801,39.424742,26.985000,29.101636,24.868364,0.177555,0.777133,0.030333,0.007075,-0.001170,-0.040809,,,,0.351867,-0.093097,,,158205.000000,2433900.095000,
2015-03-12,25.860001,26.250000,25.230000,25.730000,126500,0.000000,0.000000,25.860001,26.250000,25.230000,25.730000,26.956500,,,,26.255485,26.533947,-0.278461,-0.024208,-0.254254,40.811935,26.956500,29.126644,24.786356,0.217415,0.794990,0.030897,0.004293,-0.002713,-0.022788,,,,0.349425,-0.089204,,,151225.000000,3254845.000000,
2015-03-13,25.610001,25.850000,25.000000,25.580000,164500,0.000000,0.000000,25.610001,25.850000,25.000000,25.580000,26.911000,,,,26.151536,26.461619,-0.310083,-0.081654,-0.228429,39.484079,26.911000,29.159086,24.662914,0.203970,0.799026,0.031236,-0.005830,0.002744,-0.027376,,,,0.349850,-0.094513,,,151295.000000,4207910.000000,
2015-03-16,25.690001,25.840000,25.549999,25.660000,119900,0.000000,0.000000,25.690001,25.840000,25.549999,25.660000,26.851000,26.343800,,,26.075897,26.400946,-0.325049,-0.130517,-0.194531,40.594214,26.851000,29.167821,24.534179,0.242967,0.761750,0.029686,0.003127,0.000780,-0.031333,,,,0.348911,-0.091681,,,153725.000000,3076634.000000,
2015-03-17,25.459999,25.910000,25.290001,25.809999,117900,0.000000,0.000000,25.459999,25.910000,25.290001,25.809999,26.768000,26.321000,,,26.034981,26.356290,-0.321309,-0.168791,-0.152518,42.716099,26.768000,29.110249,24.425751,0.295495,0.751389,0.029112,0.005846,0.014544,-0.039092,,,,0.345559,-0.086372,,,150010.000000,3042998.882100,
2015-03-18,25.740000,26.650000,25.440001,26.320000,196600,0.000000,0.000000,25.740000,26.650000,25.440001,26.320000,26.699500,26.323400,,,26.078838,26.353552,-0.274714,-0.190027,-0.084687,49.341508,26.699500,29.008106,24.390894,0.417808,0.784856,0.029820,0.019760,0.027322,-0.041864,,,,0.343079,-0.068319,,,152525.000000,5174512.000000,
2015-03-19,26.209999,26.540001,26.080000,26.440001,117600,0.000000,0.000000,26.209999,26.540001,26.080000,26.440001,26.625000,26.343000,,,26.134409,26.360066,-0.225657,-0.197167,-0.028490,50.783908,26.625000,28.861449,24.388551,0.458640,0.761186,0.028789,0.004559,0.027594,-0.045143,,,,0.342043,-0.064071,,,152565.000000,3109344.117600,
2015-03-20,26.600000,26.969999,26.200001,26.850000,206900,0.000000,0.000000,26.600000,26.969999,26.200001,26.850000,26.573500,26.370200,,,26.244514,26.396935,-0.152422,-0.188204,0.035782,55.451075,26.573500,28.734428,24.412572,0.563977,0.761827,0.028373,0.015507,0.049648,-0.038668,,,,0.345525,-0.049558,,,158105.000000,5555265.000000,
2015-03-23,26.889999,26.980000,26.709999,26.920000,86500,0.000000,0.000000,26.889999,26.980000,26.709999,26.920000,26.513000,26.391800,,,26.348445,26.436251,-0.087806,-0.168100,0.080293,56.214518,26.513000,28.554920,24.471080,0.599661,0.726090,0.026972,0.002607,0.049104,-0.034433,,,,0.345836,-0.047080,,,156410.000000,2328580.000000,
2015-03-24,26.900000,27.309999,26.809999,27.170000,210400,0.000000,0.000000,26.900000,27.309999,26.809999,27.170000,26.459000,26.412400,,,26.474849,26.491343,-0.016494,-0.137748,0.121254,58.922055,26.459000,28.359747,24.558253,0.687032,0.709682,0.026120,0.009287,0.052693,-0.034127,,,,0.345959,-0.038230,,,161335.000000,5716568.000000,
2015-03-25,27.299999,27.309999,26.900000,26.940001,130400,0.000000,0.000000,27.299999,27.309999,26.900000,26.940001,26.409500,26.444200,,,26.546416,26.524996,0.021420,-0.105889,0.127310,55.520568,26.409500,28.197148,24.621852,0.648380,0.687958,0.025537,-0.008465,0.023556,-0.046372,,,,0.346136,-0.046372,,,163760.000000,3512976.130400,
2015-03-26,26.900000,27.040001,26.389999,26.600000,104800,0.000000,0.000000,26.900000,27.040001,26.389999,26.600000,26.363000,26.462600,,,26.554660,26.530616,0.024044,-0.079886,0.103930,50.847526,26.363000,28.074695,24.651305,0.569230,0.685210,0.025760,-0.012621,0.006051,-0.047619,,,,0.346603,-0.058407,,,164335.000000,2787680.000000,
2015-03-27,26.590000,26.620001,26.280001,26.530001,59200,0.000000,0.000000,26.590000,26.620001,26.280001,26.530001,26.319000,26.478000,,,26.550866,26.530570,0.020296,-0.059840,0.080136,49.916028,26.319000,27.961205,24.676795,0.564243,0.660237,0.024886,-0.002632,-0.011918,-0.036324,,,,0.343756,-0.060885,,,162895.000000,1570576.059200,
2015-03-30,26.580000,26.690001,26.370001,26.639999,81300,0.000000,0.000000,26.580000,26.690001,26.370001,26.639999,26.245500,26.505600,,,26.564580,26.538757,0.025823,-0.042700,0.068523,51.422042,26.245500,27.666937,24.824063,0.638768,0.635646,0.023861,0.004146,-0.010401,-0.028092,,,,0.344135,-0.056991,-0.056991,0.061355,160940.000000,2165831.918700,
2015-03-31,26.549999,26.600000,26.309999,26.510000,92700,0.000000,0.000000,26.549999,26.600000,26.309999,26.510000,26.168000,26.532400,,,26.556183,26.536607,0.019575,-0.030241,0.049816,49.526607,26.168000,27.315512,25.020488,0.649018,0.613574,0.023145,-0.004880,-0.024291,-0.056919,,,,0.330297,-0.061593,-0.061593,0.056175,155400.000000,2457477.000000,
2015-04-01,26.320000,26.580000,26.030001,26.340000,90100,0.000000,0.000000,26.320000,26.580000,26.030001,26.340000,26.202500,26.550000,,,26.522923,26.521919,0.001003,-0.023991,0.024994,47.082541,26.202500,27.325670,25.079330,0.561211,0.608986,0.023120,-0.006413,-0.022272,-0.061297,,,,0.330547,-0.067611,-0.067611,0.049402,127730.000000,2373234.000000,
2015-04-02,26.240000,26.799999,26.240000,26.450001,77000,0.000000,0.000000,26.240000,26.799999,26.240000,26.450001,26.235000,26.577000,,,26.511704,26.516550,-0.004846,-0.020161,0.015315,48.841770,26.235000,27.346689,25.123311,0.596700,0.605454,0.022891,0.004176,-0.005639,0.031189,,,,0.134178,-0.063717,-0.063717,0.053785,121050.000000,2036650.077000,
2015-04-06,26.260000,27.100000,26.260000,26.840000,188600,0.000000,0.000000,26.260000,27.100000,26.260000,26.840000,26.301500,26.596600,,,26.562212,26.540684,0.021527,-0.011822,0.033349,54.604022,26.301500,27.389449,25.213551,0.747484,0.622355,0.023188,0.014745,0.011685,0.040310,-0.004082,,,0.141170,-0.049912,-0.049912,0.069323,124770.000000,5062024.000000,-0.044386
2015-04-07,26.629999,26.990000,26.450001,26.480000,69200,0.000000,0.000000,26.629999,26.990000,26.450001,26.480000,26.343500,26.612200,,,26.549564,26.536159,0.013405,-0.006776,0.020181,49.105675,26.343500,27.387909,25.299091,0.565348,0.616424,0.023279,-0.013413,-0.006006,0.038024,0.010687,,,0.143896,-0.062655,-0.062655,0.054980,122635.000000,1832416.000000,-0.044693
2015-04-08,26.520000,26.870001,26.320000,26.790001,60600,0.000000,0.000000,26.520000,26.870001,26.320000,26.790001,26.411000,26.634200,,,26.586555,26.555080,0.031475,0.000875,0.030600,53.452290,26.411000,27.381424,25.440576,0.695276,0.611644,0.022831,0.011707,0.010562,0.044852,0.052239,,,0.147569,-0.051681,-0.051681,0.067331,119785.000000,1623474.060600,-0.025728
2015-04-09,26.799999,26.809999,26.370001,26.510000,104200,0.000000,0.000000,26.799999,26.809999,26.370001,26.510000,26.455500,26.653800,,,26.574777,26.551721,0.023056,0.005312,0.017744,49.352408,26.455500,27.352008,25.558993,0.530396,0.599297,0.022606,-0.010452,0.006454,0.042060,0.040016,,,0.150083,-0.061593,-0.061593,0.056175,120245.000000,2762342.000000,-0.029674
2015-04-10,26.690001,26.690001,26.400000,26.510000,92900,0.000000,0.000000,26.690001,26.690001,26.400000,26.510000,26.494500,26.676000,,,26.564811,26.548614,0.016197,0.007489,0.008708,49.352408,26.494500,27.323437,25.665563,0.509349,0.577061,0.021768,0.000000,0.002268,0.034738,0.025929,,,0.149069,-0.061593,-0.061593,0.056175,118565.000000,2462779.000000,-0.028923
2015-04-13,26.420000,26.690001,26.139999,26.209999,107700,0.000000,0.000000,26.420000,26.690001,26.139999,26.209999,26.526000,26.681000,,,26.510224,26.523407,-0.013183,0.003354,-0.016537,45.057945,26.526000,27.249832,25.802168,0.281717,0.575116,0.021943,-0.011317,-0.023472,0.018655,0.002678,,,0.155285,-0.072212,-0.072212,0.044223,115725.000000,2822816.892300,-0.057734
2015-04-14,26.180000,26.629999,26.180000,26.309999,134700,0.000000,0.000000,26.180000,26.629999,26.180000,26.309999,26.558500,26.695400,,,26.479420,26.507526,-0.028106,-0.002938,-0.025168,46.722159,26.558500,27.167945,25.949055,0.296125,0.566129,0.021518,0.003815,-0.006420,0.028538,0.037870,,,0.153583,-0.068673,-0.068673,0.048207,116465.000000,3543956.865300,-0.029140
2015-04-15,26.450001,26.549999,26.240000,26.360001,127700,0.000000,0.000000,26.450001,26.549999,26.240000,26.360001,26.586000,26.703400,,,26.461048,26.496552,-0.035504,-0.009452,-0.026053,47.577219,26.586000,27.094513,26.077487,0.277784,0.547739,0.020779,0.001900,-0.016051,0.027280,0.026480,,,0.153467,-0.066903,-0.066903,0.050199,116955.000000,3366172.127700,-0.048500
2015-04-16,26.309999,26.480000,26.059999,26.260000,172300,0.000000,0.000000,26.309999,26.480000,26.059999,26.260000,26.583000,26.689200,,,26.430117,26.478961,-0.048844,-0.017330,-0.031513,45.987603,26.583000,27.098777,26.067224,0.186880,0.538570,0.020509,-0.003794,-0.009430,0.017435,0.019410,,,0.153523,-0.070442,-0.070442,0.046215,115740.000000,4524598.000000,-0.060013
