Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,10.093000,10.221000,9.913000,10.009000,13500000,0.000000,0.000000,7.595808,7.692138,7.460343,7.532590,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,135121500.000000,
2015-01-05,10.007000,10.082000,9.840000,9.849000,15596000,0.000000,0.000000,7.531088,7.587531,7.405407,7.412180,,,,,,,,,,50.000000,,,,,,,-0.015985,,,,,,,-0.015985,,,,153605004.000000,
2015-01-06,9.895000,9.908000,9.518000,9.625000,22194000,0.000000,0.000000,7.446799,7.456583,7.163075,7.243602,,,,,,,,,,50.000000,,,,,,,-0.022743,,,,,,,-0.038365,,,,213617250.000000,
2015-01-07,9.705000,9.939000,9.653000,9.885000,30907000,0.000000,0.000000,7.303806,7.479911,7.264672,7.439271,,,,,,,,,,50.000000,,,,,,,0.027013,,,,,,,-0.012389,,,,305515695.000000,
2015-01-08,10.053000,10.430000,10.036000,10.379000,33265000,0.000000,0.000000,7.565705,7.849429,7.552911,7.811047,,,,,,,,,,50.000000,,,,,,,0.049975,,,,,,,0.000000,,,,345257435.000000,
2015-01-09,10.447000,10.580000,10.258000,10.490000,23432000,0.000000,0.000000,7.862220,7.962313,7.719982,7.894581,,,,,,,,,,50.000000,,,,,,,0.010694,0.048057,,,,,,0.000000,,,,245801680.000000,
2015-01-12,10.507000,10.564000,10.272000,10.316000,18692000,0.000000,0.000000,7.907378,7.950275,7.730521,7.763635,,,,,,,,,,50.000000,,,,,,,-0.016587,0.047416,,,,,,-0.016587,,,,192826672.000000,
2015-01-13,10.378000,10.738000,10.173000,10.258000,24337000,0.000000,0.000000,7.810294,8.081223,7.656015,7.719984,,,,,,,,,,50.000000,,,,,,,-0.005622,0.065766,,,,,,-0.022116,,,,249648946.000000,
2015-01-14,10.111000,10.349000,10.001000,10.339000,20984000,0.000000,0.000000,7.609354,7.788468,7.526570,7.780942,,,,,,,,,,50.000000,,,,,,,0.007896,0.045928,,,,,,-0.014395,,,,216953576.000000,
2015-01-15,10.356000,10.554000,10.105000,10.132000,18372000,0.000000,0.000000,7.793738,7.942749,7.604840,7.625160,,,,,,,,,,50.000000,,,,,,,-0.020021,-0.023798,,,,,,-0.034127,,,,186145104.000000,
2015-01-16,10.069000,10.391000,10.031000,10.382000,15375000,0.000000,0.000000,7.577749,7.820080,7.549151,7.813307,,,,,,,,,,50.000000,,,,,,,0.024674,-0.010295,,,,,,-0.010295,,,,159623250.000000,
2015-01-20,10.369000,10.524000,10.258000,10.487000,12840000,0.000000,0.000000,7.803523,7.920173,7.719986,7.892327,,,,,7.731400,,,,,50.000000,,,,,,,0.010114,0.016576,,,,,,-0.000286,,,,134653080.000000,
2015-01-21,10.433000,10.688000,10.411000,10.538000,16451000,0.000000,0.000000,7.851687,8.043595,7.835131,7.930708,,,,,7.766007,,,,,50.000000,,,,,,,0.004863,0.027296,,,,,,0.000000,,,,173360638.000000,
2015-01-22,10.598000,10.649000,10.152000,10.520000,20639000,0.000000,0.000000,7.975862,8.014244,7.640211,7.917161,,,,,7.791744,,,,,50.000000,,,,,0.281309,0.035531,-0.001708,0.017507,,,,,,-0.001708,,,,217122280.000000,
2015-01-23,10.503000,10.750000,10.425000,10.698000,15088000,0.000000,0.000000,7.904368,8.090255,7.845666,8.051121,,,,,7.835194,,,,,68.207270,,,,,0.277400,0.034455,0.016920,0.055863,,,,,,0.000000,,,,161411424.000000,
2015-01-26,10.674000,10.706000,10.462000,10.673000,9611000,0.000000,0.000000,8.033058,8.057141,7.873511,8.032306,,,,,7.867768,,,,,66.915541,,,,,0.267755,0.033335,-0.002337,0.028029,,,,,,-0.002337,,,,102578203.000000,
2015-01-27,10.507000,10.598000,10.282000,10.479000,15242000,0.000000,0.000000,7.907374,7.975859,7.738043,7.886302,,,,,7.870797,,,,,57.772195,,,,,0.270398,0.034287,-0.018177,-0.000763,,,,,,-0.020472,,,,159720918.000000,
2015-01-28,10.712000,10.834000,10.486000,10.500000,23302000,0.000000,0.000000,8.061654,8.153469,7.891571,7.902107,,,,,7.875864,,,,,58.434301,,,,,0.270085,0.034179,0.002004,-0.003606,,,,,,-0.018508,,,,244671000.000000,
2015-01-29,10.463000,10.660000,10.227000,10.653000,15842000,0.000000,0.000000,7.874266,8.022524,7.696656,8.017256,,,,,7.898566,,,,,62.987606,,,,,0.275360,0.034346,0.014572,0.012643,,,,,,-0.004206,,,,168764826.000000,
2015-01-30,10.529000,10.673000,10.262000,10.288000,16938000,0.000000,0.000000,7.923935,8.032306,7.722995,7.742562,7.770407,,,,7.873685,,,,,49.154279,7.770407,8.209723,7.331092,0.468308,0.278498,0.035970,-0.034263,-0.038325,,,,,,-0.038325,,,19130350.000000,174258144.000000,
2015-02-02,10.325000,10.349000,9.916000,10.242000,21581000,0.000000,0.000000,7.770408,7.788470,7.462603,7.707944,7.779175,,,,7.847399,,,,,47.731575,7.779175,8.205308,7.353043,0.416421,0.282786,0.036688,-0.004471,-0.040382,,,,,,-0.042625,,,19534400.000000,221032602.000000,
2015-02-03,10.250000,10.372000,10.136000,10.320000,15390000,0.000000,0.000000,7.713962,7.805777,7.628168,7.766643,7.796898,,,,7.834652,,,,,50.355423,7.796898,8.186699,7.407097,0.461191,0.273443,0.035207,0.007615,-0.015173,0.031072,,,,0.310588,-0.035334,,,19524100.000000,158824800.000000,
2015-02-04,10.293000,10.528000,10.245000,10.480000,16658000,0.000000,0.000000,7.746324,7.923180,7.710199,7.887056,7.829071,,,,7.842891,,,,,55.311339,7.829071,8.120357,7.537785,0.599533,0.268165,0.034001,0.015504,-0.001905,0.064067,,,,0.307210,-0.020378,,,19247300.000000,174575840.000000,
2015-02-05,10.474000,10.622000,10.375000,10.620000,16585000,0.000000,0.000000,7.882544,7.993926,7.808039,7.992421,7.856729,,,,7.866321,,,,,59.153816,7.856729,8.091795,7.621662,0.788626,0.261093,0.032668,0.013359,-0.003098,0.103377,,,,0.294061,-0.007291,,,18531200.000000,176132700.000000,
2015-02-06,10.627000,10.711000,10.426000,10.474000,10682000,0.000000,0.000000,7.997687,8.060904,7.846417,7.882542,7.860303,,,,7.868855,,,,,53.944681,7.860303,8.094618,7.625988,0.547455,0.257145,0.032622,-0.013748,0.018079,0.059585,,,,0.289227,-0.020939,,,17402050.000000,111883268.000000,
2015-02-09,10.395000,10.435000,10.182000,10.224000,20346000,0.000000,0.000000,7.823088,7.853191,7.662788,7.694396,7.850294,,,,7.841662,7.828154,0.013508,,,46.408589,7.850294,8.095302,7.605286,0.181852,0.254019,0.033014,-0.023869,-0.001758,-0.014934,,,,0.248030,-0.044307,,,17247750.000000,208017504.000000,
2015-02-10,10.304000,10.746000,10.289000,10.704000,20398000,0.000000,0.000000,7.754603,8.087245,7.743314,8.055636,7.864894,,,,7.874947,7.847416,0.027531,,,58.419432,7.864894,8.122629,7.607159,0.870035,0.265486,0.032957,0.046948,0.037210,0.020401,,,,0.295988,0.000000,,,17333050.000000,218340192.000000,
2015-02-11,10.679000,10.830000,10.633000,10.794000,17169000,0.000000,0.000000,8.036821,8.150460,8.002202,8.123367,7.885063,,,,7.913524,7.870537,0.042988,,,60.219643,7.885063,8.157751,7.612375,0.936953,0.255910,0.031503,0.008408,0.029962,0.046336,,,,0.289739,0.000000,,,16974650.000000,185322186.000000,
2015-02-12,10.880000,11.004000,10.846000,10.970000,21072000,0.000000,0.000000,8.188088,8.281408,8.162500,8.255820,7.908807,,,,7.966603,7.902507,0.064095,,,63.543672,7.908807,8.222880,7.594734,1.052440,0.247997,0.030039,0.016305,0.032956,0.069409,,,,0.292115,0.000000,,,16979050.000000,231159840.000000,
