Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,19.690001,19.879999,19.129999,19.629999,1378800,0.000000,0.000000,18.862078,19.044088,18.325624,18.804600,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,27065842.621200,
2015-01-05,19.510000,19.530001,19.000000,19.120001,873600,0.000000,0.000000,18.689643,18.708802,18.201087,18.316042,,,,,,,,,,50.000000,,,,,,,-0.025981,,,,,,,-0.025981,,,,16703232.873600,
2015-01-06,19.129999,19.280001,18.420000,18.690001,1172200,0.000000,0.000000,18.325617,18.469311,17.645472,17.904119,,,,,,,,,,50.000000,,,,,,,-0.022490,,,,,,,-0.047886,,,,21908419.172200,
2015-01-07,18.799999,19.190001,18.750000,19.150000,993600,0.000000,0.000000,18.009502,18.383105,17.961605,18.344786,,,,,,,,,,50.000000,,,,,,,0.024613,,,,,,,-0.024452,,,,19027440.000000,
2015-01-08,19.370001,20.059999,19.299999,20.020000,620600,0.000000,0.000000,18.555535,19.216521,18.488477,19.178204,,,,,,,,,,50.000000,,,,,,,0.045431,,,,,,,0.000000,,,,12424412.000000,
2015-01-09,19.559999,19.840000,18.830000,19.250000,2439900,0.000000,0.000000,18.737545,19.005772,18.038240,18.440580,,,,,,,,,,50.000000,,,,,,,-0.038462,-0.019358,,,,,,-0.038462,,,,46968075.000000,
2015-01-12,19.280001,19.490000,19.049999,19.360001,736700,0.000000,0.000000,18.469320,18.670489,18.248989,18.545956,,,,,,,,,,50.000000,,,,,,,0.005714,0.012553,,,,,,-0.032967,,,,14262512.736700,
2015-01-13,19.500000,19.799999,19.209999,19.440001,545900,0.000000,0.000000,18.680066,18.967451,18.402259,18.622589,,,,,,,,,,50.000000,,,,,,,0.004132,0.040129,,,,,,-0.028971,,,,10612296.545900,
2015-01-14,19.200001,19.440001,19.040001,19.340000,277200,0.000000,0.000000,18.392678,18.622586,18.239406,18.526791,,,,,,,,,,50.000000,,,,,,,-0.005144,0.009921,,,,,,-0.033966,,,,5361048.000000,
2015-01-15,19.379999,19.430000,18.290001,18.350000,1205600,0.000000,0.000000,18.565110,18.613009,17.520944,17.578421,,,,,,,,,,50.000000,,,,,,,-0.051189,-0.083417,,,,,,-0.083417,,,,22122760.000000,
2015-01-16,18.240000,18.510000,18.240000,18.430000,1533400,0.000000,0.000000,17.473050,17.731698,17.473050,17.655062,,,,,,,,,,50.000000,,,,,,,0.004360,-0.042597,,,,,,-0.079420,,,,28260562.000000,
2015-01-20,18.389999,18.719999,18.219999,18.540001,610600,0.000000,0.000000,17.616741,17.932865,17.453889,17.760435,,,,,18.146909,,,,,50.000000,,,,,,,0.005968,-0.042355,,,,,,-0.073926,,,,11320524.610600,
2015-01-21,18.490000,18.650000,18.340000,18.400000,434800,0.000000,0.000000,17.712538,17.865810,17.568845,17.626322,,,,,18.056516,,,,,50.000000,,,,,,,-0.007551,-0.053498,,,,,,-0.080919,,,,8000320.000000,
