Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2024-01-26,12.000000,12.140000,10.990000,11.000000,24876200,0.000000,0.000000,12.000000,12.140000,10.990000,11.000000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,273638200.000000,
2024-01-29,11.000000,11.210000,10.500000,10.560000,5813800,0.000000,0.000000,11.000000,11.210000,10.500000,10.560000,,,,,,,,,,50.000000,,,,,,,-0.040000,,,,,,,-0.040000,,,,61393728.000000,
2024-01-30,10.500000,11.340000,10.265000,11.210000,5281100,0.000000,0.000000,10.500000,11.340000,10.265000,11.210000,,,,,,,,,,50.000000,,,,,,,0.061553,,,,,,,0.000000,,,,59201131.000000,
2024-01-31,11.110000,11.400000,11.000000,11.020000,4131900,0.000000,0.000000,11.110000,11.400000,11.000000,11.020000,,,,,,,,,,50.000000,,,,,,,-0.016949,,,,,,,-0.016949,,,,45533538.000000,
2024-02-01,11.050000,11.530000,11.000000,11.310000,7311200,0.000000,0.000000,11.050000,11.530000,11.000000,11.310000,,,,,,,,,,50.000000,,,,,,,0.026316,,,,,,,0.000000,,,,82689672.000000,
2024-02-02,11.200000,11.242000,11.050000,11.100000,1421000,0.000000,0.000000,11.200000,11.242000,11.050000,11.100000,,,,,,,,,,50.000000,,,,,,,-0.018568,0.009091,,,,,,-0.018568,,,,15773100.000000,
2024-02-05,11.070000,11.200000,10.970000,11.100000,2458800,0.000000,0.000000,11.070000,11.200000,10.970000,11.100000,,,,,,,,,,50.000000,,,,,,,0.000000,0.051136,,,,,,-0.018568,,,,27292680.000000,
2024-02-06,11.010000,11.435000,11.000000,11.330000,2114600,0.000000,0.000000,11.010000,11.435000,11.000000,11.330000,,,,,,,,,,50.000000,,,,,,,0.020721,0.010705,,,,,,0.000000,,,,23958418.000000,
2024-02-07,11.300000,11.530000,11.254000,11.490000,2204000,0.000000,0.000000,11.300000,11.530000,11.254000,11.490000,,,,,,,,,,50.000000,,,,,,,0.014122,0.042650,,,,,,0.000000,,,,25323960.000000,
2024-02-08,11.460000,11.545000,11.270000,11.340000,1994700,0.000000,0.000000,11.460000,11.545000,11.270000,11.340000,,,,,,,,,,50.000000,,,,,,,-0.013055,0.002653,,,,,,-0.013055,,,,22619898.000000,
