Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,90.019997,90.610001,88.279999,89.000000,184000,0.000000,0.000000,82.740454,83.282747,81.141163,81.802940,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,16376000.000000,
2015-01-05,88.489998,88.709999,86.360001,87.050003,254200,0.000000,0.000000,81.334176,81.536387,79.376423,80.010628,,,,,,,,,,50.000000,,,,,,,-0.021910,,,,,,,-0.021910,,,,22128110.762600,
2015-01-06,87.099998,87.360001,86.089996,86.410004,311600,0.000000,0.000000,80.056546,80.295522,79.128219,79.422348,,,,,,,,,,50.000000,,,,,,,-0.007353,,,,,,,-0.029102,,,,26925357.246400,
2015-01-07,87.260002,88.209999,86.589996,87.400002,222300,0.000000,0.000000,80.203635,81.076810,79.587810,80.332314,,,,,,,,,,50.000000,,,,,,,0.011457,,,,,,,-0.017978,,,,19429020.444600,
2015-01-08,89.610001,92.320000,88.970001,91.529999,539400,0.000000,0.000000,82.363591,84.854443,81.775346,84.128326,,,,,,,,,,50.000000,,,,,,,0.047254,,,,,,,0.000000,,,,49371281.460600,
2015-01-09,91.540001,92.540001,90.180000,90.779999,338600,0.000000,0.000000,84.137524,85.056658,82.887501,83.438980,,,,,,,,,,50.000000,,,,,,,-0.008194,0.020000,,,,,,-0.008194,,,,30738107.661400,
2015-01-12,91.089996,92.599998,90.220001,91.459999,485700,0.000000,0.000000,83.723936,85.111831,82.924294,84.064018,,,,,,,,,,50.000000,,,,,,,0.007491,0.050661,,,,,,-0.000764,,,,44422121.514300,
2015-01-13,92.389999,93.849998,91.830002,92.930000,303600,0.000000,0.000000,84.918813,86.260748,84.404100,85.415146,,,,,,,,,,50.000000,,,,,,,0.016073,0.075455,,,,,,0.000000,,,,28213548.000000,
2015-01-14,91.959999,93.029999,91.139999,92.379997,176200,0.000000,0.000000,84.523565,85.507038,83.769875,84.909599,,,,,,,,,,50.000000,,,,,,,-0.005919,0.056979,,,,,,-0.005919,,,,16277355.471400,
2015-01-15,92.519997,93.160004,90.709999,91.730003,214500,0.000000,0.000000,85.038282,85.626534,83.374651,84.312172,,,,,,,,,,50.000000,,,,,,,-0.007036,0.002185,,,,,,-0.012913,,,,19676085.643500,
2015-01-16,91.699997,93.570000,91.699997,93.000000,360500,0.000000,0.000000,84.284585,86.003368,84.284585,85.479462,,,,,,,,,,50.000000,,,,,,,0.013845,0.024455,,,,,,0.000000,,,,33526500.000000,
2015-01-20,93.300003,93.699997,91.500000,92.500000,195800,0.000000,0.000000,85.755223,86.122871,84.100779,85.019913,,,,,84.098050,,,,,50.000000,,,,,,,-0.005376,0.011371,,,,,,-0.005376,,,,18111500.000000,
2015-01-21,92.360001,93.160004,91.010002,91.300003,194300,0.000000,0.000000,84.891242,85.626552,83.650412,83.916962,,,,,84.066606,,,,,50.000000,,,,,,,-0.012973,-0.017540,,,,,,-0.018279,,,,17739590.582900,
2015-01-22,92.120003,92.360001,90.800003,91.410004,282200,0.000000,0.000000,84.670636,84.891226,83.457379,84.018051,,,,,84.058339,,,,,50.000000,,,,,2.058993,0.024507,0.001205,-0.010500,,,,,,-0.017097,,,,25795903.128800,
2015-01-23,91.430000,92.480003,91.120003,92.059998,190000,0.000000,0.000000,84.036427,85.001520,83.751497,84.615479,,,,,84.151669,,,,,59.604268,,,,,1.972874,0.023316,0.007111,0.003597,,,,,,-0.010107,,,,17491399.620000,
2015-01-26,91.830002,94.669998,91.760002,94.610001,280800,0.000000,0.000000,84.404075,87.014412,84.339736,86.959267,,,,,84.615647,,,,,69.062858,,,,,2.045056,0.023517,0.027699,0.017312,,,,,,0.000000,,,,26566488.280800,
2015-01-27,93.309998,94.470001,92.839996,93.290001,235500,0.000000,0.000000,85.764405,86.830604,85.332411,85.746025,,,,,84.800343,,,,,61.089012,,,,,2.003354,0.023364,-0.013952,0.008540,,,,,,-0.013952,,,,21969795.235500,
2015-01-28,93.910004,94.360001,92.139999,92.339996,239100,0.000000,0.000000,86.315857,86.729465,84.688986,84.872810,,,,,84.812072,,,,,56.071124,,,,,2.006954,0.023647,-0.010184,0.011390,,,,,,-0.023993,,,,22078493.043600,
2015-01-29,92.570000,93.779999,91.519997,93.610001,195900,0.200000,0.000000,85.268946,86.383511,84.301757,86.226921,,,,,85.039244,,,,,61.370178,,,,,2.014027,0.023357,0.015955,0.026290,,,,,,-0.008422,,,,18338199.195900,
2015-01-30,92.889999,93.750000,91.150002,91.300003,241000,0.000000,0.000000,85.563714,86.355885,83.960950,84.099121,83.939524,,,,84.889302,,,,,50.966353,83.939524,88.030344,79.848704,0.519507,2.049231,0.024367,-0.024677,-0.006102,,,,,,-0.032891,,,272260.000000,22003300.723000,
2015-02-02,91.809998,92.279999,90.290001,92.010002,313600,0.000000,0.000000,84.568875,85.001807,83.168762,84.753105,84.087032,,,,84.867702,,,,,53.571552,84.087032,88.064656,80.109409,0.583727,2.029662,0.023948,0.007776,-0.025370,,,,,,-0.025370,,,278740.000000,28854336.627200,
2015-02-03,92.330002,94.010002,91.550003,93.320000,398700,0.000000,0.000000,85.047869,86.595367,84.329390,85.959785,84.384490,,,,85.040084,,,,,58.005113,84.384490,87.946648,80.822333,0.721115,2.050653,0.023856,0.014238,0.002493,0.050815,,,,0.271872,-0.011494,,,285965.000000,37206684.000000,
2015-02-04,93.150002,94.349998,92.300003,93.519997,299200,0.000000,0.000000,85.803161,86.908513,85.020203,86.143974,84.720571,,,,85.213635,,,,,58.654131,84.720571,87.492100,81.949043,0.756790,2.036479,0.023640,0.002143,0.014977,0.076657,,,,0.257022,-0.009376,,,285345.000000,27981183.102400,
2015-02-05,93.629997,94.290001,91.120003,91.550003,408100,0.000000,0.000000,86.245320,86.853268,83.933290,84.329376,84.920425,,,,85.075081,,,,,50.391486,84.920425,86.788940,83.051909,0.341840,2.112409,0.025050,-0.021065,-0.022006,0.061784,,,,0.268546,-0.030243,,,294635.000000,37361556.224300,
2015-02-06,91.550003,92.190002,90.209999,91.400002,366000,0.000000,0.000000,84.329371,84.918893,83.095054,84.191200,84.923568,,,,84.936979,,,,,49.816011,84.923568,86.786676,83.060461,0.303455,2.087963,0.024800,-0.001639,0.001095,0.048037,,,,0.267174,-0.031832,,,285965.000000,33452400.732000,
2015-02-09,91.050003,91.400002,89.709999,89.849998,198200,0.000000,0.000000,83.868787,84.191180,82.634470,82.763428,84.889791,,,,84.598185,84.532473,0.065712,,,44.199147,84.889791,86.885968,82.893613,-0.032609,2.043551,0.024691,-0.016959,-0.023476,-0.016224,,,,0.219619,-0.048251,,,278945.000000,17808269.603600,
2015-02-10,90.529999,90.570000,89.629997,89.760002,224100,0.000000,0.000000,83.389831,83.426677,82.560814,82.680565,84.820618,,,,84.299887,84.375664,-0.075777,,,43.889850,84.820618,87.022556,82.618680,0.014052,1.946278,0.023540,-0.001001,-0.038148,-0.009089,,,,0.217928,-0.049204,,,265865.000000,20115216.448200,
2015-02-11,89.680000,90.260002,89.010002,89.599998,159900,0.000000,0.000000,82.606857,83.141114,81.989702,82.533165,84.676519,,,,84.025531,84.221288,-0.195757,,,43.309267,84.676519,87.082398,82.270640,0.054559,1.881350,0.022795,-0.001783,-0.041916,-0.018211,,,,0.216086,-0.050899,,,258680.000000,14327039.680200,
2015-02-12,90.120003,90.500000,89.660004,90.029999,177700,0.000000,0.000000,83.012196,83.362223,82.588477,82.929291,84.577504,,,,83.855541,84.114078,-0.258537,,,45.399604,84.577504,87.103020,82.051987,0.173688,1.796267,0.021660,0.004800,-0.016603,-0.029103,,,,0.208396,-0.046343,,,258755.000000,15998330.822300,
2015-02-13,90.019997,90.400002,88.580002,88.930000,238500,0.000000,0.000000,82.920058,83.270092,81.593637,81.916031,84.457697,,,,83.555154,83.933294,-0.378140,,,41.213448,84.457697,87.249511,81.665883,0.044800,1.786670,0.021811,-0.012218,-0.027024,-0.035256,,,,0.211269,-0.057995,,,259955.000000,21209805.000000,
2015-02-17,89.260002,89.610001,88.360001,89.529999,228400,0.000000,0.000000,82.220002,82.542396,81.390985,82.468704,84.307159,,,,83.387061,83.813812,-0.426751,,,44.233859,84.307159,87.190192,81.424126,0.181160,1.736223,0.021053,0.006747,-0.003561,-0.021865,,,,0.212213,-0.051640,,,253350.000000,20448651.771600,
2015-02-18,90.010002,91.599998,89.660004,90.709999,313000,0.000000,0.000000,82.910831,84.375423,82.588437,83.555618,84.233944,,,,83.413117,83.792905,-0.379788,,,49.706664,84.233944,87.115136,81.352752,0.382284,1.749655,0.020940,0.013180,0.010584,-0.022507,,,,0.211640,-0.039141,,,259210.000000,28392229.687000,
2015-02-19,90.180000,90.540001,89.349998,90.349998,153200,0.000000,0.000000,83.067424,83.399031,82.302885,83.224014,84.199297,,,,83.383906,83.747156,-0.363249,,,48.153988,84.199297,87.113020,81.285573,0.332640,1.710792,0.020556,-0.003969,0.008371,-0.021123,,,,0.211329,-0.042954,,,257155.000000,13841619.693600,
2015-02-20,90.519997,91.169998,89.400002,91.150002,159500,0.000000,0.000000,83.380606,83.979342,82.348946,83.960922,84.196440,,,,83.472982,83.764238,-0.291256,-0.309363,0.018107,51.760190,84.196440,87.111024,81.281856,0.459597,1.704547,0.020302,0.008855,0.012440,0.000524,,,,0.209174,-0.034480,,,251020.000000,14538425.319000,
2015-02-23,91.199997,92.349998,90.730003,91.820000,253500,0.000000,0.000000,84.006977,85.066277,83.574052,84.578079,84.194570,,,,83.643490,83.828896,-0.185406,-0.281589,0.096183,54.607816,84.194570,87.108070,81.281071,0.565816,1.688156,0.019960,0.007351,0.032497,0.006666,,,,0.210659,-0.027383,,,254195.000000,23276370.000000,
2015-02-24,91.540001,92.150002,90.940002,91.339996,205300,0.000000,0.000000,84.320163,84.882052,83.767487,84.135933,84.053403,,,,83.719436,83.853159,-0.133723,-0.249237,0.115514,52.229090,84.053403,86.660342,81.446465,0.515829,1.644130,0.019541,-0.005228,0.020217,-0.005667,,,,0.210042,-0.032467,,,250420.000000,18752101.178800,
2015-02-25,91.199997,91.199997,88.769997,89.080002,270100,0.000000,0.000000,84.006981,84.006981,81.768637,82.054192,83.868812,,,,83.462713,83.711699,-0.248986,-0.249183,0.000197,42.780246,83.868812,86.493873,81.243750,0.154366,1.699343,0.020710,-0.024743,-0.017969,-0.056407,,,,0.200665,-0.056407,,,252150.000000,24060508.540200,
2015-02-26,88.879997,89.610001,88.650002,89.489998,170800,0.000000,0.000000,81.869957,82.542385,81.658101,82.431847,83.746764,,,,83.303841,83.611516,-0.307676,-0.261562,-0.046114,44.733599,83.746764,86.402084,81.091444,0.252400,1.637419,0.019864,0.004603,-0.009518,-0.038651,,,,0.197811,-0.052064,,,248735.000000,15284891.658400,
2015-02-27,89.589996,89.900002,87.199997,87.750000,283400,0.000000,0.000000,82.523968,82.809523,80.322470,80.829094,83.476872,,,,82.922546,83.394629,-0.472083,-0.305603,-0.166480,38.696090,83.476872,86.167821,80.785923,0.008021,1.701677,0.021053,-0.019443,-0.037301,-0.047644,,,,0.205217,-0.070495,,,253110.000000,24868350.000000,
2015-03-02,87.889999,88.830002,87.650002,88.440002,238000,0.000000,0.000000,80.958022,81.823885,80.736953,81.464645,83.345148,,,,82.697972,83.244769,-0.546797,-0.355601,-0.191196,42.036844,83.345148,86.162783,80.527513,0.166298,1.655378,0.020320,0.007863,-0.036811,-0.055230,,,,0.197963,-0.063186,,,252960.000000,21048720.476000,
2015-03-03,88.360001,88.610001,87.040001,87.389999,174400,0.000000,0.000000,81.390971,81.621253,80.175081,80.497475,83.132367,,,,82.359075,83.032206,-0.673131,-0.420947,-0.252185,38.590389,83.132367,86.138744,80.125989,0.061783,1.639683,0.020369,-0.011872,-0.043245,-0.042826,,,,0.184505,-0.074308,,,246000.000000,15240815.825600,
2015-03-04,86.989998,88.169998,86.199997,87.940002,256900,0.000000,0.000000,80.129028,81.215960,79.401335,81.004105,82.884583,,,,82.150430,82.875804,-0.725373,-0.483235,-0.242139,41.305052,82.884583,85.721899,80.047267,0.168617,1.652761,0.020403,0.006294,-0.012797,-0.044234,,,,0.183582,-0.068482,,,238910.000000,22591786.513800,
2015-03-05,88.199997,89.089996,87.559998,88.190002,153800,0.000000,0.000000,81.243604,82.063409,80.654082,81.234398,82.639104,,,,82.009395,82.749607,-0.740212,-0.535573,-0.204639,42.548298,82.639104,85.115668,80.162540,0.216400,1.634623,0.020122,0.002843,-0.014527,-0.054972,,,,0.174851,-0.065834,,,231640.000000,13563622.307600,
2015-03-06,87.269997,88.320000,86.879997,87.480003,234300,0.000000,0.000000,80.386932,81.354121,80.027693,80.580376,82.451654,,,,81.789405,82.583296,-0.793891,-0.587992,-0.205899,39.959643,82.451654,84.956895,79.946413,0.126527,1.611731,0.020002,-0.008051,-0.003077,-0.064585,,,,0.174910,-0.073355,,,222950.000000,20496564.702900,
2015-03-09,88.120003,92.570000,88.110001,90.730003,736700,0.000000,0.000000,81.169911,85.268933,81.160697,83.574059,82.420797,,,,82.064116,82.659060,-0.594943,-0.589398,-0.005545,53.811892,82.420797,84.849868,79.991726,0.737387,1.839622,0.022012,0.037152,0.025894,-0.008957,,,,0.211970,-0.038929,,,241485.000000,66840793.210100,
2015-03-10,86.500000,89.480003,83.000000,87.550003,816000,0.000000,0.000000,79.677701,82.422670,76.453748,80.644890,82.314870,,,,81.845673,82.505405,-0.659731,-0.603596,-0.056135,43.288166,82.314870,84.862888,79.766853,0.172298,2.229716,0.027649,-0.035049,0.001831,-0.042122,,,,0.243755,-0.072613,,,272375.000000,71440802.448000,
2015-03-11,86.910004,89.000000,86.040001,87.349998,383200,0.000000,0.000000,80.055348,81.980505,79.253963,80.460640,82.203874,,,,81.632508,82.349760,-0.717252,-0.626496,-0.090756,42.722198,82.203874,84.875239,79.532509,0.173718,2.266328,0.028167,-0.002285,-0.006709,-0.027824,,,,0.237581,-0.074732,,,280330.000000,33472519.233600,
2015-03-12,88.120003,89.449997,87.699997,89.260002,291300,0.000000,0.000000,81.169907,82.395003,80.783027,82.219994,82.188215,,,,81.722921,82.339903,-0.616982,-0.624582,0.007600,49.510413,82.188215,84.855121,79.521310,0.505958,2.241920,0.027267,0.021866,0.012133,-0.005570,,,,0.250709,-0.054500,,,286900.000000,26001438.582600,
2015-03-13,89.599998,89.599998,87.550003,88.000000,283300,0.000000,0.000000,82.533177,82.533177,80.644867,81.059372,82.094719,,,,81.620808,82.242813,-0.622005,-0.624064,0.002059,45.665555,82.094719,84.783256,79.406183,0.307451,2.215976,0.027338,-0.014116,0.005944,-0.017857,,,,0.255321,-0.067847,,,292180.000000,24930400.000000,
2015-03-16,88.629997,88.879997,87.430000,88.059998,265900,0.000000,0.000000,81.639683,81.869965,80.534330,81.114639,82.054650,83.161668,,,81.542917,82.157424,-0.614507,-0.622145,0.007639,45.881078,82.054650,84.778061,79.331239,0.327420,2.151509,0.026524,0.000682,-0.029428,-0.021882,,,,0.254594,-0.067211,,,293550.000000,23415153.468200,
2015-03-17,88.139999,88.410004,87.099998,88.089996,284700,0.000000,0.000000,81.188332,81.437041,80.230357,81.142273,81.988328,83.148455,,,81.481267,82.080713,-0.599446,-0.617592,0.018146,45.996424,81.988328,84.733798,79.242858,0.345918,2.082444,0.025664,0.000341,0.006168,-0.009446,,,,0.251273,-0.066893,,,296365.000000,25079221.861200,
