Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,74.849998,75.239998,73.019997,73.839996,2052400,0.000000,0.000000,57.323887,57.622568,55.922380,56.550377,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,151549207.790400,
2015-01-05,73.370003,73.370003,70.320000,70.599998,8418500,0.000000,0.000000,56.190447,56.190447,53.854601,54.069038,,,,,,,,,,50.000000,,,,,,,-0.043878,,,,,,,-0.043878,,,,594346083.163000,
2015-01-06,71.900002,71.949997,69.230003,69.680000,3887700,0.000000,0.000000,55.064645,55.102934,53.019826,53.364456,,,,,,,,,,50.000000,,,,,,,-0.013031,,,,,,,-0.056338,,,,270894936.000000,
2015-01-07,69.830002,70.320000,69.230003,69.709999,2067900,0.000000,0.000000,53.479344,53.854609,53.019835,53.387440,,,,,,,,,,50.000000,,,,,,,0.000431,,,,,,,-0.055931,,,,144153306.932100,
2015-01-08,70.669998,72.900002,70.629997,72.839996,3016800,0.000000,0.000000,54.122644,55.830493,54.092010,55.784538,,,,,,,,,,50.000000,,,,,,,0.044900,,,,,,,-0.013543,,,,219743699.932800,
2015-01-09,72.800003,73.129997,71.720001,72.059998,1246000,0.000000,0.000000,55.753917,56.006643,54.926797,55.187183,,,,,,,,,,50.000000,,,,,,,-0.010708,-0.024106,,,,,,-0.024106,,,,89786757.508000,
2015-01-12,72.459999,73.559998,71.980003,72.900002,1423900,0.000000,0.000000,55.493518,56.335952,55.125913,55.830494,,,,,,,,,,50.000000,,,,,,,0.011657,0.032578,,,,,,-0.012730,,,,103802312.847800,
2015-01-13,73.360001,74.690002,73.029999,73.610001,1776300,0.000000,0.000000,56.182767,57.201349,55.930035,56.374229,,,,,,,,,,50.000000,,,,,,,0.009739,0.056400,,,,,,-0.003115,,,,130753444.776300,
2015-01-14,73.019997,73.470001,72.379997,72.970001,1205400,0.000000,0.000000,55.922395,56.267031,55.432251,55.884106,,,,,,,,,,50.000000,,,,,,,-0.008694,0.046765,,,,,,-0.011782,,,,87958039.205400,
2015-01-15,73.230003,73.519997,72.290001,72.510002,1142900,0.000000,0.000000,56.083228,56.305319,55.363327,55.531815,,,,,,,,,,50.000000,,,,,,,-0.006304,-0.004530,,,,,,-0.018012,,,,82871681.285800,
2015-01-16,72.510002,73.540001,72.000000,73.449997,840100,0.000000,0.000000,55.531806,56.320631,55.141221,56.251701,,,,,,,,,,50.000000,,,,,,,0.012963,0.019289,,,,,,-0.005282,,,,61705342.479700,
2015-01-20,73.650002,73.820000,72.330002,72.870003,1151900,0.000000,0.000000,56.404876,56.535070,55.393954,55.807514,,,,,55.612387,,,,,50.000000,,,,,,,-0.007896,-0.000412,,,,,,-0.013136,,,,83938956.455700,
2015-01-21,72.580002,73.489998,72.309998,72.820000,932900,0.000000,0.000000,55.585412,56.282333,55.378629,55.769215,,,,,55.639618,,,,,50.000000,,,,,,,-0.000686,-0.010732,,,,,,-0.013814,,,,67933778.000000,
2015-01-22,73.290001,74.900002,73.040001,74.730003,1132500,0.000000,0.000000,56.129165,57.362184,55.937702,57.231991,,,,,55.910749,,,,,50.000000,,,,,1.353777,0.023654,0.026229,0.024119,,,,,,0.000000,,,,84631728.397500,
2015-01-23,74.519997,74.879997,74.070000,74.120003,919700,0.000000,0.000000,57.071171,57.346877,56.726540,56.764835,,,,,56.053823,,,,,55.755766,,,,,1.275699,0.022473,-0.008162,0.022204,,,,,,-0.008162,,,,68168166.759100,
2015-01-26,73.830002,74.680000,73.519997,74.639999,707900,0.000000,0.000000,56.542756,57.193728,56.305339,57.163094,,,,,56.237139,,,,,58.424511,,,,,1.235863,0.021620,0.007016,0.016202,,,,,,-0.001204,,,,52837655.292100,
2015-01-27,73.760002,74.110001,73.010002,73.739998,1124300,0.000000,0.000000,56.489125,56.757171,55.914737,56.473804,,,,,56.275808,,,,,52.519851,,,,,1.237109,0.021906,-0.012058,0.011939,,,,,,-0.013248,,,,82905879.751400,
2015-01-28,74.089996,74.419998,72.870003,72.940002,992600,0.000000,0.000000,56.741853,56.994585,55.807520,55.861130,,,,,56.208693,,,,,47.887182,,,,,1.232256,0.022059,-0.010849,0.001648,,,,,,-0.023953,,,,72400245.985200,
2015-01-29,72.860001,73.379997,71.919998,73.309998,1591600,0.000000,0.000000,55.799870,56.198110,55.079969,56.144501,,,,,56.198386,,,,,50.080437,,,,,1.221465,0.021756,0.005073,-0.019001,,,,,,-0.019001,,,,116680192.816800,
2015-01-30,72.629997,73.110001,70.980003,71.220001,2436400,0.000000,0.000000,55.623723,55.991334,54.360074,54.543877,55.698767,,,,55.934505,,,,,39.872524,55.698767,57.903592,53.493942,0.238099,1.273495,0.023348,-0.028509,-0.039126,,,,,,-0.046969,,,1903385.000000,173520410.436400,
2015-02-02,72.010002,73.580002,71.690002,73.440002,4363700,0.000000,0.000000,55.148909,56.351294,54.903837,56.244076,55.683452,,,,55.983602,,,,,51.241351,55.683452,57.867527,53.499377,0.628344,1.321827,0.023502,0.031171,-0.016077,,,,,,-0.017262,,,2018950.000000,320470136.727400,
2015-02-03,74.639999,75.489998,73.250000,75.230003,9185900,0.000000,0.000000,57.163067,57.814038,56.098535,57.614922,55.860746,,,,56.241101,,,,,58.117548,55.860746,58.068577,53.652915,0.897262,1.356795,0.023549,0.024373,0.020206,0.018825,,,,0.322400,0.000000,,,2057320.000000,691055284.557700,
2015-02-04,72.000000,72.000000,67.110001,70.500000,10238700,0.000000,0.000000,55.141238,55.141238,51.396229,53.992462,55.892146,,,,55.887575,,,,,41.473281,55.892146,57.964179,53.820114,0.041589,1.781271,0.032991,-0.062874,-0.033452,-0.001416,,,,0.360270,-0.062874,,,2374870.000000,721828350.000000,
2015-02-05,70.650002,71.470001,70.360001,70.970001,3350800,0.000000,0.000000,54.107349,54.735346,53.885251,54.352421,55.940395,,,,55.647032,,,,,43.213627,55.940395,57.801006,54.079784,0.073265,1.701244,0.031300,0.006667,-0.031919,0.018514,,,,0.357621,-0.056626,,,2439015.000000,237806279.350800,
2015-02-06,71.199997,71.209999,70.339996,70.510002,2365800,0.000000,0.000000,54.528532,54.536192,53.869900,54.000099,55.851173,,,,55.389707,,,,,41.900308,55.851173,57.904420,53.797927,0.049232,1.613571,0.029881,-0.006482,-0.009970,0.011476,,,,0.358589,-0.062741,,,2406465.000000,166812562.731600,
2015-02-09,70.379997,70.589996,69.839996,70.500000,1914200,0.000000,0.000000,53.900558,54.061386,53.486998,53.992462,55.791437,,,,55.171917,55.453260,-0.281344,,,41.870603,55.791437,57.990370,53.592504,0.090944,1.526693,0.028276,-0.000141,-0.040033,-0.032125,,,,0.320722,-0.062874,,,2439875.000000,134951100.000000,
2015-02-10,70.900002,71.480003,70.360001,71.150002,1757600,0.000000,0.000000,54.298798,54.742993,53.885239,54.490261,55.724426,,,,55.065881,55.371719,-0.305838,,,44.626283,55.724426,57.998741,53.450110,0.228673,1.471441,0.027004,0.009220,-0.054234,-0.012628,,,,0.320829,-0.054234,,,2456560.000000,125053243.515200,
2015-02-11,71.239998,71.959999,71.169998,71.250000,1825300,0.000000,0.000000,54.559166,55.110579,54.505556,54.566826,55.634056,,,,54.988382,55.304280,-0.315898,,,45.057703,55.634056,57.943026,53.325085,0.268895,1.401917,0.025692,0.001405,0.010638,-0.022634,,,,0.317924,-0.052905,,,2459010.000000,130052625.000000,
2015-02-12,71.550003,72.129997,71.330002,71.830002,1415200,0.000000,0.000000,54.796599,55.240788,54.628111,55.011036,55.590402,,,,54.991895,55.279947,-0.288052,,,47.608078,55.590402,57.912443,53.268361,0.375246,1.343058,0.024414,0.008141,0.012117,-0.024181,,,,0.317298,-0.045195,,,2469500.000000,101653818.830400,
2015-02-13,72.089996,72.739998,71.930000,72.580002,1367000,0.000000,0.000000,55.210152,55.707956,55.087619,55.585423,55.593082,,,,55.083819,55.305072,-0.221252,,,50.789051,55.593082,57.914962,53.271203,0.498351,1.291303,0.023231,0.010441,0.029358,-0.005345,,,,0.318352,-0.035225,,,2480705.000000,99216862.734000,
2015-02-17,72.320000,72.470001,71.650002,71.809998,1005100,0.000000,0.000000,55.386286,55.501165,54.873168,54.995701,55.530282,,,,55.070186,55.279833,-0.209647,,,47.594017,55.530282,57.845089,53.215476,0.384530,1.245320,0.022644,-0.010609,0.018581,-0.009654,,,,0.319762,-0.045461,,,2488955.000000,72176228.989800,
2015-02-18,71.489998,72.400002,70.620003,71.379997,1243300,0.000000,0.000000,54.750645,55.447572,54.084359,54.666401,55.473227,,,,55.007767,55.230161,-0.222394,,,45.859173,55.473227,57.815353,53.131101,0.327758,1.254608,0.022950,-0.005988,0.003233,-0.028182,,,,0.316607,-0.051176,,,2493525.000000,88746750.270100,
2015-02-19,71.379997,72.389999,70.989998,71.839996,904000,0.000000,0.000000,54.666394,55.439904,54.367713,55.018684,55.435700,,,,55.009454,55.213155,-0.203701,,,48.041161,55.435700,57.781905,53.089495,0.411130,1.240341,0.022544,0.006444,0.008281,-0.014135,,,,0.316664,-0.045062,,,2492080.000000,64943356.384000,
2015-02-20,71.610001,72.599998,71.050003,72.500000,965700,0.000000,0.000000,54.842544,55.600735,54.413670,55.524151,55.350308,,,,55.088909,55.238007,-0.149098,-0.217351,0.068254,51.087201,55.350308,57.540360,53.160257,0.539689,1.236203,0.022264,0.009187,0.009327,-0.004394,,,,0.318427,-0.036289,,,2483740.000000,70013250.000000,
2015-02-23,72.529999,73.199997,72.349998,73.139999,885100,0.000000,0.000000,55.547121,56.060239,55.409267,56.014290,55.312781,,,,55.231688,55.299681,-0.067993,-0.183886,0.115894,53.908862,55.312781,57.425119,53.200443,0.666050,1.191024,0.021263,0.008827,0.007715,-0.021277,,,,0.305813,-0.027782,,,2482010.000000,64736213.114900,
2015-02-24,73.050003,74.000000,72.779999,73.980003,1181800,0.000000,0.000000,55.945378,56.672934,55.738595,56.657619,55.287507,,,,55.451599,55.406989,0.044611,-0.133893,0.178503,57.383863,55.287507,57.317105,53.257909,0.837533,1.171322,0.020674,0.011485,0.030219,-0.001889,,,,0.307457,-0.016616,,,2505705.000000,87429567.545400,
2015-02-25,74.160004,74.550003,73.480003,73.550003,1105600,0.000000,0.000000,56.795470,57.094151,56.274691,56.328300,55.280232,,,,55.586756,55.479435,0.107321,-0.082090,0.189411,55.093997,55.280232,57.292898,53.267566,0.760368,1.144458,0.020318,-0.005812,0.030401,-0.014604,,,,0.307028,-0.022331,,,2504770.000000,81316883.316800,
2015-02-26,73.620003,74.260002,73.150002,74.209999,1288200,0.000000,0.000000,56.381903,56.872047,56.021952,56.833752,55.328863,,,,55.778938,55.585446,0.193491,-0.023767,0.217259,57.872638,55.328863,57.444972,53.212755,0.855579,1.122094,0.019743,0.008973,0.032990,0.006374,,,,0.305709,-0.013558,,,2519550.000000,95597320.711800,
2015-02-27,74.099998,74.589996,73.760002,74.300003,1620500,0.000000,0.000000,56.749521,57.124786,56.489135,56.902695,55.366773,,,,55.952080,55.688125,0.263955,0.036424,0.227531,58.252091,55.366773,57.569787,53.163759,0.848596,1.085304,0.019073,0.001213,0.024828,0.018646,,,,0.302919,-0.012362,,,2520995.000000,120403154.861500,
2015-03-02,74.400002,74.459999,73.410004,73.599998,2058400,0.000000,0.000000,56.979267,57.025217,56.221077,56.366585,55.457908,,,,56.015930,55.740806,0.275124,0.085905,0.189219,54.166345,55.457908,57.668380,53.247436,0.705539,1.064128,0.018879,-0.009422,0.006289,0.003956,,,,0.304654,-0.021667,,,2502095.000000,151498235.883200,
2015-03-03,74.519997,75.209999,74.250000,74.669998,3108800,0.000000,0.000000,57.071164,57.599603,56.864387,57.186043,55.505007,,,,56.196138,55.852627,0.343512,0.138919,0.204593,58.910395,55.505007,57.823510,53.186504,0.862526,1.076799,0.018830,0.014538,0.009327,0.048441,,,,0.289355,-0.007444,,,2439350.000000,232134089.782400,
2015-03-04,74.160004,74.230003,73.730003,73.959999,1301100,0.380000,0.000000,57.085975,57.139859,56.754975,56.932018,55.470861,,,,56.309452,55.935867,0.373586,0.186933,0.186652,56.942790,55.470861,57.675866,53.265857,0.831327,1.028527,0.018066,-0.004442,0.010718,0.012231,,,,0.270445,-0.011853,,,2045110.000000,96229354.698900,
2015-03-05,74.010002,74.309998,73.599998,74.120003,932300,0.000000,0.000000,56.970516,57.201443,56.654908,57.055191,55.623998,,,,56.424269,56.021924,0.402344,0.230806,0.171539,57.680875,55.623998,57.822090,53.425906,0.825554,0.992616,0.017397,0.002164,0.003896,-0.009715,,,,0.256558,-0.009715,,,1579790.000000,69102078.796900,
