Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2019-06-12,15.875000,16.750000,14.000000,14.500000,77796800,0.000000,0.000000,15.875000,16.750000,14.000000,14.500000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,1128053600.000000,
2019-06-13,15.965000,17.417500,15.400000,16.889999,43695600,0.000000,0.000000,15.965000,17.417500,15.400000,16.889999,,,,,,,,,,50.000000,,,,,,,0.164828,,,,,,,0.000000,,,,738018640.304400,
2019-06-14,17.445000,17.697500,15.755000,16.040001,25056800,0.000000,0.000000,17.445000,17.697500,15.755000,16.040001,,,,,,,,,,50.000000,,,,,,,-0.050326,,,,,,,-0.050326,,,,401911097.056800,
2019-06-17,16.187500,17.502501,15.500000,17.502501,12990000,0.000000,0.000000,16.187500,17.502501,15.500000,17.502501,,,,,,,,,,50.000000,,,,,,,0.091178,,,,,,,0.000000,,,,227357487.990000,
2019-06-18,18.250000,19.674999,17.875000,19.125000,26450400,0.000000,0.000000,18.250000,19.674999,17.875000,19.125000,,,,,,,,,,50.000000,,,,,,,0.092701,,,,,,,0.000000,,,,505863900.000000,
2019-06-19,19.687500,19.947500,18.388750,19.305000,13276400,0.000000,0.000000,19.687500,19.947500,18.388750,19.305000,,,,,,,,,,50.000000,,,,,,,0.009412,0.331379,,,,,,0.000000,,,,256300902.000000,
2019-06-20,19.500000,19.555000,17.672501,18.712500,13718400,0.000000,0.000000,19.500000,19.555000,17.672501,18.712500,,,,,,,,,,50.000000,,,,,,,-0.030692,0.107904,,,,,,-0.030692,,,,256705560.000000,
2019-06-21,18.115000,18.482000,17.075001,18.057501,10630000,0.000000,0.000000,18.115000,18.482000,17.075001,18.057501,,,,,,,,,,50.000000,,,,,,,-0.035003,0.125779,,,,,,-0.064621,,,,191951235.630000,
2019-06-24,17.762501,18.097500,16.270000,16.992500,9792000,0.000000,0.000000,17.762501,18.097500,16.270000,16.992500,,,,,,,,,,50.000000,,,,,,,-0.058978,-0.029139,,,,,,-0.119788,,,,166390560.000000,
2019-06-25,16.775000,17.247499,15.292500,15.380000,9920800,0.000000,0.000000,16.775000,17.247499,15.292500,15.380000,,,,,,,,,,50.000000,,,,,,,-0.094895,-0.195817,,,,,,-0.203315,,,,152581904.000000,
2019-06-26,15.825000,16.230000,15.501250,15.662500,6502000,0.000000,0.000000,15.825000,16.230000,15.501250,15.662500,,,,,,,,,,50.000000,,,,,,,0.018368,-0.188682,,,,,,-0.188682,,,,101837575.000000,
2019-06-27,15.847500,16.248751,15.642750,15.820000,3658000,0.000000,0.000000,15.847500,16.248751,15.642750,15.820000,,,,,16.789236,,,,,50.000000,,,,,,,0.010056,-0.154576,,,,,,-0.180523,,,,57869560.000000,
2019-06-28,16.090000,17.094999,15.825000,17.072500,5897200,0.000000,0.000000,16.090000,17.094999,15.825000,17.072500,,,,,16.838421,,,,,50.000000,,,,,,,0.079172,-0.054548,,,,,,-0.115644,,,,100679947.000000,
2019-07-01,17.275000,17.432249,15.452500,15.800000,10683600,0.000000,0.000000,17.275000,17.432249,15.452500,15.800000,,,,,16.661611,,,,,50.000000,,,,,1.691631,0.107065,-0.074535,-0.070178,,,,,,-0.181559,,,,168800880.000000,
2019-07-02,15.825000,16.257500,15.430250,16.129999,6942400,0.000000,0.000000,15.825000,16.257500,15.430250,16.129999,,,,,16.572557,,,,,50.771572,,,,,1.599614,0.099170,0.020886,0.048765,,,,,,-0.164465,,,,111980905.057600,
2019-07-03,16.170000,16.870001,16.129999,16.809999,6256400,0.000000,0.000000,16.170000,16.870001,16.129999,16.809999,,,,,16.611796,,,,,54.800651,,,,,1.511201,0.089899,0.042157,0.073264,,,,,,-0.129241,,,,105170077.743600,
2019-07-05,16.787500,16.812500,16.209999,16.802500,3219600,0.000000,0.000000,16.787500,16.812500,16.209999,16.802500,,,,,16.642956,,,,,54.747436,,,,,1.420586,0.084546,-0.000446,0.062105,,,,,,-0.129630,,,,54097329.000000,
2019-07-08,17.065001,17.928749,16.725000,16.727501,18268800,0.000000,0.000000,17.065001,17.928749,16.725000,16.727501,,,,,16.656639,,,,,54.180768,,,,,1.399558,0.083668,-0.004464,-0.020208,,,,,,-0.133515,,,,305591370.268800,
2019-07-09,16.855000,17.299999,16.719999,17.112499,7130800,0.000000,0.000000,16.855000,17.299999,16.719999,17.112499,,,,,16.729834,,,,,56.660673,,,,,1.322061,0.077257,0.023016,0.083070,,,,,,-0.113572,,,,122025807.869200,
2019-07-10,17.500000,18.625000,17.375000,18.584999,10877200,0.000000,0.000000,17.500000,18.625000,17.375000,18.584999,16.951375,,,,17.025718,,,,,64.561076,16.951375,19.544917,14.357833,0.814941,1.339662,0.072083,0.086048,0.152201,,,,,,-0.037296,,,16138160.000000,202152751.122800,
2019-07-11,18.625000,18.745001,17.625000,17.719999,9407200,0.000000,0.000000,18.625000,18.745001,17.625000,17.719999,17.112375,,,,17.135828,,,,,57.885588,17.112375,19.452587,14.772163,0.629822,1.319778,0.074480,-0.046543,0.054134,,,,,,-0.082103,,,12718680.000000,166695574.592800,
2019-07-12,17.900000,18.799999,17.625000,18.375000,7353200,0.000000,0.000000,17.900000,18.799999,17.625000,18.375000,17.186625,,,,17.331427,,,,,61.160477,17.186625,19.590496,14.782754,0.747179,1.306918,0.071125,0.036964,0.093587,0.267241,,,,1.026365,-0.048174,,,10901560.000000,135115050.000000,
2019-07-15,18.500000,18.573750,17.850000,17.900000,5300400,0.000000,0.000000,18.500000,18.573750,17.850000,17.900000,17.279625,,,,17.420817,,,,,57.658863,17.279625,19.640245,14.919005,0.631401,1.256003,0.070168,-0.025850,0.070094,0.059799,,,,0.872656,-0.072779,,,9913740.000000,94877160.000000,
