Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,27.860001,28.120001,27.379999,27.610001,22926500,0.190000,0.000000,19.707699,19.891619,19.368154,19.530853,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,633000687.926500,
2015-01-05,27.320000,27.450001,27.000000,27.059999,29460600,0.000000,0.000000,19.325704,19.417665,19.099342,19.141785,,,,,,,,,,50.000000,,,,,,,-0.019921,,,,,,,-0.019921,,,,797203806.539400,
2015-01-06,27.139999,27.680000,27.040001,27.049999,47297600,0.000000,0.000000,19.198379,19.580366,19.127641,19.134714,,,,,,,,,,50.000000,,,,,,,-0.000369,,,,,,,-0.020283,,,,1279400032.702400,
2015-01-07,27.139999,27.400000,26.980000,27.299999,27570800,0.000000,0.000000,19.198382,19.382302,19.085201,19.311563,,,,,,,,,,50.000000,,,,,,,0.009242,,,,,,,-0.011228,,,,752682812.429200,
2015-01-08,27.540001,28.090000,27.469999,27.510000,40907000,0.000000,0.000000,19.481336,19.870396,19.431818,19.460114,,,,,,,,,,50.000000,,,,,,,0.007692,,,,,,,-0.003622,,,,1125351570.000000,
2015-01-09,27.670000,28.070000,27.450001,27.790001,33619600,0.000000,0.000000,19.573292,19.856245,19.417668,19.658178,,,,,,,,,,50.000000,,,,,,,0.010178,0.006519,,,,,,0.000000,,,,934288717.619600,
2015-01-12,28.000000,28.200001,27.820000,28.049999,38648400,0.000000,0.000000,19.806728,19.948205,19.679399,19.842096,,,,,,,,,,50.000000,,,,,,,0.009356,0.036585,,,,,,0.000000,,,,1084087581.351600,
2015-01-13,28.209999,28.700001,27.900000,28.100000,36074200,0.000000,0.000000,19.955277,20.301896,19.735989,19.877466,,,,,,,,,,50.000000,,,,,,,0.001783,0.038817,,,,,,0.000000,,,,1013685020.000000,
2015-01-14,27.840000,28.049999,27.639999,27.920000,29494400,0.000000,0.000000,19.693549,19.842098,19.552071,19.750139,,,,,,,,,,50.000000,,,,,,,-0.006406,0.022711,,,,,,-0.006406,,,,823483648.000000,
2015-01-15,28.090000,28.200001,27.350000,27.410000,29521100,0.000000,0.000000,19.870393,19.948205,19.346929,19.389372,,,,,,,,,,50.000000,,,,,,,-0.018267,-0.003635,,,,,,-0.024555,,,,809173351.000000,
2015-01-16,27.360001,27.770000,27.209999,27.680000,26655100,0.000000,0.000000,19.354006,19.644033,19.247897,19.580368,,,,,,,,,,50.000000,,,,,,,0.009851,-0.003958,,,,,,-0.014946,,,,737813168.000000,
2015-01-20,27.760000,28.270000,27.660000,28.070000,33684200,0.000000,0.000000,19.636960,19.997726,19.566222,19.856249,,,,,19.622842,,,,,50.000000,,,,,,,0.014090,0.000713,,,,,,-0.001067,,,,945515494.000000,
2015-01-21,28.059999,28.190001,27.700001,27.840000,29298500,0.000000,0.000000,19.849170,19.941131,19.594513,19.693546,,,,,19.635119,,,,,50.000000,,,,,,,-0.008194,-0.009253,,,,,,-0.009253,,,,815670240.000000,
2015-01-22,27.549999,28.510000,27.219999,28.500000,49494700,0.000000,0.000000,19.488405,20.167493,19.254969,20.160419,,,,,19.724561,,,,,50.000000,,,,,0.484437,0.024029,0.023707,0.020774,,,,,,0.000000,,,,1410598950.000000,
2015-01-23,28.360001,28.500000,28.139999,28.209999,21802500,0.000000,0.000000,20.061389,20.160422,19.905764,19.955280,,,,,19.763210,,,,,58.570552,,,,,0.459976,0.023050,-0.010175,0.029187,,,,,,-0.010175,,,,615048503.197500,
2015-01-26,28.219999,28.230000,27.700001,27.969999,18370100,0.000000,0.000000,19.962347,19.969421,19.594509,19.785501,,,,,19.766894,,,,,53.658556,,,,,0.451227,0.022806,-0.008508,0.010476,,,,,,-0.018597,,,,513811678.629900,
2015-01-27,27.520000,27.590000,26.660000,26.900000,46110500,0.000000,0.000000,19.467187,19.516703,18.858837,19.028608,,,,,19.646263,,,,,38.255478,,,,,0.498637,0.026205,-0.038255,-0.041682,,,,,,-0.056140,,,,1240372450.000000,
2015-01-28,27.389999,27.600000,26.799999,26.809999,32381700,0.000000,0.000000,19.375219,19.523770,18.957863,18.964937,,,,,19.535992,,,,,37.285851,,,,,0.505161,0.026637,-0.003346,-0.036997,,,,,,-0.059298,,,,868153344.618300,
2015-01-29,26.740000,27.309999,26.639999,27.219999,28095400,0.000000,0.000000,18.915429,19.318637,18.844690,19.254972,,,,,19.490870,,,,,44.221273,,,,,0.502209,0.026082,0.015293,-0.044912,,,,,,-0.044912,,,,764756759.904600,
2015-01-30,26.879999,27.110001,26.320000,26.370001,38419100,0.000000,0.000000,19.014454,19.177154,18.618320,18.653690,19.501493,,,,19.357347,,,,,35.464992,19.501493,20.274682,18.728303,-0.048250,0.514635,0.027589,-0.031227,-0.065225,,,,,,-0.074737,,,32991600.000000,1013111705.419100,
2015-02-02,26.389999,26.870001,25.920000,26.830000,29417000,0.000000,0.000000,18.667845,19.007390,18.335375,18.979094,19.473905,,,,19.297357,,,,,42.141991,19.473905,20.281301,18.666508,0.193576,0.528881,0.027867,0.017444,-0.040757,,,,,,-0.058596,,,33316125.000000,789258110.000000,
2015-02-03,26.900000,27.120001,26.690001,27.120001,28044300,0.000000,0.000000,19.028611,19.184237,18.880061,19.184237,19.476027,,,,19.279502,,,,,45.939383,19.476027,20.279963,18.672091,0.318524,0.508921,0.026528,0.010809,0.008179,-0.017747,,,,0.258539,-0.048421,,,33245310.000000,760561444.044300,
2015-02-04,27.059999,27.219999,26.610001,26.690001,27696300,0.000000,0.000000,19.141791,19.254972,18.823470,18.880060,19.463294,,,,19.216702,,,,,41.581492,19.463294,20.297488,18.629101,0.150420,0.502162,0.026597,-0.015856,-0.004475,-0.013673,,,,0.255097,-0.063509,,,32265245.000000,739214274.696300,
2015-02-05,26.750000,27.299999,26.580000,27.260000,20548400,0.000000,0.000000,18.922504,19.311565,18.802249,19.283270,19.461880,,,,19.227133,,,,,48.548960,19.461880,20.297252,18.626508,0.393096,0.502777,0.026073,0.021356,0.001470,0.007764,,,,0.266134,-0.043508,,,31914125.000000,560149384.000000,
