Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,19.727501,19.775000,19.392500,19.612499,1822000,0.000000,0.000000,17.495685,17.537810,17.198584,17.393694,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,35733973.178000,
2015-01-05,19.537500,19.612499,19.212500,19.254999,3243200,0.000000,0.000000,17.327171,17.393685,17.038938,17.076630,,,,,,,,,,50.000000,,,,,,,-0.018229,,,,,,,-0.018229,,,,62447812.756800,
2015-01-06,19.372499,19.424999,18.975000,19.217501,4724000,0.000000,0.000000,17.180844,17.227405,16.828315,17.043381,,,,,,,,,,50.000000,,,,,,,-0.001947,,,,,,,-0.020140,,,,90783474.724000,
2015-01-07,19.410000,19.412500,19.077499,19.117500,3350000,0.000000,0.000000,17.214103,17.216321,16.919219,16.954695,,,,,,,,,,50.000000,,,,,,,-0.005204,,,,,,,-0.025239,,,,64043625.000000,
2015-01-08,19.365000,19.507500,19.250000,19.432501,3518800,0.000000,0.000000,17.174196,17.300574,17.072206,17.234060,,,,,,,,,,50.000000,,,,,,,0.016477,,,,,,,-0.009178,,,,68379084.518800,
2015-01-09,19.487499,19.492500,19.190001,19.280001,3018000,0.000000,0.000000,17.282836,17.287271,17.018994,17.098812,,,,,,,,,,50.000000,,,,,,,-0.007848,-0.016953,,,,,,-0.016953,,,,58187043.018000,
2015-01-12,19.262501,19.377501,18.975000,19.157499,2419600,0.000000,0.000000,17.083288,17.185278,16.828313,16.990166,,,,,,,,,,50.000000,,,,,,,-0.006354,-0.005063,,,,,,-0.023200,,,,46353484.580400,
2015-01-13,19.327499,19.510000,19.195000,19.377501,5664000,0.000000,0.000000,17.140934,17.302788,17.023424,17.185278,,,,,,,,,,50.000000,,,,,,,0.011484,0.008326,,,,,,-0.011982,,,,109754165.664000,
2015-01-14,19.330000,19.432501,19.270000,19.392500,6072800,0.000000,0.000000,17.143154,17.234059,17.089943,17.198584,,,,,,,,,,50.000000,,,,,,,0.000774,0.014385,,,,,,-0.011217,,,,117766774.000000,
2015-01-15,19.452499,19.565001,19.327499,19.415001,5084000,0.000000,0.000000,17.251793,17.351566,17.140934,17.218536,,,,,,,,,,50.000000,,,,,,,0.001160,-0.000901,,,,,,-0.010070,,,,98705865.084000,
2015-01-16,19.440001,19.737499,19.422501,19.732500,4970400,0.000000,0.000000,17.240710,17.504552,17.225190,17.500118,,,,,,,,,,50.000000,,,,,,,0.016353,0.023470,,,,,,0.000000,,,,98078418.000000,
2015-01-20,19.737499,19.809999,19.565001,19.697500,3750400,0.000000,0.000000,17.504550,17.568848,17.351566,17.469076,,,,,17.256655,,,,,50.000000,,,,,,,-0.001774,0.028187,,,,,,-0.001774,,,,73873504.000000,
2015-01-21,19.629999,19.882500,19.592501,19.862499,3124800,0.000000,0.000000,17.409211,17.633146,17.375955,17.615408,,,,,17.318948,,,,,50.000000,,,,,,,0.008377,0.025029,,,,,,0.000000,,,,62066336.875200,
2015-01-22,19.920000,19.985001,19.719999,19.957500,7003600,0.000000,0.000000,17.666401,17.724048,17.489027,17.699659,,,,,17.383771,,,,,50.000000,,,,,0.274185,0.015491,0.004783,0.029135,,,,,,0.000000,,,,139774347.000000,
