Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,13.905000,14.152500,13.555000,13.627500,1607600,0.000000,0.000000,13.905000,14.152500,13.555000,13.627500,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,21907569.000000,
2015-01-05,13.522500,14.020000,13.522500,13.865000,2171200,0.000000,0.000000,13.522500,14.020000,13.522500,13.865000,,,,,,,,,,50.000000,,,,,,,0.017428,,,,,,,0.000000,,,,30103688.000000,
2015-01-06,13.800000,13.947500,13.475000,13.552500,3276400,0.000000,0.000000,13.800000,13.947500,13.475000,13.552500,,,,,,,,,,50.000000,,,,,,,-0.022539,,,,,,,-0.022539,,,,44403411.000000,
2015-01-07,13.657500,13.902500,13.325000,13.900000,2671600,0.000000,0.000000,13.657500,13.902500,13.325000,13.900000,,,,,,,,,,50.000000,,,,,,,0.025641,,,,,,,0.000000,,,,37135240.000000,
2015-01-08,14.060000,14.657500,13.900000,14.592500,3654000,0.000000,0.000000,14.060000,14.657500,13.900000,14.592500,,,,,,,,,,50.000000,,,,,,,0.049820,,,,,,,0.000000,,,,53320995.000000,
2015-01-09,14.632500,14.732500,14.357500,14.547500,2166400,0.000000,0.000000,14.632500,14.732500,14.357500,14.547500,,,,,,,,,,50.000000,,,,,,,-0.003084,0.067511,,,,,,-0.003084,,,,31515704.000000,
2015-01-12,14.607500,14.870000,14.605000,14.757500,3280000,0.000000,0.000000,14.607500,14.870000,14.605000,14.757500,,,,,,,,,,50.000000,,,,,,,0.014435,0.064371,,,,,,0.000000,,,,48404600.000000,
2015-01-13,15.127500,15.712500,14.787500,14.997500,4133200,0.000000,0.000000,15.127500,15.712500,14.787500,14.997500,,,,,,,,,,50.000000,,,,,,,0.016263,0.106622,,,,,,0.000000,,,,61987667.000000,
2015-01-14,14.875000,15.135000,14.700000,14.785000,2617600,0.000000,0.000000,14.875000,15.135000,14.700000,14.785000,,,,,,,,,,50.000000,,,,,,,-0.014169,0.063669,,,,,,-0.014169,,,,38701216.000000,
2015-01-15,14.862500,14.905000,14.232500,14.355000,2220400,0.000000,0.000000,14.862500,14.905000,14.232500,14.355000,,,,,,,,,,50.000000,,,,,,,-0.029084,-0.016275,,,,,,-0.042840,,,,31873842.000000,
2015-01-16,14.330000,14.760000,14.140000,14.742500,1636800,0.000000,0.000000,14.330000,14.760000,14.140000,14.742500,,,,,,,,,,50.000000,,,,,,,0.026994,0.013404,,,,,,-0.017003,,,,24130524.000000,
2015-01-20,14.820000,14.820000,14.160000,14.375000,3185200,0.000000,0.000000,14.820000,14.820000,14.160000,14.375000,,,,,14.488478,,,,,50.000000,,,,,,,-0.024928,-0.025919,,,,,,-0.041507,,,,45787250.000000,
2015-01-21,14.315000,14.457500,13.987500,14.060000,1919200,0.000000,0.000000,14.315000,14.457500,13.987500,14.060000,,,,,14.414078,,,,,50.000000,,,,,,,-0.021913,-0.062510,,,,,,-0.062510,,,,26983952.000000,
2015-01-22,14.202500,14.527500,13.982500,14.527500,2368800,0.000000,0.000000,14.202500,14.527500,13.982500,14.527500,,,,,14.433390,,,,,50.000000,,,,,0.571310,0.039326,0.033250,-0.017416,,,,,,-0.031339,,,,34412742.000000,
2015-01-23,14.487500,14.690000,14.282500,14.485000,1750000,0.000000,0.000000,14.487500,14.690000,14.282500,14.485000,,,,,14.442036,,,,,56.597240,,,,,0.553871,0.038238,-0.002925,0.009056,,,,,,-0.034172,,,,25348750.000000,
2015-01-26,14.697500,15.702500,14.645000,15.695000,5552400,0.000000,0.000000,14.697500,15.702500,14.645000,15.695000,,,,,14.649098,,,,,70.556379,,,,,0.622127,0.039639,0.083535,0.064609,,,,,,0.000000,,,,87144918.000000,
2015-01-27,15.567500,15.890000,15.455000,15.580000,3222000,0.000000,0.000000,15.567500,15.890000,15.455000,15.580000,,,,,14.801201,,,,,68.307797,,,,,0.603467,0.038733,-0.007327,0.083826,,,,,,-0.007327,,,,50198760.000000,
2015-01-28,15.720000,15.857500,15.090000,15.147500,3176800,0.000000,0.000000,15.720000,15.857500,15.090000,15.147500,,,,,14.857249,,,,,60.498850,,,,,0.619374,0.040890,-0.027760,0.077347,,,,,,-0.034884,,,,48120578.000000,
