Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,60.849998,60.849998,59.610001,59.730000,27900,0.000000,0.000000,53.211398,53.211398,52.127059,52.231995,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,1666467.000000,
2015-01-05,62.790001,62.830002,62.290001,62.549999,36600,0.000000,0.000000,54.907868,54.942848,54.470634,54.697994,,,,,,,,,,50.000000,,,,,,,0.047212,,,,,,,0.000000,,,,2289329.963400,
2015-01-06,62.439999,62.450001,60.750000,60.869999,39700,0.000000,0.000000,54.601805,54.610551,53.123954,53.228889,,,,,,,,,,50.000000,,,,,,,-0.026858,,,,,,,-0.026858,,,,2416538.960300,
2015-01-07,61.200001,61.290001,60.299999,60.439999,33600,0.000000,0.000000,53.517465,53.596167,52.730442,52.852867,,,,,,,,,,50.000000,,,,,,,-0.007064,,,,,,,-0.033733,,,,2030783.966400,
2015-01-08,60.560001,60.810001,59.910000,60.740002,29600,0.000000,0.000000,52.957815,53.176432,52.389409,53.115219,,,,,,,,,,50.000000,,,,,,,0.004964,,,,,,,-0.028937,,,,1797904.059200,
2015-01-09,60.830002,61.070000,60.060001,60.919998,32500,0.000000,0.000000,53.193918,53.403789,52.520577,53.272617,,,,,,,,,,50.000000,,,,,,,0.002963,0.019923,,,,,,-0.026059,,,,1979899.935000,
2015-01-12,61.860001,62.209999,61.500000,61.799999,22500,0.000000,0.000000,54.094610,54.400673,53.779801,54.042141,,,,,,,,,,50.000000,,,,,,,0.014445,-0.011990,,,,,,-0.011990,,,,1390499.977500,
2015-01-13,61.650002,61.689999,60.750000,61.119999,18600,0.000000,0.000000,53.910980,53.945957,53.123957,53.447510,,,,,,,,,,50.000000,,,,,,,-0.011003,0.004107,,,,,,-0.022862,,,,1136831.981400,
2015-01-14,63.049999,63.389999,62.299999,62.689999,53700,0.000000,0.000000,55.135236,55.432556,54.479385,54.820427,,,,,,,,,,50.000000,,,,,,,0.025687,0.037227,,,,,,0.000000,,,,3366452.946300,
2015-01-15,63.299999,63.299999,62.060001,62.730000,22000,0.000000,0.000000,55.353854,55.353854,54.269515,54.855408,,,,,,,,,,50.000000,,,,,,,0.000638,0.032763,,,,,,0.000000,,,,1380060.000000,
2015-01-16,62.389999,62.430000,62.139999,62.299999,18200,0.000000,0.000000,54.558080,54.593060,54.339463,54.479378,,,,,,,,,,50.000000,,,,,,,-0.006855,0.022653,,,,,,-0.006855,,,,1133859.981800,
2015-01-20,63.450001,63.490002,62.599998,62.660000,36000,0.000000,0.000000,55.485016,55.519996,54.741716,54.794186,,,,,54.156385,,,,,50.000000,,,,,,,0.005778,0.013916,,,,,,-0.001116,,,,2255760.000000,
2015-01-21,62.560001,62.959999,62.189999,62.369999,13200,0.000000,0.000000,54.706751,55.056536,54.383195,54.540600,,,,,54.223099,,,,,50.000000,,,,,,,-0.004628,0.020452,,,,,,-0.005739,,,,823283.986800,
2015-01-22,62.500000,62.779999,62.250000,62.740002,26000,0.000000,0.000000,54.654289,54.899139,54.435671,54.864162,,,,,54.332252,,,,,50.000000,,,,,1.036016,0.018883,0.005932,0.000798,,,,,,0.000000,,,,1631240.052000,
2015-01-23,62.650002,62.650002,61.770000,61.770000,10600,0.000000,0.000000,54.785452,54.785452,54.015919,54.015919,,,,,54.279260,,,,,55.076677,,,,,1.016026,0.018810,-0.015461,-0.015304,,,,,,-0.015461,,,,654762.000000,
2015-01-26,61.189999,61.810001,60.759998,60.900002,13000,0.000000,0.000000,53.508724,54.050897,53.132702,53.255131,,,,,54.110015,,,,,47.935311,,,,,1.005964,0.018890,-0.014085,-0.022472,,,,,,-0.029328,,,,791700.026000,
2015-01-27,61.209999,61.810001,60.889999,61.250000,7100,0.000000,0.000000,53.526197,54.050880,53.246367,53.561176,,,,,54.020338,,,,,50.704347,,,,,0.985876,0.018407,0.005747,-0.022503,,,,,,-0.023749,,,,434875.000000,
2015-01-28,61.490002,61.590000,60.779999,60.950001,14000,0.000000,0.000000,53.771072,53.858518,53.150197,53.298859,,,,,53.903568,,,,,48.331648,,,,,0.958960,0.017992,-0.004898,-0.022767,,,,,,-0.028531,,,,853300.014000,
2015-01-29,61.520000,61.869999,61.150002,61.680000,16100,0.000000,0.000000,53.797299,54.103362,53.473747,53.937214,,,,,53.908971,,,,,53.975864,,,,,0.944354,0.017508,0.011977,-0.016895,,,,,,-0.016895,,,,993048.000000,
2015-01-30,61.619999,61.980000,61.099998,61.730000,4200,0.000000,0.000000,53.884742,54.199551,53.430018,53.980934,53.864631,,,,53.920448,,,,,54.343723,53.864631,55.408649,52.320614,0.537662,0.928197,0.017195,0.000811,-0.000648,,,,,,-0.016098,,,23755.000000,259266.000000,
2015-02-02,62.320000,62.389999,62.139999,62.389999,13700,0.000000,0.000000,54.496874,54.558086,54.339469,54.558086,53.980936,,,,54.021575,,,,,59.002275,53.980936,55.347360,52.614512,0.711190,0.896420,0.016431,0.010692,0.024466,,,,,,-0.005579,,,23045.000000,854742.986300,
2015-02-03,62.750000,63.750000,62.750000,63.750000,12200,0.000000,0.000000,54.872888,55.747356,54.872888,55.747356,54.033404,,,,54.293984,,,,,66.571370,54.033404,55.583942,52.482866,1.052696,0.922432,0.016547,0.021798,0.040817,0.067303,,,,0.255225,0.000000,,,21825.000000,777750.000000,
2015-02-04,63.389999,63.590000,62.900002,63.090000,5700,0.000000,0.000000,55.432567,55.607461,55.004079,55.170227,54.130471,,,,54.431745,,,,,60.713416,54.130471,55.711709,52.549233,0.828779,0.906791,0.016436,-0.010353,0.035111,0.008633,,,,0.202730,-0.010353,,,20125.000000,359613.000000,
2015-02-05,63.750000,64.000000,63.270000,63.740002,10800,0.000000,0.000000,55.747364,55.965981,55.327620,55.738621,54.274759,,,,54.636519,,,,,64.067028,54.274759,55.891382,52.658136,0.952753,0.897248,0.016097,0.010303,0.033398,0.047150,,,,0.179061,-0.000157,,,18985.000000,688392.021600,
2015-02-06,62.980000,63.220001,62.119999,62.880001,5300,0.000000,0.000000,55.074022,55.283895,54.321978,54.986576,54.368326,,,,54.691214,,,,,57.119475,54.368326,55.917590,52.819063,0.699530,0.941247,0.017118,-0.013492,0.018630,0.040371,,,,0.184576,-0.013647,,,17770.000000,333264.005300,
2015-02-09,62.500000,62.740002,62.419998,62.660000,6500,0.000000,0.000000,54.654271,54.864145,54.584312,54.794186,54.444405,,,,54.707264,54.453146,0.254117,,,55.462485,54.444405,55.914532,52.974277,0.618963,0.896187,0.016356,-0.003499,0.004327,0.031610,,,,0.185163,-0.017098,,,16470.000000,407290.000000,
2015-02-10,63.279999,63.490002,62.849998,63.450001,5400,0.000000,0.000000,55.336347,55.519988,54.960325,55.485008,54.516548,,,,54.828247,54.540518,0.287728,,,59.954655,54.516548,56.044050,52.989046,0.817008,0.882114,0.015898,0.012608,-0.004706,0.041530,,,,0.189065,-0.004706,,,15615.000000,342630.005400,
2015-02-11,62.990002,62.990002,62.200001,62.270000,11300,0.000000,0.000000,55.082762,55.082762,54.391932,54.453144,54.566830,,,,54.769997,54.533198,0.236799,,,51.585215,54.566830,56.010044,53.123616,0.460614,0.899346,0.016516,-0.018597,-0.012998,0.007605,,,,0.196189,-0.023216,,,15250.000000,703651.000000,
2015-02-12,61.849998,61.860001,61.290001,61.639999,10300,0.000000,0.000000,54.085871,54.094617,53.596171,53.902233,54.520920,,,,54.635436,54.480840,0.154595,,,47.752445,54.520920,55.988380,53.053460,0.289198,0.895920,0.016621,-0.010117,-0.032946,0.008508,,,,0.195561,-0.033098,,,13080.000000,634891.989700,
2015-02-13,61.599998,62.590000,61.599998,61.810001,8000,0.000000,0.000000,53.867251,54.732976,53.867251,54.050892,54.480694,,,,54.544903,54.445478,0.099425,,,48.856703,54.480694,55.953645,53.007744,0.354102,0.893502,0.016531,0.002758,-0.017017,-0.014037,,,,0.173163,-0.030431,,,12380.000000,494480.008000,
2015-02-17,63.150002,63.970001,62.930000,63.950001,12700,0.000000,0.000000,55.222679,55.939742,55.030295,55.922253,54.552838,,,,54.758004,54.565954,0.192049,,,60.246809,54.552838,56.160682,52.944995,0.925855,0.972544,0.017391,0.034622,0.020587,0.019448,,,,0.211940,0.000000,,,12105.000000,812165.012700,
2015-02-18,62.910000,63.430000,62.910000,63.189999,5800,0.000000,0.000000,55.012806,55.467530,55.012806,55.257656,54.576012,,,,54.835242,54.621964,0.213278,,,55.517934,54.576012,56.211621,52.940402,0.708376,0.967573,0.017510,-0.011884,-0.004098,0.014286,,,,0.214984,-0.011884,,,10595.000000,366501.994200,
2015-02-19,63.490002,64.099998,63.490002,64.099998,10600,0.000000,0.000000,55.520002,56.053425,55.520002,56.053425,54.651653,,,,55.023414,54.737079,0.286335,,,59.606308,54.651653,56.415283,52.888023,0.897411,0.954136,0.017022,0.014401,0.029388,0.022981,,,,0.219545,0.000000,,,10465.000000,679459.978800,
2015-02-20,64.099998,64.290001,63.820000,64.290001,6600,0.000000,0.000000,56.053423,56.219574,55.808573,56.219574,54.719424,,,,55.208069,54.855547,0.352522,0.247834,0.104688,60.424191,54.719424,56.616552,52.822295,0.895374,0.911945,0.016221,0.002964,0.042992,0.030784,,,,0.218591,0.000000,,,9495.000000,424314.006600,
2015-02-23,64.300003,64.940002,64.099998,64.709999,13500,0.000000,0.000000,56.228305,56.787965,56.053408,56.586834,54.847969,,,,55.420801,54.993093,0.427708,0.288136,0.139572,62.243992,54.847969,56.887450,52.808488,0.926301,0.898251,0.015874,0.006533,0.046918,0.031399,,,,0.218753,0.000000,,,9640.000000,873584.986500,
2015-02-24,64.519997,64.940002,64.290001,64.830002,8400,0.000000,0.000000,56.420706,56.787987,56.219582,56.691795,55.019802,,,,55.616818,55.127330,0.489488,0.332191,0.157298,62.770877,55.019802,57.073275,52.966330,0.907113,0.872934,0.015398,0.001855,0.013761,0.049539,,,,0.209815,0.000000,,,9410.000000,544572.016800,
2015-02-25,64.169998,64.750000,64.150002,64.190002,18300,0.000000,0.000000,56.114652,56.621845,56.097165,56.132145,55.148351,,,,55.696263,55.206342,0.489921,0.366064,0.123857,58.114108,55.148351,57.138262,53.158440,0.747196,0.851686,0.015173,-0.009872,0.015826,0.054023,,,,0.206123,-0.009872,,,9970.000000,1174677.036600,
2015-02-26,64.089996,64.160004,63.720001,63.720001,18800,0.000000,0.000000,56.044672,56.105891,55.721123,55.721123,55.269464,,,,55.700095,55.246637,0.453457,0.384560,0.068897,54.893200,55.269464,57.071385,53.467543,0.625327,0.818206,0.014684,-0.007322,-0.005928,0.040327,,,,0.208557,-0.017122,,,10210.000000,1197936.018800,
2015-02-27,63.860001,64.290001,63.730000,64.290001,13700,0.000000,0.000000,55.843552,56.219574,55.729870,56.219574,55.383582,,,,55.780133,55.322477,0.457656,0.399852,0.057804,57.937804,55.383582,57.118076,53.649088,0.740990,0.794023,0.014124,0.008945,0.000000,0.054799,,,,0.208330,-0.008330,,,10090.000000,880773.013700,
2015-03-02,64.699997,64.820000,64.339996,64.449997,22400,0.000000,0.000000,56.578107,56.683045,56.263297,56.359489,55.502510,,,,55.869376,55.402999,0.466377,0.413642,0.052735,58.778879,55.502510,57.156362,53.848658,0.759086,0.769128,0.013647,0.002489,-0.004018,0.044909,,,,0.205537,-0.005862,,,11000.000000,1443679.932800,
