Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,60.049999,61.509998,58.740002,59.930000,1023200,0.000000,0.000000,45.656058,46.766097,44.660066,45.564823,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,61320376.000000,
2015-01-05,59.200001,59.590000,55.869999,57.279999,1421500,0.000000,0.000000,45.009801,45.306318,42.477998,43.550022,,,,,,,,,,50.000000,,,,,,,-0.044218,,,,,,,-0.044218,,,,81423518.578500,
2015-01-06,56.720001,58.189999,55.529999,57.369999,1394500,0.000000,0.000000,43.124253,44.241893,42.219493,43.618446,,,,,,,,,,50.000000,,,,,,,0.001571,,,,,,,-0.042717,,,,80002463.605500,
2015-01-07,58.400002,60.029999,57.180000,58.250000,1197000,0.000000,0.000000,44.401560,45.640848,43.473992,44.287514,,,,,,,,,,50.000000,,,,,,,0.015339,,,,,,,-0.028033,,,,69725250.000000,
2015-01-08,58.740002,61.330002,57.709999,61.090000,1217300,0.000000,0.000000,44.660053,46.629232,43.876942,46.446758,,,,,,,,,,50.000000,,,,,,,0.048755,,,,,,,0.000000,,,,74364857.000000,
2015-01-09,61.259998,62.389999,60.080002,61.840000,858200,0.000000,0.000000,46.576007,47.435148,45.678855,47.016983,,,,,,,,,,50.000000,,,,,,,0.012277,0.031870,,,,,,0.000000,,,,53071088.000000,
2015-01-12,60.669998,61.310001,57.790001,59.470001,1168200,0.000000,0.000000,46.127443,46.614037,43.937779,45.215084,,,,,,,,,,50.000000,,,,,,,-0.038324,0.038233,,,,,,-0.038324,,,,69472855.168200,
2015-01-13,60.040001,61.590000,59.419998,61.240002,927900,0.000000,0.000000,45.648449,46.826914,45.177060,46.560810,,,,,,,,,,50.000000,,,,,,,0.029763,0.067457,,,,,,-0.009702,,,,56824597.855800,
2015-01-14,61.490002,66.000000,61.299999,65.300003,2873500,0.000000,0.000000,46.750879,50.179833,46.606420,49.647625,,,,,,,,,,50.000000,,,,,,,0.066296,0.121030,,,,,,0.000000,,,,187639558.620500,
2015-01-15,66.449997,67.300003,63.279999,63.450001,2094200,0.000000,0.000000,50.521988,51.168249,48.111836,48.241089,,,,,,,,,,50.000000,,,,,,,-0.028330,0.038632,,,,,,-0.028330,,,,132876992.094200,
2015-01-16,64.199997,66.720001,64.000000,65.629997,2162800,0.000000,0.000000,48.811291,50.727252,48.659234,49.898521,,,,,,,,,,50.000000,,,,,,,0.034357,0.061287,,,,,,0.000000,,,,141944557.511600,
2015-01-20,64.349998,65.790001,61.910000,62.810001,1837700,0.000000,0.000000,48.925347,50.020182,47.070214,47.754486,,,,,47.389813,,,,,50.000000,,,,,,,-0.042968,0.056163,,,,,,-0.042968,,,,115425938.837700,
2015-01-21,61.970001,68.900002,61.520000,68.540001,2502400,0.000000,0.000000,47.115829,52.384713,46.773693,52.111004,,,,,48.209591,,,,,50.000000,,,,,,,0.091227,0.119203,,,,,,0.000000,,,,171514498.502400,
2015-01-22,68.940002,69.510002,67.160004,67.980003,1611900,0.000000,0.000000,52.415137,52.848509,51.061803,51.685249,,,,,48.801384,,,,,50.000000,,,,,2.829395,0.054743,-0.008170,0.041042,,,,,,-0.008170,,,,109576966.835700,
2015-01-23,67.559998,69.169998,66.279999,67.000000,1035200,0.000000,0.000000,51.365914,52.589999,50.392730,50.940147,,,,,49.159664,,,,,62.732262,,,,,2.762102,0.054222,-0.014416,0.055949,,,,,,-0.022469,,,,69358400.000000,
2015-01-26,67.050003,68.970001,66.160004,68.510002,1585300,0.000000,0.000000,50.978161,52.437937,50.301494,52.088200,,,,,49.643628,,,,,65.568830,,,,,2.697751,0.051792,0.022537,0.043883,,,,,,-0.000438,,,,108608906.170600,
2015-01-27,67.680000,70.830002,67.529999,68.970001,1336600,0.000000,0.000000,51.457146,53.852094,51.343100,52.437935,,,,,50.100199,,,,,66.407638,,,,,2.678929,0.051088,0.006714,0.098073,,,,,,0.000000,,,,92185303.336600,
2015-01-28,68.099998,68.550003,65.339996,66.080002,1225500,0.000000,0.000000,51.776482,52.118621,49.678050,50.240677,,,,,50.122935,,,,,57.010563,,,,,2.686779,0.053478,-0.041902,-0.035891,,,,,,-0.041902,,,,80981042.451000,
2015-01-29,66.680000,68.660004,64.209999,68.639999,1136500,0.000000,0.000000,50.696857,52.202255,48.818913,52.187046,,,,,50.454355,,,,,62.123530,,,,,2.752646,0.052746,0.038741,0.009709,,,,,,-0.004784,,,,78009358.863500,
2015-01-30,67.570000,70.660004,66.739998,68.989998,1544700,0.000000,0.000000,51.373504,53.722835,50.742453,52.453129,48.597277,,,,50.773144,,,,,62.775336,48.597277,54.907476,42.287079,0.805525,2.773694,0.052879,0.005099,0.029701,,,,,,0.000000,,,1507705.000000,106568849.910600,
2015-02-02,69.730003,72.000000,68.000000,69.739998,1456100,0.000000,0.000000,53.015759,54.741638,51.700436,53.023357,48.970204,,,,51.130020,,,,,64.197276,48.970204,55.406144,42.534264,0.814884,2.797909,0.052767,0.010871,0.017953,,,,,,0.000000,,,1529350.000000,101548411.087800,
2015-02-03,71.330002,72.809998,68.750000,69.680000,1676800,0.000000,0.000000,54.232254,55.357496,52.270677,52.977757,49.441591,,,,51.421679,,,,,63.986781,49.441591,55.580154,43.303028,0.788029,2.823572,0.053297,-0.000860,0.010294,0.162690,,,,0.578550,-0.000860,,,1542115.000000,116839424.000000,
2015-02-04,68.669998,69.559998,66.599998,67.129997,1019400,0.000000,0.000000,52.209838,52.886505,50.636016,51.038975,49.812617,,,,51.361511,,,,,55.634282,49.812617,55.335368,44.289866,0.611028,2.781505,0.054498,-0.036596,0.015889,0.171962,,,,0.570456,-0.037425,,,1523360.000000,68432318.941800,
2015-02-05,68.459999,69.449997,67.279999,69.059998,1056800,0.000000,0.000000,52.050187,52.802884,51.153032,52.506367,50.223560,,,,51.540898,,,,,59.900712,50.223560,55.212616,45.234504,0.728781,2.694050,0.051309,0.028750,0.006119,0.203765,,,,0.574240,-0.009750,,,1516350.000000,72982605.886400,
2015-02-06,69.809998,71.059998,68.970001,70.830002,1270600,0.000000,0.000000,53.076579,54.026955,52.437929,53.852089,50.593826,,,,51.902010,,,,,63.378823,50.593826,55.501196,45.686457,0.831977,2.600441,0.048289,0.025630,0.026671,0.215965,,,,0.576664,0.000000,,,1519015.000000,89996600.541200,
2015-02-09,71.050003,72.120003,70.080002,70.129997,983900,0.000000,0.000000,54.019370,54.832892,53.281878,53.319889,50.908972,,,,52.123017,51.076793,1.046224,,,61.120942,50.908972,55.656094,46.161849,0.753935,2.512707,0.047125,-0.009883,0.005592,0.147979,,,,0.562580,-0.009883,,,1525300.000000,69000904.048300,
2015-02-10,70.419998,70.449997,67.570000,69.400002,1084400,0.000000,0.000000,53.540378,53.563186,51.373522,52.764874,51.286461,,,,52.222862,51.219730,1.003132,,,58.769557,51.286461,55.265779,47.307143,0.685762,2.486024,0.047115,-0.010409,-0.004018,0.122251,,,,0.565472,-0.020189,,,1521110.000000,75257362.168800,
2015-02-11,67.690002,68.879997,65.550003,68.779999,1473300,0.000000,0.000000,51.464755,52.369509,49.837712,52.293480,51.573095,,,,52.233828,51.309695,0.924133,,,56.771855,51.573095,54.889886,48.256304,0.608597,2.522058,0.048229,-0.008934,0.024579,0.156549,,,,0.545180,-0.028942,,,1548380.000000,101333572.526700,
2015-02-12,69.919998,73.400002,69.870003,72.970001,1622200,0.000000,0.000000,53.160233,55.806082,53.122221,55.479153,51.864671,,,,52.737070,51.655677,1.081393,,,65.345094,51.864671,55.480565,48.248777,0.999805,2.602149,0.046903,0.060919,0.056618,0.191542,,,,0.571269,0.000000,,,1485815.000000,118371935.622200,
2015-02-13,74.500000,75.279999,72.610001,73.459999,1238200,0.000000,0.000000,56.642413,57.235447,55.205445,55.851700,52.245202,,,,53.219457,52.000790,1.218667,,,66.189582,52.245202,55.857308,48.633095,0.999224,2.556320,0.045770,0.006715,0.037132,0.124962,,,,0.531880,0.000000,,,1443015.000000,90958170.761800,
