Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,11.962500,12.085000,11.767500,11.850000,5365600,0.000000,0.000000,8.781096,8.871018,8.637956,8.698516,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,63582360.000000,
2015-01-05,11.787500,11.815000,11.600000,11.647500,7647600,0.000000,0.000000,8.652636,8.672822,8.515001,8.549869,,,,,,,,,,50.000000,,,,,,,-0.017089,,,,,,,-0.017089,,,,89075421.000000,
2015-01-06,11.670000,11.675000,11.300000,11.447500,7152800,0.000000,0.000000,8.566386,8.570057,8.294787,8.403060,,,,,,,,,,50.000000,,,,,,,-0.017171,,,,,,,-0.033966,,,,81881678.000000,
2015-01-07,11.435000,11.502500,11.282500,11.372500,8587600,0.000000,0.000000,8.393885,8.443433,8.281942,8.348007,,,,,,,,,,50.000000,,,,,,,-0.006552,,,,,,,-0.040295,,,,97662481.000000,
2015-01-08,11.490000,11.635000,11.455000,11.630000,6368000,0.000000,0.000000,8.434255,8.540693,8.408563,8.537023,,,,,,,,,,50.000000,,,,,,,0.022642,,,,,,,-0.018566,,,,74059840.000000,
2015-01-09,11.617500,11.647500,11.490000,11.497500,8340800,0.000000,0.000000,8.527853,8.549874,8.434261,8.439767,,,,,,,,,,50.000000,,,,,,,-0.011392,-0.029746,,,,,,-0.029746,,,,95898348.000000,
2015-01-12,11.472500,11.562500,11.332500,11.415000,5691600,0.000000,0.000000,8.421413,8.487477,8.318646,8.379205,,,,,,,,,,50.000000,,,,,,,-0.007176,-0.019961,,,,,,-0.036709,,,,64969614.000000,
2015-01-13,11.497500,11.757500,11.327500,11.470000,11634400,0.000000,0.000000,8.439759,8.630612,8.314971,8.419573,,,,,,,,,,50.000000,,,,,,,0.004818,0.001965,,,,,,-0.032068,,,,133446568.000000,
2015-01-14,11.387500,11.440000,11.095000,11.232500,17346400,0.000000,0.000000,8.359019,8.397557,8.144309,8.245241,,,,,,,,,,50.000000,,,,,,,-0.020706,-0.012310,,,,,,-0.052109,,,,194843438.000000,
2015-01-15,11.267500,11.515000,10.962500,10.997500,19794000,0.000000,0.000000,8.270929,8.452608,8.047043,8.072736,,,,,,,,,,50.000000,,,,,,,-0.020922,-0.054385,,,,,,-0.071941,,,,217684515.000000,
2015-01-16,10.985000,11.325000,10.930000,11.312500,13072400,0.000000,0.000000,8.063560,8.313138,8.023188,8.303963,,,,,,,,,,50.000000,,,,,,,0.028643,-0.016091,,,,,,-0.045359,,,,147881525.000000,
2015-01-20,11.327500,11.420000,11.235000,11.350000,8673200,0.000000,0.000000,8.314974,8.382874,8.247074,8.331491,,,,,8.336537,,,,,50.000000,,,,,,,0.003315,-0.005694,,,,,,-0.042194,,,,98440820.000000,
2015-01-21,11.300000,11.510000,11.257500,11.467500,6460400,0.000000,0.000000,8.294787,8.448937,8.263589,8.417740,,,,,8.350637,,,,,50.000000,,,,,,,0.010352,-0.000218,,,,,,-0.032279,,,,74084637.000000,
2015-01-22,11.537500,11.667500,11.397500,11.612500,6332400,0.000000,0.000000,8.469122,8.564548,8.366354,8.524176,,,,,8.380185,,,,,50.000000,,,,,0.225668,0.026474,0.012644,0.033830,,,,,,-0.020042,,,,73534995.000000,
2015-01-23,11.625000,11.697500,11.552500,11.572500,5809200,0.000000,0.000000,8.533351,8.586569,8.480132,8.494813,,,,,8.399387,,,,,49.805766,,,,,0.212975,0.025071,-0.003445,0.052284,,,,,,-0.023418,,,,67226967.000000,
2015-01-26,11.562500,11.637500,11.502500,11.525000,5114800,0.000000,0.000000,8.487479,8.542532,8.443435,8.459951,,,,,8.409396,,,,,47.943005,,,,,0.201263,0.023790,-0.004104,0.018785,,,,,,-0.027426,,,,58948070.000000,
2015-01-27,11.367500,11.367500,11.170000,11.350000,6718400,0.000000,0.000000,8.344336,8.344336,8.199361,8.331491,,,,,8.396667,,,,,41.747107,,,,,0.207179,0.024867,-0.015184,0.000000,,,,,,-0.042194,,,,76253840.000000,
2015-01-28,11.320000,11.372500,11.167500,11.182500,7204400,0.070000,0.000000,8.361034,8.399811,8.248396,8.259476,,,,,8.374463,,,,,38.725644,,,,,0.201771,0.024429,-0.008644,-0.018801,,,,,,-0.050473,,,,80563203.000000,
