Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,23.767742,23.848427,23.216412,23.431566,816831,0.000000,0.000000,23.767742,23.848427,23.216412,23.431566,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,19139629.487346,
2015-01-05,23.290371,23.404673,22.839893,22.913853,1115482,0.000000,0.000000,23.290371,23.404673,22.839893,22.913853,,,,,,,,,,50.000000,,,,,,,-0.022095,,,,,,,-0.022095,,,,25559990.572146,
2015-01-06,22.920576,22.920576,22.288563,22.423035,2591191,0.000000,0.000000,22.920576,22.920576,22.288563,22.423035,,,,,,,,,,50.000000,,,,,,,-0.021420,,,,,,,-0.043042,,,,58102366.484685,
2015-01-07,22.685251,23.048325,22.517162,22.907129,1408780,0.000000,0.000000,22.685251,23.048325,22.517162,22.907129,,,,,,,,,,50.000000,,,,,,,0.021589,,,,,,,-0.022382,,,,32271105.192620,
2015-01-08,23.068495,23.761021,22.947470,23.660168,1664300,0.000000,0.000000,23.068495,23.761021,22.947470,23.660168,,,,,,,,,,50.000000,,,,,,,0.032874,,,,,,,0.000000,,,,39377617.602400,
2015-01-09,23.653442,23.720678,23.330713,23.498800,1893940,0.000000,0.000000,23.653442,23.720678,23.330713,23.498800,,,,,,,,,,50.000000,,,,,,,-0.006820,0.002869,,,,,,-0.006820,,,,44505317.272000,
2015-01-12,23.518972,23.774467,23.364330,23.687061,2092199,0.000000,0.000000,23.518972,23.774467,23.364330,23.687061,,,,,,,,,,50.000000,,,,,,,0.008012,0.033744,,,,,,0.000000,,,,49558045.337139,
2015-01-13,23.841702,24.325798,23.619825,23.754295,2226354,0.000000,0.000000,23.841702,24.325798,23.619825,23.754295,,,,,,,,,,50.000000,,,,,,,0.002838,0.059370,,,,,,0.000000,,,,52885469.690430,
2015-01-14,23.566036,23.606379,22.860064,23.310541,2787219,0.000000,0.000000,23.566036,23.606379,22.860064,23.310541,,,,,,,,,,50.000000,,,,,,,-0.018681,0.017611,,,,,,-0.018681,,,,64971582.775479,
2015-01-15,23.364330,23.498800,22.819723,22.873510,1398964,0.000000,0.000000,23.364330,23.498800,22.819723,22.873510,,,,,,,,,,50.000000,,,,,,,-0.018748,-0.033248,,,,,,-0.037079,,,,31999217.043640,
2015-01-16,22.799553,23.270201,22.772657,23.229860,1154599,0.000000,0.000000,22.799553,23.270201,22.772657,23.229860,,,,,,,,,,50.000000,,,,,,,0.015579,-0.011445,,,,,,-0.022077,,,,26821173.126140,
2015-01-20,23.276924,23.357607,23.014706,23.155899,1381116,0.000000,0.000000,23.276924,23.357607,23.014706,23.155899,,,,,23.252569,,,,,50.000000,,,,,,,-0.003184,-0.022424,,,,,,-0.025191,,,,31980982.603284,
2015-01-21,23.041599,23.498800,22.987812,23.303820,1428859,0.000000,0.000000,23.041599,23.498800,22.987812,23.303820,,,,,23.261468,,,,,50.000000,,,,,,,0.006388,-0.018964,,,,,,-0.018964,,,,33297872.941380,
2015-01-22,23.438290,23.626549,23.182795,23.626549,1139279,0.000000,0.000000,23.438290,23.626549,23.182795,23.626549,,,,,23.323630,,,,,50.000000,,,,,0.569406,0.024100,0.013849,0.013556,,,,,,-0.005378,,,,26917231.118171,
2015-01-23,23.687061,23.687061,23.182795,23.229860,1198028,0.000000,0.000000,23.687061,23.687061,23.182795,23.229860,,,,,23.307922,,,,,48.043503,,,,,0.562472,0.024213,-0.016790,0.015579,,,,,,-0.022077,,,,27830022.716080,
