Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2021-10-28,47.009998,48.000000,44.480000,46.400002,18618900,0.000000,0.000000,46.942348,47.930925,44.415990,46.333229,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,863916997.237800,
2021-10-29,46.000000,49.480000,45.610001,48.740002,4639400,0.000000,0.000000,45.933806,49.408798,45.544368,48.669865,,,,,,,,,,50.000000,,,,,,,0.050431,,,,,,,0.000000,,,,226124365.278800,
2021-11-01,54.270000,59.990002,53.060001,53.869999,9946500,0.000000,0.000000,54.191903,59.903672,52.983645,53.792477,,,,,,,,,,50.000000,,,,,,,0.105252,,,,,,,0.000000,,,,535817945.053500,
2021-11-02,57.507999,58.615002,55.000000,56.419998,4122500,0.000000,0.000000,57.425242,58.530651,54.920851,56.338806,,,,,,,,,,50.000000,,,,,,,0.047336,,,,,,,0.000000,,,,232591441.755000,
2021-11-03,57.000000,59.380001,56.169998,59.000000,2642300,0.000000,0.000000,56.917974,59.294551,56.089167,58.915096,,,,,,,,,,50.000000,,,,,,,0.045729,,,,,,,0.000000,,,,155895700.000000,
2021-11-04,60.349998,65.739998,60.349998,62.680000,3985400,0.000000,0.000000,60.263153,65.645396,60.263153,62.589802,,,,,,,,,,50.000000,,,,,,,0.062373,0.350862,,,,,,0.000000,,,,249804872.000000,
2021-11-05,65.000000,66.000000,56.160000,63.630001,4222100,0.000000,0.000000,64.906464,65.905025,56.079185,63.538437,,,,,,,,,,50.000000,,,,,,,0.015156,0.305499,,,,,,0.000000,,,,268652227.222100,
2021-11-08,62.810001,62.970001,58.817001,59.360001,3012100,0.000000,0.000000,62.719614,62.879384,58.732360,59.274578,,,,,,,,,,50.000000,,,,,,,-0.067107,0.101912,,,,,,-0.067107,,,,178798259.012100,
2021-11-09,58.977001,61.116001,56.869999,59.830002,1947200,0.000000,0.000000,58.892131,61.028053,56.788161,59.743904,,,,,,,,,,50.000000,,,,,,,0.007918,0.060440,,,,,,-0.059720,,,,116500979.894400,
2021-11-10,59.000000,59.810001,56.930000,57.720001,1543700,0.000000,0.000000,58.915097,59.723933,56.848076,57.636940,,,,,,,,,,50.000000,,,,,,,-0.035267,-0.021695,,,,,,-0.092881,,,,89102365.543700,
2021-11-11,58.730000,59.660000,55.049999,56.189999,1762700,0.000000,0.000000,58.645484,59.574146,54.970780,56.109138,,,,,,,,,,50.000000,,,,,,,-0.026507,-0.103542,,,,,,-0.116926,,,,99046111.237300,
2021-11-12,55.630001,56.349998,53.250000,55.959999,1703200,0.000000,0.000000,55.549948,56.268909,53.173372,55.879471,,,,,57.487180,,,,,50.000000,,,,,,,-0.004093,-0.120541,,,,,,-0.120541,,,,95311070.296800,
