Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,9.770000,9.880000,9.470000,9.820000,1087900,0.000000,0.000000,9.770000,9.880000,9.470000,9.820000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,10683178.000000,
2015-01-05,9.730000,10.290000,9.610000,9.990000,2301200,0.000000,0.000000,9.730000,10.290000,9.610000,9.990000,,,,,,,,,,50.000000,,,,,,,0.017312,,,,,,,0.000000,,,,22988988.000000,
2015-01-06,10.060000,10.290000,9.650000,10.060000,2810100,0.000000,0.000000,10.060000,10.290000,9.650000,10.060000,,,,,,,,,,50.000000,,,,,,,0.007007,,,,,,,0.000000,,,,28269606.000000,
2015-01-07,10.250000,12.800000,10.250000,12.520000,6872300,0.000000,0.000000,10.250000,12.800000,10.250000,12.520000,,,,,,,,,,50.000000,,,,,,,0.244533,,,,,,,0.000000,,,,86041196.000000,
2015-01-08,12.800000,14.700000,12.710000,13.970000,10945600,0.000000,0.000000,12.800000,14.700000,12.710000,13.970000,,,,,,,,,,50.000000,,,,,,,0.115815,,,,,,,0.000000,,,,152910032.000000,
2015-01-09,13.970000,14.200000,13.290000,14.030000,4109400,0.000000,0.000000,13.970000,14.200000,13.290000,14.030000,,,,,,,,,,50.000000,,,,,,,0.004295,0.428717,,,,,,0.000000,,,,57654882.000000,
2015-01-12,14.170000,14.880000,14.070000,14.570000,3048700,0.000000,0.000000,14.170000,14.880000,14.070000,14.570000,,,,,,,,,,50.000000,,,,,,,0.038489,0.458458,,,,,,0.000000,,,,44419559.000000,
2015-01-13,14.500000,15.060000,14.230000,14.700000,4474700,0.000000,0.000000,14.500000,15.060000,14.230000,14.700000,,,,,,,,,,50.000000,,,,,,,0.008922,0.461233,,,,,,0.000000,,,,65778090.000000,
2015-01-14,14.550000,15.330000,14.320000,15.080000,4485800,0.000000,0.000000,14.550000,15.330000,14.320000,15.080000,,,,,,,,,,50.000000,,,,,,,0.025850,0.204473,,,,,,0.000000,,,,67645864.000000,
2015-01-15,15.120000,15.220000,14.170000,14.220000,3131900,0.000000,0.000000,15.120000,15.220000,14.170000,14.220000,,,,,,,,,,50.000000,,,,,,,-0.057029,0.017895,,,,,,-0.057029,,,,44535618.000000,
2015-01-16,14.410000,14.890000,14.140000,14.820000,2352800,0.000000,0.000000,14.410000,14.890000,14.140000,14.820000,,,,,,,,,,50.000000,,,,,,,0.042194,0.056308,,,,,,-0.017241,,,,34868496.000000,
2015-01-20,14.970000,15.000000,13.790000,14.560000,2513500,0.000000,0.000000,14.970000,15.000000,13.790000,14.560000,,,,,13.997958,,,,,50.000000,,,,,,,-0.017544,-0.000686,,,,,,-0.034483,,,,36596560.000000,
2015-01-21,14.460000,14.850000,13.920000,14.040000,2070900,0.000000,0.000000,14.460000,14.850000,13.920000,14.040000,,,,,14.005258,,,,,50.000000,,,,,,,-0.035714,-0.044898,,,,,,-0.068966,,,,29075436.000000,
2015-01-22,14.040000,14.200000,13.270000,14.010000,2225200,0.000000,0.000000,14.040000,14.200000,13.270000,14.010000,,,,,14.006066,,,,,50.000000,,,,,1.062055,0.075807,-0.002137,-0.070955,,,,,,-0.070955,,,,31175052.000000,
2015-01-23,13.810000,13.990000,13.590000,13.870000,1311100,0.000000,0.000000,13.810000,13.990000,13.590000,13.870000,,,,,13.983272,,,,,67.680992,,,,,0.993705,0.071644,-0.009993,-0.024613,,,,,,-0.080239,,,,18184957.000000,
2015-01-26,13.930000,14.660000,13.860000,14.440000,1520400,0.000000,0.000000,13.930000,14.660000,13.860000,14.440000,,,,,14.058750,,,,,71.647435,,,,,0.973782,0.067436,0.041096,-0.025641,,,,,,-0.042440,,,,21954576.000000,
2015-01-27,14.120000,14.800000,14.100000,14.480000,1199300,0.000000,0.000000,14.120000,14.800000,14.100000,14.480000,,,,,14.127580,,,,,71.907988,,,,,0.946481,0.065365,0.002770,-0.005495,,,,,,-0.039788,,,,17365864.000000,
2015-01-28,14.550000,14.650000,14.060000,14.150000,1146800,0.000000,0.000000,14.550000,14.650000,14.060000,14.150000,,,,,14.131208,,,,,66.480066,,,,,0.911911,0.064446,-0.022790,0.007835,,,,,,-0.061671,,,,16227220.000000,
2015-01-29,14.200000,14.640000,13.830000,14.590000,1065500,0.000000,0.000000,14.200000,14.640000,13.830000,14.590000,,,,,14.204873,,,,,69.757933,,,,,0.902274,0.061842,0.031095,0.041399,,,,,,-0.032493,,,,15545645.000000,
2015-01-30,14.490000,15.000000,14.250000,14.280000,1203900,0.000000,0.000000,14.490000,15.000000,14.250000,14.280000,13.610000,,,,14.216855,,,,,64.939655,13.610000,16.922928,10.297072,0.601119,0.888201,0.062199,-0.021247,0.029560,,,,,,-0.053050,,,2993850.000000,17191692.000000,
2015-02-02,14.410000,14.620000,14.090000,14.410000,1302600,0.000000,0.000000,14.410000,14.620000,14.090000,14.410000,13.839500,,,,14.247488,,,,,66.000228,13.839500,16.643861,11.035139,0.601717,0.855776,0.059388,0.009104,-0.002078,,,,,,-0.044430,,,3004585.000000,18770466.000000,
2015-02-03,14.470000,14.680000,13.670000,14.000000,1534600,0.000000,0.000000,14.470000,14.680000,13.670000,14.000000,14.040000,,,,14.208422,,,,,59.850994,14.040000,16.180300,11.899700,0.490656,0.869475,0.062105,-0.028452,-0.033149,0.425662,,,,1.001961,-0.071618,,,2966255.000000,21484400.000000,
2015-02-04,13.810000,13.940000,13.410000,13.810000,1273000,0.000000,0.000000,13.810000,13.940000,13.410000,13.810000,14.227500,,,,14.145783,,,,,57.191720,14.227500,15.280673,13.174327,0.301789,0.845075,0.061193,-0.013571,-0.024028,0.382382,,,,1.008208,-0.084218,,,2889400.000000,17580130.000000,
2015-02-05,13.900000,14.180000,13.750000,14.060000,1597800,0.000000,0.000000,13.900000,14.180000,13.750000,14.060000,14.304500,,,,14.132342,,,,,59.727280,14.304500,14.994656,13.614344,0.322866,0.809403,0.057568,0.018103,-0.036326,0.397614,,,,1.007518,-0.067639,,,2625675.000000,22465068.000000,
2015-02-06,14.010000,14.400000,13.790000,13.870000,891500,0.000000,0.000000,14.010000,14.400000,13.790000,13.870000,14.299500,,,,14.091352,,,,,56.965699,14.299500,15.001211,13.597789,0.193963,0.792511,0.057138,-0.013514,-0.028711,0.107827,,,,0.582883,-0.080239,,,2122970.000000,12365105.000000,
2015-02-09,13.810000,13.950000,13.370000,13.390000,1570900,0.000000,0.000000,13.810000,13.950000,13.370000,13.390000,14.267500,,,,13.982032,13.947311,0.034721,,,50.600498,14.267500,15.071827,13.463173,-0.045487,0.774744,0.057860,-0.034607,-0.070784,-0.041518,,,,0.439493,-0.112069,,,1996045.000000,21034351.000000,
2015-02-10,13.550000,14.000000,13.460000,13.840000,1352200,0.000000,0.000000,13.550000,14.000000,13.460000,13.840000,14.231000,,,,13.959938,13.938224,0.021714,,,55.608396,14.231000,15.043738,13.418262,0.259455,0.761137,0.054995,0.033607,-0.011429,-0.013542,,,,0.455913,-0.082228,,,1911220.000000,18714448.000000,
2015-02-11,13.790000,14.210000,13.570000,13.780000,950500,0.000000,0.000000,13.790000,14.210000,13.570000,13.780000,14.185000,,,,13.931995,13.924967,0.007028,,,54.810548,14.185000,14.990076,13.379924,0.248471,0.751242,0.054517,-0.004335,-0.002172,-0.054221,,,,0.433650,-0.086207,,,1735010.000000,13097890.000000,
2015-02-12,13.860000,14.600000,13.720000,14.500000,1743100,0.000000,0.000000,13.860000,14.600000,13.720000,14.500000,14.156000,,,,14.020074,13.972684,0.047390,,,61.878808,14.156000,14.860882,13.451118,0.744012,0.761653,0.052528,0.052250,0.031294,-0.013605,,,,0.472045,-0.038462,,,1597875.000000,25274950.000000,
2015-02-13,14.520000,14.900000,14.200000,14.730000,1799900,0.000000,0.000000,14.520000,14.900000,14.200000,14.730000,14.181500,,,,14.130025,14.034971,0.095054,,,63.825333,14.181500,14.931581,13.431419,0.865627,0.756714,0.051372,0.015862,0.062004,-0.023210,,,,0.466325,-0.023210,,,1531275.000000,26512527.000000,
2015-02-17,14.780000,15.440000,14.750000,14.910000,2243200,0.000000,0.000000,14.780000,15.440000,14.750000,14.910000,14.186000,,,,14.250702,14.106357,0.144345,,,65.317881,14.186000,14.953097,13.418903,0.971909,0.753005,0.050503,0.012220,0.113518,0.048523,,,,0.420378,-0.011273,,,1525795.000000,33446112.000000,
2015-02-18,15.030000,15.250000,14.820000,15.020000,1406900,0.000000,0.000000,15.030000,15.250000,14.820000,15.020000,14.209000,,,,14.369622,14.180337,0.189285,,,66.234733,14.209000,15.047568,13.370432,0.983563,0.727558,0.048439,0.007378,0.085260,0.013495,,,,0.395622,-0.003979,,,1470465.000000,21131638.000000,
2015-02-19,15.000000,15.500000,14.830000,15.400000,1597600,0.000000,0.000000,15.000000,15.500000,14.830000,15.400000,14.277000,,,,14.528784,14.278420,0.250364,,,69.258156,14.277000,15.265100,13.288900,1.068262,0.723056,0.046952,0.025300,0.117562,0.057692,,,,0.398241,0.000000,,,1446800.000000,24603040.000000,
2015-02-20,15.410000,15.510000,15.050000,15.370000,1613400,0.000000,0.000000,15.410000,15.510000,15.050000,15.370000,14.345000,,,,14.658645,14.365650,0.292996,0.174413,0.118583,68.734883,14.345000,15.437414,13.252586,0.969144,0.702622,0.045714,-0.001948,0.060000,0.094729,,,,0.373308,-0.001948,,,1416210.000000,24797958.000000,
2015-02-23,15.380000,15.940000,15.260000,15.520000,1313700,0.000000,0.000000,15.380000,15.940000,15.260000,15.520000,14.427500,,,,14.791545,14.457360,0.334186,0.210211,0.123974,69.957115,14.427500,15.614036,13.240964,0.960374,0.700875,0.045159,0.009759,0.053632,0.107780,,,,0.372885,0.000000,,,1416340.000000,20388624.000000,
2015-02-24,15.510000,15.530000,14.910000,15.000000,1530600,0.000000,0.000000,15.510000,15.530000,14.910000,15.000000,14.455500,,,,14.823694,14.500241,0.323453,0.234988,0.088465,61.047512,14.455500,15.669393,13.241607,0.724278,0.694668,0.046311,-0.033505,0.006036,0.081471,,,,0.393253,-0.033505,,,1416850.000000,22959000.000000,
2015-02-25,15.000000,15.240000,14.770000,15.170000,1171200,0.000000,0.000000,15.000000,15.240000,14.770000,15.170000,14.490000,,,,14.877082,14.552906,0.324176,0.254142,0.070034,62.719151,14.490000,15.745338,13.234662,0.770843,0.677515,0.044661,0.011333,0.009987,0.050554,,,,0.370777,-0.022552,,,1415445.000000,17767104.000000,
2015-02-26,15.200000,15.320000,14.520000,15.280000,942200,0.000000,0.000000,15.200000,15.320000,14.520000,15.280000,14.546500,,,,14.939178,14.609821,0.329357,0.270060,0.059297,63.801643,14.546500,15.838586,13.254414,0.783843,0.686821,0.044949,0.007251,-0.007792,0.055249,,,,0.371126,-0.015464,,,1405215.000000,14396816.000000,
2015-02-27,15.240000,15.340000,14.860000,15.070000,724300,0.000000,0.000000,15.240000,15.340000,14.860000,15.070000,14.570500,,,,14.959334,14.645692,0.313643,0.279178,0.034465,60.207458,14.570500,15.883648,13.257352,0.690192,0.671178,0.044537,-0.013743,-0.019519,0.065018,,,,0.364523,-0.028995,,,1388155.000000,10915201.000000,
2015-03-02,15.110000,15.420000,14.970000,15.220000,1225500,0.000000,0.000000,15.110000,15.420000,14.970000,15.220000,14.617500,,,,14.999487,14.690286,0.309202,0.285401,0.023800,61.860195,14.617500,15.953951,13.281049,0.725411,0.654521,0.043004,0.009954,-0.019330,0.043180,,,,0.351294,-0.019330,,,1389235.000000,18652110.000000,
2015-03-03,15.520000,15.560000,14.640000,15.230000,1678300,0.000000,0.000000,15.520000,15.560000,14.640000,15.230000,14.658500,,,,15.034988,14.732044,0.302944,0.289012,0.013933,61.973587,14.658500,16.018257,13.298743,0.710148,0.674438,0.044283,0.000657,0.015333,0.066527,,,,0.340876,-0.018686,,,1408020.000000,25560509.000000,
2015-03-04,15.070000,15.940000,14.840000,15.700000,1986400,0.000000,0.000000,15.070000,15.940000,14.840000,15.700000,14.743500,,,,15.137390,14.806691,0.330699,0.297541,0.033158,66.947410,14.743500,16.141924,13.345076,0.841992,0.706250,0.044984,0.030860,0.034937,0.089521,,,,0.353644,0.000000,,,1430610.000000,31186480.000000,
