Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,7.730000,7.730000,7.220000,7.630000,11000,0.000000,0.000000,7.730000,7.730000,7.220000,7.630000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,83930.000000,
2015-01-05,7.570000,7.630000,7.100000,7.570000,11900,0.000000,0.000000,7.570000,7.630000,7.100000,7.570000,,,,,,,,,,50.000000,,,,,,,-0.007864,,,,,,,-0.007864,,,,90083.000000,
2015-01-06,7.230000,7.540000,7.170000,7.420000,5500,0.000000,0.000000,7.230000,7.540000,7.170000,7.420000,,,,,,,,,,50.000000,,,,,,,-0.019815,,,,,,,-0.027523,,,,40810.000000,
2015-01-07,7.580000,7.580000,7.270000,7.440000,5100,0.000000,0.000000,7.580000,7.580000,7.270000,7.440000,,,,,,,,,,50.000000,,,,,,,0.002695,,,,,,,-0.024902,,,,37944.000000,
2015-01-08,7.440000,7.590000,7.300000,7.450000,2200,0.000000,0.000000,7.440000,7.590000,7.300000,7.450000,,,,,,,,,,50.000000,,,,,,,0.001344,,,,,,,-0.023591,,,,16390.000000,
2015-01-09,7.230000,7.390000,7.170000,7.350000,2400,0.000000,0.000000,7.230000,7.390000,7.170000,7.350000,,,,,,,,,,50.000000,,,,,,,-0.013423,-0.036697,,,,,,-0.036697,,,,17640.000000,
2015-01-12,7.370000,7.370000,7.080000,7.300000,8200,0.000000,0.000000,7.370000,7.370000,7.080000,7.300000,,,,,,,,,,50.000000,,,,,,,-0.006803,-0.035667,,,,,,-0.043250,,,,59860.000000,
2015-01-13,7.340000,7.390000,7.000000,7.020000,11200,0.000000,0.000000,7.340000,7.390000,7.000000,7.020000,,,,,,,,,,50.000000,,,,,,,-0.038356,-0.053908,,,,,,-0.079948,,,,78624.000000,
2015-01-14,7.270000,7.270000,7.050000,7.270000,11600,0.000000,0.000000,7.270000,7.270000,7.050000,7.270000,,,,,,,,,,50.000000,,,,,,,0.035613,-0.022849,,,,,,-0.047182,,,,84332.000000,
2015-01-15,7.110000,7.240000,7.000000,7.180000,5100,0.000000,0.000000,7.110000,7.240000,7.000000,7.180000,,,,,,,,,,50.000000,,,,,,,-0.012380,-0.036242,,,,,,-0.058978,,,,36618.000000,
2015-01-16,7.030000,7.330000,7.030000,7.310000,5400,0.000000,0.000000,7.030000,7.330000,7.030000,7.310000,,,,,,,,,,50.000000,,,,,,,0.018106,-0.005442,,,,,,-0.041940,,,,39474.000000,
2015-01-20,7.150000,7.330000,7.070000,7.210000,3900,0.000000,0.000000,7.150000,7.330000,7.070000,7.210000,,,,,7.282679,,,,,50.000000,,,,,,,-0.013680,-0.012329,,,,,,-0.055046,,,,28119.000000,
2015-01-21,7.140000,7.800000,7.040000,7.540000,11600,0.000000,0.000000,7.140000,7.800000,7.040000,7.540000,,,,,7.327359,,,,,50.000000,,,,,,,0.045770,0.074074,,,,,,-0.011796,,,,87464.000000,
2015-01-22,7.570000,7.850000,7.400000,7.740000,5300,0.000000,0.000000,7.570000,7.850000,7.400000,7.740000,,,,,7.397619,,,,,50.000000,,,,,0.382424,0.049409,0.026525,0.064649,,,,,,0.000000,,,,41022.000000,
2015-01-23,7.800000,7.850000,7.690000,7.820000,2000,0.000000,0.000000,7.800000,7.850000,7.690000,7.820000,,,,,7.468375,,,,,63.471442,,,,,0.358746,0.045875,0.010336,0.089136,,,,,,0.000000,,,,15640.000000,
2015-01-26,7.420000,7.790000,7.320000,7.330000,22500,0.000000,0.000000,7.420000,7.790000,7.320000,7.330000,,,,,7.445507,,,,,45.077062,,,,,0.373274,0.050924,-0.062660,0.002736,,,,,,-0.062660,,,,164925.000000,
2015-01-27,7.200000,7.800000,7.040000,7.800000,15400,0.000000,0.000000,7.200000,7.800000,7.040000,7.800000,,,,,7.503429,,,,,57.730765,,,,,0.411838,0.052800,0.064120,0.081831,,,,,,-0.002558,,,,120120.000000,
2015-01-28,7.530000,7.800000,7.020000,7.240000,10500,0.000000,0.000000,7.530000,7.800000,7.020000,7.240000,,,,,7.460794,,,,,44.558293,,,,,0.447541,0.061815,-0.071795,-0.039788,,,,,,-0.074169,,,,76020.000000,
2015-01-29,7.380000,7.410000,7.350000,7.350000,8400,0.000000,0.000000,7.380000,7.410000,7.350000,7.350000,,,,,7.443004,,,,,47.111077,,,,,0.421297,0.057319,0.015193,-0.050388,,,,,,-0.060102,,,,61740.000000,
2015-01-30,7.180000,7.340000,7.080000,7.310000,10000,0.000000,0.000000,7.180000,7.340000,7.080000,7.310000,7.414000,,,,7.421791,,,,,46.276645,7.414000,7.839869,6.988131,0.377897,0.407314,0.055720,-0.005442,-0.065217,,,,,,-0.065217,,,8460.000000,73100.000000,
2015-02-02,7.230000,7.240000,7.050000,7.210000,2100,0.000000,0.000000,7.230000,7.240000,7.050000,7.210000,7.393000,,,,7.388202,,,,,44.170328,7.393000,7.815429,6.970571,0.283396,0.393979,0.054643,-0.013680,-0.016371,,,,,,-0.078005,,,8015.000000,15141.000000,
2015-02-03,7.120000,7.270000,7.120000,7.190000,9400,0.000000,0.000000,7.120000,7.270000,7.120000,7.190000,7.374000,,,,7.356916,,,,,43.741513,7.374000,7.797091,6.950909,0.282553,0.372307,0.051781,-0.002774,-0.078205,-0.057667,,,,0.508681,-0.080563,,,7890.000000,67586.000000,
2015-02-04,7.060000,7.090000,6.520000,7.000000,12100,0.000000,0.000000,7.060000,7.090000,6.520000,7.000000,7.353000,,,,7.300803,,,,,39.789517,7.353000,7.807039,6.898961,0.111267,0.398298,0.056900,-0.026426,-0.033149,-0.075297,,,,0.515246,-0.104859,,,8220.000000,84700.000000,
2015-02-05,7.160000,7.260000,7.060000,7.250000,32800,0.000000,0.000000,7.160000,7.260000,7.060000,7.250000,7.343500,,,,7.292842,,,,,46.623082,7.343500,7.797825,6.889175,0.397100,0.386412,0.053298,0.035714,-0.013605,-0.022911,,,,0.528443,-0.072890,,,9605.000000,237800.000000,
2015-02-06,7.230000,7.890000,7.230000,7.760000,19100,0.000000,0.000000,7.230000,7.890000,7.230000,7.760000,7.359000,,,,7.365834,,,,,57.275869,7.359000,7.848421,6.869579,0.909668,0.409588,0.052782,0.070345,0.061560,0.043011,,,,0.582871,-0.007673,,,10450.000000,148216.000000,
2015-02-09,7.850000,7.850000,7.500000,7.800000,7300,0.000000,0.000000,7.850000,7.850000,7.500000,7.800000,7.381500,,,,7.433508,7.410723,0.022785,,,57.984137,7.381500,7.909067,6.853933,0.896632,0.404607,0.051873,0.005155,0.081831,0.046980,,,,0.582913,-0.002558,,,10695.000000,56940.000000,
2015-02-10,7.710000,7.720000,7.460000,7.690000,16300,0.000000,0.000000,7.710000,7.720000,7.460000,7.690000,7.401000,,,,7.473407,7.434371,0.039036,,,55.270599,7.401000,7.944474,6.857526,0.765882,0.399270,0.051921,-0.014103,0.069541,0.046259,,,,0.583157,-0.016624,,,11100.000000,125347.000000,
2015-02-11,7.610000,7.850000,7.530000,7.610000,6300,0.000000,0.000000,7.610000,7.850000,7.530000,7.610000,7.430500,,,,7.494618,7.449086,0.045532,,,53.316397,7.430500,7.950438,6.910562,0.672617,0.392795,0.051616,-0.010403,0.087143,0.042466,,,,0.584036,-0.026854,,,10855.000000,47943.000000,
2015-02-12,7.850000,7.850000,7.060000,7.830000,14600,0.000000,0.000000,7.850000,7.850000,7.060000,7.830000,7.458500,,,,7.546625,7.480694,0.065931,,,57.741347,7.458500,8.001834,6.915166,0.841871,0.424911,0.054267,0.028909,0.080000,0.115385,,,,0.570897,0.000000,,,11005.000000,114318.000000,
2015-02-13,7.770000,7.850000,7.420000,7.840000,6100,0.000000,0.000000,7.770000,7.850000,7.420000,7.840000,7.491500,,,,7.592062,7.510246,0.081816,,,57.936516,7.491500,8.043712,6.939288,0.815549,0.425319,0.054250,0.001277,0.010309,0.078404,,,,0.560626,0.000000,,,11055.000000,47824.000000,
2015-02-17,7.840000,8.390000,7.840000,7.900000,12100,0.000000,0.000000,7.840000,8.390000,7.840000,7.900000,7.521000,,,,7.639706,7.542043,0.097663,,,59.155410,7.521000,8.094994,6.947006,0.830143,0.435220,0.055091,0.007653,0.012821,0.100279,,,,0.557449,0.000000,,,11390.000000,95590.000000,
2015-02-18,7.980000,8.000000,7.900000,7.990000,6200,0.000000,0.000000,7.980000,8.000000,7.900000,7.990000,7.560000,,,,7.693855,7.578315,0.115540,,,60.981842,7.560000,8.150771,6.969229,0.863931,0.408811,0.051165,0.011392,0.039012,0.093023,,,,0.555966,0.000000,,,11505.000000,49538.000000,
2015-02-19,7.800000,7.990000,7.230000,7.900000,7400,0.000000,0.000000,7.800000,7.990000,7.230000,7.900000,7.578000,,,,7.725698,7.604184,0.121514,,,58.180100,7.578000,8.187835,6.968165,0.764006,0.436276,0.055225,-0.011264,0.038108,0.095700,,,,0.555015,-0.011264,,,11295.000000,58460.000000,
2015-02-20,7.800000,8.000000,7.800000,7.960000,6700,0.000000,0.000000,7.800000,8.000000,7.800000,7.960000,7.589000,,,,7.761868,7.632618,0.129250,0.099210,0.030040,59.515496,7.589000,8.218750,6.959250,0.794561,0.417922,0.052503,0.007595,0.016603,0.055703,,,,0.535028,-0.003755,,,11365.000000,53332.000000,
2015-02-23,7.800000,8.080000,7.800000,8.080000,7500,0.000000,0.000000,7.800000,8.080000,7.800000,8.080000,7.602000,,,,7.810953,7.668161,0.142792,0.108975,0.033817,62.120709,7.602000,8.261844,6.942156,0.862207,0.407275,0.050405,0.015075,0.030612,0.043928,,,,0.530167,0.000000,,,11640.000000,60600.000000,
2015-02-24,8.080000,8.090000,7.760000,7.800000,5500,0.000000,0.000000,8.080000,8.090000,7.760000,7.800000,7.625500,,,,7.809264,7.678580,0.130684,0.113725,0.016960,53.473866,7.625500,8.277992,6.973008,0.633718,0.401343,0.051454,-0.034653,-0.012658,-0.002558,,,,0.544587,-0.034653,,,10790.000000,42900.000000,
2015-02-25,7.980000,8.180000,7.980000,8.180000,6200,0.000000,0.000000,7.980000,8.180000,7.980000,8.180000,7.644500,,,,7.866419,7.718008,0.148410,0.121174,0.027237,61.338976,7.644500,8.339156,6.949844,0.885443,0.399714,0.048865,0.048718,0.023780,0.115962,,,,0.518009,0.000000,,,10330.000000,50716.000000,
2015-02-26,8.100000,8.100000,8.100000,8.100000,800,0.000000,0.000000,8.100000,8.100000,8.100000,8.100000,7.687500,,,,7.902417,7.747909,0.154508,0.128228,0.026279,59.074845,7.687500,8.383197,6.991803,0.796465,0.375424,0.046349,-0.009780,0.025316,0.038462,,,,0.474503,-0.009780,,,9845.000000,6480.000000,
2015-02-27,7.990000,8.150000,7.990000,8.010000,2400,0.000000,0.000000,7.990000,8.150000,7.990000,8.010000,7.720500,,,,7.918993,7.768339,0.150654,0.132920,0.017734,56.546101,7.720500,8.411387,7.029613,0.709513,0.359131,0.044835,-0.011111,0.006281,0.106354,,,,0.395160,-0.020782,,,9545.000000,19224.000000,
2015-03-02,8.000000,8.190000,7.800000,7.980000,8500,0.000000,0.000000,8.000000,8.190000,7.800000,7.980000,7.754000,,,,7.928390,7.784774,0.143616,0.135137,0.008479,55.690354,7.754000,8.425789,7.082211,0.668207,0.361456,0.045295,-0.003745,-0.012376,0.085714,,,,0.394519,-0.024450,,,9470.000000,67830.000000,
2015-03-03,7.810000,8.180000,7.810000,8.180000,5800,0.000000,0.000000,7.810000,8.180000,7.810000,8.180000,7.802500,,,,7.967141,7.815354,0.151787,0.138564,0.013224,60.032851,7.802500,8.448488,7.156512,0.792188,0.362097,0.044266,0.025063,0.048718,0.119015,,,,0.399237,0.000000,,,9655.000000,47444.000000,
2015-03-04,7.860000,8.080000,7.850000,8.080000,13600,0.000000,0.000000,7.860000,8.080000,7.850000,8.080000,7.847000,,,,7.984519,7.835762,0.148757,0.140649,0.008108,57.023652,7.847000,8.435382,7.258618,0.698001,0.359698,0.044517,-0.012225,-0.012225,0.120666,,,,0.398380,-0.012225,,,9865.000000,109888.000000,
2015-03-05,8.080000,8.140000,8.080000,8.120000,3400,0.000000,0.000000,8.080000,8.140000,8.080000,8.120000,7.903000,,,,8.005378,7.857616,0.147763,0.142098,0.005665,57.932013,7.903000,8.347574,7.458426,0.744054,0.337368,0.041548,0.004950,0.002469,0.129346,,,,0.397198,-0.007335,,,9430.000000,27608.000000,
2015-03-06,8.140000,8.200000,8.000000,8.170000,14100,0.000000,0.000000,8.140000,8.200000,8.000000,8.170000,7.949000,,,,8.030721,7.881565,0.149156,0.143530,0.005625,59.095847,7.949000,8.286601,7.611399,0.827309,0.327165,0.040045,0.006158,0.019975,0.167143,,,,0.379207,-0.001222,,,8495.000000,115197.000000,
2015-03-09,8.000000,8.170000,7.980000,7.990000,7800,0.000000,0.000000,8.000000,8.170000,7.980000,7.990000,7.960500,,,,8.024453,7.889857,0.134595,0.141722,-0.007127,53.371381,7.960500,8.286463,7.634537,0.545251,0.317005,0.039675,-0.022032,0.001253,0.102069,,,,0.378126,-0.023227,,,7930.000000,62322.000000,
2015-03-10,7.980000,7.980000,7.750000,7.790000,15600,0.000000,0.000000,7.980000,7.980000,7.750000,7.790000,7.960000,,,,7.988367,7.882240,0.106127,0.134537,-0.028410,47.827684,7.960000,8.287028,7.632972,0.240083,0.311317,0.039964,-0.025031,-0.047677,0.003866,,,,0.307980,-0.047677,,,8345.000000,121524.000000,
2015-03-11,7.790000,8.000000,7.790000,7.830000,2500,0.000000,0.000000,7.790000,8.000000,7.790000,7.830000,7.967000,,,,7.963993,7.878263,0.085730,0.124703,-0.038973,48.969345,7.967000,8.275142,7.658858,0.277700,0.303851,0.038806,0.005135,-0.030941,0.003846,,,,0.307976,-0.042787,,,7655.000000,19575.000000,
