Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2019-06-21,9.950000,9.950000,9.950000,9.950000,250000,0.000000,0.000000,9.950000,9.950000,9.950000,9.950000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,2487500.000000,
2019-06-24,9.950000,9.950000,9.950000,9.950000,0,0.000000,0.000000,9.950000,9.950000,9.950000,9.950000,,,,,,,,,,50.000000,,,,,,,0.000000,,,,,,,0.000000,,,,0.000000,
2019-06-25,9.950000,9.950000,9.950000,9.950000,0,0.000000,0.000000,9.950000,9.950000,9.950000,9.950000,,,,,,,,,,50.000000,,,,,,,0.000000,,,,,,,0.000000,,,,0.000000,
2019-06-26,9.800000,9.800000,9.800000,9.800000,500,0.000000,0.000000,9.800000,9.800000,9.800000,9.800000,,,,,,,,,,50.000000,,,,,,,-0.015075,,,,,,,-0.015075,,,,4900.000000,
2019-06-27,9.800000,9.800000,9.800000,9.800000,0,0.000000,0.000000,9.800000,9.800000,9.800000,9.800000,,,,,,,,,,50.000000,,,,,,,0.000000,,,,,,,-0.015075,,,,0.000000,
2019-06-28,9.800000,9.800000,9.800000,9.800000,0,0.000000,0.000000,9.800000,9.800000,9.800000,9.800000,,,,,,,,,,50.000000,,,,,,,0.000000,-0.015075,,,,,,-0.015075,,,,0.000000,
2019-07-01,9.800000,9.800000,9.800000,9.800000,0,0.000000,0.000000,9.800000,9.800000,9.800000,9.800000,,,,,,,,,,50.000000,,,,,,,0.000000,-0.015075,,,,,,-0.015075,,,,0.000000,
2019-07-02,9.800000,9.800000,9.800000,9.800000,0,0.000000,0.000000,9.800000,9.800000,9.800000,9.800000,,,,,,,,,,50.000000,,,,,,,0.000000,-0.015075,,,,,,-0.015075,,,,0.000000,
2019-07-03,9.790000,9.790000,9.790000,9.790000,200,0.000000,0.000000,9.790000,9.790000,9.790000,9.790000,,,,,,,,,,50.000000,,,,,,,-0.001020,-0.001020,,,,,,-0.016080,,,,1958.000000,
2019-07-05,9.780000,9.780000,9.780000,9.780000,800,0.000000,0.000000,9.780000,9.780000,9.780000,9.780000,,,,,,,,,,50.000000,,,,,,,-0.001021,-0.002041,,,,,,-0.017085,,,,7824.000000,
2019-07-08,9.780000,9.780000,9.780000,9.780000,500,0.000000,0.000000,9.780000,9.780000,9.780000,9.780000,,,,,,,,,,50.000000,,,,,,,0.000000,-0.002041,,,,,,-0.017085,,,,4890.000000,
2019-07-09,9.780000,9.780000,9.780000,9.780000,0,0.000000,0.000000,9.780000,9.780000,9.780000,9.780000,,,,,9.805006,,,,,50.000000,,,,,,,0.000000,-0.002041,,,,,,-0.017085,,,,0.000000,
2019-07-10,9.780000,9.780000,9.780000,9.780000,0,0.000000,0.000000,9.780000,9.780000,9.780000,9.780000,,,,,9.800664,,,,,50.000000,,,,,,,0.000000,-0.002041,,,,,,-0.017085,,,,0.000000,
2019-07-11,9.780000,9.780000,9.780000,9.780000,0,0.000000,0.000000,9.780000,9.780000,9.780000,9.780000,,,,,9.797145,,,,,50.000000,,,,,0.009495,0.000971,0.000000,-0.001021,,,,,,-0.017085,,,,0.000000,
2019-07-12,9.590000,9.740000,9.570000,9.600000,10000,0.000000,0.000000,9.590000,9.740000,9.570000,9.600000,,,,,9.764120,,,,,0.000000,,,,,0.030840,0.003212,-0.018405,-0.018405,,,,,,-0.035176,,,,96000.000000,
2019-07-15,9.600000,9.600000,9.600000,9.600000,0,0.000000,0.000000,9.600000,9.600000,9.600000,9.600000,,,,,9.736998,,,,,0.000000,,,,,0.027668,0.002882,0.000000,-0.018405,,,,,,-0.035176,,,,0.000000,
2019-07-16,9.600000,9.600000,9.600000,9.600000,0,0.000000,0.000000,9.600000,9.600000,9.600000,9.600000,,,,,9.714613,,,,,0.000000,,,,,0.024909,0.002595,0.000000,-0.018405,,,,,,-0.035176,,,,0.000000,
2019-07-17,9.600000,9.600000,9.600000,9.600000,0,0.000000,0.000000,9.600000,9.600000,9.600000,9.600000,,,,,9.696063,,,,,0.000000,,,,,0.022493,0.002343,0.000000,-0.018405,,,,,,-0.035176,,,,0.000000,
2019-07-18,9.900000,9.900000,9.780000,9.780000,2300,0.000000,0.000000,9.900000,9.900000,9.780000,9.780000,,,,,9.709541,,,,,48.247494,,,,,0.048734,0.004983,0.018750,0.000000,,,,,,-0.017085,,,,22494.000000,
2019-07-19,9.770000,9.770000,9.770000,9.770000,200,0.000000,0.000000,9.770000,9.770000,9.770000,9.770000,9.774500,,,,9.719183,,,,,46.893855,9.774500,9.988679,9.560321,0.489495,0.045154,0.004622,-0.001022,0.017708,,,,,,-0.018090,,,13225.000000,1954.000000,
2019-07-22,9.800000,9.810000,9.800000,9.810000,1500,0.000000,0.000000,9.800000,9.810000,9.800000,9.810000,9.767500,,,,9.733587,,,,,52.620065,9.767500,9.966114,9.568886,0.606992,0.044688,0.004555,0.004094,0.021875,,,,,,-0.014070,,,800.000000,14715.000000,
2019-07-23,9.810000,9.810000,9.810000,9.810000,0,0.000000,0.000000,9.810000,9.810000,9.810000,9.810000,9.760500,,,,9.745648,,,,,52.620065,9.760500,9.941081,9.579919,0.637058,0.040718,0.004151,0.000000,0.021875,-0.014070,,,,0.108164,-0.014070,,,800.000000,0.000000,
2019-07-24,9.810000,9.810000,9.810000,9.810000,0,0.000000,0.000000,9.810000,9.810000,9.810000,9.810000,9.753500,,,,9.755765,,,,,52.620065,9.753500,9.912745,9.594255,0.677400,0.037163,0.003788,0.000000,0.021875,-0.014070,,,,0.108164,-0.014070,,,800.000000,0.000000,
2019-07-25,9.810000,9.810000,9.810000,9.810000,0,0.000000,0.000000,9.810000,9.810000,9.810000,9.810000,9.754000,,,,9.764263,,,,,52.620065,9.754000,9.913921,9.594079,0.675086,0.033969,0.003463,0.000000,0.003067,-0.014070,,,,0.108164,-0.014070,,,775.000000,0.000000,
2019-07-26,9.810000,9.810000,9.800000,9.800000,2800,0.000000,0.000000,9.810000,9.810000,9.800000,9.800000,9.754000,,,,9.769847,,,,,50.778933,9.754000,9.913921,9.594079,0.643821,0.031939,0.003259,-0.001019,0.003071,0.000000,,,,0.094665,-0.015075,,,915.000000,27440.000000,
2019-07-29,9.810000,9.810000,9.800000,9.800000,2800,0.000000,0.000000,9.810000,9.810000,9.800000,9.800000,9.754000,,,,9.774547,9.769826,0.004721,,,50.778933,9.754000,9.913921,9.594079,0.643821,0.030105,0.003072,0.000000,-0.001019,0.000000,,,,0.094665,-0.015075,,,1055.000000,27440.000000,
2019-07-30,9.810000,9.810000,9.800000,9.800000,2800,0.000000,0.000000,9.810000,9.810000,9.800000,9.800000,9.754000,,,,9.778506,9.772381,0.006125,,,50.778933,9.754000,9.913921,9.594079,0.643821,0.028444,0.002902,0.000000,-0.001019,0.000000,,,,0.094665,-0.015075,,,1195.000000,27440.000000,
2019-07-31,9.820000,9.820000,9.790000,9.790000,200,0.000000,0.000000,9.820000,9.820000,9.790000,9.790000,9.753500,,,,9.780291,9.773857,0.006434,,,48.652778,9.753500,9.912877,9.594123,0.614508,0.028571,0.002918,-0.001020,-0.002039,-0.001020,,,,0.094733,-0.016080,,,1205.000000,1958.000000,
2019-08-01,9.820000,9.820000,9.790000,9.790000,200,0.000000,0.000000,9.820000,9.820000,9.790000,9.790000,9.753500,,,,9.781797,9.775197,0.006600,,,48.652778,9.753500,9.912877,9.594123,0.614508,0.028687,0.002930,0.000000,-0.002039,-0.001020,,,,0.094733,-0.016080,,,1205.000000,1958.000000,
2019-08-02,10.100000,10.250000,9.800000,9.800000,700,0.000000,0.000000,10.100000,10.250000,9.800000,9.800000,9.754500,,,,9.784616,9.777237,0.007379,,,51.030737,9.754500,9.914825,9.594175,0.641899,0.063235,0.006453,0.001021,0.000000,0.001021,,,,0.094729,-0.015075,,,1200.000000,6860.000000,
2019-08-05,10.100000,10.250000,9.800000,9.800000,700,0.000000,0.000000,10.100000,10.250000,9.800000,9.800000,9.755500,,,,9.786996,9.779094,0.007902,,,51.030737,9.755500,9.916742,9.594258,0.637991,0.093949,0.009587,0.000000,0.000000,0.002045,,,,0.094647,-0.015075,,,1210.000000,6860.000000,
2019-08-06,10.100000,10.250000,9.800000,9.800000,700,0.000000,0.000000,10.100000,10.250000,9.800000,9.800000,9.756500,,,,9.789006,9.780787,0.008220,,,51.030737,9.756500,9.918627,9.594373,0.634154,0.121999,0.012449,0.000000,0.000000,0.002045,,,,0.094647,-0.015075,,,1245.000000,6860.000000,
2019-08-07,10.100000,10.250000,9.800000,9.800000,700,0.000000,0.000000,10.100000,10.250000,9.800000,9.800000,9.757500,,,,9.790705,9.782332,0.008373,,,51.030737,9.757500,9.920482,9.594518,0.630382,0.147651,0.015066,0.000000,0.001021,0.002045,,,,0.094647,-0.015075,,,1280.000000,6860.000000,
2019-08-08,10.100000,10.250000,9.800000,9.800000,700,0.000000,0.000000,10.100000,10.250000,9.800000,9.800000,9.758500,,,,9.792140,9.783744,0.008396,0.007704,0.000692,51.030737,9.758500,9.922307,9.594693,0.626674,0.171138,0.017463,0.000000,0.001021,0.002045,,,,0.094647,-0.015075,,,1315.000000,6860.000000,
2019-08-09,9.840000,9.840000,9.840000,9.840000,100,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.770500,,,,9.799524,9.788213,0.011311,0.008512,0.002799,61.390787,9.770500,9.919952,9.621048,0.732517,0.161014,0.016363,0.004082,0.004082,0.006135,,,,0.095636,-0.011055,,,820.000000,984.000000,
2019-08-12,9.840000,9.840000,9.840000,9.840000,100,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.782500,,,,9.805766,9.792306,0.013461,0.009595,0.003866,61.390787,9.782500,9.911443,9.653557,0.722967,0.148656,0.015107,0.000000,0.004082,0.025000,,,,0.067318,-0.011055,,,825.000000,984.000000,
2019-08-13,9.840000,9.840000,9.840000,9.840000,100,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.794500,,,,9.811044,9.796056,0.014988,0.010753,0.004235,61.390787,9.794500,9.893010,9.695990,0.730941,0.137306,0.013954,0.000000,0.004082,0.025000,,,,0.067318,-0.011055,,,830.000000,984.000000,
2019-08-14,9.840000,9.840000,9.840000,9.840000,100,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.806500,,,,9.815507,9.799496,0.016011,0.011866,0.004145,61.390787,9.806500,9.846117,9.766883,0.922803,0.126874,0.012894,0.000000,0.004082,0.025000,,,,0.067318,-0.011055,,,835.000000,984.000000,
2019-08-15,9.840000,9.840000,9.840000,9.840000,100,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.809500,,,,9.819280,9.802653,0.016627,0.012862,0.003766,61.390787,9.809500,9.849749,9.769251,0.878889,0.117279,0.011919,0.000000,0.004082,0.025000,,,,0.067318,-0.011055,,,725.000000,984.000000,
2019-08-16,9.840000,9.840000,9.840000,9.840000,0,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.813000,,,,9.822472,9.805553,0.016919,0.013703,0.003216,61.390787,9.813000,9.850892,9.775108,0.856277,0.108446,0.011021,0.000000,0.000000,0.006135,,,,0.021238,-0.011055,,,715.000000,0.000000,
2019-08-19,9.840000,9.840000,9.840000,9.840000,0,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.814500,,,,9.825171,9.808218,0.016953,0.014372,0.002582,61.390787,9.814500,9.854223,9.774777,0.820975,0.100310,0.010194,0.000000,0.000000,0.007165,,,,0.020730,-0.011055,,,640.000000,0.000000,
2019-08-20,9.840000,9.840000,9.840000,9.840000,0,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.816000,,,,9.827455,9.810669,0.016786,0.014866,0.001920,61.390787,9.816000,9.857244,9.774756,0.790953,0.092811,0.009432,0.000000,0.000000,0.003058,,,,0.015609,-0.011055,,,640.000000,0.000000,
2019-08-21,9.840000,9.840000,9.840000,9.840000,0,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.817500,,,,9.829386,9.812924,0.016462,0.015191,0.001271,61.390787,9.817500,9.859988,9.775012,0.764778,0.085896,0.008729,0.000000,0.000000,0.003058,,,,0.015609,-0.011055,,,640.000000,0.000000,
2019-08-22,9.840000,9.840000,9.840000,9.840000,0,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.819000,,,,9.831020,9.815000,0.016020,0.015359,0.000661,61.390787,9.819000,9.862480,9.775520,0.741489,0.079516,0.008081,0.000000,0.000000,0.003058,,,,0.015609,-0.011055,,,640.000000,0.000000,
2019-08-23,9.840000,9.840000,9.840000,9.840000,0,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.821000,,,,9.832403,9.816912,0.015491,0.015386,0.000105,61.390787,9.821000,9.864480,9.777520,0.718490,0.073627,0.007482,0.000000,0.000000,0.003058,,,,0.015609,-0.011055,,,500.000000,0.000000,
2019-08-26,9.840000,9.840000,9.840000,9.840000,0,0.000000,0.000000,9.840000,9.840000,9.840000,9.840000,9.823000,,,,9.833572,9.818673,0.014899,0.015288,-0.000389,61.390787,9.823000,9.866091,9.779909,0.697257,0.068188,0.006930,0.000000,0.000000,0.004082,,,,0.015039,-0.011055,,,360.000000,0.000000,
2019-08-27,9.840000,9.870000,9.840000,9.870000,23500,0.000000,0.000000,9.840000,9.870000,9.840000,9.870000,9.826500,,,,9.839178,9.822580,0.016598,0.015552,0.001047,72.145720,9.826500,9.872964,9.780036,0.968100,0.065374,0.006623,0.003049,0.003049,0.007143,,,,0.017966,-0.008040,,,1395.000000,231945.000000,
2019-08-28,9.870000,9.880000,9.870000,9.880000,7900,0.000000,0.000000,9.870000,9.880000,9.870000,9.880000,9.831000,,,,9.845461,9.826942,0.018519,0.016149,0.002370,74.677822,9.831000,9.879947,9.782053,1.000543,0.061302,0.006205,0.001013,0.004065,0.008163,,,,0.018067,-0.007035,,,1780.000000,78052.000000,
2019-08-29,9.900000,9.900000,9.900000,9.900000,15200,0.000000,0.000000,9.900000,9.900000,9.900000,9.900000,9.836500,,,,9.853854,9.832481,0.021373,0.017198,0.004174,78.824000,9.836500,9.890508,9.782492,1.087878,0.058272,0.005886,0.002024,0.006098,0.011236,,,,0.018155,-0.005025,,,2530.000000,150480.000000,
2019-08-30,9.900000,9.900000,9.900000,9.900000,10000,0.000000,0.000000,9.900000,9.900000,9.900000,9.900000,9.841500,9.806800,,,9.860955,9.837591,0.023363,0.018436,0.004927,78.824000,9.841500,9.899638,9.783362,1.003115,0.054005,0.005455,0.000000,0.006098,0.011236,,,,0.018155,-0.005025,,,2995.000000,99000.000000,
2019-09-03,9.900000,9.900000,9.900000,9.900000,0,0.000000,0.000000,9.900000,9.900000,9.900000,9.900000,9.846500,9.805800,,,9.866963,9.842307,0.024656,0.019684,0.004972,78.824000,9.846500,9.906771,9.786229,0.943826,0.050057,0.005056,0.000000,0.006098,0.010204,,,,0.018154,-0.005025,,,2960.000000,0.000000,
2019-09-04,9.900000,9.900000,9.900000,9.900000,0,0.000000,0.000000,9.900000,9.900000,9.900000,9.900000,9.851500,9.804800,,,9.872046,9.846660,0.025386,0.020827,0.004559,78.824000,9.851500,9.912120,9.790880,0.900036,0.046404,0.004687,0.000000,0.003040,0.010204,,,,0.018154,-0.005025,,,2925.000000,0.000000,
2019-09-05,9.900000,9.900000,9.900000,9.900000,0,0.000000,0.000000,9.900000,9.900000,9.900000,9.900000,9.856500,9.803800,,,9.876348,9.850680,0.025668,0.021797,0.003871,78.824000,9.856500,9.915714,9.797286,0.867311,0.043023,0.004346,0.000000,0.002024,0.010204,,,,0.018154,-0.005025,,,2890.000000,0.000000,
