Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,7.062000,7.126000,6.981000,7.029000,8210000,0.000000,0.000000,5.700397,5.752057,5.635014,5.673759,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,57708090.000000,
2015-01-05,6.977000,7.005000,6.868000,6.872000,10683000,0.000000,0.000000,5.631788,5.654389,5.543804,5.547033,,,,,,,,,,50.000000,,,,,,,-0.022335,,,,,,,-0.022335,,,,73413576.000000,
2015-01-06,6.856000,6.881000,6.651000,6.669000,19515000,0.000000,0.000000,5.534118,5.554297,5.368643,5.383173,,,,,,,,,,50.000000,,,,,,,-0.029540,,,,,,,-0.051216,,,,130145535.000000,
2015-01-07,6.678000,6.783000,6.651000,6.780000,16366000,0.000000,0.000000,5.390437,5.475192,5.368643,5.472771,,,,,,,,,,50.000000,,,,,,,0.016644,,,,,,,-0.035424,,,,110961480.000000,
2015-01-08,6.838000,6.944000,6.818000,6.893000,12761000,0.000000,0.000000,5.519588,5.605150,5.503444,5.563983,,,,,,,,,,50.000000,,,,,,,0.016667,,,,,,,-0.019348,,,,87961573.000000,
2015-01-09,6.929000,6.955000,6.834000,6.917000,7140000,0.000000,0.000000,5.593041,5.614028,5.516358,5.583354,,,,,,,,,,50.000000,,,,,,,0.003481,-0.015934,,,,,,-0.015934,,,,49387380.000000,
2015-01-12,6.914000,6.932000,6.667000,6.709000,15322000,0.000000,0.000000,5.580934,5.595463,5.381557,5.415459,,,,,,,,,,50.000000,,,,,,,-0.030071,-0.023720,,,,,,-0.045525,,,,102795298.000000,
2015-01-13,6.782000,6.849000,6.531000,6.599000,14732000,0.000000,0.000000,5.474386,5.528468,5.271781,5.326670,,,,,,,,,,50.000000,,,,,,,-0.016395,-0.010496,,,,,,-0.061174,,,,97216468.000000,
2015-01-14,6.521000,6.624000,6.491000,6.555000,17894000,0.000000,0.000000,5.263708,5.346849,5.239493,5.291153,,,,,,,,,,50.000000,,,,,,,-0.006668,-0.033186,,,,,,-0.067434,,,,117295170.000000,
2015-01-15,6.725000,6.909000,6.636000,6.687000,33014000,0.000000,0.000000,5.428374,5.576897,5.356534,5.397700,,,,,,,,,,50.000000,,,,,,,0.020137,-0.029886,,,,,,-0.048655,,,,220764618.000000,
2015-01-16,6.673000,6.799000,6.646000,6.783000,13992000,0.000000,0.000000,5.386400,5.488107,5.364606,5.475192,,,,,,,,,,50.000000,,,,,,,0.014356,-0.019372,,,,,,-0.034997,,,,94907736.000000,
2015-01-20,6.825000,6.906000,6.753000,6.891000,15151000,0.000000,0.000000,5.509094,5.574477,5.450976,5.562369,,,,,5.459094,,,,,50.000000,,,,,,,0.015922,0.027128,,,,,,-0.019632,,,,104405541.000000,
2015-01-21,6.848000,6.993000,6.848000,6.941000,12501000,0.000000,0.000000,5.527659,5.644702,5.527659,5.602728,,,,,5.484034,,,,,50.000000,,,,,,,0.007256,0.051826,,,,,,-0.012519,,,,86769441.000000,
2015-01-22,6.949000,7.113000,6.868000,7.095000,22745000,0.000000,0.000000,5.609186,5.741566,5.543803,5.727036,,,,,5.525410,,,,,50.000000,,,,,0.159657,0.027878,0.022187,0.082380,,,,,,0.000000,,,,161375775.000000,
2015-01-23,6.658000,6.750000,6.512000,6.524000,54668000,0.000000,0.000000,5.374293,5.448555,5.256443,5.266129,,,,,5.481976,,,,,37.355292,,,,,0.192758,0.036603,-0.080479,-0.024375,,,,,,-0.080479,,,,356654032.000000,
2015-01-26,6.488000,6.570000,6.418000,6.544000,30847000,0.000000,0.000000,5.237070,5.303260,5.180567,5.282273,,,,,5.448973,,,,,38.257882,,,,,0.185552,0.035127,0.003066,-0.035235,,,,,,-0.077660,,,,201862768.000000,
