Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2025-09-12,27.000000,31.410000,26.959999,30.500000,9811600,0.000000,0.000000,27.000000,31.410000,26.959999,30.500000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,299253800.000000,
2025-09-15,29.309999,34.397999,28.510000,30.549999,2441500,0.000000,0.000000,29.309999,34.397999,28.510000,30.549999,,,,,,,,,,50.000000,,,,,,,0.001639,,,,,,,0.000000,,,,74587822.558500,
2025-09-16,30.480000,32.380001,30.299999,31.080000,1283800,0.000000,0.000000,30.480000,32.380001,30.299999,31.080000,,,,,,,,,,50.000000,,,,,,,0.017349,,,,,,,0.000000,,,,39900504.000000,
2025-09-17,31.129999,31.715000,29.950001,30.330000,1111300,0.000000,0.000000,31.129999,31.715000,29.950001,30.330000,,,,,,,,,,50.000000,,,,,,,-0.024131,,,,,,,-0.024131,,,,33705729.000000,
2025-09-18,30.020000,31.030001,28.309999,29.719999,3766200,0.000000,0.000000,30.020000,31.030001,28.309999,29.719999,,,,,,,,,,50.000000,,,,,,,-0.020112,,,,,,,-0.043758,,,,111931460.233800,
2025-09-19,29.670000,32.327000,29.299999,31.330000,1011200,0.000000,0.000000,29.670000,32.327000,29.299999,31.330000,,,,,,,,,,50.000000,,,,,,,0.054172,0.027213,,,,,,0.000000,,,,31680896.000000,
2025-09-22,31.160000,32.810001,30.760000,32.740002,443800,0.000000,0.000000,31.160000,32.810001,30.760000,32.740002,,,,,,,,,,50.000000,,,,,,,0.045005,0.071686,,,,,,0.000000,,,,14530012.887600,
2025-09-23,33.000000,33.599998,32.036999,33.400002,391300,0.000000,0.000000,33.000000,33.599998,32.036999,33.400002,,,,,,,,,,50.000000,,,,,,,0.020159,0.074646,,,,,,0.000000,,,,13069420.782600,
2025-09-24,33.400002,34.299999,33.090000,33.880001,530400,0.000000,0.000000,33.400002,34.299999,33.090000,33.880001,,,,,,,,,,50.000000,,,,,,,0.014371,0.117046,,,,,,0.000000,,,,17969952.530400,
2025-09-25,33.259998,33.419998,31.170000,32.080002,662200,0.000000,0.000000,33.259998,33.419998,31.170000,32.080002,,,,,,,,,,50.000000,,,,,,,-0.053129,0.079408,,,,,,-0.053129,,,,21243377.324400,
2025-09-26,32.029999,32.500000,30.400000,31.670000,513400,0.000000,0.000000,32.029999,32.500000,30.400000,31.670000,,,,,,,,,,50.000000,,,,,,,-0.012781,0.010852,,,,,,-0.065230,,,,16259378.000000,
2025-09-29,30.820000,31.980000,30.540001,31.120001,1497100,0.000000,0.000000,30.820000,31.980000,30.540001,31.120001,,,,,31.816274,,,,,50.000000,,,,,,,-0.017367,-0.049481,,,,,,-0.081464,,,,46589753.497100,
2025-09-30,31.299999,31.545000,29.000000,30.809999,1765600,0.000000,0.000000,31.299999,31.545000,29.000000,30.809999,,,,,31.641547,,,,,50.000000,,,,,,,-0.009962,-0.077545,,,,,,-0.090614,,,,54398134.234400,
2025-10-01,30.809999,32.160000,30.101000,31.660000,1868400,0.000000,0.000000,30.809999,32.160000,30.101000,31.660000,,,,,31.644689,,,,,50.000000,,,,,2.363706,0.074659,0.027588,-0.065525,,,,,,-0.065525,,,,59153544.000000,
2025-10-02,31.520000,32.209999,29.510000,29.969999,941800,0.000000,0.000000,31.520000,32.209999,29.510000,29.969999,,,,,31.364149,,,,,42.181786,,,,,2.399506,0.080064,-0.053380,-0.065773,,,,,,-0.115407,,,,28225745.058200,
2025-10-03,29.969999,32.480000,29.320000,31.670000,1161600,0.000000,0.000000,29.969999,32.480000,29.320000,31.670000,,,,,31.414694,,,,,53.059580,,,,,2.477725,0.078236,0.056723,0.000000,,,,,,-0.065230,,,,36787872.000000,
2025-10-06,31.299999,31.920000,29.940001,30.570000,606100,0.000000,0.000000,31.299999,31.920000,29.940001,30.570000,,,,,31.276676,,,,,46.909696,,,,,2.428092,0.079427,-0.034733,-0.017674,,,,,,-0.097698,,,,18528477.000000,
2025-10-07,31.309999,32.130001,29.450001,32.000000,1186700,0.000000,0.000000,31.309999,32.130001,29.450001,32.000000,,,,,31.393745,,,,,54.321780,,,,,2.452521,0.076641,0.046778,0.038624,,,,,,-0.055490,,,,37974400.000000,
2025-10-08,32.480000,32.480000,31.049999,31.090000,427300,0.000000,0.000000,32.480000,32.480000,31.049999,31.090000,,,,,31.344975,,,,,49.578203,,,,,2.355832,0.075775,-0.028438,-0.018004,,,,,,-0.082349,,,,13284757.000000,
2025-10-09,30.860001,31.955000,30.330000,31.070000,1183300,0.000000,0.000000,30.860001,31.955000,30.330000,31.070000,31.362000,,,,31.301118,,,,,49.475945,31.362000,33.510456,29.213544,0.432044,2.288287,0.073649,-0.000643,0.036703,,,,,,-0.082940,,,1630230.000000,36765131.000000,
2025-10-10,31.080000,31.730000,30.650000,31.250000,568200,0.000000,0.000000,31.080000,31.730000,30.650000,31.250000,31.399500,,,,31.293011,,,,,50.466178,31.399500,33.510460,29.288540,0.464590,2.178911,0.069725,0.005793,-0.013262,,,,,,-0.077627,,,1168060.000000,17756250.000000,
2025-10-13,31.200001,32.480000,30.690001,32.029999,486900,0.000000,0.000000,31.200001,32.480000,30.690001,32.029999,31.473500,,,,31.409342,,,,,54.617041,31.473500,33.562725,29.384276,0.633183,2.144366,0.066949,0.024960,0.047759,0.050164,,,,0.523714,-0.054605,,,1070330.000000,15595406.513100,
2025-10-14,32.009998,32.169998,30.750000,31.610001,485200,0.000000,0.000000,32.009998,32.169998,30.750000,31.610001,31.500000,,,,31.440889,,,,,52.086021,31.500000,33.581641,29.418360,0.526422,2.081124,0.065838,-0.013113,-0.012187,0.034697,,,,0.526629,-0.067001,,,1030400.000000,15337172.485200,
2025-10-15,31.620001,33.740002,31.330000,33.500000,779900,0.000000,0.000000,31.620001,33.740002,31.330000,33.500000,31.658500,,,,31.763530,,,,,60.873057,31.658500,33.845133,29.471867,0.921081,2.109388,0.062967,0.059791,0.077517,0.077864,,,,0.561437,-0.011216,,,1013830.000000,26126650.000000,
2025-10-16,33.430000,33.900002,32.160000,33.639999,404500,0.000000,0.000000,33.430000,33.900002,32.160000,33.639999,31.854500,,,,32.056720,,,,,61.437210,31.854500,34.012068,29.696933,0.913776,2.078096,0.061775,0.004179,0.082716,0.109133,,,,0.551941,-0.007084,,,845745.000000,13607379.595500,
2025-10-17,33.900002,34.570000,33.151001,33.820000,498200,0.000000,0.000000,33.900002,34.570000,33.151001,33.820000,31.979000,,,,32.331564,31.960555,0.371010,,,62.192022,31.979000,34.290973,29.667027,0.898145,2.022994,0.059817,0.005351,0.082240,0.137954,,,,0.544035,-0.001771,,,820095.000000,16849124.000000,
2025-10-20,34.330002,36.555000,33.501999,35.619999,506100,0.000000,0.000000,34.330002,36.555000,33.501999,35.619999,32.123000,,,,32.843101,32.270415,0.572686,,,68.774155,32.123000,34.938477,29.307523,1.121031,2.108069,0.059182,0.053223,0.112082,0.136929,,,,0.543001,0.000000,,,823210.000000,18027281.493900,
2025-10-21,35.709999,35.889999,33.770000,35.130001,703500,0.000000,0.000000,35.709999,35.889999,33.770000,35.130001,32.209500,,,,33.198235,32.510008,0.688227,,,65.434536,32.209500,35.284510,29.134490,0.974877,2.109044,0.060035,-0.013756,0.111357,0.072999,,,,0.528716,-0.013756,,,838820.000000,24713955.703500,
2025-10-22,35.230000,35.459999,32.330002,32.869999,549700,0.000000,0.000000,35.230000,35.459999,32.330002,32.869999,32.159000,,,,33.147337,32.539880,0.607456,,,52.718920,32.159000,35.150538,29.167462,0.618835,2.191593,0.066675,-0.064333,-0.018806,-0.015868,,,,0.574943,-0.077204,,,839785.000000,18068638.450300,
2025-10-23,32.279999,33.264999,31.260000,32.599998,782400,0.000000,0.000000,32.279999,33.264999,31.260000,32.599998,32.185000,,,,33.062566,32.544825,0.517741,,,51.433002,32.185000,35.182679,29.187320,0.569220,2.176647,0.066768,-0.008214,-0.030916,-0.037780,,,,0.573082,-0.084784,,,845795.000000,25506238.435200,
2025-10-24,34.270000,37.900002,34.270000,36.119999,1375000,0.000000,0.000000,34.270000,37.900002,34.270000,36.119999,32.407500,,,,33.535606,32.836491,0.699116,,,63.822370,32.407500,35.868950,28.946050,1.036264,2.424677,0.067128,0.107975,0.068007,0.125935,,,,0.655062,0.000000,,,888875.000000,49664998.625000,
2025-10-27,36.500000,37.740002,35.320000,36.814999,839100,0.000000,0.000000,36.500000,37.740002,35.320000,36.814999,32.692250,,,,34.042546,33.158642,0.883903,,,65.683748,32.692250,36.614105,28.770394,1.025612,2.424309,0.065851,0.019241,0.033549,0.162457,,,,0.652599,0.000000,,,855975.000000,30891465.660900,
2025-10-28,37.000000,40.730000,36.630001,39.599998,1872700,0.000000,0.000000,37.000000,40.730000,36.630001,39.599998,33.131750,,,,34.901002,33.676644,1.224358,,,71.918739,33.131750,38.017183,28.246316,1.161993,2.555360,0.064529,0.075648,0.127242,0.272493,,,,0.685774,0.000000,,,861330.000000,74158916.254600,
2025-10-29,39.680000,43.000000,39.040001,41.540001,1090100,0.000000,0.000000,39.680000,43.000000,39.040001,41.540001,33.625750,,,,35.925885,34.305015,1.620871,0.992832,0.628039,75.287122,33.625750,39.730491,27.521008,1.148205,2.664474,0.064142,0.048990,0.263766,0.348264,,,,0.691917,0.000000,,,822415.000000,45282755.090100,
2025-10-30,40.799999,41.990002,38.500000,39.849998,1601100,0.000000,0.000000,40.799999,41.990002,38.500000,39.849998,34.119750,,,,36.531344,34.745550,1.785795,1.170502,0.615293,67.671894,34.119750,40.568224,27.671275,0.944310,2.728203,0.068462,-0.040684,0.222393,0.258686,,,,0.716523,-0.040684,,,855380.000000,63803831.797800,
2025-10-31,40.000000,42.490002,39.658001,41.369999,998900,0.000000,0.000000,40.000000,42.490002,39.658001,41.369999,34.604750,,,,37.277577,35.269032,2.008544,1.353860,0.654684,70.556538,34.604750,41.703730,27.505769,0.976494,2.736170,0.066139,0.038143,0.145349,0.380380,,,,0.680589,-0.004092,,,847245.000000,41324492.001100,
2025-11-03,41.689999,43.820000,40.799999,41.430000,601700,0.000000,0.000000,41.689999,43.820000,40.799999,41.430000,35.147749,,,,37.917735,35.753492,2.164243,1.527897,0.636346,70.667802,35.147749,42.599865,27.695634,0.921508,2.757840,0.066566,0.001450,0.125357,0.308178,,,,0.666031,-0.002648,,,847025.000000,24928431.000000,
2025-11-04,40.900002,41.970001,38.110001,38.310001,895800,0.000000,0.000000,40.900002,41.970001,38.110001,38.310001,35.463250,,,,37.978190,35.953607,2.024582,1.633013,0.391570,58.325269,35.463250,42.888488,28.038011,0.691694,2.841576,0.074173,-0.075308,-0.032576,0.253189,,,,0.716149,-0.077756,,,832480.000000,34318098.895800,
2025-11-05,38.500000,40.240002,38.500000,39.000000,477500,0.000000,0.000000,38.500000,40.240002,38.500000,39.000000,35.858750,,,,38.135624,36.191071,1.944553,1.698187,0.246366,59.989580,35.858750,43.144528,28.572971,0.715574,2.772633,0.071093,0.018011,-0.061146,0.218750,,,,0.705278,-0.061146,,,834990.000000,18622500.000000,
2025-11-06,39.514999,39.605000,36.480000,36.540001,548200,0.000000,0.000000,39.514999,39.605000,36.480000,36.540001,36.132250,,,,37.889836,36.218165,1.671671,1.692690,-0.021020,52.014145,36.132250,43.063159,29.201341,0.529415,2.799171,0.076606,-0.063077,-0.083061,0.175298,,,,0.738724,-0.120366,,,803235.000000,20031228.548200,
2025-11-07,35.990002,36.569000,34.400002,35.490002,993400,0.000000,0.000000,35.990002,36.569000,34.400002,35.490002,36.344250,,,,37.520239,36.161826,1.358413,1.623899,-0.265486,49.018586,36.344250,42.895350,29.793149,0.434801,2.751894,0.077540,-0.028736,-0.142132,0.142259,,,,0.749552,-0.145643,,,824495.000000,35255767.986800,
2025-11-10,35.970001,36.709999,35.000000,36.580002,714100,0.000000,0.000000,35.970001,36.709999,35.000000,36.580002,36.571750,,,,37.375457,36.194075,1.181383,1.533357,-0.351974,52.102429,36.571750,42.800090,30.343410,0.500662,2.674008,0.073100,0.030713,-0.117065,0.170560,,,,0.753835,-0.119403,,,835855.000000,26121779.428200,
2025-11-11,36.419998,37.279999,35.410000,36.240002,707000,0.000000,0.000000,36.419998,37.279999,35.410000,36.240002,36.803250,,,,37.200639,36.197606,1.003033,1.425346,-0.422313,51.064807,36.803250,42.583112,31.023388,0.451275,2.614104,0.072133,-0.009295,-0.054033,0.131439,,,,0.753803,-0.127588,,,846945.000000,25621681.414000,
2025-11-12,36.259998,36.930000,35.209999,36.700001,589500,0.000000,0.000000,36.259998,36.930000,35.209999,36.700001,36.963250,,,,37.123568,36.236123,0.887445,1.316193,-0.428748,52.444692,36.963250,42.531383,31.395117,0.476361,2.547692,0.069419,0.012693,-0.058974,0.161025,,,,0.750437,-0.116514,,,837425.000000,21634650.589500,
2025-11-13,36.650002,36.700001,33.009998,33.320000,641300,0.000000,0.000000,36.650002,36.700001,33.009998,33.320000,36.947250,,,,36.538086,36.013128,0.524957,1.156100,-0.631143,42.877299,36.947250,42.557272,31.337228,0.176717,2.632299,0.079001,-0.092098,-0.088123,-0.005373,,,,0.801558,-0.197882,,,849265.000000,21368116.000000,
2025-11-14,35.000000,42.040001,35.000000,40.270000,2814200,0.000000,0.000000,35.000000,42.040001,35.000000,40.270000,37.269750,,,,37.112490,36.337872,0.774619,1.079093,-0.304475,59.313328,37.269750,42.864381,31.675119,0.768137,3.082009,0.076534,0.208583,0.134686,0.197087,,,,1.077246,-0.030573,,,965065.000000,113327834.000000,
2025-11-17,40.939999,43.743000,39.665001,40.119999,1105500,0.000000,0.000000,40.939999,43.743000,39.665001,40.119999,37.494750,,,,37.575364,36.625762,0.949602,1.053003,-0.103400,58.919288,37.494750,43.171374,31.818126,0.731233,3.155406,0.078649,-0.003725,0.096774,0.186280,,,,1.078272,-0.034184,,,995035.000000,44352658.894500,
2025-11-18,40.950001,45.630001,39.930000,44.930000,1440600,0.000000,0.000000,40.950001,45.630001,39.930000,44.930000,37.984750,,,,38.707219,37.256578,1.450641,1.133003,0.317638,66.585173,37.984750,44.440317,31.529183,1.037927,3.342498,0.074393,0.119890,0.239790,0.261370,,,,1.134982,0.000000,,,1031890.000000,64726158.000000,
