Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2023-08-04,29.629999,39.000000,29.629999,37.680000,2539500,0.000000,0.000000,29.629999,39.000000,29.629999,37.680000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,95688360.000000,
2023-08-07,35.099998,36.930000,32.689999,35.130001,3280100,0.000000,0.000000,35.099998,36.930000,32.689999,35.130001,,,,,,,,,,50.000000,,,,,,,-0.067675,,,,,,,-0.067675,,,,115229916.280100,
2023-08-08,32.810001,34.990002,32.810001,33.810001,2558900,0.000000,0.000000,32.810001,34.990002,32.810001,33.810001,,,,,,,,,,50.000000,,,,,,,-0.037575,,,,,,,-0.102707,,,,86516411.558900,
2023-08-09,32.580002,34.395000,31.799999,34.160000,2191100,0.000000,0.000000,32.580002,34.395000,31.799999,34.160000,,,,,,,,,,50.000000,,,,,,,0.010352,,,,,,,-0.093418,,,,74847976.000000,
2023-08-10,34.369999,35.580002,33.009998,35.490002,1449300,0.000000,0.000000,34.369999,35.580002,33.009998,35.490002,,,,,,,,,,50.000000,,,,,,,0.038934,,,,,,,-0.058121,,,,51435659.898600,
2023-08-11,34.520000,35.529999,34.500000,35.000000,611000,0.000000,0.000000,34.520000,35.529999,34.500000,35.000000,,,,,,,,,,50.000000,,,,,,,-0.013807,-0.071125,,,,,,-0.071125,,,,21385000.000000,
2023-08-14,34.910000,35.020000,34.000000,34.200001,666100,0.000000,0.000000,34.910000,35.020000,34.000000,34.200001,,,,,,,,,,50.000000,,,,,,,-0.022857,-0.026473,,,,,,-0.092357,,,,22780620.666100,
2023-08-15,34.200001,35.125000,33.985001,34.990002,930500,0.000000,0.000000,34.200001,35.125000,33.985001,34.990002,,,,,,,,,,50.000000,,,,,,,0.023099,0.034901,,,,,,-0.071391,,,,32558196.861000,
2023-08-16,34.549999,34.549999,33.770000,34.299999,924100,0.000000,0.000000,34.549999,34.549999,33.770000,34.299999,,,,,,,,,,50.000000,,,,,,,-0.019720,0.004098,,,,,,-0.089703,,,,31696629.075900,
2023-08-17,34.439999,34.520000,33.889999,33.990002,580400,0.000000,0.000000,34.439999,34.520000,33.889999,33.990002,,,,,,,,,,50.000000,,,,,,,-0.009038,-0.042265,,,,,,-0.097930,,,,19727797.160800,
2023-08-18,34.099998,34.099998,33.070000,33.490002,579800,0.000000,0.000000,34.099998,34.099998,33.070000,33.490002,,,,,,,,,,50.000000,,,,,,,-0.014710,-0.043143,,,,,,-0.111200,,,,19417503.159600,
2023-08-21,33.299999,33.970001,33.070000,33.799999,362300,0.000000,0.000000,33.299999,33.970001,33.070000,33.799999,,,,,34.313868,,,,,50.000000,,,,,,,0.009256,-0.011696,,,,,,-0.102972,,,,12245739.637700,
2023-08-22,33.810001,33.990002,33.279999,33.580002,582700,0.000000,0.000000,33.810001,33.990002,33.279999,33.580002,,,,,34.186441,,,,,50.000000,,,,,,,-0.006509,-0.040297,,,,,,-0.108811,,,,19567067.165400,
2023-08-23,33.380001,33.840000,33.351002,33.540001,209200,0.000000,0.000000,33.380001,33.840000,33.351002,33.540001,,,,,34.076373,,,,,50.000000,,,,,1.678847,0.050055,-0.001191,-0.022157,,,,,,-0.109873,,,,7016568.209200,
2023-08-24,33.240002,33.633999,33.055000,33.270000,401900,0.000000,0.000000,33.240002,33.633999,33.055000,33.270000,,,,,33.941291,,,,,28.756604,,,,,1.561763,0.046942,-0.008050,-0.021183,,,,,,-0.117038,,,,13371213.000000,
2023-08-25,33.439999,33.919998,33.349998,33.630001,281900,0.000000,0.000000,33.439999,33.919998,33.349998,33.630001,,,,,33.889848,,,,,33.663419,,,,,1.467986,0.043651,0.010821,0.004180,,,,,,-0.107484,,,,9480297.281900,
