Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,40.910000,41.520000,39.070000,39.720001,300800,0.000000,0.000000,40.910000,41.520000,39.070000,39.720001,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,11947776.300800,
2015-01-05,39.320000,40.470001,39.270000,39.689999,497900,0.000000,0.000000,39.320000,40.470001,39.270000,39.689999,,,,,,,,,,50.000000,,,,,,,-0.000755,,,,,,,-0.000755,,,,19761650.502100,
2015-01-06,39.660000,39.880001,37.810001,38.529999,679000,0.000000,0.000000,39.660000,39.880001,37.810001,38.529999,,,,,,,,,,50.000000,,,,,,,-0.029227,,,,,,,-0.029960,,,,26161869.321000,
2015-01-07,39.900002,41.750000,39.480000,41.369999,758100,0.000000,0.000000,39.900002,41.750000,39.480000,41.369999,,,,,,,,,,50.000000,,,,,,,0.073709,,,,,,,0.000000,,,,31362596.241900,
2015-01-08,41.650002,43.650002,41.500000,43.459999,689200,0.000000,0.000000,41.650002,43.650002,41.500000,43.459999,,,,,,,,,,50.000000,,,,,,,0.050520,,,,,,,0.000000,,,,29952631.310800,
2015-01-09,43.580002,44.020000,42.400002,43.520000,615900,0.000000,0.000000,43.580002,44.020000,42.400002,43.520000,,,,,,,,,,50.000000,,,,,,,0.001381,0.095670,,,,,,0.000000,,,,26803968.000000,
2015-01-12,43.759998,44.040001,42.660000,42.869999,454400,0.000000,0.000000,43.759998,44.040001,42.660000,42.869999,,,,,,,,,,50.000000,,,,,,,-0.014936,0.080121,,,,,,-0.014936,,,,19480127.545600,
2015-01-13,43.349998,44.570000,42.810001,43.490002,478700,0.000000,0.000000,43.349998,44.570000,42.810001,43.490002,,,,,,,,,,50.000000,,,,,,,0.014462,0.128731,,,,,,-0.000689,,,,20818663.957400,
2015-01-14,42.990002,43.910000,42.709999,43.840000,438200,0.000000,0.000000,42.990002,43.910000,42.709999,43.840000,,,,,,,,,,50.000000,,,,,,,0.008048,0.059705,,,,,,0.000000,,,,19210688.000000,
2015-01-15,44.040001,44.330002,42.599998,43.060001,365600,0.000000,0.000000,44.040001,44.330002,42.599998,43.060001,,,,,,,,,,50.000000,,,,,,,-0.017792,-0.009204,,,,,,-0.017792,,,,15742736.365600,
2015-01-16,42.900002,44.590000,42.560001,44.480000,344300,0.000000,0.000000,42.900002,44.590000,42.560001,44.480000,,,,,,,,,,50.000000,,,,,,,0.032977,0.022059,,,,,,0.000000,,,,15314464.000000,
2015-01-20,44.619999,45.119999,43.849998,45.040001,453000,0.000000,0.000000,44.619999,45.119999,43.849998,45.040001,,,,,43.321008,,,,,50.000000,,,,,,,0.012590,0.050618,,,,,,0.000000,,,,20403120.453000,
2015-01-21,44.740002,45.020000,43.349998,43.779999,471400,0.000000,0.000000,44.740002,45.020000,43.349998,43.779999,,,,,43.400706,,,,,50.000000,,,,,,,-0.027975,0.006668,,,,,,-0.027975,,,,20637891.528600,
2015-01-22,44.040001,44.770000,42.750000,44.619999,424700,0.000000,0.000000,44.040001,44.770000,42.750000,44.619999,,,,,43.608313,,,,,50.000000,,,,,1.805279,0.040459,0.019187,0.017792,,,,,,-0.009325,,,,18950113.575300,
2015-01-23,44.700001,45.770000,44.560001,45.180000,371400,0.000000,0.000000,44.700001,45.770000,44.560001,45.180000,,,,,43.871597,,,,,69.825997,,,,,1.741908,0.038555,0.012550,0.049234,,,,,,0.000000,,,,16779852.000000,
2015-01-26,45.119999,46.209999,44.660000,45.990002,399800,0.000000,0.000000,45.119999,46.209999,44.660000,45.990002,,,,,44.221681,,,,,72.729297,,,,,1.722170,0.037447,0.017928,0.033948,,,,,,0.000000,,,,18386802.799600,
2015-01-27,45.470001,46.240002,45.119999,45.950001,434400,0.000000,0.000000,45.470001,46.240002,45.119999,45.950001,,,,,44.504076,,,,,72.359025,,,,,1.662122,0.036172,-0.000870,0.020204,,,,,,-0.000870,,,,19960680.434400,
2015-01-28,46.119999,46.529999,44.299999,44.750000,646300,0.000000,0.000000,46.119999,46.529999,44.299999,44.750000,,,,,44.543879,,,,,62.138605,,,,,1.717193,0.038373,-0.026115,0.022156,,,,,,-0.026962,,,,28921925.000000,
2015-01-29,44.669998,45.490002,43.500000,45.450001,430200,0.000000,0.000000,44.669998,45.490002,43.500000,45.450001,,,,,44.689369,,,,,65.224305,,,,,1.742989,0.038350,0.015642,0.018602,,,,,,-0.011742,,,,19552590.430200,
2015-01-30,45.139999,45.320000,43.880001,44.639999,658900,0.000000,0.000000,45.139999,45.320000,43.880001,44.639999,43.471500,,,,44.681495,,,,,59.210770,43.471500,47.703923,39.239077,0.638041,1.727001,0.038687,-0.017822,-0.011952,,,,,,-0.029354,,,495610.000000,29413295.341100,
2015-02-02,44.660000,44.759998,42.139999,43.099998,763000,0.000000,0.000000,44.660000,44.759998,42.139999,43.099998,43.640500,,,,44.430675,,,,,49.808306,43.640500,47.495278,39.785722,0.429892,1.807837,0.041945,-0.034498,-0.062840,,,,,,-0.062840,,,518720.000000,32885298.474000,
2015-02-03,43.090000,45.540001,42.930000,45.070000,754400,0.000000,0.000000,43.090000,45.540001,42.930000,45.070000,43.909500,,,,44.531590,,,,,58.817468,43.909500,47.329919,40.489080,0.669643,1.879090,0.041693,0.045708,-0.019151,0.134693,,,,0.451676,-0.020004,,,531545.000000,34000808.000000,
2015-02-04,46.160000,49.400002,46.049999,48.310001,1291400,0.000000,0.000000,46.160000,49.400002,46.049999,48.310001,44.398500,,,,45.125623,,,,,68.751835,44.398500,47.344130,41.452870,1.163950,2.093071,0.043326,0.071888,0.079553,0.217183,,,,0.504193,0.000000,,,562165.000000,62387535.291400,
2015-02-05,48.590000,49.380001,47.240002,47.950001,803600,0.000000,0.000000,48.590000,49.380001,47.240002,47.950001,44.727500,,,,45.568174,,,,,66.822999,44.727500,47.718399,41.736602,1.038718,2.097104,0.043735,-0.007452,0.055005,0.244485,,,,0.488308,-0.007452,,,564440.000000,38532620.803600,
2015-02-06,48.060001,49.439999,47.910000,49.049999,591400,0.000000,0.000000,48.060001,49.439999,47.910000,49.049999,45.007000,,,,46.112192,,,,,69.626968,45.007000,48.501538,41.512462,1.078474,2.049063,0.041775,0.022941,0.098790,0.185642,,,,0.434779,0.000000,,,559550.000000,29008169.408600,
2015-02-09,49.060001,49.259998,48.189999,48.299999,330300,0.000000,0.000000,49.060001,49.259998,48.189999,48.299999,45.246000,,,,46.453208,45.460330,0.992878,,,65.558604,45.246000,48.959313,41.532687,0.911223,1.967211,0.040729,-0.015291,0.120650,0.111367,,,,0.413893,-0.015291,,,545270.000000,15953489.669700,
2015-02-10,48.529999,50.470001,48.529999,50.049999,729300,0.000000,0.000000,48.529999,50.470001,48.529999,50.049999,45.605000,,,,47.012712,45.848956,1.163755,,,69.968079,45.605000,49.717924,41.492076,1.040370,1.983961,0.039640,0.036232,0.110495,0.150046,,,,0.427069,0.000000,,,559015.000000,36501464.270700,
2015-02-11,50.150002,50.529999,49.450001,49.840000,547700,0.000000,0.000000,50.150002,50.529999,49.450001,49.840000,45.922500,,,,47.451763,46.183350,1.268413,,,68.829290,45.922500,50.318613,41.526387,0.945564,1.910121,0.038325,-0.004196,0.031670,0.162585,,,,0.421699,-0.004196,,,562465.000000,27297368.000000,
2015-02-12,50.090000,51.189999,50.090000,50.720001,330100,0.000000,0.000000,50.090000,51.189999,50.090000,50.720001,46.266500,,,,47.958558,46.559802,1.398756,,,70.962132,46.266500,51.037246,41.495754,0.966751,1.864833,0.036767,0.017657,0.057769,0.166245,,,,0.422505,0.000000,,,557060.000000,16742672.330100,
2015-02-13,50.880001,51.840000,50.509998,51.610001,338900,0.000000,0.000000,50.880001,51.840000,50.509998,51.610001,46.694000,,,,48.524085,46.975169,1.548916,,,72.976095,46.694000,51.777023,41.610978,0.983571,1.821993,0.035303,0.017547,0.052192,0.177235,,,,0.423888,0.000000,,,555725.000000,17490629.338900,
2015-02-17,51.599998,52.180000,51.139999,51.470001,428400,0.000000,0.000000,51.599998,52.180000,51.139999,51.470001,47.043500,,,,48.979871,47.341861,1.638010,,,72.128639,47.043500,52.437292,41.649709,0.910333,1.759894,0.034193,-0.002713,0.065632,0.195309,,,,0.415400,-0.002713,,,559930.000000,22049748.428400,
2015-02-18,51.330002,51.480000,51.099998,51.299999,392400,0.000000,0.000000,51.330002,51.480000,51.099998,51.299999,47.356500,,,,49.338524,47.662363,1.676161,,,71.049669,47.356500,52.982307,41.730693,0.850483,1.651182,0.032187,-0.003303,0.024975,0.153327,,,,0.407795,-0.006007,,,556900.000000,20130119.607600,
2015-02-19,51.299999,51.490002,50.639999,50.990002,461000,0.000000,0.000000,51.299999,51.490002,50.639999,50.990002,47.717000,,,,49.593627,47.929966,1.663661,,,69.022089,47.717000,53.301713,42.132287,0.793032,1.588524,0.031154,-0.006043,0.023074,0.132105,,,,0.409752,-0.012013,,,556380.000000,23506390.922000,
2015-02-20,51.000000,51.500000,50.590000,51.330002,375400,0.000000,0.000000,51.000000,51.500000,50.590000,51.330002,48.052500,,,,49.861677,48.201667,1.660010,1.556573,0.103437,70.032218,48.052500,53.659996,42.445005,0.792243,1.535816,0.029920,0.006668,0.012027,0.172453,,,,0.390423,-0.005425,,,553915.000000,19269282.750800,
2015-02-23,51.330002,51.470001,50.740002,51.139999,351800,0.000000,0.000000,51.330002,51.470001,50.740002,51.139999,48.350500,,,,50.058912,48.435110,1.623802,1.571636,0.052166,68.684346,48.350500,53.948702,42.752299,0.749142,1.473608,0.028815,-0.003702,-0.009107,0.146123,,,,0.390128,-0.009107,,,552935.000000,17991051.648200,
2015-02-24,51.029999,51.520000,50.740002,51.049999,343300,0.000000,0.000000,51.029999,51.520000,50.740002,51.049999,48.603500,,,,50.211760,48.641746,1.570014,1.571281,-0.001267,68.016568,48.603500,54.209878,42.997122,0.718189,1.420370,0.027823,-0.001760,-0.008160,0.129925,,,,0.390618,-0.010851,,,550110.000000,17525464.656700,
2015-02-25,51.119999,51.439999,50.680000,51.189999,244200,0.000000,0.000000,51.119999,51.439999,50.680000,51.189999,48.865500,,,,50.362570,48.842124,1.520446,1.560364,-0.039918,68.529138,48.865500,54.439415,43.291585,0.708516,1.369952,0.026762,0.002742,-0.002144,0.113068,,,,0.388368,-0.008138,,,540600.000000,12500597.755800,
