Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,78.339996,78.559998,76.709999,77.750000,1277300,0.000000,0.000000,70.055681,70.252418,68.598053,69.528076,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,99310075.000000,
2015-01-05,77.639999,77.739998,75.320000,75.620003,2034800,0.000000,0.000000,69.429691,69.519115,67.355028,67.623306,,,,,,,,,,50.000000,,,,,,,-0.027396,,,,,,,-0.027396,,,,153871582.104400,
2015-01-06,75.470001,75.599998,73.910004,74.669998,2551500,0.000000,0.000000,67.489162,67.605412,66.094132,66.773758,,,,,,,,,,50.000000,,,,,,,-0.012563,,,,,,,-0.039614,,,,190520499.897000,
2015-01-07,75.480003,76.570000,74.989998,76.379997,1979400,0.000000,0.000000,67.498104,68.472835,67.059916,68.302925,,,,,,,,,,50.000000,,,,,,,0.022901,,,,,,,-0.017621,,,,151186566.061800,
2015-01-08,76.800003,79.029999,76.379997,78.910004,2396100,0.000000,0.000000,68.678505,70.672682,68.302915,70.565376,,,,,,,,,,50.000000,,,,,,,0.033124,,,,,,,0.000000,,,,189076260.584400,
2015-01-09,78.790001,79.089996,77.989998,78.730003,2350900,0.000000,0.000000,70.458087,70.726359,69.742683,70.404434,,,,,,,,,,50.000000,,,,,,,-0.002281,0.012604,,,,,,-0.002281,,,,185086364.052700,
2015-01-12,78.879997,79.000000,77.629997,77.910004,1715400,0.000000,0.000000,70.538545,70.645858,69.420731,69.671127,,,,,,,,,,50.000000,,,,,,,-0.010416,0.030283,,,,,,-0.012673,,,,133646820.861600,
2015-01-13,78.839996,79.610001,77.169998,77.419998,2504700,0.000000,0.000000,70.502776,71.191353,69.009378,69.232941,,,,,,,,,,50.000000,,,,,,,-0.006289,0.036829,,,,,,-0.018882,,,,193913868.990600,
2015-01-14,76.220001,77.019997,75.470001,76.570000,1902300,0.000000,0.000000,68.159853,68.875250,67.489164,68.472839,,,,,,,,,,50.000000,,,,,,,-0.010979,0.002488,,,,,,-0.029654,,,,145659111.000000,
2015-01-15,76.690002,77.730003,76.010002,76.099998,1787300,0.000000,0.000000,68.580148,69.510170,67.972057,68.052536,,,,,,,,,,50.000000,,,,,,,-0.006138,-0.035610,,,,,,-0.035610,,,,136013526.425400,
2015-01-16,76.000000,76.190002,75.279999,75.889999,3146500,0.000000,0.000000,67.963114,68.133024,67.319252,67.864746,,,,,,,,,,50.000000,,,,,,,-0.002759,-0.036073,,,,,,-0.038271,,,,238787881.853500,
2015-01-20,76.709999,76.919998,75.510002,76.320000,1614600,0.000000,0.000000,68.598033,68.785825,67.524934,68.249275,,,,,68.617724,,,,,50.000000,,,,,,,0.005666,-0.020408,,,,,,-0.032822,,,,123226272.000000,
2015-01-21,75.970001,77.089996,75.940002,76.260002,1658100,0.000000,0.000000,67.936307,68.937864,67.909480,68.195641,,,,,68.544435,,,,,50.000000,,,,,,,-0.000786,-0.014983,,,,,,-0.033582,,,,126446709.316200,
2015-01-22,76.680000,78.730003,76.360001,78.480003,2106200,0.000000,0.000000,68.571214,70.404433,68.285054,70.180870,,,,,68.823067,,,,,50.000000,,,,,1.565243,0.022303,0.029111,0.024945,,,,,,-0.005449,,,,165294582.318600,
2015-01-23,78.660004,78.849998,77.930000,78.510002,1631000,0.000000,0.000000,70.341834,70.511737,69.689027,70.207695,,,,,69.055016,,,,,58.518861,,,,,1.486197,0.021169,0.000382,0.031669,,,,,,-0.005069,,,,128049813.262000,
2015-01-26,78.650002,79.449997,78.489998,79.419998,1373200,0.000000,0.000000,70.332876,71.048273,70.189792,71.021446,,,,,69.379984,,,,,63.303567,,,,,1.421635,0.020017,0.011591,0.046515,,,,,,0.000000,,,,109059541.253600,
2015-01-27,78.690002,79.330002,78.169998,78.610001,1274300,0.000000,0.000000,70.368646,70.940966,69.903631,70.297104,,,,,69.529835,,,,,57.000916,,,,,1.391338,0.019792,-0.010199,0.030005,,,,,,-0.010199,,,,100172724.274300,
2015-01-28,78.470001,78.629997,76.809998,76.900002,2304500,0.000000,0.000000,70.171919,70.314996,68.687458,68.767944,,,,,69.406525,,,,,46.479970,,,,,1.414244,0.020565,-0.021753,0.008392,,,,,,-0.031730,,,,177216054.609000,
2015-01-29,76.800003,77.459999,76.019997,77.110001,2247000,0.000000,0.000000,68.678503,69.268706,67.980982,68.955719,,,,,69.334142,,,,,47.755191,,,,,1.402280,0.020336,0.002731,-0.017457,,,,,,-0.029086,,,,173266172.247000,
2015-01-30,76.449997,76.540001,74.430000,74.500000,3178100,0.000000,0.000000,68.365522,68.446008,66.559137,66.621735,68.949475,,,,68.901535,,,,,36.207148,68.949475,71.483508,66.415441,0.040705,1.494175,0.022428,-0.033848,-0.051076,,,,,,-0.061949,,,2051660.000000,236768450.000000,
2015-02-02,74.279999,74.980003,73.379997,74.800003,3253500,0.000000,0.000000,66.425015,67.050995,65.620187,66.890030,68.817572,,,,68.582517,,,,,38.061316,68.817572,71.495351,66.139794,0.140086,1.488439,0.022252,0.004027,-0.058171,,,,,,-0.058171,,,2150470.000000,243361809.760500,
2015-02-03,74.980003,76.730003,74.709999,76.629997,2757600,0.000000,0.000000,67.050965,68.615905,66.809513,68.526474,68.862731,,,,68.573671,,,,,47.990875,68.862731,71.485608,66.239854,0.435899,1.516682,0.022133,0.024465,-0.025188,-0.014406,,,,0.279557,-0.035130,,,2186610.000000,211314879.727200,
2015-02-04,75.830002,76.889999,75.459999,75.940002,2261600,0.000000,0.000000,67.811086,68.758990,67.480211,67.909454,68.919516,,,,68.469244,,,,,45.057816,68.919516,71.397120,66.441911,0.296162,1.495911,0.022028,-0.009004,-0.012484,0.004231,,,,0.264133,-0.043818,,,2172115.000000,171745908.523200,
