Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,78.580002,78.930000,77.699997,78.449997,18177500,0.000000,0.000000,77.895955,78.242907,77.023611,77.767082,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,1426024820.467500,
2015-01-05,77.980003,79.250000,76.860001,77.190002,26452200,0.000000,0.000000,77.301183,78.560124,76.190930,76.518059,,,,,,,,,,50.000000,,,,,,,-0.016061,,,,,,,-0.016061,,,,2041845370.904400,
2015-01-06,77.230003,77.589996,75.360001,76.150002,27399300,0.000000,0.000000,76.557699,76.914558,74.703975,75.487099,,,,,,,,,,50.000000,,,,,,,-0.013473,,,,,,,-0.029318,,,,2086456749.798600,
2015-01-07,76.760002,77.360001,75.820000,76.150002,22045300,0.000000,0.000000,76.091789,76.686564,75.159970,75.487099,,,,,,,,,,50.000000,,,,,,,0.000000,,,,,,,-0.029318,,,,1678749639.090600,
2015-01-08,76.739998,78.230003,76.080002,78.180000,23961000,0.000000,0.000000,76.071976,77.549011,75.417725,77.499443,,,,,,,,,,50.000000,,,,,,,0.026658,,,,,,,-0.003442,,,,1873270980.000000,
2015-01-09,78.199997,78.620003,77.199997,77.739998,21157000,0.000000,0.000000,77.519265,77.935615,76.527970,77.063271,,,,,,,,,,50.000000,,,,,,,-0.005628,-0.009050,,,,,,-0.009050,,,,1644745137.686000,
2015-01-12,77.839996,78.000000,76.209999,76.720001,19190200,0.000000,0.000000,77.162385,77.320995,75.546577,76.052139,,,,,,,,,,50.000000,,,,,,,-0.013121,-0.006089,,,,,,-0.022052,,,,1472272163.190200,
2015-01-13,77.230003,78.080002,75.849998,76.449997,25179600,0.000000,0.000000,76.557701,77.400300,75.189709,75.784485,,,,,,,,,,50.000000,,,,,,,-0.003519,0.003940,,,,,,-0.025494,,,,1924980344.461200,
2015-01-14,76.419998,77.199997,76.029999,76.279999,25918600,0.000000,0.000000,75.754747,76.527956,75.368143,75.615967,,,,,,,,,,50.000000,,,,,,,-0.002224,0.001707,,,,,,-0.027661,,,,1977070782.081400,
2015-01-15,76.400002,76.570000,73.540001,74.050003,34134000,0.000000,0.000000,75.734929,75.903448,72.899825,73.405388,,,,,,,,,,50.000000,,,,,,,-0.029234,-0.052827,,,,,,-0.056087,,,,2527622802.402000,
2015-01-16,74.040001,75.320000,73.839996,75.180000,21791500,0.000000,0.000000,73.395468,74.664324,73.197204,74.525543,,,,,,,,,,50.000000,,,,,,,0.015260,-0.032930,,,,,,-0.041683,,,,1638284970.000000,
2015-01-20,75.720001,76.309998,74.820000,76.239998,22821600,0.000000,0.000000,75.060862,75.645722,74.168695,75.576332,,,,,75.490860,,,,,50.000000,,,,,,,0.014100,-0.006256,,,,,,-0.028171,,,,1739918738.356800,
2015-01-21,76.160004,77.300003,75.849998,76.739998,25096700,0.000000,0.000000,75.497030,76.627106,75.189724,76.071976,,,,,75.591764,,,,,50.000000,,,,,,,0.006558,0.003794,,,,,,-0.021797,,,,1925920707.806600,
2015-01-22,77.169998,77.750000,76.680000,77.650002,19519500,0.000000,0.000000,76.498228,77.073180,76.012495,76.974052,,,,,75.827123,,,,,50.000000,,,,,1.700072,0.022086,0.011858,0.017960,,,,,,-0.010198,,,,1515689214.039000,
2015-01-23,77.650002,78.190002,77.040001,77.830002,16746500,0.000000,0.000000,76.974048,77.509348,76.369357,77.152481,,,,,76.049143,,,,,53.972757,,,,,1.640449,0.021262,0.002318,0.051047,,,,,,-0.007903,,,,1303380128.493000,
2015-01-26,77.980003,78.470001,77.290001,77.500000,19260800,0.000000,0.000000,77.301188,77.786921,76.617192,76.825363,,,,,76.177420,,,,,51.567625,,,,,1.592034,0.020723,-0.004240,0.030859,,,,,,-0.012109,,,,1492712000.000000,
2015-01-27,76.709999,76.879997,75.629997,75.779999,20110000,0.000000,0.000000,76.042220,76.210738,74.971620,75.120316,,,,,76.004696,,,,,41.249524,,,,,1.618131,0.021541,-0.022194,-0.006034,,,,,,-0.034035,,,,1523935779.890000,
2015-01-28,76.900002,77.639999,76.000000,76.239998,53306400,0.000000,0.000000,76.230590,76.964147,75.338423,75.576332,,,,,75.935366,,,,,44.450840,,,,,1.640019,0.021700,0.006070,-0.006515,,,,,,-0.028171,,,,4064079829.387200,
2015-01-29,76.849998,78.019997,74.209999,78.000000,61293500,0.000000,0.000000,76.181016,77.340829,73.563998,77.321007,,,,,76.157849,,,,,54.635613,,,,,1.842075,0.023824,0.023085,0.004507,,,,,,-0.005736,,,,4780893000.000000,
2015-01-30,78.000000,78.160004,75.750000,75.910004,42649500,0.000000,0.000000,77.321002,77.479612,75.090588,75.249199,76.053632,,,,76.012927,,,,,44.258236,76.053632,78.241931,73.865332,0.316197,1.892625,0.025151,-0.026795,-0.024669,,,,,,-0.032377,,,27310535.000000,3237523715.598000,
2015-02-02,76.110001,76.139999,73.750000,74.989998,41955300,0.000000,0.000000,75.447449,75.477187,73.107993,74.337196,75.882137,,,,75.747162,,,,,40.602336,75.882137,78.042457,73.721818,0.142428,1.935765,0.026040,-0.012120,-0.032387,,,,,,-0.044105,,,28499425.000000,3146227863.089400,
2015-02-03,75.190002,75.580002,73.860001,75.400002,26957700,0.000000,0.000000,74.535466,74.922070,73.217042,74.743637,75.793416,,,,75.588759,,,,,42.867348,75.793416,77.989226,73.597606,0.260959,1.915269,0.025625,0.005468,-0.005014,-0.038878,,,,0.244788,-0.038878,,,28524700.000000,2032610633.915400,
2015-02-04,75.089996,76.349998,75.010002,75.629997,20277400,0.000000,0.000000,74.436334,75.685367,74.357036,74.971634,75.767643,,,,75.491736,,,,,44.153850,75.767643,77.990525,73.544761,0.320951,1.864026,0.024863,0.003050,-0.008001,-0.020210,,,,0.239631,-0.035946,,,28168605.000000,1533579701.167800,
2015-02-05,75.709999,75.980003,75.209999,75.610001,15062600,0.000000,0.000000,75.050933,75.318587,74.555286,74.951805,75.740878,,,,75.407134,,,,,44.060925,75.740878,77.990710,73.491047,0.324637,1.769427,0.023608,-0.000264,-0.030641,-0.007091,,,,0.235200,-0.036201,,,27819470.000000,1138883201.062600,
2015-02-06,75.680000,75.699997,74.250000,74.470001,21211000,0.000000,0.000000,75.021197,75.041020,73.603645,73.821732,75.556993,,,,75.159423,,,,,39.020667,75.556993,77.802811,73.311174,0.113668,1.741298,0.023588,-0.015077,-0.018970,-0.022062,,,,0.240745,-0.050733,,,27681970.000000,1579583191.211000,
2015-02-09,74.050003,74.830002,73.449997,74.440002,16194300,0.000000,0.000000,73.405388,74.178597,72.810605,73.791992,75.393429,,,,74.946280,75.322940,-0.376660,,,38.894570,75.393429,77.653790,73.133067,0.145756,1.710089,0.023174,-0.000403,-0.007334,-0.047838,,,,0.218900,-0.051115,,,27433835.000000,1205503724.388600,
2015-02-10,74.849998,75.339996,74.500000,75.190002,15811300,0.000000,0.000000,74.198410,74.684142,73.851458,74.535454,75.317595,,,,74.882373,75.256260,-0.373887,,,43.785209,75.317595,77.586657,73.048532,0.327651,1.642530,0.022037,0.010075,-0.002785,-0.032802,,,,0.222567,-0.041555,,,27264890.000000,1188851678.622600,
2015-02-11,75.089996,76.750000,75.029999,76.510002,20877400,0.000000,0.000000,74.436319,76.081872,74.376844,75.843964,75.320569,,,,75.031699,75.305502,-0.273802,,,51.189774,75.320569,77.592362,73.048775,0.615194,1.647635,0.021724,0.017556,0.011635,-0.002737,,,,0.227683,-0.024729,,,27049780.000000,1597329915.754800,
2015-02-12,76.860001,76.870003,75.889999,76.230003,17235000,0.000000,0.000000,76.190935,76.200850,75.229377,75.566422,75.318091,,,,75.114617,75.327153,-0.212536,,,49.694591,75.318091,77.588636,73.047546,0.554685,1.592964,0.021080,-0.003659,0.008200,-0.002877,,,,0.227710,-0.028298,,,26615600.000000,1313824101.705000,
2015-02-13,76.459999,76.480003,75.500000,75.739998,18621900,0.000000,0.000000,75.794414,75.814245,74.842772,75.080681,75.401856,,,,75.109361,75.306881,-0.197520,,,47.101563,75.401856,77.491713,73.311999,0.423159,1.543183,0.020554,-0.006428,0.017054,-0.007079,,,,0.228682,-0.034544,,,25839995.000000,1410422668.756200,
2015-02-17,75.300003,76.910004,75.080002,75.599998,25254400,0.000000,0.000000,74.644511,76.240496,74.426424,74.941895,75.422674,,,,75.083451,75.277105,-0.193654,,,46.357274,75.422674,77.483874,73.361473,0.383374,1.564694,0.020879,-0.001848,0.015583,0.020932,,,,0.203187,-0.036329,,,26013140.000000,1909232589.491200,
2015-02-18,75.940002,76.900002,75.449997,76.709999,22426400,0.000000,0.000000,75.278943,76.230585,74.793203,76.042236,75.445969,,,,75.231663,75.339060,-0.107397,,,52.734307,75.445969,77.524936,73.367002,0.643405,1.554664,0.020445,0.014683,0.020216,0.020351,,,,0.202688,-0.022180,,,25993380.000000,1720329121.573600,
2015-02-19,76.989998,79.839996,76.949997,79.419998,45851200,0.000000,0.000000,76.319783,79.144972,76.280131,78.728630,75.578801,,,,75.771838,75.611643,0.160194,,,63.989719,75.578801,78.115317,73.042286,1.120897,1.675735,0.021285,0.035328,0.038034,0.041710,,,,0.231252,0.000000,,,27031105.000000,3641502212.297600,
2015-02-20,79.550003,80.339996,79.199997,79.900002,36931700,0.000000,0.000000,78.857516,79.640632,78.510557,79.204468,75.690322,,,,76.301744,75.898750,0.402994,-0.000153,0.403147,65.554392,75.690322,78.646532,72.734113,1.094367,1.633348,0.020622,0.006044,0.048144,0.041178,,,,0.231132,0.000000,,,27901715.000000,2950842903.863400,
2015-02-23,79.959999,80.190002,78.379997,78.839996,24139100,0.000000,0.000000,79.263924,79.491925,77.697677,78.153671,75.740382,,,,76.587481,76.077898,0.509583,0.114057,0.395526,59.414846,75.740382,78.831665,72.649099,0.890338,1.645769,0.021058,-0.013267,0.040929,0.015325,,,,0.234032,-0.013267,,,28271345.000000,1903126547.443600,
2015-02-24,78.500000,79.480003,78.099998,78.449997,18897100,0.000000,0.000000,77.816650,78.788122,77.420131,77.767082,75.787468,,,,76.769403,76.211382,0.558021,0.211194,0.346827,57.289051,75.787468,78.975509,72.599427,0.810475,1.624448,0.020889,-0.004947,0.037698,0.007966,,,,0.234801,-0.018148,,,28253160.000000,1482477438.308700,
2015-02-25,78.500000,80.199997,78.500000,79.559998,25593800,0.000000,0.000000,77.816646,79.501844,77.816646,78.867416,75.974823,,,,77.092843,76.420236,0.672607,0.310286,0.362321,61.510210,75.974823,79.427238,72.522407,0.918923,1.632870,0.020704,0.014149,0.037153,0.026580,,,,0.238749,-0.004255,,,28527350.000000,2036242676.812400,
2015-02-26,79.879997,81.370003,79.720001,80.410004,31111900,0.000000,0.000000,79.184629,80.661664,79.026026,79.710022,76.181507,,,,77.496192,76.677750,0.818442,0.417830,0.400612,64.410856,76.181507,80.008135,72.354879,0.961048,1.645131,0.020639,0.010684,0.012466,0.061098,,,,0.224633,0.000000,,,27417625.000000,2501708003.447600,
