Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,36.860001,36.970001,35.750000,36.279999,205500,0.000000,0.000000,33.059766,33.158426,32.064206,32.539562,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,7455539.794500,
2015-01-05,35.990002,36.349998,35.180000,35.439999,250100,0.000000,0.000000,32.279460,32.602341,31.552969,31.786161,,,,,,,,,,50.000000,,,,,,,-0.023153,,,,,,,-0.023153,,,,8863543.749900,
2015-01-06,35.470001,35.599998,34.130001,34.320000,246900,0.000000,0.000000,31.813077,31.929671,30.611229,30.781639,,,,,,,,,,50.000000,,,,,,,-0.031602,,,,,,,-0.054024,,,,8473608.000000,
2015-01-07,34.599998,34.720001,34.009998,34.459999,555000,0.000000,0.000000,31.032765,31.140396,30.503594,30.907200,,,,,,,,,,50.000000,,,,,,,0.004079,,,,,,,-0.050165,,,,19125299.445000,
2015-01-08,34.860001,35.630001,34.220001,35.270000,149800,0.000000,0.000000,31.265968,31.956582,30.691952,31.633698,,,,,,,,,,50.000000,,,,,,,0.023506,,,,,,,-0.027839,,,,5283446.000000,
2015-01-09,34.410000,35.020000,34.099998,34.419998,335600,0.000000,0.000000,30.862357,31.409467,30.584317,30.871325,,,,,,,,,,50.000000,,,,,,,-0.024100,-0.051268,,,,,,-0.051268,,,,11551351.328800,
2015-01-12,34.610001,34.610001,33.619999,33.840000,208400,0.000000,0.000000,31.041752,31.041752,30.153818,30.351137,,,,,,,,,,50.000000,,,,,,,-0.016850,-0.045146,,,,,,-0.067254,,,,7052256.000000,
2015-01-13,34.230000,34.820000,33.410000,33.759998,196000,0.000000,0.000000,30.700927,31.230099,29.965469,30.279383,,,,,,,,,,50.000000,,,,,,,-0.002364,-0.016317,,,,,,-0.069459,,,,6616959.608000,
2015-01-14,33.279999,33.930000,33.110001,33.380001,260400,0.000000,0.000000,29.848865,30.431852,29.696393,29.938557,,,,,,,,,,50.000000,,,,,,,-0.011256,-0.031340,,,,,,-0.079934,,,,8692152.260400,
2015-01-15,33.430000,33.700001,32.939999,33.169998,262400,0.000000,0.000000,29.983394,30.225558,29.543912,29.750198,,,,,,,,,,50.000000,,,,,,,-0.006292,-0.059541,,,,,,-0.085722,,,,8703807.475200,
2015-01-16,33.099998,33.930000,33.040001,33.880001,229100,0.000000,0.000000,29.687425,30.431855,29.633614,30.387011,,,,,,,,,,50.000000,,,,,,,0.021405,-0.015688,,,,,,-0.066152,,,,7761908.229100,
2015-01-20,33.930000,34.259998,33.410000,33.669998,193100,0.000000,0.000000,30.431848,30.727824,29.965460,30.198652,,,,,30.459655,,,,,50.000000,,,,,,,-0.006199,-0.005024,,,,,,-0.071940,,,,6501676.613800,
2015-01-21,33.520000,34.049999,33.520000,33.730000,404600,0.000000,0.000000,30.064116,30.539472,30.064116,30.252464,,,,,30.423679,,,,,50.000000,,,,,,,0.001782,-0.000889,,,,,,-0.070287,,,,13647158.000000,
2015-01-22,33.939999,34.759998,33.349998,34.750000,163400,0.000000,0.000000,30.440827,31.176286,29.911655,31.167318,,,,,30.550297,,,,,50.000000,,,,,0.920550,0.029536,0.030241,0.041043,,,,,,-0.042172,,,,5678150.000000,
2015-01-23,34.759998,34.910000,34.250000,34.669998,193800,0.000000,0.000000,31.176276,31.310812,30.718858,31.095554,,,,,30.641637,,,,,47.054293,,,,,0.885570,0.028479,-0.002303,0.045222,,,,,,-0.044377,,,,6719045.612400,
2015-01-26,34.660000,35.060001,34.250000,35.029999,220900,0.000000,0.000000,31.086586,31.445347,30.718856,31.418438,,,,,30.770009,,,,,51.531710,,,,,0.869208,0.027666,0.010384,0.033943,,,,,,-0.034454,,,,7738126.779100,
2015-01-27,34.500000,35.150002,34.049999,34.840000,202000,0.000000,0.000000,30.943079,31.526066,30.539473,31.248026,,,,,30.848114,,,,,49.168398,,,,,0.880914,0.028191,-0.005424,0.034749,,,,,,-0.039691,,,,7037680.000000,
2015-01-28,35.110001,35.349998,34.660000,34.750000,319200,0.000000,0.000000,31.490203,31.705458,31.086597,31.167318,,,,,30.899777,,,,,48.044589,,,,,0.855501,0.027449,-0.002583,0.030241,,,,,,-0.042172,,,,11092200.000000,
2015-01-29,35.009998,36.580002,35.009998,36.380001,646400,0.000000,0.000000,31.400493,32.808630,31.400493,32.629250,,,,,31.177466,,,,,64.066159,,,,,0.929807,0.028496,0.046906,0.046906,,,,,,0.000000,,,,23516032.646400,
2015-01-30,36.090000,36.549999,34.950001,35.009998,354200,0.000000,0.000000,32.369152,32.781726,31.346686,31.400497,30.990169,,,,31.213038,,,,,50.085984,30.990169,32.565177,29.415162,0.630262,0.976502,0.031098,-0.037658,0.009807,,,,,,-0.037658,,,279840.000000,12400541.291600,
2015-02-02,35.009998,35.570000,34.619999,35.509998,315000,0.000000,0.000000,31.400493,31.902759,31.050703,31.848944,30.955638,,,,31.313891,,,,,54.028754,30.955638,32.413546,29.497731,0.806366,0.965237,0.030307,0.014282,0.013702,,,,,,-0.023914,,,285315.000000,11185649.370000,
2015-02-03,35.790001,36.279999,35.580002,35.970001,281600,0.000000,0.000000,32.100089,32.539569,31.911741,32.261532,30.979407,,,,31.463473,,,,,57.365550,30.979407,32.508108,29.450706,0.919351,0.940844,0.029163,0.012955,0.032434,-0.008544,,,,0.330961,-0.011270,,,286890.000000,10129152.281600,
2015-02-04,35.709999,36.160000,35.619999,35.869999,169200,0.000000,0.000000,32.028321,32.431927,31.947600,32.171825,31.048916,,,,31.574838,,,,,56.406879,31.048916,32.663750,29.434083,0.847686,0.900987,0.028005,-0.002781,0.032229,0.012133,,,,0.320520,-0.014019,,,283005.000000,6069203.830800,
2015-02-05,36.090000,36.389999,35.830002,36.099998,163600,0.000000,0.000000,32.369161,32.638230,32.135968,32.378128,31.122463,,,,31.700705,,,,,58.139436,31.122463,32.840788,29.404137,0.865375,0.866720,0.026769,0.006413,-0.007696,0.051865,,,,0.298437,-0.007696,,,263435.000000,5905959.672800,
2015-02-06,36.020000,36.369999,35.630001,35.779999,177400,0.000000,0.000000,32.306379,32.620293,31.956589,32.091122,31.145334,,,,31.761706,,,,,54.872117,31.145334,32.904013,29.386654,0.768892,0.849522,0.026472,-0.008864,0.021994,0.038306,,,,0.300974,-0.016492,,,264815.000000,6347371.822600,
2015-02-09,35.549999,35.709999,35.270000,35.430000,103100,0.000000,0.000000,31.884830,32.028334,31.633699,31.777203,31.190628,,,,31.764122,31.496159,0.267962,,,51.465316,31.190628,32.966174,29.415082,0.665182,0.816741,0.025702,-0.009782,-0.002253,0.004536,,,,0.292933,-0.026113,,,253190.000000,3652833.000000,
2015-02-10,35.779999,36.070000,35.139999,35.860001,179500,0.000000,0.000000,32.091119,32.351221,31.517102,32.162872,31.281215,,,,31.826150,31.552613,0.273537,,,55.149522,31.281215,33.061284,29.501145,0.747647,0.818177,0.025439,0.012137,-0.003058,0.041836,,,,0.281453,-0.014293,,,251745.000000,6436870.179500,
2015-02-11,35.740002,36.160000,35.430000,35.630001,108100,0.000000,0.000000,32.055241,32.431938,31.777200,31.956581,31.365075,,,,31.846404,31.586459,0.259945,,,52.839070,31.365075,33.103972,29.626177,0.670081,0.804826,0.025185,-0.006414,-0.006690,0.052896,,,,0.274843,-0.020616,,,247350.000000,3851603.108100,
2015-02-12,35.730000,36.099998,35.560001,35.810001,124500,0.000000,0.000000,32.046277,32.378129,31.893805,32.118031,31.474048,,,,31.888525,31.630569,0.257955,,,54.447528,31.474048,33.106441,29.841655,0.697251,0.778912,0.024252,0.005052,-0.008033,0.060723,,,,0.274355,-0.015668,,,240555.000000,4458345.124500,
2015-02-13,35.779999,35.900002,35.240002,35.560001,152200,0.000000,0.000000,32.091113,32.198743,31.606789,31.893797,31.581228,,,,31.889341,31.652219,0.237122,,,51.804840,31.581228,33.005243,30.157213,0.609749,0.763937,0.023953,-0.006982,-0.006149,0.065308,,,,0.271955,-0.022540,,,235045.000000,5412232.152200,
2015-02-17,35.470001,35.599998,35.040001,35.250000,181600,0.000000,0.000000,31.813076,31.929671,31.427409,31.615757,31.642665,,,,31.847013,31.649245,0.197768,,,48.651612,31.642665,32.951074,30.334257,0.489717,0.743157,0.023506,-0.008718,-0.005081,0.062707,,,,0.273144,-0.031061,,,232670.000000,6401400.000000,
2015-02-18,35.099998,35.450001,34.880001,35.439999,201700,0.000000,0.000000,31.481215,31.795132,31.283899,31.786161,31.722041,,,,31.837606,31.660331,0.177275,,,50.634797,31.722041,32.840413,30.603669,0.528667,0.724885,0.022805,0.005390,-0.011713,0.046044,,,,0.265092,-0.025838,,,233100.000000,7148247.798300,
2015-02-19,35.299999,35.750000,35.150002,35.689999,110400,0.000000,0.000000,31.660593,32.064199,31.526060,32.010384,31.809937,,,,31.864295,31.688482,0.175813,,,53.196337,31.809937,32.693716,30.926157,0.613403,0.710280,0.022189,0.007054,0.001684,0.059994,,,,0.263725,-0.018967,,,218390.000000,3940175.889600,
