Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,14.040000,14.040000,13.290000,13.490000,65700,0.000000,0.000000,14.040000,14.040000,13.290000,13.490000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,886293.000000,
2015-01-05,13.410000,13.490000,13.140000,13.300000,60400,0.000000,0.000000,13.410000,13.490000,13.140000,13.300000,,,,,,,,,,50.000000,,,,,,,-0.014085,,,,,,,-0.014085,,,,803320.000000,
2015-01-06,13.310000,13.330000,12.760000,13.100000,85000,0.000000,0.000000,13.310000,13.330000,12.760000,13.100000,,,,,,,,,,50.000000,,,,,,,-0.015038,,,,,,,-0.028910,,,,1113500.000000,
2015-01-07,13.160000,13.260000,13.080000,13.240000,39800,0.000000,0.000000,13.160000,13.260000,13.080000,13.240000,,,,,,,,,,50.000000,,,,,,,0.010687,,,,,,,-0.018532,,,,526952.000000,
2015-01-08,13.360000,13.510000,13.280000,13.460000,57500,0.000000,0.000000,13.360000,13.510000,13.280000,13.460000,,,,,,,,,,50.000000,,,,,,,0.016616,,,,,,,-0.002224,,,,773950.000000,
2015-01-09,13.390000,13.490000,13.370000,13.410000,103800,0.000000,0.000000,13.390000,13.490000,13.370000,13.410000,,,,,,,,,,50.000000,,,,,,,-0.003715,-0.005930,,,,,,-0.005930,,,,1391958.000000,
2015-01-12,13.370000,13.450000,13.060000,13.280000,79000,0.000000,0.000000,13.370000,13.450000,13.060000,13.280000,,,,,,,,,,50.000000,,,,,,,-0.009694,-0.001504,,,,,,-0.015567,,,,1049120.000000,
2015-01-13,13.280000,14.010000,13.280000,14.000000,280700,0.000000,0.000000,13.280000,14.010000,13.280000,14.000000,,,,,,,,,,50.000000,,,,,,,0.054217,0.068702,,,,,,0.000000,,,,3929800.000000,
2015-01-14,13.960000,14.050000,13.780000,14.000000,135400,0.000000,0.000000,13.960000,14.050000,13.780000,14.000000,,,,,,,,,,50.000000,,,,,,,0.000000,0.057402,,,,,,0.000000,,,,1895600.000000,
2015-01-15,14.050000,14.350000,13.880000,14.000000,343100,0.000000,0.000000,14.050000,14.350000,13.880000,14.000000,,,,,,,,,,50.000000,,,,,,,0.000000,0.040119,,,,,,0.000000,,,,4803400.000000,
2015-01-16,14.040000,14.400000,13.980000,14.400000,126000,0.000000,0.000000,14.040000,14.400000,13.980000,14.400000,,,,,,,,,,50.000000,,,,,,,0.028571,0.073826,,,,,,0.000000,,,,1814400.000000,
2015-01-20,14.400000,14.420000,14.220000,14.390000,137100,0.000000,0.000000,14.400000,14.420000,14.220000,14.390000,,,,,13.896733,,,,,50.000000,,,,,,,-0.000694,0.083584,,,,,,-0.000694,,,,1972869.000000,
2015-01-21,14.320000,14.480000,14.320000,14.470000,149500,0.000000,0.000000,14.320000,14.480000,14.320000,14.470000,,,,,13.996274,,,,,50.000000,,,,,,,0.005559,0.033571,,,,,,0.000000,,,,2163265.000000,
2015-01-22,14.530000,14.780000,14.430000,14.740000,131700,0.000000,0.000000,14.530000,14.780000,14.430000,14.740000,,,,,14.122907,,,,,50.000000,,,,,0.355804,0.024139,0.018659,0.052857,,,,,,0.000000,,,,1941258.000000,
2015-01-23,14.710000,14.850000,14.570000,14.660000,62900,0.000000,0.000000,14.710000,14.850000,14.570000,14.660000,,,,,14.212879,,,,,78.088584,,,,,0.347734,0.023720,-0.005427,0.047143,,,,,,-0.005427,,,,922114.000000,
