Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,14.550000,14.690000,14.320000,14.520000,3179700,0.000000,0.000000,13.075953,13.201769,12.869253,13.048992,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,46169244.000000,
2015-01-05,14.460000,14.530000,14.230000,14.280000,3481400,0.000000,0.000000,12.995073,13.057981,12.788373,12.833308,,,,,,,,,,50.000000,,,,,,,-0.016529,,,,,,,-0.016529,,,,49714392.000000,
2015-01-06,14.300000,15.040000,13.840000,14.830000,16125900,0.000000,0.000000,12.851285,13.516316,12.437887,13.327591,,,,,,,,,,50.000000,,,,,,,0.038516,,,,,,,0.000000,,,,239147097.000000,
2015-01-07,14.880000,15.080000,14.660000,15.040000,9601500,0.000000,0.000000,13.372519,13.552257,13.174807,13.516310,,,,,,,,,,50.000000,,,,,,,0.014160,,,,,,,0.000000,,,,144406560.000000,
2015-01-08,15.120000,16.190001,15.120000,16.020000,27679700,0.000000,0.000000,13.588213,14.549813,13.588213,14.397036,,,,,,,,,,50.000000,,,,,,,0.065160,,,,,,,0.000000,,,,443428794.000000,
2015-01-09,16.000000,16.160000,15.790000,16.030001,9152800,0.000000,0.000000,14.379057,14.522847,14.190332,14.406018,,,,,,,,,,50.000000,,,,,,,0.000624,0.103995,,,,,,0.000000,,,,146719393.152800,
2015-01-12,15.910000,16.090000,15.830000,15.920000,9750200,0.000000,0.000000,14.298174,14.459939,14.226279,14.307161,,,,,,,,,,50.000000,,,,,,,-0.006862,0.114846,,,,,,-0.006862,,,,155223184.000000,
2015-01-13,15.990000,16.010000,15.510000,15.710000,17136800,0.000000,0.000000,14.370068,14.388042,13.938697,14.118435,,,,,,,,,,50.000000,,,,,,,-0.013191,0.059339,,,,,,-0.019963,,,,269219128.000000,
2015-01-14,15.500000,15.890000,15.460000,15.510000,18925900,0.000000,0.000000,13.929707,14.280197,13.893759,13.938694,,,,,,,,,,50.000000,,,,,,,-0.012731,0.031250,,,,,,-0.032439,,,,293540709.000000,
2015-01-15,15.550000,15.790000,15.310000,15.350000,7399400,0.000000,0.000000,13.974644,14.190329,13.758958,13.794906,,,,,,,,,,50.000000,,,,,,,-0.010316,-0.041823,,,,,,-0.042421,,,,113580790.000000,
2015-01-16,15.270000,15.670000,15.200000,15.540000,5560700,0.000000,0.000000,13.723011,14.082487,13.660102,13.965657,,,,,,,,,,50.000000,,,,,,,0.012378,-0.030568,,,,,,-0.030568,,,,86413278.000000,
2015-01-20,15.530000,15.810000,15.490000,15.690000,4269900,0.000000,0.000000,13.956672,14.208306,13.920724,14.100462,,,,,13.947757,,,,,50.000000,,,,,,,0.009653,-0.014447,,,,,,-0.021210,,,,66994731.000000,
2015-01-21,15.550000,15.800000,15.550000,15.760000,4014800,0.000000,0.000000,13.974643,14.199316,13.974643,14.163368,,,,,13.985195,,,,,50.000000,,,,,,,0.004461,0.003183,,,,,,-0.016844,,,,63273248.000000,
2015-01-22,15.690000,15.750000,15.460000,15.690000,4293900,0.000000,0.000000,14.100462,14.154384,13.893763,14.100462,,,,,14.004821,,,,,50.000000,,,,,0.408007,0.028936,-0.004441,0.011606,,,,,,-0.021210,,,,67371291.000000,
2015-01-23,15.680000,15.900000,15.360000,15.520000,7688900,0.000000,0.000000,14.091472,14.289183,13.803890,13.947681,,,,,13.995249,,,,,59.705611,,,,,0.416235,0.029843,-0.010835,0.011075,,,,,,-0.031816,,,,119331728.000000,
2015-01-26,15.220000,15.630000,15.210000,15.630000,5822700,0.000000,0.000000,13.678075,14.046538,13.669088,14.046538,,,,,14.003725,,,,,62.113504,,,,,0.412246,0.029349,0.007088,0.005791,,,,,,-0.024953,,,,91008801.000000,
2015-01-27,15.470000,15.620000,15.340000,15.480000,3493300,0.000000,0.000000,13.902749,14.037553,13.785919,13.911736,,,,,13.988695,,,,,57.102537,,,,,0.397126,0.028546,-0.009597,-0.013384,,,,,,-0.034311,,,,54076284.000000,
2015-01-28,15.590000,15.650000,15.280000,15.300000,4505400,0.000000,0.000000,14.010595,14.064516,13.732000,13.749974,,,,,13.950058,,,,,51.711329,,,,,0.390860,0.028426,-0.011628,-0.029188,,,,,,-0.045540,,,,68932620.000000,
2015-01-29,15.380000,15.530000,14.930000,15.270000,6586200,0.000000,0.000000,13.821870,13.956673,13.417459,13.723014,,,,,13.913603,,,,,50.849647,,,,,0.404888,0.029504,-0.001961,-0.026768,,,,,,-0.047411,,,,100571274.000000,
