Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,35.240002,35.520000,34.340000,34.750000,15138200,0.000000,0.000000,34.363832,34.636869,33.486207,33.886013,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,526052450.000000,
2015-01-05,34.709999,34.740002,33.750000,33.779999,23706600,0.000000,0.000000,33.847010,33.876267,32.910879,32.940132,,,,,,,,,,50.000000,,,,,,,-0.027914,,,,,,,-0.027914,,,,800808924.293400,
2015-01-06,34.099998,34.230000,32.630001,32.869999,40092000,0.000000,0.000000,33.252172,33.378940,31.818723,32.052753,,,,,,,,,,50.000000,,,,,,,-0.026939,,,,,,,-0.054101,,,,1317823999.908000,
2015-01-07,31.530001,32.980000,31.450001,32.099998,52552300,0.000000,0.000000,30.746073,32.160021,30.668062,31.301899,,,,,,,,,,50.000000,,,,,,,-0.023426,,,,,,,-0.076259,,,,1686928724.895400,
2015-01-08,32.560001,33.869999,32.549999,33.669998,31947100,0.000000,0.000000,31.750471,33.027899,31.740718,32.832870,,,,,,,,,,50.000000,,,,,,,0.048910,,,,,,,-0.031079,,,,1075658793.105800,
2015-01-09,33.759998,33.869999,32.959999,33.529999,19328500,0.000000,0.000000,32.920627,33.027893,32.140518,32.696346,,,,,,,,,,50.000000,,,,,,,-0.004158,-0.035108,,,,,,-0.035108,,,,648084585.671500,
2015-01-12,32.389999,32.990002,31.400000,31.660000,41982700,0.000000,0.000000,31.584691,32.169775,30.619305,30.872841,,,,,,,,,,50.000000,,,,,,,-0.055771,-0.062759,,,,,,-0.088921,,,,1329172282.000000,
2015-01-13,31.920000,32.200001,30.650000,30.840000,40260500,0.000000,0.000000,31.126383,31.399422,29.887958,30.073235,,,,,,,,,,50.000000,,,,,,,-0.025900,-0.061758,,,,,,-0.112518,,,,1241633820.000000,
2015-01-14,30.270000,31.200001,29.799999,30.049999,35766100,0.000000,0.000000,29.517403,30.424281,29.059087,29.302872,,,,,,,,,,50.000000,,,,,,,-0.025616,-0.063863,,,,,,-0.135252,,,,1074771269.233900,
2015-01-15,30.250000,30.420000,29.270000,29.299999,28512400,0.000000,0.000000,29.497899,29.663672,28.542265,28.571518,,,,,,,,,,50.000000,,,,,,,-0.024958,-0.129789,,,,,,-0.156834,,,,835413291.487600,
2015-01-16,29.150000,29.260000,28.510000,28.990000,58433300,0.000000,0.000000,28.425246,28.532512,27.801159,28.269224,,,,,,,,,,50.000000,,,,,,,-0.010580,-0.135401,,,,,,-0.165755,,,,1693981367.000000,
2015-01-20,29.510000,30.020000,29.350000,29.670000,29884200,0.000000,0.000000,28.776294,29.273614,28.620272,28.932316,,,,,30.049541,,,,,50.000000,,,,,,,0.023456,-0.062855,,,,,,-0.146187,,,,886664214.000000,
2015-01-21,29.500000,30.740000,29.500000,30.490000,27258700,0.000000,0.000000,28.766544,29.975714,28.766544,29.731930,,,,,29.994392,,,,,50.000000,,,,,,,0.027637,-0.011349,,,,,,-0.122590,,,,831117763.000000,
2015-01-22,30.450001,30.950001,30.230000,30.889999,22299200,0.000000,0.000000,29.692929,30.180498,29.478398,30.121988,,,,,30.016117,,,,,50.000000,,,,,1.206616,0.040058,0.013119,0.027953,,,,,,-0.111079,,,,688822265.700800,
2015-01-23,30.889999,31.129999,30.459999,30.950001,21161800,0.000000,0.000000,30.121987,30.356019,29.702677,30.180496,,,,,30.043653,,,,,38.200119,,,,,1.147717,0.038028,0.001942,0.056314,,,,,,-0.109352,,,,654957731.161800,
2015-01-26,30.540001,31.020000,30.209999,31.020000,19175500,0.000000,0.000000,29.780693,30.248758,29.458896,30.248758,,,,,30.077549,,,,,38.923586,,,,,1.110911,0.036726,0.002262,0.070024,,,,,,-0.107338,,,,594824010.000000,
2015-01-27,30.430000,30.450001,29.389999,29.650000,27587900,0.000000,0.000000,29.673425,29.692928,28.659281,28.912817,,,,,29.887239,,,,,31.220511,,,,,1.158633,0.040073,-0.044165,-0.000674,,,,,,-0.146763,,,,817981235.000000,
2015-01-28,30.000000,30.190001,29.030001,29.100000,21685200,0.000000,0.000000,29.254113,29.439389,28.308230,28.376490,,,,,29.642727,,,,,28.759782,,,,,1.155969,0.040737,-0.018550,-0.045589,,,,,,-0.162590,,,,631039320.000000,
2015-01-29,29.290001,29.830000,28.860001,29.709999,30282700,0.000000,0.000000,28.561773,29.088346,28.142464,28.971329,,,,,29.534925,,,,,34.889357,,,,,1.136103,0.039215,0.020962,-0.038200,,,,,,-0.145036,,,,899698986.717300,
2015-01-30,29.400000,29.799999,29.070000,29.270000,23451600,0.000000,0.000000,28.669032,29.059086,28.347237,28.542265,30.340905,,,,29.376604,,,,,32.703571,30.340905,33.812192,26.869617,0.240926,1.096893,0.038430,-0.014810,-0.054281,,,,,,-0.157698,,,30525325.000000,686428332.000000,
2015-02-02,29.250000,29.389999,28.090000,28.440001,34019600,0.000000,0.000000,28.522765,28.659284,27.391606,27.732904,30.033249,,,,29.115919,,,,,29.011351,30.033249,33.263943,26.802555,0.143986,1.112352,0.040109,-0.028357,-0.083172,,,,,,-0.181583,,,31469395.000000,967517458.019600,
2015-02-03,28.570000,29.090000,28.480000,28.950001,24009200,0.000000,0.000000,27.859668,28.366739,27.771905,28.230221,29.797754,,,,28.976114,,,,,33.946115,29.797754,32.815921,26.779586,0.240317,1.069848,0.037897,0.017932,-0.023609,-0.166906,,,,0.416270,-0.166906,,,31484525.000000,695066364.009200,
2015-02-04,28.809999,29.240000,28.700001,29.030001,20932800,0.000000,0.000000,28.093700,28.513009,27.986436,28.308231,29.610527,,,,28.871111,,,,,34.712783,29.610527,32.501600,26.719455,0.274773,1.022416,0.036117,0.002763,-0.002405,-0.140616,,,,0.411624,-0.164604,,,30526565.000000,607679204.932800,
2015-02-05,29.299999,29.520000,29.120001,29.490000,19785900,0.000000,0.000000,28.571517,28.786049,28.395994,28.756794,29.483272,,,,28.853199,,,,,39.090539,29.483272,32.283504,26.683040,0.370282,0.975612,0.033926,0.015846,-0.007405,-0.102829,,,,0.412021,-0.151367,,,28888245.000000,583486191.000000,
2015-02-06,29.540001,29.900000,28.860001,28.910000,18744100,0.000000,0.000000,28.805547,29.156595,28.142454,28.191210,29.251189,,,,28.749766,,,,,35.828354,29.251189,31.618446,26.883933,0.276117,0.978876,0.034723,-0.019668,-0.012299,-0.099377,,,,0.410085,-0.168058,,,28228095.000000,541891931.000000,
2015-02-09,28.770000,28.770000,28.240000,28.350000,22390300,0.000000,0.000000,28.054699,28.054699,27.537876,27.645142,28.998629,,,,28.577587,29.091024,-0.513437,,,32.967733,28.998629,30.836998,27.160261,0.131878,0.951660,0.034424,-0.019370,-0.003165,-0.158004,,,,0.363254,-0.184172,,,28381185.000000,634765005.000000,
2015-02-10,29.100000,31.139999,29.000000,31.090000,43831000,0.000000,0.000000,28.376492,30.365771,28.278978,30.317015,28.970838,,,,28.848166,29.194834,-0.346668,,,52.817911,28.970838,30.703686,27.237990,0.888429,1.097771,0.036210,0.096649,0.073921,-0.072771,,,,0.513238,-0.105324,,,28473600.000000,1362705790.000000,
2015-02-11,31.090000,31.580000,30.450001,31.020000,29782200,0.000000,0.000000,30.317018,30.794835,29.692930,30.248758,28.979614,,,,29.065665,29.283138,-0.217473,,,52.391082,28.979614,30.737566,27.221662,0.860972,1.098109,0.036303,-0.002251,0.068550,-0.020215,,,,0.476187,-0.107338,,,27949685.000000,923843844.000000,
