Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2025-10-30,22.000000,22.750000,19.740000,20.000000,17742300,0.000000,0.000000,22.000000,22.750000,19.740000,20.000000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,354846000.000000,
2025-10-31,20.000000,21.000000,19.750000,20.275000,3187200,0.000000,0.000000,20.000000,21.000000,19.750000,20.275000,,,,,,,,,,50.000000,,,,,,,0.013750,,,,,,,0.000000,,,,64620480.000000,
2025-11-03,20.270000,20.290001,16.780001,17.230000,5981400,0.000000,0.000000,20.270000,20.290001,16.780001,17.230000,,,,,,,,,,50.000000,,,,,,,-0.150185,,,,,,,-0.150185,,,,103059522.000000,
2025-11-04,16.969999,19.139999,16.010000,18.889999,7536000,0.000000,0.000000,16.969999,19.139999,16.010000,18.889999,,,,,,,,,,50.000000,,,,,,,0.096344,,,,,,,-0.068311,,,,142355032.464000,
2025-11-05,18.840000,19.750000,17.549999,17.700001,4941400,0.000000,0.000000,18.840000,19.750000,17.549999,17.700001,,,,,,,,,,50.000000,,,,,,,-0.062996,,,,,,,-0.127004,,,,87462784.941400,
2025-11-06,17.780001,18.395000,17.330999,17.850000,1272800,0.000000,0.000000,17.780001,18.395000,17.330999,17.850000,,,,,,,,,,50.000000,,,,,,,0.008475,-0.107500,,,,,,-0.119605,,,,22719480.000000,
2025-11-07,17.120001,18.209999,17.049999,17.860001,1012100,0.000000,0.000000,17.120001,18.209999,17.049999,17.860001,,,,,,,,,,50.000000,,,,,,,0.000560,-0.119112,,,,,,-0.119112,,,,18076107.012100,
2025-11-10,17.770000,18.745001,17.469999,18.010000,812500,0.000000,0.000000,17.770000,18.745001,17.469999,18.010000,,,,,,,,,,50.000000,,,,,,,0.008399,0.045270,,,,,,-0.111714,,,,14633125.000000,
2025-11-11,17.990000,18.080000,17.020000,17.170000,912500,0.000000,0.000000,17.990000,18.080000,17.020000,17.170000,,,,,,,,,,50.000000,,,,,,,-0.046641,-0.091053,,,,,,-0.153144,,,,15667625.000000,
2025-11-12,17.250000,18.080000,17.145000,18.040001,575500,0.000000,0.000000,17.250000,18.080000,17.145000,18.040001,,,,,,,,,,50.000000,,,,,,,0.050670,0.019209,,,,,,-0.110234,,,,10382020.575500,
2025-11-13,18.020000,18.020000,16.900000,17.270000,864500,0.000000,0.000000,18.020000,18.020000,16.900000,17.270000,,,,,,,,,,50.000000,,,,,,,-0.042683,-0.032493,,,,,,-0.148212,,,,14929915.000000,
2025-11-14,16.990000,17.190001,16.250000,16.820000,837400,0.000000,0.000000,16.990000,17.190001,16.250000,16.820000,,,,,17.703681,,,,,50.000000,,,,,,,-0.026057,-0.058231,,,,,,-0.170407,,,,14085068.000000,
2025-11-17,16.770000,17.000000,14.650000,15.020000,1513100,0.000000,0.000000,16.770000,17.000000,14.650000,15.020000,,,,,17.237692,,,,,50.000000,,,,,,,-0.107015,-0.166019,,,,,,-0.259186,,,,22726762.000000,
2025-11-18,14.690000,15.750000,14.690000,15.090000,988800,0.000000,0.000000,14.690000,15.750000,14.690000,15.090000,,,,,16.872009,,,,,50.000000,,,,,1.592361,0.105524,0.004660,-0.121142,,,,,,-0.255734,,,,14920992.000000,
2025-11-19,15.110000,15.486000,13.840000,14.120000,1302200,0.000000,0.000000,15.110000,15.486000,13.840000,14.120000,,,,,16.411000,,,,,22.393548,,,,,1.598071,0.113178,-0.064281,-0.217295,,,,,,-0.303576,,,,18387064.000000,
2025-11-20,14.440000,15.211000,14.150000,14.230000,572300,0.000000,0.000000,14.440000,15.211000,14.150000,14.230000,,,,,16.050573,,,,,23.602054,,,,,1.545918,0.108638,0.007790,-0.176028,,,,,,-0.298150,,,,8143829.000000,
2025-11-21,14.000000,15.140000,14.000000,14.960000,957200,0.000000,0.000000,14.000000,15.140000,14.000000,14.960000,,,,,15.872380,,,,,31.253068,,,,,1.505440,0.100631,0.051300,-0.110583,,,,,,-0.262145,,,,14319712.000000,
2025-11-24,15.770000,16.450001,15.000000,15.290000,1279400,0.000000,0.000000,15.770000,16.450001,15.000000,15.290000,,,,,15.778123,,,,,34.448964,,,,,1.503943,0.098361,0.022059,0.017976,,,,,,-0.245869,,,,19562026.000000,
2025-11-25,15.250000,15.990000,14.920000,14.930000,809900,0.000000,0.000000,15.250000,15.990000,14.920000,14.930000,,,,,15.641946,,,,,32.664964,,,,,1.462909,0.097985,-0.023545,-0.010603,,,,,,-0.263625,,,,12091807.000000,
2025-11-26,14.930000,16.690001,14.930000,16.389999,1251600,0.000000,0.000000,14.930000,16.690001,14.930000,16.389999,16.857250,,,,15.761254,,,,,45.085501,16.857250,20.482006,13.232494,0.435547,1.490367,0.090931,0.097790,0.160765,,,,,,-0.191615,,,2717505.000000,20513722.748400,
2025-11-28,16.770000,17.750000,16.680000,16.690001,898600,0.000000,0.000000,16.770000,17.750000,16.680000,16.690001,16.691750,,,,15.908550,,,,,47.239114,16.691750,20.000840,13.382660,0.499736,1.478566,0.088590,0.018304,0.172874,,,,,,-0.176819,,,1875320.000000,14997634.898600,
2025-12-01,16.570000,16.829000,15.450000,15.620000,721400,0.000000,0.000000,16.570000,16.829000,15.450000,15.620000,16.459000,,,,15.863004,,,,,41.054828,16.459000,19.333146,13.584855,0.354044,1.469722,0.094092,-0.064110,0.044118,-0.219000,,,,0.970037,-0.229593,,,1752030.000000,11268268.000000,
2025-12-02,15.560000,15.910000,14.960000,15.770000,906000,0.000000,0.000000,15.560000,15.910000,14.960000,15.770000,16.386000,,,,15.848382,,,,,42.197254,16.386000,19.251846,13.520155,0.392527,1.424347,0.090320,0.009603,0.031393,-0.222195,,,,0.968870,-0.222195,,,1498260.000000,14287620.000000,
2025-12-03,15.730000,15.930000,14.990000,15.750000,1174000,0.000000,0.000000,15.730000,15.930000,14.990000,15.750000,16.229000,,,,15.832966,,,,,42.080147,16.229000,18.850915,13.607085,0.408655,1.382721,0.087792,-0.001268,0.054923,-0.085897,,,,0.824032,-0.223181,,,1180160.000000,18490500.000000,
2025-12-04,15.560000,16.084999,14.540000,14.660000,1431900,0.000000,0.000000,15.560000,16.084999,14.540000,14.660000,16.077000,,,,15.649696,,,,,36.186034,16.077000,18.692316,13.461684,0.229096,1.396468,0.095257,-0.069206,-0.105552,-0.223928,,,,0.770412,-0.276942,,,1004685.000000,20991654.000000,
2025-12-05,14.520000,14.877000,13.175000,13.990000,1743100,0.000000,0.000000,14.520000,14.877000,13.175000,13.990000,15.884000,,,,15.390997,15.843378,-0.452381,,,33.115555,15.884000,18.518048,13.249952,0.140477,1.422011,0.101645,-0.045703,-0.161774,-0.209605,,,,0.757895,-0.309988,,,1028200.000000,24385969.000000,
2025-12-08,14.090000,14.215000,13.200000,13.930000,1156000,0.000000,0.000000,14.090000,14.215000,13.200000,13.930000,15.687500,,,,15.163730,15.681365,-0.517635,,,32.846761,15.687500,18.287005,13.087995,0.161955,1.388393,0.099669,-0.004289,-0.108195,-0.219608,,,,0.755251,-0.312947,,,1035395.000000,16103080.000000,
2025-12-09,13.750000,14.480000,13.570000,13.750000,1146000,0.000000,0.000000,13.750000,14.480000,13.570000,13.750000,15.474500,,,,14.944191,15.519543,-0.575353,,,32.007411,15.474500,17.968717,12.980284,0.154300,1.349316,0.098132,-0.012922,-0.128091,-0.230123,,,,0.754172,-0.321825,,,1052070.000000,15757500.000000,
2025-12-10,13.750000,14.380000,13.500000,13.970000,903300,0.000000,0.000000,13.750000,14.380000,13.500000,13.970000,15.314500,,,,14.793126,15.390962,-0.597836,,,34.219895,15.314500,17.760855,12.868145,0.225203,1.311370,0.093870,0.016000,-0.113016,-0.224320,,,,0.757127,-0.310974,,,1051610.000000,12619101.000000,
2025-12-11,13.750000,14.100000,13.710000,13.920000,788800,0.000000,0.000000,13.750000,14.100000,13.710000,13.920000,15.108500,,,,14.657899,15.269979,-0.612080,,,33.949509,15.108500,17.265235,12.951765,0.224468,1.237568,0.088906,-0.003579,-0.050477,-0.189284,,,,0.746152,-0.313440,,,1062275.000000,10980096.000000,
2025-12-12,14.000000,14.712000,13.950000,14.550000,1122800,0.000000,0.000000,14.000000,14.712000,13.950000,14.550000,14.972500,,,,14.641205,15.211242,-0.570038,,,40.345448,14.972500,16.884489,13.060511,0.389513,1.202185,0.082624,0.045259,0.040029,-0.193459,,,,0.740927,-0.282367,,,1075190.000000,16336740.000000,
2025-12-15,14.550000,14.750000,13.750000,14.635000,1996900,0.000000,0.000000,14.550000,14.750000,13.750000,14.635000,14.863250,,,,14.640246,15.164582,-0.524337,,,41.173137,14.863250,16.569370,13.157130,0.433108,1.186256,0.081056,0.005842,0.050610,-0.152577,,,,0.732263,-0.278175,,,1133165.000000,29224631.500000,
2025-12-16,13.685000,13.831000,11.760000,12.900000,7381100,0.000000,0.000000,13.685000,13.831000,11.760000,12.900000,14.757250,,,,14.371431,14.982469,-0.611038,,,31.550486,14.757250,16.672924,12.841576,0.015249,1.318328,0.102196,-0.118551,-0.061818,-0.233056,,,,0.826858,-0.363748,,,1426565.000000,95216190.000000,
2025-12-17,12.670000,13.150000,12.300000,12.900000,2707000,0.000000,0.000000,12.670000,13.150000,12.300000,12.900000,14.647750,,,,14.144281,14.816056,-0.671775,-0.593666,-0.078109,31.550486,14.647750,16.726739,12.568761,0.079663,1.281948,0.099376,0.000000,-0.076593,-0.141145,,,,0.750208,-0.363748,,,1512475.000000,34920300.000000,
2025-12-18,13.000000,13.930000,12.810000,13.770000,1647500,0.000000,0.000000,13.000000,13.930000,12.810000,13.770000,14.630250,,,,14.086533,14.732950,-0.646417,-0.605485,-0.040932,39.740679,14.630250,16.733692,12.526808,0.295514,1.269446,0.092189,0.067442,-0.010776,-0.087475,,,,0.791954,-0.320838,,,1529740.000000,22686075.000000,
2025-12-19,14.230000,15.410000,14.170000,15.110000,10691800,0.000000,0.000000,14.230000,15.410000,14.170000,15.110000,14.674250,,,,14.244375,14.762745,-0.518370,-0.586425,0.068055,49.719775,14.674250,16.779255,12.569245,0.603503,1.297888,0.085896,0.097313,0.038488,0.070113,,,,0.831619,-0.254747,,,2035715.000000,161553098.000000,
2025-12-22,15.530000,16.958000,15.525000,15.900000,2548800,0.000000,0.000000,15.530000,16.958000,15.525000,15.900000,14.721250,,,,14.499615,14.852172,-0.352557,-0.536200,0.183642,54.503358,14.721250,16.894004,12.548496,0.771257,1.339888,0.084270,0.052283,0.086437,0.117358,,,,0.847927,-0.215783,,,2115295.000000,40525920.000000,
