Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,4.915143,5.033143,4.873143,4.984857,134750000,0.000000,0.000000,4.915143,5.033143,4.873143,4.984857,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,671709480.750000,
2015-01-05,4.925857,4.925857,4.714714,4.731143,181650000,0.000000,0.000000,4.925857,4.925857,4.714714,4.731143,,,,,,,,,,50.000000,,,,,,,-0.050897,,,,,,,-0.050897,,,,859412125.950000,
2015-01-06,4.734714,4.764000,4.566143,4.650143,160377000,0.000000,0.000000,4.734714,4.764000,4.566143,4.650143,,,,,,,,,,50.000000,,,,,,,-0.017121,,,,,,,-0.067146,,,,745775983.911000,
2015-01-07,4.734714,4.742143,4.627143,4.674286,98497000,0.000000,0.000000,4.734714,4.742143,4.627143,4.674286,,,,,,,,,,50.000000,,,,,,,0.005192,,,,,,,-0.062303,,,,460403148.142000,
2015-01-08,4.712000,4.783571,4.647857,4.778000,96019000,0.000000,0.000000,4.712000,4.783571,4.647857,4.778000,,,,,,,,,,50.000000,,,,,,,0.022188,,,,,,,-0.041497,,,,458778782.000000,
2015-01-09,4.763143,4.802000,4.689857,4.704143,95781000,0.000000,0.000000,4.763143,4.802000,4.689857,4.704143,,,,,,,,,,50.000000,,,,,,,-0.015458,-0.056313,,,,,,-0.056313,,,,450567520.683000,
2015-01-12,4.709000,4.719857,4.526429,4.554714,129444000,0.000000,0.000000,4.709000,4.719857,4.526429,4.554714,,,,,,,,,,50.000000,,,,,,,-0.031765,-0.037291,,,,,,-0.086290,,,,589580399.016000,
2015-01-13,4.602143,4.704857,4.590000,4.625571,187215000,0.000000,0.000000,4.602143,4.704857,4.590000,4.625571,,,,,,,,,,50.000000,,,,,,,0.015557,-0.005284,,,,,,-0.072075,,,,865976274.765000,
2015-01-14,4.707143,4.737000,4.568000,4.632000,198849000,0.000000,0.000000,4.707143,4.737000,4.568000,4.632000,,,,,,,,,,50.000000,,,,,,,0.001390,-0.009047,,,,,,-0.070786,,,,921068568.000000,
2015-01-15,4.654714,4.678571,4.584429,4.625143,116690000,0.000000,0.000000,4.654714,4.678571,4.584429,4.625143,,,,,,,,,,50.000000,,,,,,,-0.001480,-0.031992,,,,,,-0.072161,,,,539707936.670000,
2015-01-16,4.685714,4.825000,4.638143,4.819143,196966000,0.000000,0.000000,4.685714,4.825000,4.638143,4.819143,,,,,,,,,,50.000000,,,,,,,0.041945,0.024447,,,,,,-0.033243,,,,949207320.138000,
2015-01-20,4.857143,5.000000,4.771429,4.982857,405510000,0.000000,0.000000,4.857143,5.000000,4.771429,4.982857,,,,,4.743883,,,,,50.000000,,,,,,,0.033972,0.094000,,,,,,-0.000401,,,,2020598342.070000,
2015-01-21,5.923429,5.924000,5.741000,5.846857,669025000,0.000000,0.000000,5.923429,5.924000,5.741000,5.846857,,,,,4.935401,,,,,50.000000,,,,,,,0.173395,0.264029,,,,,,0.000000,,,,3911693504.425000,
2015-01-22,5.857143,6.137429,5.782857,6.120571,333193000,0.000000,0.000000,5.857143,6.137429,5.782857,6.120571,,,,,5.137198,,,,,50.000000,,,,,0.268796,0.043917,0.046814,0.321367,,,,,,0.000000,,,,2039331413.203000,
