Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,15.820000,15.910000,15.410000,15.590000,3023100,0.000000,0.000000,13.835097,13.913805,13.476539,13.633955,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,47130129.000000,
2015-01-05,15.450000,15.550000,15.080000,15.120000,4016900,0.000000,0.000000,13.511521,13.598974,13.187944,13.222925,,,,,,,,,,50.000000,,,,,,,-0.030148,,,,,,,-0.030148,,,,60735528.000000,
2015-01-06,15.100000,15.200000,14.760000,14.910000,4330200,0.000000,0.000000,13.205438,13.292890,12.908097,13.039276,,,,,,,,,,50.000000,,,,,,,-0.013889,,,,,,,-0.043617,,,,64563282.000000,
2015-01-07,15.040000,15.040000,14.680000,14.870000,2516600,0.000000,0.000000,13.152962,13.152962,12.838131,13.004292,,,,,,,,,,50.000000,,,,,,,-0.002683,,,,,,,-0.046183,,,,37421842.000000,
2015-01-08,15.050000,15.390000,14.830000,15.340000,4637100,0.000000,0.000000,13.161709,13.459050,12.969312,13.415323,,,,,,,,,,50.000000,,,,,,,0.031607,,,,,,,-0.016036,,,,71133114.000000,
2015-01-09,15.290000,15.430000,15.240000,15.410000,2470400,0.000000,0.000000,13.371594,13.494029,13.327867,13.476538,,,,,,,,,,50.000000,,,,,,,0.004563,-0.011546,,,,,,-0.011546,,,,38068864.000000,
2015-01-12,15.390000,15.430000,15.120000,15.280000,3185200,0.000000,0.000000,13.459049,13.494031,13.222925,13.362850,,,,,,,,,,50.000000,,,,,,,-0.008436,0.010582,,,,,,-0.019885,,,,48669856.000000,
2015-01-13,15.350000,15.410000,15.070000,15.230000,3781600,0.000000,0.000000,13.424070,13.476541,13.179200,13.319125,,,,,,,,,,50.000000,,,,,,,-0.003272,0.021462,,,,,,-0.023092,,,,57593768.000000,
2015-01-14,15.150000,15.210000,14.720000,15.100000,4810200,0.000000,0.000000,13.249159,13.301631,12.873111,13.205433,,,,,,,,,,50.000000,,,,,,,-0.008536,0.015467,,,,,,-0.031430,,,,72634020.000000,
2015-01-15,15.200000,15.350000,14.950000,15.010000,2692400,0.000000,0.000000,13.292889,13.424069,13.074256,13.126728,,,,,,,,,,50.000000,,,,,,,-0.005960,-0.021512,,,,,,-0.037203,,,,40412924.000000,
2015-01-16,14.990000,15.120000,14.970000,15.060000,1622000,0.000000,0.000000,13.109233,13.222923,13.091743,13.170451,,,,,,,,,,50.000000,,,,,,,0.003331,-0.022713,,,,,,-0.033996,,,,24427320.000000,
