Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,45.480000,45.913334,44.959999,45.433334,2262000,0.000000,0.000000,29.882075,30.166792,29.540415,29.851414,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,102770201.508000,
2015-01-05,45.126667,45.426666,43.833332,43.906666,4089900,0.000000,0.000000,29.649918,29.847029,28.800148,28.848331,,,,,,,,,,50.000000,,,,,,,-0.033603,,,,,,,-0.033603,,,,179573873.273400,
2015-01-06,44.073334,44.419998,43.220001,43.966667,6294750,0.000000,0.000000,28.957831,29.185602,28.397159,28.887747,,,,,,,,,,50.000000,,,,,,,0.001366,,,,,,,-0.032282,,,,276759177.098250,
2015-01-07,44.299999,44.560001,43.840000,44.553333,2675400,0.000000,0.000000,29.106764,29.277596,28.804528,29.273214,,,,,,,,,,50.000000,,,,,,,0.013344,,,,,,,-0.019369,,,,119197987.108200,
2015-01-08,44.966667,45.166668,44.593334,45.139999,3087000,0.000000,0.000000,29.544794,29.676202,29.299500,29.658680,,,,,,,,,,50.000000,,,,,,,0.013168,,,,,,,-0.006456,,,,139347176.913000,
2015-01-09,45.160000,45.313332,43.333332,43.486668,4423950,0.000000,0.000000,29.671822,29.772567,28.471633,28.572380,,,,,,,,,,50.000000,,,,,,,-0.036627,-0.042847,,,,,,-0.042847,,,,192382844.898600,
2015-01-12,44.259998,44.419998,43.340000,43.886665,4380900,0.000000,0.000000,29.080482,29.185608,28.476008,28.835188,,,,,,,,,,50.000000,,,,,,,0.009198,-0.000456,,,,,,-0.034043,,,,192263090.698500,
2015-01-13,44.279999,44.833332,43.033333,43.573334,3254700,0.000000,0.000000,29.093620,29.457181,28.274514,28.629314,,,,,,,,,,50.000000,,,,,,,-0.007140,-0.008946,,,,,,-0.040939,,,,141818130.169800,
2015-01-14,43.093334,43.493332,42.606667,43.166668,3121950,0.000000,0.000000,28.313946,28.576760,27.994187,28.362129,,,,,,,,,,50.000000,,,,,,,-0.009333,-0.031124,,,,,,-0.049890,,,,134764179.162600,
2015-01-15,43.326668,43.613335,42.213333,42.240002,2973000,0.000000,0.000000,28.467234,28.655585,27.735732,27.753254,,,,,,,,,,50.000000,,,,,,,-0.021468,-0.064245,,,,,,-0.070287,,,,125579525.946000,
2015-01-16,42.166668,43.046665,42.053333,43.000000,2883300,0.000000,0.000000,27.705088,28.283280,27.630623,28.252619,,,,,,,,,,50.000000,,,,,,,0.017993,-0.011191,,,,,,-0.053558,,,,123981900.000000,
2015-01-20,43.173332,43.266666,42.646667,42.986668,1966050,0.000000,0.000000,28.366508,28.427832,28.020469,28.243862,,,,,28.515029,,,,,50.000000,,,,,,,-0.000310,-0.020507,,,,,,-0.053852,,,,84513938.621400,
2015-01-21,42.720001,43.520000,42.619999,43.400002,2442300,0.000000,0.000000,28.068645,28.594274,28.002939,28.515430,,,,,28.515099,,,,,50.000000,,,,,,,0.009615,-0.003978,,,,,,-0.044754,,,,105995824.884600,
2015-01-22,43.200001,43.613335,42.613335,43.113335,3827400,0.000000,0.000000,28.384017,28.655593,27.998555,28.327074,,,,,28.483084,,,,,50.000000,,,,,0.725075,0.025597,-0.006605,-0.001236,,,,,,-0.051064,,,,165011978.379000,
