Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,26.129999,26.191999,25.150000,25.670000,124300,0.000000,0.000000,26.129999,26.191999,25.150000,25.670000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,3190781.000000,
2015-01-05,25.480000,26.459999,25.000000,26.260000,188700,0.000000,0.000000,25.480000,26.459999,25.000000,26.260000,,,,,,,,,,50.000000,,,,,,,0.022984,,,,,,,0.000000,,,,4955262.000000,
2015-01-06,26.340000,26.559999,25.190001,25.639999,164900,0.000000,0.000000,26.340000,26.559999,25.190001,25.639999,,,,,,,,,,50.000000,,,,,,,-0.023610,,,,,,,-0.023610,,,,4228035.835100,
2015-01-07,25.850000,26.299999,25.524000,25.995001,128400,0.000000,0.000000,25.850000,26.299999,25.524000,25.995001,,,,,,,,,,50.000000,,,,,,,0.013846,,,,,,,-0.010091,,,,3337758.128400,
2015-01-08,26.129999,26.969999,26.090000,26.250000,128800,0.000000,0.000000,26.129999,26.969999,26.090000,26.250000,,,,,,,,,,50.000000,,,,,,,0.009810,,,,,,,-0.000381,,,,3381000.000000,
2015-01-09,26.180000,26.600000,25.350000,25.500000,254900,0.000000,0.000000,26.180000,26.600000,25.350000,25.500000,,,,,,,,,,50.000000,,,,,,,-0.028571,-0.006623,,,,,,-0.028941,,,,6499950.000000,
2015-01-12,25.549999,25.798000,24.969999,25.350000,165300,0.000000,0.000000,25.549999,25.798000,24.969999,25.350000,,,,,,,,,,50.000000,,,,,,,-0.005882,-0.034653,,,,,,-0.034653,,,,4190355.000000,
2015-01-13,25.510000,25.799999,23.270000,24.049999,239800,0.000000,0.000000,25.510000,25.799999,23.270000,24.049999,,,,,,,,,,50.000000,,,,,,,-0.051282,-0.062012,,,,,,-0.084158,,,,5767189.760200,
2015-01-14,23.900000,24.139999,23.475000,23.840000,175800,0.000000,0.000000,23.900000,24.139999,23.475000,23.840000,,,,,,,,,,50.000000,,,,,,,-0.008732,-0.082901,,,,,,-0.092155,,,,4191072.000000,
2015-01-15,23.840000,23.840000,22.670000,23.090000,169100,0.000000,0.000000,23.840000,23.840000,22.670000,23.090000,,,,,,,,,,50.000000,,,,,,,-0.031460,-0.120381,,,,,,-0.120716,,,,3904519.000000,
2015-01-16,22.980000,23.389999,22.629999,23.065001,105000,0.000000,0.000000,22.980000,23.389999,22.629999,23.065001,,,,,,,,,,50.000000,,,,,,,-0.001083,-0.095490,,,,,,-0.121668,,,,2421825.105000,
