Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2020-09-30,10.000000,11.410000,9.110000,9.500000,338584400,0.000000,0.000000,10.000000,11.410000,9.110000,9.500000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,3216551800.000000,
2020-10-01,9.690000,10.100000,9.230000,9.460000,124297600,0.000000,0.000000,9.690000,10.100000,9.230000,9.460000,,,,,,,,,,50.000000,,,,,,,-0.004211,,,,,,,-0.004211,,,,1175855296.000000,
2020-10-02,9.060000,9.280000,8.940000,9.200000,55018300,0.000000,0.000000,9.060000,9.280000,8.940000,9.200000,,,,,,,,,,50.000000,,,,,,,-0.027484,,,,,,,-0.031579,,,,506168360.000000,
2020-10-05,9.430000,9.490000,8.920000,9.030000,36316900,0.000000,0.000000,9.430000,9.490000,8.920000,9.030000,,,,,,,,,,50.000000,,,,,,,-0.018478,,,,,,,-0.049474,,,,327941607.000000,
2020-10-06,9.040000,10.180000,8.900000,9.900000,90864000,0.000000,0.000000,9.040000,10.180000,8.900000,9.900000,,,,,,,,,,50.000000,,,,,,,0.096346,,,,,,,0.000000,,,,899553600.000000,
2020-10-07,10.040000,10.490000,9.990000,10.000000,54672400,0.000000,0.000000,10.040000,10.490000,9.990000,10.000000,,,,,,,,,,50.000000,,,,,,,0.010101,0.052632,,,,,,0.000000,,,,546724000.000000,
2020-10-08,10.290000,10.400000,9.990000,10.000000,34989200,0.000000,0.000000,10.290000,10.400000,9.990000,10.000000,,,,,,,,,,50.000000,,,,,,,0.000000,0.057082,,,,,,0.000000,,,,349892000.000000,
2020-10-09,10.130000,10.190000,9.890000,9.950000,19653500,0.000000,0.000000,10.130000,10.190000,9.890000,9.950000,,,,,,,,,,50.000000,,,,,,,-0.005000,0.081522,,,,,,-0.005000,,,,195552325.000000,
2020-10-12,10.040000,10.050000,9.660000,9.890000,20623600,0.000000,0.000000,10.040000,10.050000,9.660000,9.890000,,,,,,,,,,50.000000,,,,,,,-0.006030,0.095238,,,,,,-0.011000,,,,203967404.000000,
2020-10-13,9.880000,9.880000,9.410000,9.470000,21847200,0.000000,0.000000,9.880000,9.880000,9.410000,9.470000,,,,,,,,,,50.000000,,,,,,,-0.042467,-0.043434,,,,,,-0.053000,,,,206892984.000000,
