Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,41.520000,41.619999,40.139999,40.570000,163300,0.000000,0.000000,41.520000,41.619999,40.139999,40.570000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,6625081.000000,
2015-01-05,40.220001,40.580002,39.599998,39.650002,199200,0.000000,0.000000,40.220001,40.580002,39.599998,39.650002,,,,,,,,,,50.000000,,,,,,,-0.022677,,,,,,,-0.022677,,,,7898280.398400,
2015-01-06,39.869999,39.869999,38.279999,39.110001,230800,0.000000,0.000000,39.869999,39.869999,38.279999,39.110001,,,,,,,,,,50.000000,,,,,,,-0.013619,,,,,,,-0.035987,,,,9026588.230800,
2015-01-07,39.270000,39.470001,39.000000,39.439999,159700,0.000000,0.000000,39.270000,39.470001,39.000000,39.439999,,,,,,,,,,50.000000,,,,,,,0.008438,,,,,,,-0.027853,,,,6298567.840300,
2015-01-08,39.790001,40.240002,39.520000,40.009998,237800,0.000000,0.000000,39.790001,40.240002,39.520000,40.009998,,,,,,,,,,50.000000,,,,,,,0.014452,,,,,,,-0.013803,,,,9514377.524400,
2015-01-09,40.080002,40.340000,39.709999,39.990002,150800,0.000000,0.000000,40.080002,40.340000,39.709999,39.990002,,,,,,,,,,50.000000,,,,,,,-0.000500,-0.014296,,,,,,-0.014296,,,,6030492.301600,
2015-01-12,40.009998,40.009998,38.880001,39.389999,127400,0.000000,0.000000,40.009998,40.009998,38.880001,39.389999,,,,,,,,,,50.000000,,,,,,,-0.015004,-0.006557,,,,,,-0.029086,,,,5018285.872600,
2015-01-13,39.790001,40.669998,38.830002,39.549999,168900,0.000000,0.000000,39.790001,40.669998,38.830002,39.549999,,,,,,,,,,50.000000,,,,,,,0.004062,0.011250,,,,,,-0.025142,,,,6679994.831100,
2015-01-14,39.029999,39.779999,39.029999,39.720001,178000,0.000000,0.000000,39.029999,39.779999,39.029999,39.720001,,,,,,,,,,50.000000,,,,,,,0.004298,0.007099,,,,,,-0.020951,,,,7070160.178000,
2015-01-15,39.889999,39.889999,38.549999,39.139999,169200,0.000000,0.000000,39.889999,39.889999,38.549999,39.139999,,,,,,,,,,50.000000,,,,,,,-0.014602,-0.021745,,,,,,-0.035248,,,,6622487.830800,
2015-01-16,39.029999,39.930000,38.900002,39.790001,151900,0.000000,0.000000,39.029999,39.930000,38.900002,39.790001,,,,,,,,,,50.000000,,,,,,,0.016607,-0.005001,,,,,,-0.019226,,,,6044101.151900,
2015-01-20,39.959999,40.049999,39.119999,39.650002,119700,0.000000,0.000000,39.959999,40.049999,39.119999,39.650002,,,,,39.621461,,,,,50.000000,,,,,,,-0.003518,0.006601,,,,,,-0.022677,,,,4746105.239400,
2015-01-21,39.509998,40.369999,39.000000,40.029999,234500,0.000000,0.000000,39.509998,40.369999,39.000000,40.029999,,,,,39.692398,,,,,50.000000,,,,,,,0.009584,0.012137,,,,,,-0.013310,,,,9387034.765500,
2015-01-22,40.029999,40.029999,37.759998,39.360001,546300,0.000000,0.000000,40.029999,40.029999,37.759998,39.360001,,,,,39.635802,,,,,50.000000,,,,,1.237803,0.031448,-0.016737,-0.009063,,,,,,-0.029825,,,,21502368.546300,
2015-01-23,39.299999,39.720001,38.950001,39.349998,309400,0.000000,0.000000,39.299999,39.720001,38.950001,39.349998,,,,,39.587925,,,,,41.027552,,,,,1.188003,0.030191,-0.000254,0.005365,,,,,,-0.030072,,,,12174889.381200,
2015-01-26,39.209999,39.250000,38.630001,39.160000,163600,0.000000,0.000000,39.209999,39.250000,38.630001,39.160000,,,,,39.517207,,,,,38.756836,,,,,1.139868,0.029108,-0.004828,-0.015833,,,,,,-0.034755,,,,6406576.000000,
2015-01-27,38.450001,38.849998,38.180000,38.380001,230700,0.000000,0.000000,38.450001,38.849998,38.180000,38.380001,,,,,39.331395,,,,,31.137731,,,,,1.123926,0.029284,-0.019918,-0.032030,,,,,,-0.053981,,,,8854266.230700,
2015-01-28,38.689999,38.860001,37.990002,38.259998,193500,0.000000,0.000000,38.689999,38.860001,37.990002,38.259998,,,,,39.157991,,,,,30.155519,,,,,1.099301,0.028732,-0.003127,-0.044217,,,,,,-0.056939,,,,7403309.613000,
2015-01-29,38.470001,38.990002,37.599998,38.450001,326400,0.000000,0.000000,38.470001,38.990002,37.599998,38.450001,,,,,39.044314,,,,,33.720447,,,,,1.126790,0.029305,0.004966,-0.023120,,,,,,-0.052255,,,,12550080.326400,
2015-01-30,38.240002,38.730000,37.590000,37.889999,256500,0.000000,0.000000,38.240002,38.730000,37.590000,37.889999,39.344500,,,,38.860210,,,,,29.019155,39.344500,40.687247,38.001753,-0.041614,1.128011,0.029771,-0.014564,-0.037103,,,,,,-0.066059,,,215880.000000,9718784.743500,
2015-02-02,38.150002,38.580002,37.599998,38.320000,237400,0.000000,0.000000,38.150002,38.580002,37.599998,38.320000,39.232000,,,,38.774535,,,,,36.356555,39.232000,40.518261,37.945739,0.145484,1.114613,0.029087,0.011349,-0.021450,,,,,,-0.055460,,,219585.000000,9097168.000000,
2015-02-03,38.669998,39.450001,38.509998,38.830002,179500,0.000000,0.000000,38.669998,39.450001,38.509998,38.830002,39.191000,,,,38.783290,,,,,43.779600,39.191000,40.473430,37.908570,0.359252,1.115980,0.028740,0.013309,0.011725,-0.042889,,,,0.194454,-0.042889,,,218600.000000,6969985.359000,
2015-02-04,38.680000,39.220001,38.340000,38.380001,117000,0.000000,0.000000,38.680000,39.220001,38.340000,38.380001,39.154500,,,,38.719886,,,,,39.411635,39.154500,40.487206,37.821794,0.209426,1.095377,0.028540,-0.011589,0.003137,-0.032030,,,,0.183068,-0.053981,,,212910.000000,4490460.117000,
2015-02-05,38.610001,39.400002,38.529999,39.310001,142900,0.000000,0.000000,38.610001,39.400002,38.529999,39.310001,39.148000,,,,38.812351,,,,,50.420938,39.148000,40.476103,37.819897,0.560990,1.088899,0.027700,0.024231,0.022367,0.005114,,,,0.197819,-0.031057,,,212070.000000,5617399.142900,
2015-02-06,39.299999,39.810001,39.220001,39.349998,196700,0.000000,0.000000,39.299999,39.810001,39.220001,39.349998,39.115000,,,,38.896355,,,,,50.834707,39.115000,40.384422,37.845578,0.592561,1.046636,0.026598,0.001017,0.038533,-0.002282,,,,0.195639,-0.030072,,,210015.000000,7740144.606600,
2015-02-09,39.200001,39.959999,39.200001,39.580002,188000,0.000000,0.000000,39.200001,39.959999,39.200001,39.580002,39.094500,,,,39.002916,39.075697,-0.072780,,,53.250870,39.094500,40.316793,37.872207,0.698603,1.022673,0.025838,0.005845,0.032881,-0.010747,,,,0.189792,-0.024402,,,211875.000000,7441040.376000,
2015-02-10,39.900002,39.900002,39.080002,39.779999,119500,0.000000,0.000000,39.900002,39.900002,39.080002,39.779999,39.114000,,,,39.123796,39.135333,-0.011537,,,55.307586,39.114000,40.368171,37.859830,0.765514,1.005933,0.025287,0.005053,0.024466,-0.005251,,,,0.190745,-0.019473,,,211480.000000,4753709.880500,
