Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2020-10-16,389.100006,462.299988,382.500000,417.000000,288287,0.000000,0.000000,389.100006,462.299988,382.500000,417.000000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,120215679.000000,
2020-10-19,408.149994,435.299988,397.500000,408.750000,19000,0.000000,0.000000,408.149994,435.299988,397.500000,408.750000,,,,,,,,,,50.000000,,,,,,,-0.019784,,,,,,,-0.019784,,,,7766250.000000,
2020-10-20,402.750000,426.225006,372.899994,416.250000,36300,0.000000,0.000000,402.750000,426.225006,372.899994,416.250000,,,,,,,,,,50.000000,,,,,,,0.018349,,,,,,,-0.001799,,,,15109875.000000,
2020-10-21,414.750000,460.500000,405.000000,448.799988,18933,0.000000,0.000000,414.750000,460.500000,405.000000,448.799988,,,,,,,,,,50.000000,,,,,,,0.078198,,,,,,,0.000000,,,,8497130.172804,
2020-10-22,448.500000,480.000000,421.049988,480.000000,18393,0.000000,0.000000,448.500000,480.000000,421.049988,480.000000,,,,,,,,,,50.000000,,,,,,,0.069519,,,,,,,0.000000,,,,8828640.000000,
2020-10-23,481.200012,482.174988,446.174988,464.850006,16767,0.000000,0.000000,481.200012,482.174988,446.174988,464.850006,,,,,,,,,,50.000000,,,,,,,-0.031562,0.114748,,,,,,-0.031562,,,,7794140.050602,
2020-10-26,457.350006,480.000000,440.190002,465.000000,8513,0.000000,0.000000,457.350006,480.000000,440.190002,465.000000,,,,,,,,,,50.000000,,,,,,,0.000323,0.137615,,,,,,-0.031250,,,,3958545.000000,
2020-10-27,459.299988,475.950012,445.799988,471.149994,4313,0.000000,0.000000,459.299988,475.950012,445.799988,471.149994,,,,,,,,,,50.000000,,,,,,,0.013226,0.131892,,,,,,-0.018438,,,,2032069.924122,
2020-10-28,468.149994,486.450012,445.350006,481.049988,6987,0.000000,0.000000,468.149994,486.450012,445.350006,481.049988,,,,,,,,,,50.000000,,,,,,,0.021012,0.071858,,,,,,0.000000,,,,3361096.266156,
2020-10-29,486.899994,531.405029,484.200012,512.700012,9907,0.000000,0.000000,486.899994,531.405029,484.200012,512.700012,,,,,,,,,,50.000000,,,,,,,0.065794,0.068125,,,,,,0.000000,,,,5079319.018884,
2020-10-30,518.700012,530.099976,497.700012,525.000000,4067,0.000000,0.000000,518.700012,530.099976,497.700012,525.000000,,,,,,,,,,50.000000,,,,,,,0.023991,0.129397,,,,,,0.000000,,,,2135175.000000,
2020-11-02,525.000000,525.000000,487.799988,502.350006,12167,0.000000,0.000000,525.000000,525.000000,487.799988,502.350006,,,,,483.922767,,,,,50.000000,,,,,,,-0.043143,0.080323,,,,,,-0.043143,,,,6112092.523002,
2020-11-03,509.100006,529.950012,484.799988,492.000000,10320,0.000000,0.000000,509.100006,529.950012,484.799988,492.000000,,,,,485.325282,,,,,50.000000,,,,,,,-0.020603,0.044253,,,,,,-0.062857,,,,5077440.000000,
2020-11-04,492.600006,509.700012,470.700012,493.200012,13580,0.000000,0.000000,492.600006,509.700012,470.700012,493.200012,,,,,486.666097,,,,,50.000000,,,,,43.583950,0.088370,0.002439,0.025257,,,,,,-0.060571,,,,6697656.162960,
2020-11-05,492.750000,529.349976,484.649994,524.400024,13207,0.000000,0.000000,492.750000,529.349976,484.649994,524.400024,,,,,492.987176,,,,,73.575002,,,,,43.702757,0.083339,0.063260,0.022820,,,,,,-0.001143,,,,6925751.116968,
2020-11-06,519.900024,576.299988,498.149994,516.000000,18473,0.000000,0.000000,519.900024,576.299988,498.149994,516.000000,,,,,496.790226,,,,,69.218747,,,,,47.245739,0.091562,-0.016018,-0.017143,,,,,,-0.017143,,,,9532068.000000,
2020-11-09,516.150024,563.250000,489.600006,536.549988,10180,0.000000,0.000000,516.150024,563.250000,489.600006,536.549988,,,,,503.286704,,,,,73.372405,,,,,49.878742,0.092962,0.039826,0.068080,,,,,,0.000000,,,,5462078.877840,
