Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,19.830000,20.410000,19.660000,20.100000,266900,0.000000,0.000000,19.830000,20.410000,19.660000,20.100000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,5364690.000000,
2015-01-05,19.860001,20.980000,19.840000,20.469999,329000,0.000000,0.000000,19.860001,20.980000,19.840000,20.469999,,,,,,,,,,50.000000,,,,,,,0.018408,,,,,,,0.000000,,,,6734629.671000,
2015-01-06,20.469999,20.660000,19.530001,19.860001,318500,0.000000,0.000000,20.469999,20.660000,19.530001,19.860001,,,,,,,,,,50.000000,,,,,,,-0.029800,,,,,,,-0.029800,,,,6325410.318500,
2015-01-07,19.799999,20.100000,19.719999,19.920000,405200,0.000000,0.000000,19.799999,20.100000,19.719999,19.920000,,,,,,,,,,50.000000,,,,,,,0.003021,,,,,,,-0.026869,,,,8071584.000000,
2015-01-08,20.160000,24.809999,20.110001,24.520000,1217000,0.000000,0.000000,20.160000,24.809999,20.110001,24.520000,,,,,,,,,,50.000000,,,,,,,0.230924,,,,,,,0.000000,,,,29840840.000000,
2015-01-09,24.680000,24.740000,23.590000,24.240000,465400,0.000000,0.000000,24.680000,24.740000,23.590000,24.240000,,,,,,,,,,50.000000,,,,,,,-0.011419,0.205970,,,,,,-0.011419,,,,11281296.000000,
2015-01-12,24.540001,25.990000,24.139999,25.299999,539100,0.000000,0.000000,24.540001,25.990000,24.139999,25.299999,,,,,,,,,,50.000000,,,,,,,0.043729,0.235955,,,,,,0.000000,,,,13639229.460900,
2015-01-13,25.610001,25.920000,24.680000,25.030001,371100,0.000000,0.000000,25.610001,25.920000,24.680000,25.030001,,,,,,,,,,50.000000,,,,,,,-0.010672,0.260322,,,,,,-0.010672,,,,9288633.371100,
2015-01-14,24.650000,25.340000,24.320000,24.600000,300300,0.000000,0.000000,24.650000,25.340000,24.320000,24.600000,,,,,,,,,,50.000000,,,,,,,-0.017179,0.234940,,,,,,-0.027668,,,,7387380.000000,
2015-01-15,24.709999,25.049999,24.190001,24.770000,336700,0.000000,0.000000,24.709999,25.049999,24.190001,24.770000,,,,,,,,,,50.000000,,,,,,,0.006911,0.010196,,,,,,-0.020949,,,,8340059.000000,
2015-01-16,24.700001,25.870001,24.580000,25.830000,280700,0.000000,0.000000,24.700001,25.870001,24.580000,25.830000,,,,,,,,,,50.000000,,,,,,,0.042794,0.065594,,,,,,0.000000,,,,7250481.000000,
2015-01-20,25.950001,26.000000,24.639999,25.780001,461400,0.000000,0.000000,25.950001,26.000000,24.639999,25.780001,,,,,24.410177,,,,,50.000000,,,,,,,-0.001936,0.018972,,,,,,-0.001936,,,,11894892.461400,
2015-01-21,25.299999,25.430000,24.150000,24.590000,402400,0.000000,0.000000,25.299999,25.430000,24.150000,24.590000,,,,,24.441401,,,,,50.000000,,,,,,,-0.046160,-0.017579,,,,,,-0.048006,,,,9895016.000000,
2015-01-22,24.809999,24.809999,23.629999,24.400000,273300,0.000000,0.000000,24.809999,24.809999,23.629999,24.400000,,,,,24.434352,,,,,50.000000,,,,,1.407201,0.057672,-0.007727,-0.008130,,,,,,-0.055362,,,,6668520.000000,
2015-01-23,24.330000,25.000000,24.280001,24.790001,206800,0.000000,0.000000,24.330000,25.000000,24.280001,24.790001,,,,,24.493929,,,,,67.167370,,,,,1.334045,0.053814,0.015984,0.000807,,,,,,-0.040263,,,,5126572.206800,
2015-01-26,24.709999,25.309999,24.629999,25.209999,263200,0.000000,0.000000,24.709999,25.309999,24.629999,25.209999,,,,,24.612265,,,,,69.361887,,,,,1.266775,0.050249,0.016942,-0.024003,,,,,,-0.024003,,,,6635271.736800,
2015-01-27,24.870001,25.790001,24.809999,25.469999,217300,0.000000,0.000000,24.870001,25.790001,24.809999,25.469999,,,,,24.752413,,,,,70.668879,,,,,1.238178,0.048613,0.010313,-0.012025,,,,,,-0.013937,,,,5534630.782700,
2015-01-28,25.500000,25.500000,24.400000,24.559999,211500,0.000000,0.000000,25.500000,25.500000,24.400000,24.559999,,,,,24.721271,,,,,60.879900,,,,,1.224778,0.049869,-0.035728,-0.001220,,,,,,-0.049168,,,,5194439.788500,
2015-01-29,24.600000,25.110001,24.200001,24.959999,205300,0.000000,0.000000,24.600000,25.110001,24.200001,24.959999,,,,,24.759602,,,,,63.287198,,,,,1.195013,0.047877,0.016287,0.022951,,,,,,-0.033682,,,,5124287.794700,
2015-01-30,21.450001,24.809999,21.450001,24.290001,375000,0.000000,0.000000,21.450001,24.809999,21.450001,24.290001,23.934500,,,,24.684705,,,,,56.964106,23.934500,27.986704,19.882296,0.543865,1.408968,0.058006,-0.026843,-0.020169,,,,,,-0.059621,,,372305.000000,9108750.375000,
2015-02-02,24.400000,24.650000,23.690001,23.990000,252000,0.000000,0.000000,24.400000,24.650000,23.690001,23.990000,24.129000,,,,24.574527,,,,,54.345840,24.129000,27.757535,20.500465,0.480846,1.368327,0.057037,-0.012351,-0.048393,,,,,,-0.071235,,,371560.000000,6045480.000000,
2015-02-03,24.010000,24.110001,22.440001,23.010000,463600,0.000000,0.000000,24.010000,24.110001,22.440001,23.010000,24.256000,,,,24.327571,,,,,46.781444,24.256000,27.503058,21.008942,0.308134,1.395123,0.060631,-0.040850,-0.096584,0.144776,,,,0.901696,-0.109175,,,378290.000000,10667436.000000,
2015-02-04,22.680000,24.020000,22.030001,23.730000,294600,0.000000,0.000000,22.680000,24.020000,22.030001,23.730000,24.449500,,,,24.233623,,,,,52.060897,24.449500,26.974495,21.924505,0.357524,1.447060,0.060980,0.031291,-0.033795,0.159258,,,,0.904698,-0.081301,,,377095.000000,6990858.000000,
2015-02-05,23.790001,24.160000,23.459999,23.790001,191000,0.000000,0.000000,23.790001,24.160000,23.459999,23.790001,24.643000,,,,24.164112,,,,,52.483933,24.643000,26.053772,23.232228,0.197684,1.382856,0.058128,0.002528,-0.046875,0.197885,,,,0.894347,-0.078978,,,366385.000000,4543890.191000,
2015-02-06,23.860001,24.400000,23.600000,23.790001,208400,0.000000,0.000000,23.860001,24.400000,23.600000,23.790001,24.606500,,,,24.105659,,,,,52.483933,24.606500,26.067549,23.145451,0.220578,1.333481,0.056052,0.000000,-0.020585,0.194277,,,,0.894704,-0.078978,,,315955.000000,4957836.208400,
2015-02-09,23.590000,23.959999,23.320000,23.370001,179400,0.000000,0.000000,23.590000,23.959999,23.320000,23.370001,24.563000,,,,23.990991,24.068905,-0.077915,,,48.975402,24.563000,26.118731,23.007270,0.116579,1.275504,0.054579,-0.017654,-0.025844,-0.046900,,,,0.396412,-0.095238,,,301655.000000,4192578.179400,
2015-02-10,23.639999,24.260000,23.240000,24.040001,222400,0.000000,0.000000,23.639999,24.260000,23.240000,24.040001,24.500000,,,,23.998615,24.066458,-0.067843,,,54.231634,24.500000,26.031934,22.968067,0.349863,1.254400,0.052180,0.028669,0.044763,-0.008251,,,,0.408533,-0.069299,,,285820.000000,5346496.222400,
2015-02-11,24.090000,25.000000,23.930000,24.860001,343600,0.000000,0.000000,24.090000,25.000000,23.930000,24.860001,24.491500,,,,24.132380,24.132946,-0.000566,,,59.702951,24.491500,26.012902,22.970099,0.621106,1.239338,0.049853,0.034110,0.047619,-0.017391,,,,0.396724,-0.037553,,,284445.000000,8541896.343600,
2015-02-12,25.020000,25.750000,24.350000,25.500000,323700,0.000000,0.000000,25.020000,25.750000,24.350000,25.500000,24.536500,,,,24.344452,24.246384,0.098068,,,63.382275,24.536500,26.123251,22.949749,0.803608,1.252328,0.049111,0.025744,0.071879,0.018777,,,,0.404973,-0.012776,,,285615.000000,8254350.000000,
2015-02-13,25.430000,25.430000,24.440001,24.770000,191900,0.000000,0.000000,25.430000,25.430000,24.440001,24.770000,24.536500,,,,24.410360,24.289450,0.120910,,,56.990447,24.536500,26.123251,22.949749,0.573578,1.236923,0.049936,-0.028627,0.041194,0.006911,,,,0.413373,-0.041038,,,278375.000000,4753363.000000,
2015-02-17,24.860001,25.070000,24.350000,24.930000,316700,0.000000,0.000000,24.860001,25.070000,24.350000,24.930000,24.491500,,,,24.490758,24.341707,0.149051,,,57.990418,24.491500,25.971233,23.011767,0.648169,1.195873,0.047969,0.006459,0.066752,0.006459,,,,0.413290,-0.034843,,,280175.000000,7895331.000000,
2015-02-18,24.809999,25.700001,24.809999,25.510000,330100,0.000000,0.000000,24.809999,25.700001,24.809999,25.510000,24.478000,,,,24.648316,24.436307,0.212009,,,61.486106,24.478000,25.912471,23.043529,0.859714,1.171776,0.045934,0.023265,0.061148,-0.012389,,,,0.393237,-0.012389,,,273610.000000,8420851.000000,
