Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,11.180000,11.490000,11.150000,11.460000,473400,0.000000,0.000000,11.180000,11.490000,11.150000,11.460000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,5425164.000000,
2015-01-05,11.410000,11.550000,11.120000,11.140000,328400,0.000000,0.000000,11.410000,11.550000,11.120000,11.140000,,,,,,,,,,50.000000,,,,,,,-0.027923,,,,,,,-0.027923,,,,3658376.000000,
2015-01-06,11.200000,11.230000,10.730000,10.840000,466600,0.000000,0.000000,11.200000,11.230000,10.730000,10.840000,,,,,,,,,,50.000000,,,,,,,-0.026930,,,,,,,-0.054101,,,,5057944.000000,
2015-01-07,10.900000,11.050000,10.770000,10.920000,402300,0.000000,0.000000,10.900000,11.050000,10.770000,10.920000,,,,,,,,,,50.000000,,,,,,,0.007380,,,,,,,-0.047120,,,,4393116.000000,
2015-01-08,11.020000,11.250000,10.950000,11.020000,397200,0.000000,0.000000,11.020000,11.250000,10.950000,11.020000,,,,,,,,,,50.000000,,,,,,,0.009158,,,,,,,-0.038394,,,,4377144.000000,
2015-01-09,10.980000,11.360000,10.980000,11.270000,449400,0.000000,0.000000,10.980000,11.360000,10.980000,11.270000,,,,,,,,,,50.000000,,,,,,,0.022686,-0.016579,,,,,,-0.016579,,,,5064738.000000,
2015-01-12,11.220000,11.350000,10.990000,11.130000,355100,0.000000,0.000000,11.220000,11.350000,10.990000,11.130000,,,,,,,,,,50.000000,,,,,,,-0.012422,-0.000898,,,,,,-0.028796,,,,3952263.000000,
2015-01-13,11.250000,11.420000,10.920000,11.060000,408600,0.000000,0.000000,11.250000,11.420000,10.920000,11.060000,,,,,,,,,,50.000000,,,,,,,-0.006289,0.020295,,,,,,-0.034904,,,,4519116.000000,
2015-01-14,10.740000,11.030000,10.650000,10.720000,578900,0.000000,0.000000,10.740000,11.030000,10.650000,10.720000,,,,,,,,,,50.000000,,,,,,,-0.030741,-0.018315,,,,,,-0.064572,,,,6205808.000000,
2015-01-15,10.720000,10.720000,10.100000,10.130000,731600,0.000000,0.000000,10.720000,10.720000,10.100000,10.130000,,,,,,,,,,50.000000,,,,,,,-0.055037,-0.080762,,,,,,-0.116056,,,,7411108.000000,
