Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,156.660004,157.309998,154.320007,156.619995,254600,0.000000,0.000000,145.736590,146.341262,143.559755,145.699371,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,39875450.727000,
2015-01-05,155.330002,155.550003,151.750000,152.029999,449600,0.000000,0.000000,144.499348,144.704009,141.168968,141.429443,,,,,,,,,,50.000000,,,,,,,-0.029306,,,,,,,-0.029306,,,,68352687.550400,
2015-01-06,152.149994,152.369995,148.660004,149.910004,422500,0.000000,0.000000,141.541079,141.745740,138.294434,139.457275,,,,,,,,,,50.000000,,,,,,,-0.013945,,,,,,,-0.042842,,,,63336976.690000,
2015-01-07,151.250000,151.770004,149.960007,151.190002,421100,0.250000,0.000000,140.938888,141.423442,139.736837,140.882980,,,,,,,,,,50.000000,,,,,,,0.010223,,,,,,,-0.033057,,,,63666109.842200,
2015-01-08,152.009995,153.139999,150.960007,152.210007,625200,0.000000,0.000000,141.647058,142.700028,140.668651,141.833435,,,,,,,,,,50.000000,,,,,,,0.006746,,,,,,,-0.026534,,,,95161696.376400,
2015-01-09,152.589996,153.210007,150.940002,151.369995,303700,0.000000,0.000000,142.187489,142.765232,140.649980,141.050659,,,,,,,,,,50.000000,,,,,,,-0.005519,-0.031906,,,,,,-0.031906,,,,45971067.481500,
2015-01-12,151.960007,152.660004,148.910004,149.169998,425600,0.000000,0.000000,141.600446,142.252722,138.758371,139.000641,,,,,,,,,,50.000000,,,,,,,-0.014534,-0.017173,,,,,,-0.045976,,,,63486751.148800,
2015-01-13,150.449997,151.789993,147.070007,148.830002,400600,0.000000,0.000000,140.193347,141.441992,137.043782,138.683792,,,,,,,,,,50.000000,,,,,,,-0.002279,-0.005546,,,,,,-0.048151,,,,59621298.801200,
2015-01-14,146.869995,148.350006,146.210007,148.039993,478300,0.000000,0.000000,136.857472,138.236587,136.242477,137.947708,,,,,,,,,,50.000000,,,,,,,-0.005308,-0.020835,,,,,,-0.053203,,,,70807528.651900,
2015-01-15,147.729996,148.479996,145.380005,145.880005,732000,0.000000,0.000000,137.658808,138.357678,135.469023,135.934937,,,,,,,,,,50.000000,,,,,,,-0.014591,-0.041588,,,,,,-0.067018,,,,106784163.660000,
2015-01-16,145.300003,145.940002,144.619995,145.750000,776300,0.000000,0.000000,135.394508,135.990877,134.760858,135.813828,,,,,,,,,,50.000000,,,,,,,-0.000891,-0.037127,,,,,,-0.067849,,,,113145725.000000,
2015-01-20,147.089996,147.279999,145.339996,146.039993,619800,0.000000,0.000000,137.062498,137.239547,135.431800,136.084076,,,,,138.137145,,,,,50.000000,,,,,,,0.001990,-0.020982,,,,,,-0.065994,,,,90515587.661400,
2015-01-21,145.429993,147.740005,145.429993,147.550003,376100,0.000000,0.000000,135.515666,137.668199,135.515666,137.491150,,,,,138.024976,,,,,50.000000,,,,,,,0.010340,-0.008600,,,,,,-0.056337,,,,55493556.128300,
2015-01-22,149.009995,150.470001,147.089996,150.229996,428200,0.000000,0.000000,138.851543,140.212016,137.062436,139.988373,,,,,138.359280,,,,,50.000000,,,,,2.657711,0.018985,0.018163,0.014793,,,,,,-0.039197,,,,64328484.287200,
2015-01-23,149.919998,151.259995,149.509995,149.699997,621000,0.000000,0.000000,139.699556,140.948201,139.317503,139.494553,,,,,138.549458,,,,,42.237624,,,,,2.548381,0.018269,-0.003528,0.026186,,,,,,-0.042586,,,,92963698.137000,
2015-01-26,157.759995,161.850006,153.729996,155.699997,779400,0.000000,0.000000,147.005057,150.816241,143.249794,145.085495,,,,,139.629589,,,,,62.154455,,,,,3.450737,0.023784,0.040080,0.068267,,,,,,-0.004213,,,,121352577.661800,
