Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2020-06-16,44.000000,46.270000,42.000000,44.500000,27619300,0.000000,0.000000,38.384680,40.364981,36.639922,38.820869,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,1229058850.000000,
2020-06-17,45.900002,51.950001,45.000000,48.610001,9318700,0.000000,0.000000,40.042195,45.320087,39.257053,42.406342,,,,,,,,,,50.000000,,,,,,,0.092359,,,,,,,0.000000,,,,452982016.318700,
2020-06-18,56.389999,56.500000,49.490002,50.900002,11027900,0.000000,0.000000,49.193441,49.289403,43.174029,44.404083,,,,,,,,,,50.000000,,,,,,,0.047109,,,,,,,0.000000,,,,561320132.055800,
2020-06-19,52.939999,52.959999,46.560001,49.000000,5586500,0.000000,0.000000,46.183747,46.201195,40.617971,42.746574,,,,,,,,,,50.000000,,,,,,,-0.037328,,,,,,,-0.037328,,,,273738500.000000,
2020-06-22,49.830002,51.490002,49.250000,51.290001,2315100,0.000000,0.000000,43.470644,44.918793,42.964662,44.744316,,,,,,,,,,50.000000,,,,,,,0.046735,,,,,,,0.000000,,,,118741481.315100,
2020-06-23,53.000000,54.439999,50.869999,50.950001,2297800,0.000000,0.000000,46.236092,47.492317,44.377924,44.447716,,,,,,,,,,50.000000,,,,,,,-0.006629,0.144944,,,,,,-0.006629,,,,117072912.297800,
2020-06-24,51.349998,51.490002,47.686001,50.250000,4700300,0.000000,0.000000,44.796663,44.918799,41.600268,43.837048,,,,,,,,,,50.000000,,,,,,,-0.013739,0.033738,,,,,,-0.020277,,,,236190075.000000,
2020-06-25,49.189999,52.500000,48.830002,52.110001,1993100,0.000000,0.000000,42.912315,45.799891,42.598262,45.459663,,,,,,,,,,50.000000,,,,,,,0.037015,0.023772,,,,,,0.000000,,,,103860442.993100,
2020-06-26,52.000000,52.240002,48.700001,49.590000,1452100,0.000000,0.000000,45.363710,45.573082,42.484859,43.261276,,,,,,,,,,50.000000,,,,,,,-0.048359,0.012041,,,,,,-0.048359,,,,72009639.000000,
2020-06-29,49.880001,50.049999,48.009998,48.730000,1607500,0.000000,0.000000,43.514269,43.662572,41.882918,42.511032,,,,,,,,,,50.000000,,,,,,,-0.017342,-0.049912,,,,,,-0.064863,,,,78333475.000000,
