Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,12.408889,12.568889,12.337778,12.568889,11475,0.000000,0.000000,11.069555,11.212285,11.006119,11.212285,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,144228.001275,
2015-01-05,12.351111,12.351111,12.093333,12.128889,11475,0.000000,0.000000,11.018016,11.018016,10.788060,10.819778,,,,,,,,,,50.000000,,,,,,,-0.035007,,,,,,,-0.035007,,,,139179.001275,
2015-01-06,11.977778,11.977778,11.355556,11.608889,29700,0.000000,0.000000,10.684981,10.684981,10.129916,10.355906,,,,,,,,,,50.000000,,,,,,,-0.042873,,,,,,,-0.076379,,,,344784.003300,
2015-01-07,11.804444,11.804444,11.600000,11.600000,3825,0.000000,0.000000,10.530354,10.530354,10.347977,10.347977,,,,,,,,,,50.000000,,,,,,,-0.000766,,,,,,,-0.077086,,,,44370.000000,
2015-01-08,11.657778,11.688889,11.488889,11.542222,12825,0.000000,0.000000,10.399516,10.427269,10.248856,10.296432,,,,,,,,,,50.000000,,,,,,,-0.004981,,,,,,,-0.081683,,,,148028.997150,
2015-01-09,11.204444,11.315556,11.084444,11.315556,4050,0.000000,0.000000,9.995111,10.094230,9.888063,10.094230,,,,,,,,,,50.000000,,,,,,,-0.019638,-0.099717,,,,,,-0.099717,,,,45828.001800,
2015-01-12,11.302222,11.306667,11.217778,11.275556,5400,0.000000,0.000000,10.082338,10.086304,10.007009,10.058550,,,,,,,,,,50.000000,,,,,,,-0.003535,-0.070355,,,,,,-0.102899,,,,60888.002400,
2015-01-13,11.306667,11.364444,11.217778,11.217778,6750,0.000000,0.000000,10.086300,10.137840,10.007005,10.007005,,,,,,,,,,50.000000,,,,,,,-0.005124,-0.033691,,,,,,-0.107496,,,,75720.001500,
2015-01-14,11.137778,11.280000,11.080000,11.253333,4950,0.000000,0.000000,9.935642,10.062513,9.884100,10.038725,,,,,,,,,,50.000000,,,,,,,0.003170,-0.029885,,,,,,-0.104667,,,,55703.998350,
2015-01-15,11.253333,11.377778,11.177778,11.177778,7425,0.000000,0.000000,10.038725,10.149738,9.971325,9.971325,,,,,,,,,,50.000000,,,,,,,-0.006714,-0.031575,,,,,,-0.110679,,,,82995.001650,
2015-01-16,11.244444,11.244444,11.106667,11.133333,5175,0.000000,0.000000,10.030797,10.030797,9.907890,9.931679,,,,,,,,,,50.000000,,,,,,,-0.003976,-0.016103,,,,,,-0.114215,,,,57614.998275,
2015-01-20,10.991111,11.084444,10.808889,10.991111,9900,0.000000,0.000000,9.804804,9.888063,9.642250,9.804804,,,,,10.075273,,,,,50.000000,,,,,,,-0.012775,-0.025227,,,,,,-0.125530,,,,108811.998900,
2015-01-21,10.857778,11.186667,10.857778,11.186667,8550,0.000000,0.000000,9.685865,9.979257,9.685865,9.979257,,,,,10.058601,,,,,50.000000,,,,,,,0.017793,-0.002773,,,,,,-0.109971,,,,95646.002850,
2015-01-22,11.004444,11.377778,11.004444,11.275556,27225,0.000000,0.000000,9.816700,10.149739,9.816700,10.058550,,,,,10.058593,,,,,50.000000,,,,,0.255281,0.025380,0.007946,0.001975,,,,,,-0.102899,,,,306977.012100,
2015-01-23,11.160000,11.351111,11.155556,11.266667,11475,0.000000,0.000000,9.955465,10.125949,9.951500,10.050619,,,,,10.057257,,,,,25.655278,,,,,0.246676,0.024543,-0.000788,0.007952,,,,,,-0.103607,,,,129285.003825,
2015-01-26,11.177778,11.235556,11.080000,11.231111,6525,0.000000,0.000000,9.971324,10.022865,9.884099,10.018900,,,,,10.050918,,,,,24.767135,,,,,0.238432,0.023798,-0.003156,0.008782,,,,,,-0.106435,,,,73282.999275,
2015-01-27,10.955556,11.515556,10.955556,11.515556,11925,0.000000,0.000000,9.773089,10.272647,9.773089,10.272647,,,,,10.087147,,,,,42.050308,,,,,0.264471,0.025745,0.025327,0.047716,,,,,,-0.083804,,,,137323.005300,
2015-01-28,11.262222,11.484444,11.137778,11.200000,25650,0.000000,0.000000,10.046656,10.244892,9.935643,9.991149,,,,,10.071610,,,,,32.994675,,,,,0.271505,0.027175,-0.027403,0.001192,,,,,,-0.108911,,,,287280.000000,
