Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2025-02-13,23.000000,23.250000,20.770000,22.000000,43599000,0.000000,0.000000,23.000000,23.250000,20.770000,22.000000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,959178000.000000,
2025-02-14,22.000000,24.950001,21.507999,24.549999,11087800,0.000000,0.000000,22.000000,24.950001,21.507999,24.549999,,,,,,,,,,50.000000,,,,,,,0.115909,,,,,,,0.000000,,,,272205478.912200,
2025-02-18,25.000000,26.350000,24.750000,25.700001,5010900,0.000000,0.000000,25.000000,26.350000,24.750000,25.700001,,,,,,,,,,50.000000,,,,,,,0.046843,,,,,,,0.000000,,,,128780135.010900,
2025-02-19,25.650000,25.670000,24.500000,24.750000,2214900,0.000000,0.000000,25.650000,25.670000,24.500000,24.750000,,,,,,,,,,50.000000,,,,,,,-0.036965,,,,,,,-0.036965,,,,54818775.000000,
2025-02-20,25.500000,25.750000,23.969999,24.530001,7014700,0.000000,0.000000,25.500000,25.750000,23.969999,24.530001,,,,,,,,,,50.000000,,,,,,,-0.008889,,,,,,,-0.045525,,,,172070598.014700,
2025-02-21,24.480000,25.020000,23.549999,23.559999,1677200,0.000000,0.000000,24.480000,25.020000,23.549999,23.559999,,,,,,,,,,50.000000,,,,,,,-0.039543,0.070909,,,,,,-0.083269,,,,39514830.322800,
2025-02-24,24.049999,24.440001,23.049999,23.350000,1594700,0.000000,0.000000,24.049999,24.440001,23.049999,23.350000,,,,,,,,,,50.000000,,,,,,,-0.008913,-0.048880,,,,,,-0.091440,,,,37236245.000000,
2025-02-25,23.309999,24.010000,23.200001,23.709999,1721900,0.000000,0.000000,23.309999,24.010000,23.200001,23.709999,,,,,,,,,,50.000000,,,,,,,0.015418,-0.077432,,,,,,-0.077432,,,,40826247.278100,
2025-02-26,23.719999,24.459999,23.709999,24.059999,1387900,0.000000,0.000000,23.719999,24.459999,23.709999,24.059999,,,,,,,,,,50.000000,,,,,,,0.014762,-0.027879,,,,,,-0.063813,,,,33392872.612100,
2025-02-27,24.410000,24.459999,23.600000,23.600000,1151800,0.000000,0.000000,24.410000,24.459999,23.600000,23.600000,,,,,,,,,,50.000000,,,,,,,-0.019119,-0.037913,,,,,,-0.081712,,,,27182480.000000,
2025-02-28,23.400000,24.120001,23.195000,24.000000,779400,0.000000,0.000000,23.400000,24.120001,23.195000,24.000000,,,,,,,,,,50.000000,,,,,,,0.016949,0.018676,,,,,,-0.066148,,,,18705600.000000,
2025-03-03,24.010000,24.010000,23.230000,23.570000,1747700,0.000000,0.000000,24.010000,24.010000,23.230000,23.570000,,,,,23.867120,,,,,50.000000,,,,,,,-0.017917,0.009422,,,,,,-0.082879,,,,41193289.000000,
2025-03-04,23.389999,24.000000,23.000000,23.270000,1841400,0.000000,0.000000,23.389999,24.000000,23.000000,23.270000,,,,,23.763437,,,,,50.000000,,,,,,,-0.012728,-0.018558,,,,,,-0.094553,,,,42849378.000000,
2025-03-05,23.270000,23.620001,23.000000,23.410000,1006500,0.000000,0.000000,23.270000,23.620001,23.000000,23.410000,,,,,23.703258,,,,,50.000000,,,,,1.208171,0.051609,0.006016,-0.027016,,,,,,-0.089105,,,,23562165.000000,
2025-03-06,23.000000,23.750000,22.500000,23.000000,2016800,0.000000,0.000000,23.000000,23.750000,22.500000,23.000000,,,,,23.585450,,,,,48.347290,,,,,1.212624,0.052723,-0.017514,-0.025424,,,,,,-0.105058,,,,46386400.000000,
2025-03-07,22.650000,23.170000,20.950001,22.049999,3192800,0.000000,0.000000,22.650000,23.170000,20.950001,22.049999,,,,,23.331705,,,,,39.825807,,,,,1.316235,0.059693,-0.041304,-0.081250,,,,,,-0.142023,,,,70401236.807200,
2025-03-10,21.000000,22.090000,19.540001,19.740000,3413100,0.000000,0.000000,21.000000,22.090000,19.540001,19.740000,,,,,22.744844,,,,,27.249087,,,,,1.439264,0.072911,-0.104762,-0.162495,,,,,,-0.231907,,,,67374594.000000,
2025-03-11,20.170000,20.305000,18.430000,19.270000,2281000,0.000000,0.000000,20.170000,20.305000,18.430000,19.270000,,,,,22.182447,,,,,25.485615,,,,,1.481520,0.076882,-0.023810,-0.171895,,,,,,-0.250195,,,,43954870.000000,
2025-03-12,19.420000,20.000000,19.120001,19.270000,1157300,0.000000,0.000000,19.420000,20.000000,19.120001,19.270000,,,,,21.714815,,,,,25.485615,,,,,1.424640,0.073930,0.000000,-0.176848,,,,,,-0.250195,,,,22301171.000000,
2025-03-13,19.430000,19.430000,17.559999,18.120001,2722100,0.000000,0.000000,19.430000,19.430000,17.559999,18.120001,22.775500,,,,21.141471,,,,,21.531418,22.775500,26.936671,18.614329,-0.059398,1.465801,0.080894,-0.059678,-0.212174,,,,,,-0.294942,,,4830945.000000,49324454.722100,
2025-03-14,18.459999,19.400000,18.120001,18.700001,1282000,0.000000,0.000000,18.459999,19.400000,18.120001,18.700001,22.610500,,,,20.754263,,,,,27.630105,22.610500,27.146013,18.074987,0.068902,1.448982,0.077486,0.032009,-0.151927,,,,,,-0.272374,,,2715095.000000,23973401.282000,
2025-03-17,18.799999,19.889999,18.780001,19.820000,1286200,0.000000,0.000000,18.799999,19.889999,18.780001,19.820000,22.374000,,,,20.606792,,,,,37.699560,22.374000,26.976477,17.771523,0.222541,1.425978,0.071946,0.059893,0.004053,-0.099091,,,,0.725228,-0.228794,,,2225015.000000,25492484.000000,
2025-03-18,19.500000,19.969999,19.200001,19.740000,861100,0.000000,0.000000,19.500000,19.969999,19.200001,19.740000,22.076000,,,,20.470517,,,,,37.300335,22.076000,26.541490,17.610510,0.238439,1.368706,0.069337,-0.004036,0.024390,-0.195927,,,,0.579874,-0.231907,,,2017525.000000,16998114.000000,
2025-03-19,19.760000,20.180000,19.600000,19.950001,1103800,0.000000,0.000000,19.760000,20.180000,19.600000,19.950001,21.836000,,,,20.388958,,,,,39.122772,21.836000,26.211421,17.460579,0.284478,1.300923,0.065209,0.010638,0.035288,-0.223735,,,,0.548099,-0.223735,,,1961970.000000,22020811.103800,
2025-03-20,19.650000,20.170000,19.545000,19.879999,702200,0.000000,0.000000,19.650000,20.170000,19.545000,19.879999,21.603500,,,,20.309435,,,,,38.718771,21.603500,25.868970,17.338030,0.297971,1.243664,0.062559,-0.003509,0.097130,-0.196768,,,,0.540643,-0.226459,,,1646345.000000,13959735.297800,
2025-03-21,19.510000,20.500000,19.260000,20.250000,4988800,0.000000,0.000000,19.510000,20.500000,19.260000,20.250000,21.438000,,,,20.300171,21.060159,-0.759987,,,42.120908,21.438000,25.640227,17.235773,0.358646,1.243358,0.061400,0.018612,0.082888,-0.174480,,,,0.549554,-0.212062,,,1811925.000000,101023200.000000,
2025-03-24,20.450001,21.270000,20.344000,21.230000,1411800,0.000000,0.000000,20.450001,21.270000,20.344000,21.230000,21.332000,,,,20.444812,21.074540,-0.629728,,,50.033379,21.332000,25.436983,17.227017,0.487576,1.224909,0.057697,0.048395,0.071140,-0.098896,,,,0.570980,-0.173930,,,1802780.000000,29972514.000000,
2025-03-25,21.520000,22.570000,20.870001,21.799999,2558900,0.000000,0.000000,21.520000,22.570000,20.870001,21.799999,21.236500,,,,20.655260,21.135323,-0.480063,,,53.974516,21.236500,25.194794,17.278206,0.571180,1.263717,0.057969,0.026849,0.104357,-0.066381,,,,0.580706,-0.151751,,,1844630.000000,55784017.441100,
2025-03-26,21.809999,22.465000,20.100000,21.540001,2419600,0.000000,0.000000,21.809999,22.465000,20.100000,21.540001,21.110500,,,,20.792454,21.168903,-0.376450,,,51.961248,21.110500,24.844438,17.376562,0.557513,1.352761,0.062802,-0.011927,0.079699,-0.091522,,,,0.577728,-0.161868,,,1896215.000000,52118186.419600,
2025-03-27,21.299999,21.596001,20.400000,20.520000,1832400,0.000000,0.000000,21.299999,21.596001,20.400000,20.520000,20.956500,,,,20.750257,21.115533,-0.365276,,,44.887443,20.956500,24.507709,17.405291,0.438542,1.340204,0.065312,-0.047354,0.032193,-0.147132,,,,0.592315,-0.201556,,,1930245.000000,37600848.000000,
2025-03-28,20.180000,20.180000,18.639999,19.540001,2331800,0.000000,0.000000,20.180000,20.180000,18.639999,19.540001,20.733500,,,,20.563008,20.986999,-0.423991,,,39.345318,20.733500,24.031079,17.435921,0.319034,1.383070,0.070781,-0.047758,-0.035062,-0.172034,,,,0.607881,-0.239689,,,2007865.000000,45563374.331800,
2025-03-31,19.480000,19.480000,18.219999,18.750000,2273200,0.000000,0.000000,19.480000,19.480000,18.219999,18.750000,20.492500,,,,20.282747,20.805863,-0.523115,,,35.536321,20.492500,23.617225,17.367775,0.221175,1.378102,0.073499,-0.040430,-0.116816,-0.218750,,,,0.610420,-0.270428,,,2034140.000000,42622500.000000,
2025-04-01,18.600000,19.100000,18.150000,18.290001,4093600,0.000000,0.000000,18.600000,19.100000,18.150000,18.290001,20.243500,,,,19.974929,20.603542,-0.628613,,,33.502518,20.243500,23.226788,17.260212,0.172593,1.344621,0.073517,-0.024533,-0.161009,-0.224014,,,,0.611798,-0.288327,,,2146750.000000,74871948.093600,
2025-04-02,18.100000,19.000000,17.910000,18.950001,3233000,0.000000,0.000000,18.100000,19.000000,17.910000,18.950001,20.020500,,,,19.816708,20.471405,-0.654698,-0.546985,-0.107712,38.905235,20.020500,22.653364,17.387636,0.296704,1.324842,0.069912,0.036085,-0.120241,-0.185647,,,,0.633333,-0.262646,,,2258075.000000,61265353.233000,
2025-04-03,18.080000,18.250000,17.299999,17.549999,2198900,0.000000,0.000000,18.080000,18.250000,17.299999,17.549999,19.748000,,,,19.466973,20.239307,-0.772334,-0.597477,-0.174858,32.814825,19.748000,22.204686,17.291314,0.052649,1.349944,0.076920,-0.073879,-0.144737,-0.250320,,,,0.669000,-0.317121,,,2267180.000000,38590692.801100,
2025-04-04,16.850000,17.000000,15.350000,15.960000,1838500,0.000000,0.000000,16.850000,17.000000,15.350000,15.960000,19.443500,,,,18.926117,19.901144,-0.975027,-0.680083,-0.294945,27.541558,19.443500,22.191248,16.695753,-0.133883,1.415190,0.088671,-0.090598,-0.183214,-0.306087,,,,0.721393,-0.378988,,,2199465.000000,29342460.000000,
2025-04-07,15.070000,17.100000,15.050000,16.510000,1596900,0.000000,0.000000,15.070000,17.100000,15.050000,16.510000,19.282000,,,,18.553636,19.634486,-1.080850,-0.766151,-0.314699,31.634159,19.282000,22.320660,16.243340,0.043878,1.463657,0.088653,0.034461,-0.119467,-0.251247,,,,0.735828,-0.357588,,,2108655.000000,26364819.000000,
2025-04-08,17.010000,18.000000,16.059999,16.340000,1756200,0.000000,0.000000,17.010000,18.000000,16.059999,16.340000,19.135500,,,,18.212479,19.376604,-1.164125,-0.850376,-0.313749,31.050380,19.135500,22.446881,15.824120,0.077895,1.499847,0.091790,-0.010297,-0.106616,-0.172239,,,,0.655146,-0.364202,,,2082415.000000,28696308.000000,
2025-04-09,16.080000,18.190001,15.460000,17.820000,4377000,0.000000,0.000000,16.080000,18.190001,15.460000,17.820000,19.063000,,,,18.152008,19.255268,-1.103260,-0.903279,-0.199980,41.220285,19.063000,22.425087,15.700914,0.315145,1.592885,0.089387,0.090575,-0.059631,-0.075246,,,,0.735558,-0.306615,,,2243400.000000,77998140.000000,
2025-04-10,17.290001,17.653000,15.820000,17.120001,1326200,0.000000,0.000000,17.290001,17.653000,15.820000,17.120001,19.013000,,,,17.993039,19.089468,-1.096429,-0.943318,-0.153111,38.339864,19.013000,22.462736,15.563264,0.225631,1.623546,0.094833,-0.039282,-0.024501,-0.111572,,,,0.746257,-0.333852,,,2173605.000000,22704545.326200,
