Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2026-06-11,50.750000,53.000000,50.049999,53.000000,50814100,0.000000,0.000000,50.186110,52.411110,49.493887,52.411110,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,2693147300.000000,
2026-06-12,51.000000,54.660000,51.000000,52.849998,3824200,0.000000,0.000000,50.433333,54.052666,50.433333,52.262775,,,,,,,,,,50.000000,,,,,,,-0.002830,,,,,,,-0.002830,,,,202108962.351600,
2026-06-15,54.669998,55.549999,53.000000,53.900002,3161300,0.000000,0.000000,54.062550,54.932774,52.411108,53.301109,,,,,,,,,,50.000000,,,,,,,0.019868,,,,,,,0.000000,,,,170394076.322600,
2026-06-16,53.369999,53.369999,50.880001,50.880001,532400,0.000000,0.000000,52.776998,52.776998,50.314667,50.314667,,,,,,,,,,50.000000,,,,,,,-0.056030,,,,,,,-0.056030,,,,27088512.532400,
2026-06-17,52.000000,52.000000,49.180000,49.259998,2301900,0.000000,0.000000,51.422219,51.422219,48.633553,48.712662,,,,,,,,,,50.000000,,,,,,,-0.031840,,,,,,,-0.086085,,,,113391589.396200,
2026-06-18,50.590000,53.560001,50.509998,53.509998,923900,0.000000,0.000000,50.027886,52.964887,49.948773,52.915440,,,,,,,,,,50.000000,,,,,,,0.086277,0.009623,,,,,,-0.007236,,,,49437887.152200,
2026-06-22,56.490002,62.380001,56.490002,60.320000,2212300,0.000000,0.000000,55.862334,61.686889,55.862334,59.649776,,,,,,,,,,50.000000,,,,,,,0.127266,0.141343,,,,,,0.000000,,,,133445936.000000,
2026-06-23,58.279999,58.639999,56.490002,57.389999,652100,0.000000,0.000000,57.632441,57.988442,55.862333,56.752331,,,,,,,,,,50.000000,,,,,,,-0.048574,0.064750,,,,,,-0.048574,,,,37424018.347900,
2026-06-24,58.220001,58.610001,54.509998,55.900002,1295800,0.000000,0.000000,57.573111,57.958777,53.904330,55.278889,,,,,,,,,,50.000000,,,,,,,-0.025963,0.098664,,,,,,-0.073276,,,,72435222.591600,
2026-06-25,56.209999,56.889999,54.419998,54.759998,1118000,0.000000,0.000000,55.585444,56.257889,53.815332,54.151554,,,,,,,,,,50.000000,,,,,,,-0.020394,0.111653,,,,,,-0.092175,,,,61221677.764000,
