Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,45.750000,46.029999,45.180000,45.520000,1166100,0.000000,0.000000,28.186661,28.359169,27.835483,28.044958,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,53080872.000000,
2015-01-05,44.070000,44.279999,43.570000,44.000000,4633200,0.000000,0.000000,27.151611,27.280992,26.843560,27.108484,,,,,,,,,,50.000000,,,,,,,-0.033392,,,,,,,-0.033392,,,,203860800.000000,
2015-01-06,44.150002,45.990002,43.840000,45.110001,6742200,0.000000,0.000000,27.200901,28.334529,27.009909,27.792358,,,,,,,,,,50.000000,,,,,,,0.025227,,,,,,,-0.009007,,,,304140648.742200,
2015-01-07,45.110001,45.110001,43.779999,44.680000,13939600,0.000000,0.000000,27.792354,27.792354,26.972937,27.527430,,,,,,,,,,50.000000,,,,,,,-0.009532,,,,,,,-0.018454,,,,622821328.000000,
2015-01-08,45.020000,45.790001,44.990002,45.400002,4769700,0.000000,0.000000,27.736906,28.211305,27.718424,27.971025,,,,,,,,,,50.000000,,,,,,,0.016115,,,,,,,-0.002636,,,,216544389.539400,
2015-01-09,45.150002,45.180000,44.049999,44.549999,4088700,0.000000,0.000000,27.817005,27.835487,27.139291,27.447342,,,,,,,,,,50.000000,,,,,,,-0.018722,-0.021309,,,,,,-0.021309,,,,182151580.911300,
2015-01-12,44.970001,45.090000,44.259998,44.919998,1764400,0.000000,0.000000,27.706100,27.780032,27.268666,27.675293,,,,,,,,,,50.000000,,,,,,,0.008305,0.020909,,,,,,-0.013181,,,,79256844.471200,
2015-01-13,45.500000,45.660000,44.619999,45.090000,1573200,0.000000,0.000000,28.032641,28.131217,27.490470,27.780039,,,,,,,,,,50.000000,,,,,,,0.003785,-0.000443,,,,,,-0.009446,,,,70935588.000000,
2015-01-14,44.709999,45.200001,44.660000,44.799999,1781600,0.000000,0.000000,27.545919,27.847810,27.515114,27.601368,,,,,,,,,,50.000000,,,,,,,-0.006432,0.002686,,,,,,-0.015817,,,,79815678.218400,
2015-01-15,44.900002,45.349998,44.650002,45.000000,1645900,0.000000,0.000000,27.662979,27.940223,27.508954,27.724588,,,,,,,,,,50.000000,,,,,,,0.004464,-0.008810,,,,,,-0.011423,,,,74065500.000000,
2015-01-16,45.439999,46.580002,45.439999,46.360001,4359200,0.000000,0.000000,27.995675,28.698034,27.995675,28.562490,,,,,,,,,,50.000000,,,,,,,0.030222,0.040629,,,,,,0.000000,,,,202092516.359200,
