Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2025-10-20,52.750000,61.000000,48.099998,48.400002,275800,0.000000,0.000000,52.652938,60.887758,48.011493,48.310944,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,13348720.551600,
2025-10-21,50.049999,51.119999,49.509998,49.799999,202700,0.000000,0.000000,49.957903,51.025933,49.418895,49.708363,,,,,,,,,,50.000000,,,,,,,0.028926,,,,,,,0.000000,,,,10094459.797300,
2025-10-22,50.009998,50.009998,47.049999,47.400002,323900,0.000000,0.000000,49.917977,49.917977,46.963424,47.312782,,,,,,,,,,50.000000,,,,,,,-0.048193,,,,,,,-0.048193,,,,15352860.647800,
2025-10-23,49.160000,49.160000,45.650002,46.000000,141400,0.000000,0.000000,49.069545,49.069545,45.566005,45.915359,,,,,,,,,,50.000000,,,,,,,-0.029536,,,,,,,-0.076305,,,,6504400.000000,
2025-10-24,46.310001,47.599998,44.049999,45.750000,648900,0.000000,0.000000,46.224788,47.512412,43.968945,45.665817,,,,,,,,,,50.000000,,,,,,,-0.005435,,,,,,,-0.081325,,,,29687175.000000,
2025-10-27,47.910000,48.009998,45.279999,45.750000,383300,0.000000,0.000000,47.821843,47.921657,45.196681,45.665817,,,,,,,,,,50.000000,,,,,,,0.000000,-0.054752,,,,,,-0.081325,,,,17535975.000000,
2025-10-28,47.500000,50.000000,47.000000,48.000000,1563300,0.000000,0.000000,47.412595,49.907994,46.913515,47.911674,,,,,,,,,,50.000000,,,,,,,0.049180,-0.036145,,,,,,-0.036145,,,,75038400.000000,
2025-10-29,49.389999,50.630001,48.279999,49.250000,7736600,0.000000,0.000000,49.299120,50.536840,48.191162,49.159378,,,,,,,,,,50.000000,,,,,,,0.026042,0.039030,,,,,,-0.011044,,,,381027550.000000,
2025-10-30,48.599998,53.799999,47.599998,48.740002,23638000,0.000000,0.000000,48.510573,53.701005,47.512413,48.650318,,,,,,,,,,50.000000,,,,,,,-0.010355,0.059565,,,,,,-0.021285,,,,1152116167.276000,
2025-10-31,48.875000,49.362000,44.798000,45.070000,14246100,0.000000,0.000000,48.785067,49.271170,44.715569,44.987068,,,,,,,,,,50.000000,,,,,,,-0.075298,-0.014863,,,,,,-0.094980,,,,642071727.000000,
2025-11-03,45.000000,46.250000,43.820000,44.009998,13738200,0.000000,0.000000,44.917196,46.164896,43.739367,43.929016,,,,,,,,,,50.000000,,,,,,,-0.023519,-0.038033,,,,,,-0.116265,,,,604618154.523600,
2025-11-04,42.189999,44.535000,41.000000,43.650002,11057900,0.000000,0.000000,42.112367,44.453053,40.924558,43.569683,,,,,46.045394,,,,,50.000000,,,,,,,-0.008180,-0.090625,,,,,,-0.123494,,,,482677357.115800,
2025-11-05,43.889999,49.700001,43.000000,48.330002,10252200,0.000000,0.000000,43.809241,49.608552,42.920879,48.241074,,,,,46.426647,,,,,50.000000,,,,,,,0.107217,-0.018680,,,,,,-0.029518,,,,495488846.504400,
2025-11-06,47.000000,48.000000,44.474998,45.020000,7744500,0.000000,0.000000,46.913521,47.911681,44.393165,44.937164,,,,,46.173036,,,,,50.000000,,,,,4.341169,0.096605,-0.068487,-0.076323,,,,,,-0.095984,,,,348657390.000000,
2025-11-07,44.439999,48.380001,44.080002,47.490002,12997200,0.000000,0.000000,44.358227,48.290980,43.998893,47.402618,,,,,46.379012,,,,,50.821497,,,,,4.335944,0.091471,0.054864,0.053694,,,,,,-0.046385,,,,617237053.994400,
2025-11-10,47.279999,49.000000,46.632000,47.189999,4771100,0.000000,0.000000,47.193003,48.909839,46.546197,47.103168,,,,,46.498684,,,,,49.913637,,,,,4.133088,0.087745,-0.006317,0.072256,,,,,,-0.052410,,,,225148204.228900,
2025-11-11,47.240002,49.980000,46.000000,46.119999,3259400,0.000000,0.000000,47.153079,49.888035,45.915359,46.035137,,,,,46.422944,,,,,46.708744,,,,,4.117092,0.089434,-0.022674,0.056586,,,,,,-0.073896,,,,150323524.740600,
2025-11-12,46.119999,47.090000,45.470001,46.930000,3171200,0.000000,0.000000,46.035136,47.003352,45.386334,46.843647,,,,,46.491034,,,,,49.359551,,,,,3.874646,0.082714,0.017563,-0.028968,,,,,,-0.057630,,,,148824416.000000,
2025-11-13,46.340000,47.470001,45.450001,45.730000,2813400,0.000000,0.000000,46.254733,47.382655,45.366371,45.645855,,,,,46.355329,,,,,45.730378,,,,,3.698920,0.081035,-0.025570,0.015771,,,,,,-0.081727,,,,128656782.000000,
2025-11-14,45.090000,46.009998,43.470001,43.560001,3378800,0.000000,0.000000,45.007034,45.925340,43.390016,43.479851,46.523737,,,,45.896714,,,,,40.002588,46.523737,50.193471,42.854002,0.085272,3.591378,0.082599,-0.047452,-0.082754,,,,,,-0.125301,,,6117195.000000,147180531.378800,
2025-11-17,43.119999,43.799999,41.029999,41.580002,4173600,0.000000,0.000000,43.040658,43.719407,40.954503,41.503494,46.183364,,,,45.199964,,,,,35.618775,46.183364,50.380097,41.986631,-0.057561,3.516565,0.084729,-0.045455,-0.118881,,,,,,-0.165060,,,6312085.000000,173538296.347200,
2025-11-18,41.040001,42.540001,40.430000,41.430000,3535600,0.000000,0.000000,40.964486,42.461726,40.355607,41.353767,45.765634,,,,44.592855,,,,,35.303132,45.765634,50.144269,41.386999,-0.003795,3.391281,0.082007,-0.003608,-0.101691,-0.144008,,,,0.689342,-0.168072,,,6478730.000000,146479908.000000,
2025-11-19,41.580002,43.750000,41.320000,42.720001,4270700,0.000000,0.000000,41.503494,43.669499,41.243970,42.641396,45.532065,,,,44.286051,,,,,40.210178,45.532065,50.059065,41.005065,0.180730,3.306964,0.077553,0.031137,-0.089708,-0.142169,,,,0.690815,-0.142169,,,6676070.000000,182444308.270700,
2025-11-20,45.180000,46.669998,42.770000,43.250000,4882400,0.000000,0.000000,45.096867,46.584123,42.691301,43.170418,45.394818,,,,44.111243,,,,,42.151497,45.394818,50.037842,40.751794,0.260458,3.361603,0.077868,0.012406,-0.054231,-0.087553,,,,0.676348,-0.131526,,,6913120.000000,211163800.000000,
2025-11-21,43.490002,45.459999,43.299999,44.439999,3811600,0.000000,0.000000,43.409978,45.376350,43.220325,44.358227,45.329438,,,,44.149833,,,,,46.362590,45.329438,49.993174,40.665703,0.395876,3.263703,0.073576,0.027514,0.020202,-0.033913,,,,0.677548,-0.107631,,,7071255.000000,169387500.188400,
2025-11-24,44.840000,46.000000,44.709999,45.470001,3193800,0.000000,0.000000,44.757492,45.915357,44.627730,45.386333,45.315464,,,,44.342568,44.942846,-0.600278,,,49.770863,45.315464,49.976630,40.654298,0.507602,3.121030,0.068766,0.023177,0.093555,-0.006120,,,,0.682305,-0.086948,,,7211780.000000,145222089.193800,
