Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,4.830000,5.300000,4.810000,5.280000,1855200,0.000000,0.000000,4.596754,5.044057,4.577720,5.025023,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,9795456.000000,
2015-01-05,5.340000,5.420000,5.080000,5.410000,2366100,0.000000,0.000000,5.082125,5.158262,4.834681,5.148745,,,,,,,,,,50.000000,,,,,,,0.024621,,,,,,,0.000000,,,,12800601.000000,
2015-01-06,5.410000,5.910000,5.390000,5.850000,3831300,0.000000,0.000000,5.148745,5.624599,5.129711,5.567497,,,,,,,,,,50.000000,,,,,,,0.081331,,,,,,,0.000000,,,,22413105.000000,
2015-01-07,5.670000,5.960000,5.530000,5.670000,2931900,0.000000,0.000000,5.396189,5.672184,5.262950,5.396189,,,,,,,,,,50.000000,,,,,,,-0.030769,,,,,,,-0.030769,,,,16623873.000000,
2015-01-08,5.740000,5.870000,5.440000,5.510000,1735700,0.000000,0.000000,5.462809,5.586531,5.177296,5.243916,,,,,,,,,,50.000000,,,,,,,-0.028219,,,,,,,-0.058120,,,,9563707.000000,
2015-01-09,5.600000,5.830000,5.580000,5.770000,1950400,0.000000,0.000000,5.329570,5.548463,5.310535,5.491360,,,,,,,,,,50.000000,,,,,,,0.047187,0.092803,,,,,,-0.013675,,,,11253808.000000,
2015-01-12,5.850000,6.450000,5.770000,6.290000,3864900,0.000000,0.000000,5.567497,6.138522,5.491360,5.986249,,,,,,,,,,50.000000,,,,,,,0.090121,0.162662,,,,,,0.000000,,,,24310221.000000,
2015-01-13,6.570000,6.820000,6.130000,6.300000,4926700,0.000000,0.000000,6.252728,6.490655,5.833976,5.995766,,,,,,,,,,50.000000,,,,,,,0.001590,0.076923,,,,,,0.000000,,,,31038210.000000,
2015-01-14,6.350000,6.490000,5.790000,6.020000,3660100,0.000000,0.000000,6.043351,6.176590,5.510394,5.729287,,,,,,,,,,50.000000,,,,,,,-0.044445,0.061728,,,,,,-0.044445,,,,22033802.000000,
2015-01-15,6.420000,6.550000,6.280000,6.360000,2356800,0.000000,0.000000,6.109971,6.233693,5.976732,6.052868,,,,,,,,,,50.000000,,,,,,,0.056478,0.154265,,,,,,0.000000,,,,14989248.000000,
2015-01-16,6.420000,6.880000,6.380000,6.630000,2825400,0.000000,0.000000,6.109971,6.547757,6.071903,6.309830,,,,,,,,,,50.000000,,,,,,,0.042453,0.149047,,,,,,0.000000,,,,18732402.000000,
2015-01-20,6.890000,7.140000,6.750000,6.960000,3147400,0.000000,0.000000,6.557275,6.795203,6.424036,6.623895,,,,,5.957340,,,,,50.000000,,,,,,,0.049774,0.106518,,,,,,0.000000,,,,21905904.000000,
2015-01-21,7.050000,7.160000,6.810000,6.990000,3065400,0.000000,0.000000,6.709548,6.814235,6.481137,6.652445,,,,,6.078037,,,,,50.000000,,,,,,,0.004310,0.109524,,,,,,0.000000,,,,21427146.000000,
2015-01-22,7.050000,7.130000,6.790000,6.810000,2522100,0.000000,0.000000,6.709548,6.785684,6.462103,6.481137,,,,,6.146672,,,,,50.000000,,,,,0.463765,0.071556,-0.025751,0.131229,,,,,,-0.025751,,,,17175501.000000,
2015-01-23,6.650000,6.710000,6.270000,6.430000,2497200,0.000000,0.000000,6.328863,6.385965,5.967214,6.119487,,,,,6.142118,,,,,61.041086,,,,,0.469104,0.076657,-0.055800,0.011006,,,,,,-0.080115,,,,16056996.000000,
2015-01-26,6.230000,6.620000,6.150000,6.550000,1770000,0.000000,0.000000,5.929146,6.300312,5.853009,6.233693,,,,,6.157251,,,,,63.143641,,,,,0.466862,0.074893,0.018663,-0.012066,,,,,,-0.062947,,,,11593500.000000,
2015-01-27,6.590000,7.020000,6.580000,6.880000,2304000,0.000000,0.000000,6.271762,6.680996,6.262244,6.547757,,,,,6.221057,,,,,68.222581,,,,,0.464912,0.071003,0.050382,-0.011494,,,,,,-0.015737,,,,15851520.000000,
2015-01-28,6.760000,6.760000,6.180000,6.250000,2952100,0.000000,0.000000,6.433551,6.433551,5.881560,5.948180,,,,,6.176893,,,,,53.161143,,,,,0.484431,0.081442,-0.091570,-0.105866,,,,,,-0.105866,,,,18450625.000000,
