Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2025-07-30,93.739998,95.000000,93.300003,94.500000,3074400,0.000000,0.000000,82.857449,83.971174,82.468535,83.529221,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,290530800.000000,
2025-07-31,95.000000,95.989998,94.000000,94.480003,1964100,0.000000,0.000000,83.971157,84.846223,83.087250,83.511528,,,,,,,,,,50.000000,,,,,,,-0.000212,,,,,,,-0.000212,,,,185568173.892300,
2025-08-01,94.680000,95.250000,93.550003,94.139999,2693000,0.000000,0.000000,83.688294,84.192120,82.689482,83.210983,,,,,,,,,,50.000000,,,,,,,-0.003599,,,,,,,-0.003810,,,,253519017.307000,
2025-08-04,95.900002,96.389999,95.150002,96.389999,1445300,0.000000,0.000000,84.766686,85.199799,84.103756,85.199799,,,,,,,,,,50.000000,,,,,,,0.023901,,,,,,,0.000000,,,,139312465.554700,
2025-08-05,96.750000,97.180000,96.010002,96.500000,1410000,0.000000,0.000000,85.518004,85.898085,84.863915,85.297028,,,,,,,,,,50.000000,,,,,,,0.001141,,,,,,,0.000000,,,,136065000.000000,
2025-08-06,96.989998,97.300003,96.849998,97.000000,1348800,0.000000,0.000000,85.730142,86.004158,85.606396,85.738983,,,,,,,,,,50.000000,,,,,,,0.005181,0.026455,,,,,,0.000000,,,,130833600.000000,
2025-08-07,97.550003,97.750000,97.300003,97.589996,1291000,0.000000,0.000000,86.225117,86.401896,86.004140,86.260468,,,,,,,,,,50.000000,,,,,,,0.006082,0.032917,,,,,,0.000000,,,,125988684.836000,
2025-08-08,97.800003,97.889999,97.400002,97.500000,826000,0.000000,0.000000,86.446098,86.525647,86.092534,86.180923,,,,,,,,,,50.000000,,,,,,,-0.000922,0.035692,,,,,,-0.000922,,,,80535000.000000,
2025-08-11,98.250000,98.330002,97.864998,98.050003,1357500,0.000000,0.000000,86.843855,86.914569,86.503549,86.667076,,,,,,,,,,50.000000,,,,,,,0.005641,0.017222,,,,,,0.000000,,,,133102879.072500,
2025-08-12,98.489998,98.489998,97.279999,97.790001,818400,0.000000,0.000000,87.056003,87.056003,85.986477,86.437271,,,,,,,,,,50.000000,,,,,,,-0.002652,0.013368,,,,,,-0.002652,,,,80031336.818400,
2025-08-13,98.160004,98.199997,97.650002,97.900002,759100,0.000000,0.000000,86.764310,86.799661,86.313516,86.534492,,,,,,,,,,50.000000,,,,,,,0.001125,0.009278,,,,,,-0.001530,,,,74315891.518200,
2025-08-14,97.980003,98.190002,97.599998,98.010002,822000,0.000000,0.000000,86.605205,86.790825,86.269316,86.631721,,,,,86.000148,,,,,50.000000,,,,,,,0.001124,0.004304,,,,,,-0.000408,,,,80564221.644000,
