Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2025-02-03,85.000000,85.000000,79.250000,82.750000,208000,0.000000,0.000000,74.465014,74.465014,69.427675,72.493881,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,17212000.000000,
2025-02-04,82.000000,85.250000,82.000000,83.250000,97400,0.000000,0.000000,71.836849,74.684041,71.836849,72.931923,,,,,,,,,,50.000000,,,,,,,0.006042,,,,,,,0.000000,,,,8108550.000000,
2025-02-05,83.500000,87.699997,82.250000,83.139999,295700,0.000000,0.000000,73.150930,76.830376,72.055856,72.835548,,,,,,,,,,50.000000,,,,,,,-0.001321,,,,,,,-0.001321,,,,24584497.704300,
2025-02-06,85.750000,95.000000,84.550003,84.599998,658900,0.000000,0.000000,75.122070,83.225617,74.070802,74.114601,,,,,,,,,,50.000000,,,,,,,0.017561,,,,,,,0.000000,,,,55742938.682200,
2025-02-07,85.500000,87.879997,85.250000,86.400002,847800,0.000000,0.000000,74.903051,76.988069,74.684036,75.691505,,,,,,,,,,50.000000,,,,,,,0.021277,,,,,,,0.000000,,,,73249921.695600,
2025-02-10,89.050003,89.989998,88.000000,89.500000,616600,0.000000,0.000000,78.013071,78.836562,77.093206,78.407295,,,,,,,,,,50.000000,,,,,,,0.035880,0.081571,,,,,,0.000000,,,,55185700.000000,
2025-02-11,90.290001,91.790001,89.360001,89.570000,335700,0.000000,0.000000,79.099369,80.413457,78.284633,78.468605,,,,,,,,,,50.000000,,,,,,,0.000782,0.075916,,,,,,0.000000,,,,30068649.000000,
2025-02-12,89.699997,92.250000,88.019997,90.000000,459900,0.000000,0.000000,78.582501,80.816455,77.110722,78.845322,,,,,,,,,,50.000000,,,,,,,0.004801,0.082512,,,,,,0.000000,,,,41391000.000000,
2025-02-13,90.000000,90.260002,89.500000,90.260002,246500,0.000000,0.000000,78.845328,79.073105,78.407298,79.073105,,,,,,,,,,50.000000,,,,,,,0.002889,0.066903,,,,,,0.000000,,,,22249090.493000,
2025-02-14,90.199997,94.349998,90.019997,94.040001,242900,0.000000,0.000000,79.020527,82.656174,78.862836,82.384598,,,,,,,,,,50.000000,,,,,,,0.041879,0.088426,,,,,,0.000000,,,,22842316.242900,
2025-02-18,95.099998,99.000000,93.158997,98.599998,541700,0.000000,0.000000,83.313211,86.729842,81.612779,86.379417,,,,,,,,,,50.000000,,,,,,,0.048490,0.101676,,,,,,0.000000,,,,53411618.916600,
2025-02-19,100.000000,100.250000,95.400002,95.779999,383400,0.000000,0.000000,87.605914,87.824929,83.576043,83.908943,,,,,80.286164,,,,,50.000000,,,,,,,-0.028600,0.069331,,,,,,-0.028600,,,,36722051.616600,
2025-02-20,97.000000,98.500000,96.001999,97.750000,222200,0.000000,0.000000,84.977729,86.291818,84.103421,85.634773,,,,,81.214886,,,,,50.000000,,,,,,,0.020568,0.086111,,,,,,-0.008621,,,,21720050.000000,
2025-02-21,99.099998,99.099998,92.120003,93.010002,225700,0.000000,0.000000,86.817450,86.817450,80.702562,81.482254,,,,,81.260410,,,,,50.000000,,,,,4.024773,0.049394,-0.048491,0.030467,,,,,,-0.056694,,,,20992357.451400,
2025-02-24,93.949997,94.790001,92.500000,93.099998,200400,0.000000,0.000000,82.305753,83.041646,81.035470,81.561104,,,,,81.310781,,,,,63.243235,,,,,3.809884,0.046712,0.000968,-0.009996,,,,,,-0.055781,,,,18657239.599200,
2025-02-25,91.500000,92.344002,89.000000,90.750000,376800,0.000000,0.000000,80.159394,80.898789,77.969247,79.502350,,,,,81.011924,,,,,55.537490,,,,,3.787459,0.047640,-0.025242,-0.079615,,,,,,-0.079615,,,,34194600.000000,
2025-02-26,90.489998,94.629997,89.509003,93.129997,526900,0.000000,0.000000,79.274584,82.901468,78.415174,81.587379,,,,,81.105949,,,,,60.753027,,,,,3.857146,0.047276,0.026226,-0.027668,,,,,,-0.055477,,,,49070195.419300,
2025-02-27,94.500000,94.500000,91.500000,91.589996,382300,0.000000,0.000000,82.787586,82.787586,80.159409,80.238251,,,,,80.965514,,,,,56.162357,,,,,3.737966,0.046586,-0.016536,-0.063018,,,,,,-0.071095,,,,35014855.470800,
2025-02-28,92.000000,94.629997,91.050003,92.400002,1281600,0.000000,0.000000,80.597436,82.901469,79.765182,80.947861,,,,,80.962680,,,,,57.961663,,,,,3.681072,0.045475,0.008844,-0.006558,,,,,,-0.062880,,,,118419842.563200,
2025-03-03,94.750000,95.000000,89.500000,90.239998,274200,0.000000,0.000000,83.006601,83.225616,78.407291,79.055573,79.277214,,,,80.658511,,,,,51.850008,79.277214,87.357318,71.197111,0.486285,3.786179,0.047893,-0.023377,-0.030720,,,,,,-0.084787,,,421230.000000,24743807.451600,
2025-03-04,89.500000,93.440002,89.500000,92.550003,191700,0.000000,0.000000,78.407287,81.858961,78.407287,81.079269,79.706484,,,,80.725242,,,,,57.064128,79.706484,87.156905,72.256063,0.592128,3.755899,0.046324,0.025598,0.019835,,,,,,-0.061359,,,420415.000000,17741835.575100,
