Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,13.360000,13.460000,12.820000,13.150000,613300,0.000000,0.000000,13.360000,13.460000,12.820000,13.150000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,8064895.000000,
2015-01-05,13.170000,13.380000,12.980000,13.020000,1223800,0.000000,0.000000,13.170000,13.380000,12.980000,13.020000,,,,,,,,,,50.000000,,,,,,,-0.009886,,,,,,,-0.009886,,,,15933876.000000,
2015-01-06,13.160000,13.160000,12.510000,12.580000,1013800,0.000000,0.000000,13.160000,13.160000,12.510000,12.580000,,,,,,,,,,50.000000,,,,,,,-0.033794,,,,,,,-0.043346,,,,12753604.000000,
2015-01-07,12.720000,12.730000,12.410000,12.540000,528000,0.000000,0.000000,12.720000,12.730000,12.410000,12.540000,,,,,,,,,,50.000000,,,,,,,-0.003180,,,,,,,-0.046388,,,,6621120.000000,
2015-01-08,12.800000,13.190000,12.710000,13.070000,527800,0.000000,0.000000,12.800000,13.190000,12.710000,13.070000,,,,,,,,,,50.000000,,,,,,,0.042265,,,,,,,-0.006084,,,,6898346.000000,
2015-01-09,13.170000,13.680000,12.900000,13.430000,1007600,0.000000,0.000000,13.170000,13.680000,12.900000,13.430000,,,,,,,,,,50.000000,,,,,,,0.027544,0.021293,,,,,,0.000000,,,,13532068.000000,
2015-01-12,13.520000,13.610000,13.250000,13.330000,667600,0.000000,0.000000,13.520000,13.610000,13.250000,13.330000,,,,,,,,,,50.000000,,,,,,,-0.007446,0.023810,,,,,,-0.007446,,,,8899108.000000,
2015-01-13,13.600000,13.890000,13.020000,13.250000,1331900,0.000000,0.000000,13.600000,13.890000,13.020000,13.250000,,,,,,,,,,50.000000,,,,,,,-0.006002,0.053259,,,,,,-0.013403,,,,17647675.000000,
2015-01-14,13.340000,13.650000,13.210000,13.410000,1396800,0.000000,0.000000,13.340000,13.650000,13.210000,13.410000,,,,,,,,,,50.000000,,,,,,,0.012075,0.069378,,,,,,-0.001489,,,,18731088.000000,
2015-01-15,13.560000,13.630000,13.270000,13.320000,1271600,0.000000,0.000000,13.560000,13.630000,13.270000,13.320000,,,,,,,,,,50.000000,,,,,,,-0.006711,0.019128,,,,,,-0.008191,,,,16937712.000000,
2015-01-16,13.280000,13.540000,13.240000,13.350000,1262700,0.000000,0.000000,13.280000,13.540000,13.240000,13.350000,,,,,,,,,,50.000000,,,,,,,0.002252,-0.005957,,,,,,-0.005957,,,,16857045.000000,
2015-01-20,13.480000,13.820000,13.210000,13.710000,1040700,0.000000,0.000000,13.480000,13.820000,13.210000,13.710000,,,,,13.310768,,,,,50.000000,,,,,,,0.026966,0.028507,,,,,,0.000000,,,,14267997.000000,
2015-01-21,13.710000,14.560000,13.470000,14.220000,2359800,0.000000,0.000000,13.710000,14.560000,13.470000,14.220000,,,,,13.468645,,,,,50.000000,,,,,,,0.037199,0.073208,,,,,,0.000000,,,,33556356.000000,
2015-01-22,14.200000,14.520000,14.000000,14.480000,1580000,0.000000,0.000000,14.200000,14.520000,14.000000,14.480000,,,,,13.640847,,,,,50.000000,,,,,0.581378,0.040150,0.018284,0.079791,,,,,,0.000000,,,,22878400.000000,
2015-01-23,14.680000,15.350000,14.500000,14.960000,2024700,0.000000,0.000000,14.680000,15.350000,14.500000,14.960000,,,,,13.861828,,,,,82.961411,,,,,0.612103,0.040916,0.033149,0.123123,,,,,,0.000000,,,,30289512.000000,
2015-01-26,15.010000,15.250000,14.900000,15.100000,1217600,0.000000,0.000000,15.010000,15.250000,14.900000,15.100000,,,,,14.066445,,,,,83.958818,,,,,0.585145,0.038751,0.009358,0.131086,,,,,,0.000000,,,,18385760.000000,
2015-01-27,14.870000,15.920000,14.860000,15.480000,2168300,0.000000,0.000000,14.870000,15.920000,14.860000,15.480000,,,,,14.297411,,,,,86.302599,,,,,0.632497,0.040859,0.025166,0.129103,,,,,,0.000000,,,,33565284.000000,
2015-01-28,15.700000,16.590000,15.700000,16.049999,2702500,0.000000,0.000000,15.700000,16.590000,15.700000,16.049999,,,,,14.581064,,,,,88.918173,,,,,0.678803,0.042293,0.036822,0.128692,,,,,,0.000000,,,,43375122.297500,
2015-01-29,16.320000,16.389999,15.030000,15.340000,2370300,0.000000,0.000000,16.320000,16.389999,15.030000,15.340000,,,,,14.702921,,,,,70.786173,,,,,0.743217,0.048450,-0.044237,0.059392,,,,,,-0.044237,,,,36360402.000000,
