Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,5.354000,5.400000,5.272000,5.338000,831000,0.000000,0.000000,4.883160,4.925114,4.808371,4.868567,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,4435878.000000,
2015-01-05,5.292000,5.292000,5.106000,5.114000,1963500,0.000000,0.000000,4.826612,4.826612,4.656969,4.664266,,,,,,,,,,50.000000,,,,,,,-0.041963,,,,,,,-0.041963,,,,10041339.000000,
2015-01-06,5.130000,5.194000,4.992000,5.058000,1616500,0.000000,0.000000,4.678858,4.737229,4.552994,4.613190,,,,,,,,,,50.000000,,,,,,,-0.010950,,,,,,,-0.052454,,,,8176257.000000,
2015-01-07,5.076000,5.118000,5.034000,5.064000,901000,0.000000,0.000000,4.629607,4.667913,4.591300,4.618662,,,,,,,,,,50.000000,,,,,,,0.001186,,,,,,,-0.051330,,,,4562664.000000,
2015-01-08,5.114000,5.166000,5.090000,5.098000,1471500,0.000000,0.000000,4.664263,4.711690,4.642374,4.649671,,,,,,,,,,50.000000,,,,,,,0.006714,,,,,,,-0.044961,,,,7501707.000000,
2015-01-09,5.120000,5.160000,5.018000,5.018000,1494000,0.000000,0.000000,4.669738,4.706220,4.576708,4.576708,,,,,,,,,,50.000000,,,,,,,-0.015692,-0.059948,,,,,,-0.059948,,,,7496892.000000,
2015-01-12,5.018000,5.030000,4.968000,5.004000,1848500,0.000000,0.000000,4.576708,4.587653,4.531105,4.563940,,,,,,,,,,50.000000,,,,,,,-0.002790,-0.021509,,,,,,-0.062570,,,,9249894.000000,
2015-01-13,5.044000,5.134000,4.970000,5.030000,1955000,0.000000,0.000000,4.600422,4.682507,4.532929,4.587653,,,,,,,,,,50.000000,,,,,,,0.005196,-0.005536,,,,,,-0.057700,,,,9833650.000000,
2015-01-14,4.964000,5.028000,4.924000,4.950000,2045500,0.000000,0.000000,4.527458,4.585829,4.490975,4.514688,,,,,,,,,,50.000000,,,,,,,-0.015905,-0.022512,,,,,,-0.072686,,,,10125225.000000,
2015-01-15,4.972000,4.972000,4.844000,4.852000,2378000,0.000000,0.000000,4.534754,4.534754,4.418010,4.425307,,,,,,,,,,50.000000,,,,,,,-0.019798,-0.048254,,,,,,-0.091045,,,,11538056.000000,
2015-01-16,4.830000,4.870000,4.794000,4.840000,2623000,0.000000,0.000000,4.405240,4.441722,4.372406,4.414361,,,,,,,,,,50.000000,,,,,,,-0.002474,-0.035472,,,,,,-0.093294,,,,12695320.000000,
2015-01-20,4.854000,4.870000,4.784000,4.798000,2527500,0.000000,0.000000,4.427129,4.441722,4.363285,4.376053,,,,,4.509289,,,,,50.000000,,,,,,,-0.008678,-0.041168,,,,,,-0.101162,,,,12126945.000000,
