Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2019-09-12,54.000000,58.000000,51.000000,52.750000,7326300,0.000000,0.000000,54.000000,58.000000,51.000000,52.750000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,386462325.000000,
2019-09-13,52.750000,54.355000,49.150002,52.270000,1025200,0.000000,0.000000,52.750000,54.355000,49.150002,52.270000,,,,,,,,,,50.000000,,,,,,,-0.009100,,,,,,,-0.009100,,,,53587204.000000,
2019-09-16,52.450001,56.000000,52.009998,55.200001,269900,0.000000,0.000000,52.450001,56.000000,52.009998,55.200001,,,,,,,,,,50.000000,,,,,,,0.056055,,,,,,,0.000000,,,,14898480.269900,
2019-09-17,56.209999,60.900002,55.423000,56.779999,602800,0.000000,0.000000,56.209999,60.900002,55.423000,56.779999,,,,,,,,,,50.000000,,,,,,,0.028623,,,,,,,0.000000,,,,34226983.397200,
2019-09-18,56.849998,62.270000,55.650002,62.000000,1589600,0.000000,0.000000,56.849998,62.270000,55.650002,62.000000,,,,,,,,,,50.000000,,,,,,,0.091934,,,,,,,0.000000,,,,98555200.000000,
2019-09-19,62.810001,63.375000,61.029999,61.119999,425200,0.000000,0.000000,62.810001,63.375000,61.029999,61.119999,,,,,,,,,,50.000000,,,,,,,-0.014194,0.158673,,,,,,-0.014194,,,,25988223.574800,
2019-09-20,61.709999,62.419998,59.820000,60.500000,392000,0.000000,0.000000,61.709999,62.419998,59.820000,60.500000,,,,,,,,,,50.000000,,,,,,,-0.010144,0.157452,,,,,,-0.024194,,,,23716000.000000,
2019-09-23,60.220001,61.485001,59.939999,60.330002,137200,0.000000,0.000000,60.220001,61.485001,59.939999,60.330002,,,,,,,,,,50.000000,,,,,,,-0.002810,0.092935,,,,,,-0.026935,,,,8277276.274400,
2019-09-24,61.000000,61.000000,54.000000,54.299999,713800,0.000000,0.000000,61.000000,61.000000,54.000000,54.299999,,,,,,,,,,50.000000,,,,,,,-0.099950,-0.043677,,,,,,-0.124194,,,,38759339.286200,
2019-09-25,54.459999,55.880001,52.563000,52.759998,261200,0.000000,0.000000,54.459999,55.880001,52.563000,52.759998,,,,,,,,,,50.000000,,,,,,,-0.028361,-0.149032,,,,,,-0.149032,,,,13780911.477600,
2019-09-26,52.779999,53.689999,46.619999,49.990002,596300,0.000000,0.000000,52.779999,53.689999,46.619999,49.990002,,,,,,,,,,50.000000,,,,,,,-0.052502,-0.182101,,,,,,-0.193710,,,,29809038.192600,
2019-09-27,51.130001,55.000000,50.700001,51.029999,621300,0.000000,0.000000,51.130001,55.000000,50.700001,51.029999,,,,,54.811774,,,,,50.000000,,,,,,,0.020804,-0.156529,,,,,,-0.176936,,,,31704938.378700,
2019-09-30,51.049999,52.000000,49.250000,50.400002,168900,0.000000,0.000000,51.049999,52.000000,49.250000,50.400002,,,,,54.045723,,,,,50.000000,,,,,,,-0.012346,-0.164595,,,,,,-0.187097,,,,8512560.337800,
2019-10-01,50.509998,51.919998,46.000000,47.029999,536300,0.000000,0.000000,50.509998,51.919998,46.000000,47.029999,,,,,52.851169,,,,,50.000000,,,,,4.677046,0.099448,-0.066865,-0.133886,,,,,,-0.241452,,,,25222188.463700,
2019-10-02,46.779999,47.230000,45.110001,46.070000,519600,0.000000,0.000000,46.779999,47.230000,45.110001,46.070000,,,,,51.715207,,,,,29.145741,,,,,4.404836,0.095612,-0.020412,-0.126801,,,,,,-0.256935,,,,23937972.000000,
2019-10-03,46.770000,48.240002,45.750000,48.119999,703900,0.000000,0.000000,46.770000,48.240002,45.750000,48.119999,,,,,51.121071,,,,,36.916123,,,,,4.207891,0.087446,0.044497,-0.037408,,,,,,-0.223871,,,,33871667.296100,
2019-10-04,48.000000,53.340000,47.820000,51.450001,322400,0.000000,0.000000,48.000000,53.340000,47.820000,51.450001,,,,,51.174816,,,,,47.070430,,,,,4.338733,0.084329,0.069202,0.008230,,,,,,-0.170161,,,,16587480.322400,
2019-10-07,52.099998,53.220001,49.029999,50.360001,476600,0.000000,0.000000,52.099998,53.220001,49.029999,50.360001,,,,,51.042940,,,,,44.543006,,,,,4.324310,0.085868,-0.021186,-0.000794,,,,,,-0.187742,,,,24001576.476600,
2019-10-08,50.000000,51.270000,49.000000,49.549999,284100,0.000000,0.000000,50.000000,51.270000,49.000000,49.549999,,,,,50.803228,,,,,42.707814,,,,,4.130055,0.083351,-0.016084,0.053583,,,,,,-0.200806,,,,14077154.715900,
2019-10-09,49.630001,51.525002,49.575001,50.009998,201100,0.000000,0.000000,49.630001,51.525002,49.575001,50.009998,53.101000,,,,50.676714,,,,,44.115952,53.101000,62.677029,43.524971,0.338607,3.930881,0.078602,0.009284,0.085522,,,,,,-0.193387,,,858685.000000,10057010.597800,
2019-10-10,50.549999,50.549999,48.099998,48.439999,222100,0.000000,0.000000,50.549999,50.549999,48.099998,48.439999,52.885500,,,,50.321979,,,,,40.460752,52.885500,62.686139,43.084861,0.273204,3.796829,0.078382,-0.031394,0.006650,,,,,,-0.218710,,,503475.000000,10758523.777900,
2019-10-11,48.410000,50.220001,48.119999,49.299999,135700,0.000000,0.000000,48.410000,50.220001,48.119999,49.299999,52.737000,,,,50.160663,,,,,43.235211,52.737000,62.666069,42.807931,0.326922,3.646107,0.073958,0.017754,-0.041788,-0.065403,,,,0.715141,-0.204839,,,459000.000000,6690009.864300,
2019-10-14,49.310001,51.220001,49.000000,50.259998,83600,0.000000,0.000000,49.310001,51.220001,49.000000,50.259998,52.490000,,,,50.176280,,,,,46.246410,52.490000,62.406859,42.573141,0.387565,3.521599,0.070068,0.019473,-0.001986,-0.038454,,,,0.718533,-0.189355,,,449685.000000,4201735.832800,
2019-10-15,50.500000,51.650002,48.509998,48.660000,95100,0.000000,0.000000,50.500000,51.650002,48.509998,48.660000,52.084000,,,,49.938695,,,,,42.225972,52.084000,61.925935,42.242064,0.326050,3.488804,0.071698,-0.031834,-0.017962,-0.118478,,,,0.694887,-0.215161,,,424300.000000,4627566.000000,
2019-10-16,48.540001,51.750000,48.502998,51.130001,139500,0.000000,0.000000,48.540001,51.750000,48.502998,51.130001,51.540500,,,,50.124831,,,,,49.521609,51.540500,60.207166,42.873834,0.476317,3.468320,0.067833,0.050760,0.022396,-0.099507,,,,0.712423,-0.175323,,,351795.000000,7132635.139500,
2019-10-17,51.080002,52.320000,50.110001,51.889999,131000,0.000000,0.000000,51.080002,52.320000,50.110001,51.889999,51.079000,,,,50.399970,51.069641,-0.669672,,,51.548981,51.079000,58.489851,43.668148,0.554717,3.363122,0.064813,0.014864,0.071222,-0.163065,,,,0.626474,-0.163065,,,337085.000000,6797589.869000,
2019-10-18,51.610001,54.230000,51.320000,52.500000,170000,0.000000,0.000000,51.610001,54.230000,51.320000,52.500000,50.679000,,,,50.726643,51.190756,-0.464113,,,53.174576,50.679000,56.677902,44.680098,0.651778,3.325695,0.063347,0.011756,0.064909,-0.141034,,,,0.629520,-0.153226,,,325985.000000,8925000.000000,
2019-10-21,52.490002,56.500000,52.146000,53.360001,161600,0.000000,0.000000,52.490002,56.500000,52.146000,53.360001,50.330500,,,,51.135579,51.372508,-0.236930,,,55.444265,50.330500,54.499415,46.161585,0.863344,3.409692,0.063900,0.016381,0.061679,-0.118017,,,,0.634248,-0.139355,,,327205.000000,8622976.161600,
2019-10-22,53.349998,56.000000,52.979000,54.630001,131000,0.000000,0.000000,53.349998,56.000000,52.979000,54.630001,50.347000,,,,51.677447,51.642815,0.034632,,,58.633066,50.347000,54.584120,46.109880,1.005414,3.378264,0.061839,0.023801,0.122688,-0.094480,,,,0.642156,-0.118871,,,298065.000000,7156530.131000,
