Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,35.259998,35.529999,34.799999,35.099998,1279200,0.000000,0.000000,35.259998,35.529999,34.799999,35.099998,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,44899917.441600,
2015-01-05,33.900002,35.290001,33.750000,35.099998,2956600,0.000000,0.000000,33.900002,35.290001,33.750000,35.099998,,,,,,,,,,50.000000,,,,,,,0.000000,,,,,,,0.000000,,,,103776654.086800,
2015-01-06,35.250000,35.250000,34.049999,34.480000,2311800,0.000000,0.000000,35.250000,35.250000,34.049999,34.480000,,,,,,,,,,50.000000,,,,,,,-0.017664,,,,,,,-0.017664,,,,79710864.000000,
2015-01-07,34.619999,35.540001,34.619999,35.380001,1870900,0.000000,0.000000,34.619999,35.540001,34.619999,35.380001,,,,,,,,,,50.000000,,,,,,,0.026102,,,,,,,0.000000,,,,66192443.870900,
2015-01-08,36.380001,36.779999,35.980000,36.689999,4329600,0.000000,0.000000,36.380001,36.779999,35.980000,36.689999,,,,,,,,,,50.000000,,,,,,,0.037027,,,,,,,0.000000,,,,158853019.670400,
2015-01-09,36.980000,36.990002,36.029999,36.439999,1566100,0.000000,0.000000,36.980000,36.990002,36.029999,36.439999,,,,,,,,,,50.000000,,,,,,,-0.006814,0.038177,,,,,,-0.006814,,,,57068682.433900,
2015-01-12,36.529999,36.590000,36.040001,36.419998,1650700,0.000000,0.000000,36.529999,36.590000,36.040001,36.419998,,,,,,,,,,50.000000,,,,,,,-0.000549,0.037607,,,,,,-0.007359,,,,60118490.698600,
2015-01-13,36.560001,36.709999,34.400002,34.509998,3981500,0.000000,0.000000,36.560001,36.709999,34.400002,34.509998,,,,,,,,,,50.000000,,,,,,,-0.052444,0.000870,,,,,,-0.059417,,,,137401557.037000,
2015-01-14,34.240002,34.240002,33.320000,33.849998,2993900,0.000000,0.000000,34.240002,34.240002,33.320000,33.849998,,,,,,,,,,50.000000,,,,,,,-0.019125,-0.043245,,,,,,-0.077405,,,,101343509.012200,
2015-01-15,33.930000,34.200001,32.950001,32.990002,2004000,0.000000,0.000000,33.930000,34.200001,32.950001,32.990002,,,,,,,,,,50.000000,,,,,,,-0.025406,-0.100845,,,,,,-0.100845,,,,66111964.008000,
2015-01-16,33.060001,33.529999,32.580002,33.320000,2172700,0.000000,0.000000,33.060001,33.529999,32.580002,33.320000,,,,,,,,,,50.000000,,,,,,,0.010003,-0.085620,,,,,,-0.091851,,,,72394364.000000,
2015-01-20,33.509998,33.990002,33.049999,33.570000,1496500,0.000000,0.000000,33.509998,33.990002,33.049999,33.570000,,,,,34.368773,,,,,50.000000,,,,,,,0.007503,-0.078254,,,,,,-0.085037,,,,50237505.000000,
2015-01-21,33.459999,34.060001,33.310001,33.889999,1343900,0.000000,0.000000,33.459999,34.060001,33.310001,33.889999,,,,,34.285640,,,,,50.000000,,,,,,,0.009532,-0.017966,,,,,,-0.076315,,,,45544769.656100,
2015-01-22,34.029999,34.860001,33.990002,34.630001,1221300,0.000000,0.000000,34.029999,34.860001,33.990002,34.630001,,,,,34.344273,,,,,50.000000,,,,,1.105563,0.031925,0.021835,0.023043,,,,,,-0.056146,,,,42293620.221300,
2015-01-23,34.560001,35.070000,34.410000,34.799999,1023100,0.000000,0.000000,34.560001,35.070000,34.410000,34.799999,,,,,34.420615,,,,,50.517630,,,,,1.058131,0.030406,0.004909,0.054865,,,,,,-0.051513,,,,35603878.976900,
2015-01-26,34.919998,35.509998,34.630001,35.360001,1281500,0.000000,0.000000,34.919998,35.509998,34.630001,35.360001,,,,,34.575856,,,,,55.705524,,,,,1.039809,0.029406,0.016092,0.061225,,,,,,-0.036250,,,,45313841.281500,
2015-01-27,35.080002,35.830002,34.910000,35.660000,1151600,0.000000,0.000000,35.080002,35.830002,34.910000,35.660000,,,,,34.752998,,,,,58.231913,,,,,1.027862,0.028824,0.008484,0.062258,,,,,,-0.028073,,,,41066056.000000,
2015-01-28,35.750000,36.070000,35.340000,35.410000,1439100,0.000000,0.000000,35.750000,36.070000,35.340000,35.410000,,,,,34.859333,,,,,55.396366,,,,,0.998977,0.028212,-0.007011,0.044851,,,,,,-0.034887,,,,50958531.000000,
2015-01-29,35.549999,35.750000,35.110001,35.389999,783500,0.000000,0.000000,35.549999,35.750000,35.110001,35.389999,,,,,34.944538,,,,,55.164928,,,,,0.965032,0.027268,-0.000565,0.021946,,,,,,-0.035432,,,,27728064.216500,
2015-01-30,35.139999,35.630001,34.580002,34.860001,1181500,0.000000,0.000000,35.139999,35.630001,34.580002,34.860001,34.892500,,,,34.931055,,,,,49.288582,34.892500,36.941055,32.843944,0.492068,0.972885,0.027908,-0.014976,0.001724,,,,,,-0.049877,,,1901950.000000,41187091.181500,
2015-02-02,34.919998,35.209999,34.209999,35.139999,1219700,0.000000,0.000000,34.919998,35.209999,34.209999,35.139999,34.894500,,,,34.964193,,,,,52.186337,34.894500,36.943986,32.845013,0.559893,0.975339,0.027756,0.008032,-0.006222,,,,,,-0.042246,,,1898975.000000,42860256.780300,
2015-02-03,35.540001,36.130001,35.110001,36.070000,1333500,0.000000,0.000000,35.540001,36.130001,35.110001,36.070000,34.943000,,,,35.138741,,,,,60.300662,34.943000,37.057830,32.828169,0.766452,0.979306,0.027150,0.026466,0.011497,0.027635,,,,0.322281,-0.016898,,,1817820.000000,48099345.000000,
2015-02-04,36.410000,36.410000,35.389999,36.029999,1690500,0.000000,0.000000,36.410000,36.410000,35.389999,36.029999,35.020500,,,,35.278862,,,,,59.830342,35.020500,37.177080,32.863919,0.734051,0.982859,0.027279,-0.001109,0.017509,0.026496,,,,0.322369,-0.017989,,,1786755.000000,60908713.309500,
2015-02-05,36.000000,36.439999,35.840000,36.349998,1185900,0.000000,0.000000,36.000000,36.439999,35.840000,36.349998,35.069000,,,,35.446698,,,,,62.359575,35.069000,37.301900,32.836099,0.786846,0.949955,0.026134,0.008881,0.027126,0.054234,,,,0.315588,-0.009267,,,1752505.000000,43107462.628200,
2015-02-06,36.509998,36.869999,36.180000,36.669998,1416500,0.000000,0.000000,36.509998,36.869999,36.180000,36.669998,35.067999,,,,35.637833,,,,,64.749798,35.067999,37.297859,32.838140,0.859215,0.927934,0.025305,0.008803,0.051922,0.036461,,,,0.304940,-0.000545,,,1606850.000000,51943052.167000,
2015-02-09,36.470001,36.730000,36.040001,36.509998,2105600,0.000000,0.000000,36.470001,36.730000,36.040001,36.509998,35.071499,,,,35.773778,35.435026,0.338752,,,62.609001,35.071499,37.310627,32.832372,0.821219,0.908042,0.024871,-0.004363,0.038987,-0.004906,,,,0.277294,-0.004906,,,1633825.000000,76875451.788800,
2015-02-10,38.919998,38.919998,36.840000,37.250000,3353900,0.000000,0.000000,38.919998,38.919998,36.840000,37.250000,35.113000,,,,36.003414,35.588707,0.414706,,,67.895837,35.113000,37.484231,32.741768,0.950610,1.032099,0.027707,0.020268,0.032714,0.022228,,,,0.284784,0.000000,,,1718985.000000,124932775.000000,
2015-02-11,37.049999,37.830002,37.029999,37.660000,1205200,0.000000,0.000000,37.049999,37.830002,37.029999,37.660000,35.270500,,,,36.260666,35.762253,0.498413,,,70.393594,35.270500,37.879612,32.661387,0.957914,1.013140,0.026902,0.011007,0.045240,0.034047,,,,0.286695,0.000000,,,1580170.000000,45387832.000000,
2015-02-12,38.590000,38.599998,37.700001,38.200001,1334100,0.000000,0.000000,38.590000,38.599998,37.700001,38.200001,35.488000,,,,36.561392,35.964537,0.596855,,,73.336042,35.488000,38.314696,32.661304,0.979712,1.007226,0.026367,0.014339,0.050894,0.106926,,,,0.210960,0.000000,,,1497180.000000,50962621.334100,
