Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,64.080002,65.000000,63.049999,63.970001,529700,0.000000,0.000000,60.923529,61.798210,59.944263,60.818947,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,33884909.529700,
2015-01-05,63.820000,63.980000,62.709999,63.139999,885800,0.000000,0.000000,60.676351,60.828470,59.621027,60.029846,,,,,,,,,,50.000000,,,,,,,-0.012975,,,,,,,-0.012975,,,,55929411.114200,
2015-01-06,63.049999,63.740002,62.820000,62.919998,754600,0.000000,0.000000,59.944272,60.600287,59.725602,59.820675,,,,,,,,,,50.000000,,,,,,,-0.003484,,,,,,,-0.016414,,,,47479430.490800,
2015-01-07,63.020000,63.349998,62.740002,62.959999,632100,0.000000,0.000000,59.915765,60.229508,59.649558,59.858719,,,,,,,,,,50.000000,,,,,,,0.000636,,,,,,,-0.015788,,,,39797015.367900,
2015-01-08,63.189999,63.930000,63.189999,63.590000,890800,0.000000,0.000000,60.077385,60.780936,60.077385,60.457684,,,,,,,,,,50.000000,,,,,,,0.010006,,,,,,,-0.005940,,,,56645972.000000,
2015-01-09,63.320000,63.610001,62.799999,63.090000,561800,0.000000,0.000000,60.200978,60.476694,59.706591,59.982307,,,,,,,,,,50.000000,,,,,,,-0.007863,-0.013756,,,,,,-0.013756,,,,35443962.000000,
2015-01-12,63.330002,63.669998,62.599998,62.970001,472400,0.000000,0.000000,60.210485,60.533734,59.516440,59.868217,,,,,,,,,,50.000000,,,,,,,-0.001902,-0.002692,,,,,,-0.015632,,,,29747028.472400,
2015-01-13,63.400002,64.089996,63.020000,63.430000,575300,0.000000,0.000000,60.277036,60.933043,59.915753,60.305557,,,,,,,,,,50.000000,,,,,,,0.007305,0.008106,,,,,,-0.008441,,,,36491279.000000,
2015-01-14,63.020000,64.059998,62.560001,62.970001,484000,0.000000,0.000000,59.915754,60.904523,59.478413,59.868217,,,,,,,,,,50.000000,,,,,,,-0.007252,0.000159,,,,,,-0.015632,,,,30477480.484000,
2015-01-15,62.919998,63.110001,62.430000,62.700001,479700,0.000000,0.000000,59.820676,60.001319,59.354814,59.611515,,,,,,,,,,50.000000,,,,,,,-0.004288,-0.013996,,,,,,-0.019853,,,,30077190.479700,
2015-01-16,62.500000,63.240002,62.279999,62.900002,584600,0.000000,0.000000,59.421364,60.124915,59.212200,59.801662,,,,,,,,,,50.000000,,,,,,,0.003190,-0.003012,,,,,,-0.016726,,,,36771341.169200,
2015-01-20,63.000000,63.490002,62.430000,63.200001,828900,0.000000,0.000000,59.896753,60.362619,59.354831,60.086903,,,,,59.974256,,,,,50.000000,,,,,,,0.004770,0.003653,,,,,,-0.012036,,,,52386480.828900,
2015-01-21,62.869999,63.630001,62.740002,63.430000,540300,0.000000,0.000000,59.773140,60.495706,59.649547,60.305557,,,,,60.031782,,,,,50.000000,,,,,,,0.003639,0.000000,,,,,,-0.008441,,,,34271229.000000,
2015-01-22,63.540001,64.440002,63.389999,64.260002,1548500,0.000000,0.000000,60.410142,61.265811,60.267529,61.094677,,,,,60.212759,,,,,50.000000,,,,,0.984946,0.016122,0.013085,0.020486,,,,,,0.000000,,,,99506613.097000,
2015-01-23,64.139999,65.339996,63.970001,65.110001,668300,0.000000,0.000000,60.980581,62.121468,60.818956,61.902802,,,,,60.495870,,,,,69.799336,,,,,1.018753,0.016457,0.013227,0.038437,,,,,,0.000000,,,,43513013.668300,
2015-01-26,65.000000,65.290001,64.529999,64.910004,628900,0.000000,0.000000,61.798217,62.073933,61.351368,61.712654,,,,,60.696954,,,,,66.242298,,,,,0.988289,0.016014,-0.003072,0.031955,,,,,,-0.003072,,,,40821901.515600,
2015-01-27,64.239998,64.910004,64.010002,64.300003,483400,0.000000,0.000000,61.075660,61.712663,60.856993,61.132710,,,,,60.768153,,,,,56.744178,,,,,0.975064,0.015950,-0.009397,0.017405,,,,,,-0.012440,,,,31082621.450200,
2015-01-28,64.379997,64.779999,63.740002,64.010002,462600,0.000000,0.000000,61.208761,61.589059,60.600290,60.856991,,,,,60.782531,,,,,52.863368,,,,,0.976393,0.016044,-0.004510,0.009144,,,,,,-0.016894,,,,29611026.925200,
2015-01-29,64.080002,64.529999,63.660000,64.260002,1009000,0.000000,0.000000,60.923543,61.351374,60.524230,61.094677,,,,,60.832651,,,,,55.677515,,,,,0.962280,0.015751,0.003906,0.000000,,,,,,-0.013055,,,,64838342.018000,
2015-01-30,64.059998,64.720001,63.619999,64.349998,800800,0.000000,0.000000,60.904525,61.532018,60.486199,61.180241,60.489528,,,,60.888088,,,,,56.680160,60.489528,61.859960,59.119096,0.752006,0.970001,0.015855,0.001401,-0.011673,,,,,,-0.011673,,,691075.000000,51531478.398400,
2015-02-02,64.410004,64.879997,63.790001,64.870003,831200,0.000000,0.000000,61.237304,61.684147,60.647841,61.674644,60.532313,,,,61.012833,,,,,62.025657,60.532313,61.996285,59.068340,0.890148,0.976003,0.015825,0.008081,-0.000616,,,,,,-0.003686,,,706150.000000,53919946.493600,
2015-02-03,64.930000,65.739998,64.930000,65.739998,775500,0.000000,0.000000,61.731656,62.501755,61.731656,62.501755,60.655908,,,,61.247855,,,,,68.932440,60.655908,62.341824,58.969992,1.047431,0.962778,0.015404,0.013411,0.022395,0.027669,,,,0.123297,0.000000,,,700635.000000,50981368.449000,
2015-02-04,65.639999,66.190002,65.379997,65.750000,563700,0.000000,0.000000,62.406702,62.929613,62.159507,62.511284,60.790439,,,,61.446488,,,,,69.002389,60.790439,62.619089,58.961788,0.970523,0.945956,0.015133,0.000152,0.027183,0.041337,,,,0.111974,0.000000,,,691090.000000,37063275.000000,
2015-02-05,66.000000,66.870003,65.750000,66.769997,652100,0.000000,0.000000,62.748958,63.576106,62.511272,63.481026,60.971554,,,,61.765279,,,,,75.137395,60.971554,63.103957,58.839151,1.088414,0.956173,0.015062,0.015513,0.039060,0.061189,,,,0.119438,0.000000,,,692090.000000,43540715.043700,
