Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2021-01-04,5.935000,5.935000,5.450000,5.740000,45900,0.000000,0.000000,5.754346,5.754346,5.284109,5.565281,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,263466.000000,
2021-01-05,5.700000,5.970000,5.500000,5.900000,231500,0.000000,0.000000,5.526498,5.788280,5.332586,5.720411,,,,,,,,,,50.000000,,,,,,,0.027875,,,,,,,0.000000,,,,1365850.000000,
2021-01-06,5.800000,6.500000,5.800000,6.125000,95500,0.000000,0.000000,5.623456,6.302149,5.623456,5.938563,,,,,,,,,,50.000000,,,,,,,0.038136,,,,,,,0.000000,,,,584937.500000,
2021-01-07,6.120000,6.500000,5.900000,6.380000,93700,0.000000,0.000000,5.933714,6.302148,5.720411,6.185801,,,,,,,,,,50.000000,,,,,,,0.041633,,,,,,,0.000000,,,,597806.000000,
2021-01-08,6.380000,6.800000,6.330000,6.670000,198300,0.000000,0.000000,6.185801,6.593017,6.137323,6.466974,,,,,,,,,,50.000000,,,,,,,0.045455,,,,,,,0.000000,,,,1322661.000000,
2021-01-11,6.600000,6.600000,6.300000,6.500000,40900,0.000000,0.000000,6.399103,6.399103,6.108235,6.302147,,,,,,,,,,50.000000,,,,,,,-0.025488,0.132404,,,,,,-0.025488,,,,265850.000000,
2021-01-12,6.525000,7.050000,6.525000,6.770000,247400,0.000000,0.000000,6.326388,6.835408,6.326388,6.563931,,,,,,,,,,50.000000,,,,,,,0.041539,0.147458,,,,,,0.000000,,,,1674898.000000,
2021-01-13,6.800000,6.950000,6.625000,6.690000,23800,0.000000,0.000000,6.593017,6.738451,6.423343,6.486365,,,,,,,,,,50.000000,,,,,,,-0.011817,0.092245,,,,,,-0.011817,,,,159222.000000,
2021-01-14,6.950000,7.300000,6.750000,7.053000,151700,0.000000,0.000000,6.738451,7.077798,6.544539,6.838316,,,,,,,,,,50.000000,,,,,,,0.054260,0.105486,,,,,,0.000000,,,,1069940.100000,
2021-01-15,7.060000,7.060000,6.800000,6.850000,21600,0.000000,0.000000,6.845103,6.845103,6.593017,6.641495,,,,,,,,,,50.000000,,,,,,,-0.028782,0.026987,,,,,,-0.028782,,,,147960.000000,
2021-01-19,6.930000,7.450000,6.930000,7.450000,91100,0.000000,0.000000,6.719059,7.223231,6.719059,7.223231,,,,,,,,,,50.000000,,,,,,,0.087591,0.146154,,,,,,0.000000,,,,678695.000000,
2021-01-20,7.450000,7.990000,7.210000,7.310000,112400,0.000000,0.000000,7.223231,7.746794,6.990537,7.087493,,,,,6.667255,,,,,50.000000,,,,,,,-0.018792,0.079763,,,,,,-0.018792,,,,821644.000000,
2021-01-21,7.200000,7.500000,7.010000,7.490000,154600,0.000000,0.000000,6.980842,7.271710,6.796625,7.262014,,,,,6.770527,,,,,50.000000,,,,,,,0.024624,0.119581,,,,,,0.000000,,,,1157954.000000,
2021-01-22,7.150000,7.150000,6.890000,6.917000,53400,0.000000,0.000000,6.932363,6.932363,6.680277,6.706455,,,,,6.759618,,,,,50.000000,,,,,0.512471,0.076415,-0.076502,-0.019283,,,,,,-0.076502,,,,369367.800000,
2021-01-25,6.900000,6.900000,6.350000,6.500000,73000,0.000000,0.000000,6.689972,6.689972,6.156713,6.302147,,,,,6.682984,,,,,50.947605,,,,,0.516439,0.081947,-0.060286,-0.051095,,,,,,-0.132176,,,,474500.000000,
2021-01-26,6.500000,6.533000,6.270000,6.390000,75500,0.000000,0.000000,6.302148,6.334143,6.079149,6.195496,,,,,6.602422,,,,,48.824339,,,,,0.489549,0.079017,-0.016923,-0.142282,,,,,,-0.146863,,,,482445.000000,
2021-01-27,6.160000,6.450000,6.100000,6.400000,156500,0.000000,0.000000,5.972498,6.253670,5.914324,6.205193,,,,,6.537518,,,,,49.032324,,,,,0.474571,0.076480,0.001565,-0.124487,,,,,,-0.145527,,,,1001600.000000,
2021-01-28,6.350000,6.800000,6.350000,6.440000,162800,0.000000,0.000000,6.156714,6.593017,6.156714,6.243975,,,,,6.490009,,,,,49.909134,,,,,0.470860,0.075410,0.006250,-0.140187,,,,,,-0.140187,,,,1048432.000000,
2021-01-29,6.325000,7.000000,6.325000,6.800000,77000,0.000000,0.000000,6.132474,6.786928,6.132474,6.593016,,,,,6.506548,,,,,57.067694,,,,,0.488220,0.074051,0.055900,-0.016915,,,,,,-0.092123,,,,523600.000000,
2021-02-01,6.600000,7.000000,6.350000,6.500000,41100,0.000000,0.000000,6.399103,6.786928,6.156713,6.302147,6.441523,,,,6.473947,,,,,50.580512,6.441523,7.339428,5.543617,0.422389,0.501344,0.079551,-0.044118,0.000000,,,,,,-0.132176,,,107385.000000,267150.000000,
2021-02-02,6.550000,7.250000,6.550000,6.970000,152200,0.000000,0.000000,6.350626,7.029318,6.350626,6.757841,6.501151,,,,6.518972,,,,,58.533398,6.501151,7.307802,5.694499,0.659109,0.521786,0.077212,0.072308,0.090767,,,,,,-0.069426,,,112700.000000,1060834.000000,
2021-02-03,6.855000,7.370000,6.855000,7.190000,240400,0.000000,0.000000,6.646343,7.145666,6.646343,6.971146,6.563687,,,,6.590346,,,,,61.644846,6.563687,7.306922,5.820453,0.774112,0.519791,0.074563,0.031564,0.123437,0.252613,,,,0.702606,-0.040053,,,113145.000000,1728476.000000,
2021-02-04,7.230000,7.400000,6.800000,6.800000,236700,0.000000,0.000000,7.009927,7.174753,6.593016,6.593016,6.596410,,,,6.590766,,,,,53.920794,6.596410,7.278905,5.913914,0.497514,0.525199,0.079660,-0.054242,0.055900,0.152542,,,,0.735617,-0.092123,,,120205.000000,1609560.000000,
2021-02-05,7.250000,7.850000,7.175000,7.550000,174100,0.000000,0.000000,7.029319,7.611055,6.956602,7.320187,6.653129,,,,6.705059,,,,,63.414530,6.653129,7.379108,5.927151,0.959420,0.567555,0.077533,0.110294,0.110294,0.232653,,,,0.811646,0.000000,,,124225.000000,1314455.000000,
2021-02-08,7.650000,8.250000,7.350000,8.250000,1212900,0.000000,0.000000,7.417144,7.998881,7.126276,7.998881,6.729725,,,,6.907212,,,,,69.691126,6.729725,7.665844,5.793605,1.177882,0.593396,0.074185,0.092715,0.269231,0.293104,,,,0.853936,0.000000,,,174955.000000,10006425.000000,
2021-02-09,8.150000,8.900000,8.000000,8.250000,86500,0.000000,0.000000,7.901924,8.629095,7.756491,7.998881,6.814561,,,,7.077372,6.849121,0.228251,,,69.691126,6.814561,7.885371,5.743752,1.053002,0.616739,0.077103,0.000000,0.183644,0.236882,,,,0.847110,0.000000,,,177235.000000,713625.000000,
