Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,24.990000,25.160000,24.600000,24.959999,6910200,0.000000,0.000000,21.736578,21.884446,21.397353,21.710484,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,172478585.089800,
2015-01-05,24.750000,24.900000,24.150000,24.160000,11419800,0.000000,0.000000,21.527808,21.658279,21.005922,21.014620,,,,,,,,,,50.000000,,,,,,,-0.032052,,,,,,,-0.032052,,,,275902368.000000,
2015-01-06,24.129999,24.299999,23.230000,23.250000,19678300,0.000000,0.000000,20.988533,21.136401,20.205704,20.223101,,,,,,,,,,50.000000,,,,,,,-0.037665,,,,,,,-0.068510,,,,457520475.000000,
2015-01-07,23.370001,23.540001,23.090000,23.469999,15710300,0.000000,0.000000,20.327481,20.475349,20.083934,20.414461,,,,,,,,,,50.000000,,,,,,,0.009462,,,,,,,-0.059696,,,,368720725.289700,
2015-01-08,23.690001,24.320000,23.670000,24.219999,16696900,0.000000,0.000000,20.605816,21.153796,20.588419,21.066814,,,,,,,,,,50.000000,,,,,,,0.031955,,,,,,,-0.029648,,,,404398901.303100,
2015-01-09,24.100000,24.340000,23.900000,24.240000,8737000,0.000000,0.000000,20.962436,21.171191,20.788474,21.084209,,,,,,,,,,50.000000,,,,,,,0.000826,-0.028847,,,,,,-0.028847,,,,211784880.000000,
2015-01-12,24.270000,24.280001,23.520000,23.660000,12581500,0.000000,0.000000,21.110301,21.118999,20.457943,20.579716,,,,,,,,,,50.000000,,,,,,,-0.023928,-0.020695,,,,,,-0.052084,,,,297678290.000000,
2015-01-13,23.900000,24.280001,23.209999,23.330000,14419300,0.000000,0.000000,20.788478,21.119007,20.188308,20.292686,,,,,,,,,,50.000000,,,,,,,-0.013947,0.003441,,,,,,-0.065305,,,,336402269.000000,
2015-01-14,23.010000,23.320000,22.850000,23.020000,21954700,0.000000,0.000000,20.014344,20.283985,19.875175,20.023043,,,,,,,,,,50.000000,,,,,,,-0.013288,-0.019174,,,,,,-0.077725,,,,505397194.000000,
2015-01-15,23.570000,23.719999,23.240000,23.330000,26527200,0.000000,0.000000,20.501441,20.631912,20.214403,20.292686,,,,,,,,,,50.000000,,,,,,,0.013467,-0.036746,,,,,,-0.065305,,,,618879576.000000,
2015-01-16,23.209999,23.510000,22.879999,23.469999,16733200,0.000000,0.000000,20.188310,20.449254,19.901273,20.414461,,,,,,,,,,50.000000,,,,,,,0.006001,-0.031765,,,,,,-0.059696,,,,392728187.266800,
2015-01-20,23.580000,23.770000,23.309999,23.629999,13686000,0.000000,0.000000,20.510141,20.675405,20.275292,20.553631,,,,,20.512109,,,,,50.000000,,,,,,,0.006817,-0.001268,,,,,,-0.053285,,,,323400166.314000,
2015-01-21,23.750000,24.500000,23.639999,24.320000,13106700,0.000000,0.000000,20.658005,21.310363,20.562326,21.153797,,,,,20.623530,,,,,50.000000,,,,,,,0.029200,0.042435,,,,,,-0.025641,,,,318754944.000000,
2015-01-22,24.299999,24.629999,23.770000,24.620001,12543500,0.000000,0.000000,21.136403,21.423440,20.675404,21.414743,,,,,20.758248,,,,,50.000000,,,,,0.622873,0.029086,0.012336,0.069505,,,,,,-0.013622,,,,308820982.543500,
2015-01-23,24.520000,24.520000,23.969999,24.110001,13218600,0.000000,0.000000,21.327764,21.327764,20.849367,20.971142,,,,,20.793912,,,,,48.371399,,,,,0.616753,0.029410,-0.020715,0.033434,,,,,,-0.034055,,,,318700459.218600,
2015-01-26,24.110001,24.299999,23.809999,24.240000,7787700,0.000000,0.000000,20.971135,21.136398,20.710191,21.084209,,,,,20.841886,,,,,50.258578,,,,,0.597155,0.028322,0.005392,0.032808,,,,,,-0.028847,,,,188773848.000000,
2015-01-27,23.860001,23.990000,23.400000,23.570000,13424700,0.000000,0.000000,20.753686,20.866761,20.353572,20.501440,,,,,20.786259,,,,,41.781403,,,,,0.610465,0.029777,-0.027640,-0.002539,,,,,,-0.055689,,,,316420179.000000,
