Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2019-06-27,30.610001,31.200001,25.360001,27.549999,4986000,0.000000,0.000000,30.610001,31.200001,25.360001,27.549999,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,137364295.014000,
2019-06-28,27.900000,28.000000,25.549999,26.969999,865500,0.000000,0.000000,27.900000,28.000000,25.549999,26.969999,,,,,,,,,,50.000000,,,,,,,-0.021053,,,,,,,-0.021053,,,,23342534.134500,
2019-07-01,27.420000,27.865000,26.090000,27.370001,324600,0.000000,0.000000,27.420000,27.865000,26.090000,27.370001,,,,,,,,,,50.000000,,,,,,,0.014831,,,,,,,-0.006534,,,,8884302.324600,
2019-07-02,27.260000,27.549999,25.500000,27.040001,595500,0.000000,0.000000,27.260000,27.549999,25.500000,27.040001,,,,,,,,,,50.000000,,,,,,,-0.012057,,,,,,,-0.018512,,,,16102320.595500,
2019-07-03,27.059999,29.100000,27.059999,28.610001,2097800,0.000000,0.000000,27.059999,29.100000,27.059999,28.610001,,,,,,,,,,50.000000,,,,,,,0.058062,,,,,,,0.000000,,,,60018060.097800,
2019-07-05,28.610001,29.150000,27.250000,28.990000,399900,0.000000,0.000000,28.610001,29.150000,27.250000,28.990000,,,,,,,,,,50.000000,,,,,,,0.013282,0.052269,,,,,,0.000000,,,,11593101.000000,
2019-07-08,28.709999,28.980000,27.905001,28.200001,210600,0.000000,0.000000,28.709999,28.980000,27.905001,28.200001,,,,,,,,,,50.000000,,,,,,,-0.027251,0.045606,,,,,,-0.027251,,,,5938920.210600,
2019-07-09,28.299999,28.420000,27.299999,27.360001,94300,0.000000,0.000000,28.299999,28.420000,27.299999,27.360001,,,,,,,,,,50.000000,,,,,,,-0.029787,-0.000365,,,,,,-0.056226,,,,2580048.094300,
2019-07-10,27.580000,27.950001,26.840000,27.600000,238900,0.000000,0.000000,27.580000,27.950001,26.840000,27.600000,,,,,,,,,,50.000000,,,,,,,0.008772,0.020710,,,,,,-0.047948,,,,6593640.000000,
2019-07-11,27.490000,31.636999,26.980000,29.770000,230700,0.000000,0.000000,27.490000,31.636999,26.980000,29.770000,,,,,,,,,,50.000000,,,,,,,0.078623,0.040545,,,,,,0.000000,,,,6867939.000000,
2019-07-12,29.610001,29.610001,28.281000,28.620001,235900,0.000000,0.000000,29.610001,29.610001,28.281000,28.620001,,,,,,,,,,50.000000,,,,,,,-0.038629,-0.012763,,,,,,-0.038629,,,,6751458.235900,
2019-07-15,28.500000,28.725000,27.097000,27.840000,156100,0.000000,0.000000,28.500000,28.725000,27.097000,27.840000,,,,,28.185487,,,,,50.000000,,,,,,,-0.027254,-0.012766,,,,,,-0.064830,,,,4345824.000000,
2019-07-16,27.930000,27.930000,25.410000,25.940001,174100,0.000000,0.000000,27.930000,27.930000,25.410000,25.940001,,,,,27.795585,,,,,50.000000,,,,,,,-0.068247,-0.051901,,,,,,-0.128653,,,,4516154.174100,
2019-07-17,26.000000,26.559999,25.610001,26.120001,109400,0.000000,0.000000,26.000000,26.559999,25.610001,26.120001,,,,,27.510287,,,,,50.000000,,,,,2.055885,0.078709,0.006939,-0.053623,,,,,,-0.122607,,,,2857528.109400,
2019-07-18,26.209999,27.000999,25.510000,26.000000,213300,0.000000,0.000000,26.209999,27.000999,25.510000,26.000000,,,,,27.257288,,,,,39.187636,,,,,1.995750,0.076760,-0.004594,-0.126638,,,,,,-0.126638,,,,5545800.000000,
2019-07-19,26.000000,28.150000,24.056000,27.510000,298700,0.000000,0.000000,26.000000,28.150000,24.056000,27.510000,,,,,27.299051,,,,,50.061000,,,,,2.211560,0.080391,0.058077,-0.038784,,,,,,-0.075915,,,,8217237.000000,
2019-07-22,27.600000,30.799999,27.600000,30.340000,296900,0.000000,0.000000,27.600000,30.799999,27.600000,30.340000,,,,,27.795921,,,,,63.303968,,,,,2.319101,0.076437,0.102872,0.089799,,,,,,0.000000,,,,9007946.000000,
2019-07-23,30.639999,30.663000,28.250000,28.830000,192900,0.000000,0.000000,30.639999,30.663000,28.250000,28.830000,,,,,27.963285,,,,,54.933362,,,,,2.328207,0.080756,-0.049769,0.111411,,,,,,-0.049769,,,,5561307.000000,
2019-07-24,28.830000,30.832001,28.000000,28.120001,105100,0.000000,0.000000,28.830000,30.832001,28.000000,28.120001,,,,,27.988448,,,,,51.486048,,,,,2.375845,0.084490,-0.024627,0.076570,,,,,,-0.073171,,,,2955412.105100,
2019-07-25,28.120001,28.559999,26.010000,26.790001,116700,0.000000,0.000000,28.120001,28.559999,26.010000,26.790001,27.778500,,,,27.797305,,,,,45.700502,27.778500,30.152325,25.404676,0.291792,2.391941,0.089285,-0.047297,0.030385,,,,,,-0.117007,,,597145.000000,3126393.116700,
2019-07-26,27.030001,28.940001,27.000000,28.370001,216700,0.000000,0.000000,27.030001,28.940001,27.000000,28.370001,27.819501,,,,27.888133,,,,,52.525538,27.819501,30.205005,25.433996,0.615385,2.370040,0.083540,0.058977,0.031261,,,,,,-0.064931,,,358680.000000,6147779.216700,
2019-07-29,28.510000,29.469999,28.030001,28.690001,101500,0.000000,0.000000,28.510000,29.469999,28.030001,28.690001,27.905501,,,,28.014705,,,,,53.792317,27.905501,30.286066,25.524935,0.664772,2.287428,0.079729,0.011280,-0.054384,0.041379,,,,0.726682,-0.054384,,,320480.000000,2912035.101500,
2019-07-30,28.879999,29.000000,27.020000,27.780001,97900,0.000000,0.000000,28.879999,29.000000,27.020000,27.780001,27.926001,,,,27.977805,,,,,49.728602,27.926001,30.294179,25.557822,0.469175,2.260588,0.081375,-0.031718,-0.036420,0.030033,,,,0.732033,-0.084377,,,309145.000000,2719662.097900,
2019-07-31,27.860001,29.500000,27.430000,29.350000,77800,0.000000,0.000000,27.860001,29.500000,27.430000,29.350000,28.041501,,,,28.192814,,,,,55.916232,28.041501,30.452670,25.630331,0.771341,2.244208,0.076464,0.056515,0.043741,0.072342,,,,0.754836,-0.032630,,,283260.000000,2283430.000000,
2019-08-01,29.350000,32.812000,29.350000,29.690001,296700,0.000000,0.000000,29.350000,32.812000,29.350000,29.690001,28.095501,,,,28.426742,,,,,57.146378,28.095501,30.606583,25.584418,0.817493,2.347371,0.079063,0.011584,0.108249,0.098003,,,,0.752786,-0.021424,,,193205.000000,8809023.296700,
2019-08-02,29.639999,30.593000,27.700001,28.290001,148300,0.000000,0.000000,29.639999,30.593000,27.700001,28.290001,28.060501,,,,28.405428,28.187720,0.217708,,,50.853735,28.060501,30.538381,25.582620,0.546310,2.392986,0.084588,-0.047154,-0.002820,-0.011185,,,,0.748469,-0.067568,,,180625.000000,4195407.148300,
2019-08-05,28.110001,28.110001,26.639999,26.900000,100600,0.000000,0.000000,28.110001,28.110001,26.639999,26.900000,27.995501,,,,28.171249,28.078683,0.092566,,,45.497014,27.995501,30.525626,25.465375,0.283509,2.331618,0.086677,-0.049134,-0.062391,-0.072094,,,,0.766066,-0.113382,,,175125.000000,2706140.000000,
2019-08-06,27.000000,28.219999,26.709999,27.879999,60600,0.000000,0.000000,27.000000,28.219999,26.709999,27.879999,28.021500,,,,28.126021,28.062037,0.063984,,,49.533251,28.021500,30.534760,25.508241,0.471849,2.264505,0.081223,0.036431,0.003600,-0.011348,,,,0.771848,-0.081081,,,173440.000000,1689527.939400,
2019-08-07,27.639999,29.580000,27.275999,29.469999,62800,0.000000,0.000000,27.639999,29.580000,27.275999,29.469999,28.115000,,,,28.334427,28.178869,0.155558,,,55.315178,28.115000,30.700339,25.529661,0.762054,2.267699,0.076949,0.057030,0.004089,0.077120,,,,0.787269,-0.028675,,,164635.000000,1850715.937200,
2019-08-08,29.650000,30.490000,28.780001,29.820000,85600,0.000000,0.000000,29.650000,30.490000,28.780001,29.820000,28.117500,,,,28.564509,28.313849,0.250661,,,56.496712,28.117500,30.709665,25.525335,0.828393,2.223027,0.074548,0.011877,0.004379,0.080435,,,,0.787545,-0.017139,,,157380.000000,2552592.000000,
2019-08-09,29.670000,29.990000,25.690001,26.879999,441200,0.000000,0.000000,29.670000,29.990000,25.690001,26.879999,28.030500,,,,28.303885,28.196874,0.107011,,,45.591524,28.030500,30.668055,25.392946,0.281900,2.387962,0.088838,-0.098592,-0.049841,-0.097078,,,,0.817078,-0.114041,,,167645.000000,11859455.558800,
2019-08-12,26.500000,27.379999,25.780001,26.190001,216800,0.000000,0.000000,26.500000,27.379999,25.780001,26.190001,27.948000,,,,27.977114,28.034371,-0.057258,,,43.470760,27.948000,30.710886,25.185114,0.181855,2.325884,0.088808,-0.025670,-0.026394,-0.084906,,,,0.811289,-0.136783,,,170680.000000,5677992.216800,
2019-08-13,26.000000,27.090000,25.749001,26.760000,95500,0.000000,0.000000,26.000000,27.090000,25.749001,26.760000,27.989000,,,,27.789107,27.931889,-0.142782,,,45.717133,27.989000,30.648837,25.329164,0.268971,2.248859,0.084038,0.021764,-0.040172,-0.038793,,,,0.810575,-0.117996,,,166750.000000,2555580.000000,
2019-08-14,26.440001,26.440001,25.315001,25.889999,128700,0.000000,0.000000,26.440001,26.440001,25.315001,25.889999,27.977500,,,,27.495936,27.768719,-0.272783,-0.032920,-0.239863,42.914035,27.977500,30.673110,25.281891,0.112796,2.186415,0.084450,-0.032511,-0.121479,-0.001928,,,,0.781968,-0.146671,,,167715.000000,3332042.871300,
2019-08-15,25.639999,27.139999,25.639999,26.760000,172900,0.000000,0.000000,25.639999,27.139999,25.639999,26.760000,28.015500,,,,27.382387,27.688579,-0.306192,-0.094149,-0.212043,46.449966,28.015500,30.613390,25.417610,0.258362,2.133425,0.079724,0.033604,-0.102616,0.024502,,,,0.789909,-0.117996,,,165695.000000,4626804.000000,
2019-08-16,26.740000,28.320000,26.580000,27.459999,218100,0.000000,0.000000,26.740000,28.320000,26.580000,27.459999,28.013000,,,,27.394356,27.670516,-0.276159,-0.133972,-0.142188,49.177636,28.013000,30.613034,25.412967,0.393655,2.103227,0.076592,0.026158,0.021577,0.056154,,,,0.793686,-0.094924,,,161665.000000,5989025.781900,
2019-08-19,27.520000,29.490000,27.440001,28.049999,222700,0.000000,0.000000,27.520000,29.490000,27.440001,28.049999,27.898500,,,,27.495434,27.700356,-0.204922,-0.149209,-0.055713,51.423569,27.898500,30.257584,25.539416,0.532110,2.099163,0.074836,0.021486,0.071019,0.019629,,,,0.771979,-0.075478,,,157955.000000,6246734.777300,
2019-08-20,28.020000,29.110001,27.850000,28.660000,159700,0.000000,0.000000,28.020000,29.110001,27.850000,28.660000,27.890000,,,,27.674912,27.775474,-0.100562,-0.138914,0.038352,53.701658,27.890000,30.236142,25.543859,0.664099,2.035408,0.071019,0.021747,0.071001,-0.055372,,,,0.684703,-0.055372,,,156295.000000,4577002.000000,
2019-08-21,28.959999,30.000000,28.510000,29.820000,133000,0.000000,0.000000,28.959999,30.000000,28.510000,29.820000,27.975000,,,,28.005415,27.934843,0.070572,-0.095089,0.165661,57.758571,27.975000,30.474402,25.475598,0.869088,1.994158,0.066873,0.040475,0.151796,0.034339,,,,0.676372,-0.017139,,,157690.000000,3966060.000000,
2019-08-22,30.010000,30.500000,29.655001,29.799999,100200,0.000000,0.000000,30.010000,30.500000,29.655001,29.799999,28.125500,,,,28.281851,28.079669,0.202182,-0.033467,0.235649,57.664746,28.125500,30.686203,25.564797,0.826961,1.907610,0.064014,-0.000671,0.113602,0.059744,,,,0.669326,-0.017798,,,156865.000000,2985959.899800,
2019-08-23,29.990000,30.600000,28.570000,29.309999,63800,0.000000,0.000000,29.990000,30.600000,28.570000,29.309999,28.172500,,,,28.440196,28.174862,0.265334,0.028024,0.237310,55.294918,28.172500,30.786059,25.558941,0.717615,1.916792,0.065397,-0.016443,0.067371,0.094065,,,,0.647940,-0.033949,,,149220.000000,1869977.936200,
2019-08-26,29.600000,30.980000,29.430000,30.490000,112300,0.000000,0.000000,29.600000,30.980000,29.430000,30.490000,28.262500,,,,28.755833,28.353399,0.402434,0.104631,0.297803,59.600694,28.262500,31.068012,25.456987,0.896986,1.898343,0.062261,0.040259,0.086988,0.074727,,,,0.631360,0.000000,,,149760.000000,3424027.000000,
2019-08-27,30.639999,31.780001,30.045000,31.260000,171900,0.000000,0.000000,30.639999,31.780001,30.045000,31.260000,28.436500,,,,29.141382,28.576869,0.564513,0.198295,0.366219,62.161747,28.436500,31.532625,25.340375,0.955973,1.886173,0.060338,0.025254,0.090719,0.089578,,,,0.635177,0.000000,,,153460.000000,5373594.000000,
2019-08-28,31.250000,31.910000,29.260000,29.610001,144700,0.000000,0.000000,31.250000,31.910000,29.260000,29.610001,28.449500,,,,29.213524,28.656077,0.557447,0.271176,0.286271,54.228516,28.449500,31.563904,25.335095,0.686312,1.942909,0.065617,-0.052783,-0.007042,0.065875,,,,0.654368,-0.052783,,,156805.000000,4284567.144700,
