Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2022-04-29,12.500000,17.500000,9.640000,10.590000,3434000,0.000000,0.000000,12.500000,17.500000,9.640000,10.590000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,36366060.000000,
2022-05-02,9.190000,11.712000,8.800000,8.870000,719500,0.000000,0.000000,9.190000,11.712000,8.800000,8.870000,,,,,,,,,,50.000000,,,,,,,-0.162417,,,,,,,-0.162417,,,,6381965.000000,
2022-05-03,10.600000,15.650000,9.606000,11.600000,7495900,0.000000,0.000000,10.600000,15.650000,9.606000,11.600000,,,,,,,,,,50.000000,,,,,,,0.307779,,,,,,,0.000000,,,,86952440.000000,
2022-05-04,11.600000,14.299000,11.300000,13.190000,2186400,0.000000,0.000000,11.600000,14.299000,11.300000,13.190000,,,,,,,,,,50.000000,,,,,,,0.137069,,,,,,,0.000000,,,,28838616.000000,
2022-05-05,14.000000,15.680000,13.380000,15.190000,972600,0.000000,0.000000,14.000000,15.680000,13.380000,15.190000,,,,,,,,,,50.000000,,,,,,,0.151630,,,,,,,0.000000,,,,14773794.000000,
2022-05-06,16.600000,16.600000,14.620000,16.170000,557400,0.000000,0.000000,16.600000,16.600000,14.620000,16.170000,,,,,,,,,,50.000000,,,,,,,0.064516,0.526912,,,,,,0.000000,,,,9013158.000000,
2022-05-09,15.760000,15.860000,14.550000,14.750000,216300,0.000000,0.000000,15.760000,15.860000,14.550000,14.750000,,,,,,,,,,50.000000,,,,,,,-0.087817,0.662909,,,,,,-0.087817,,,,3190425.000000,
2022-05-10,14.760000,15.399000,14.500000,14.650000,112700,0.000000,0.000000,14.760000,15.399000,14.500000,14.650000,,,,,,,,,,50.000000,,,,,,,-0.006780,0.262931,,,,,,-0.094001,,,,1651055.000000,
2022-05-11,14.500000,14.510000,13.000000,13.500000,173400,0.000000,0.000000,14.500000,14.510000,13.000000,13.500000,,,,,,,,,,50.000000,,,,,,,-0.078498,0.023503,,,,,,-0.165121,,,,2340900.000000,
2022-05-12,13.400000,13.800000,13.010000,13.640000,180600,0.000000,0.000000,13.400000,13.800000,13.010000,13.640000,,,,,,,,,,50.000000,,,,,,,0.010370,-0.102041,,,,,,-0.156463,,,,2463384.000000,
2022-05-13,14.930000,14.930000,13.205000,13.760000,212000,0.000000,0.000000,14.930000,14.930000,13.205000,13.760000,,,,,,,,,,50.000000,,,,,,,0.008798,-0.149041,,,,,,-0.149041,,,,2917120.000000,
2022-05-16,13.850000,14.061000,13.480000,13.800000,58600,0.000000,0.000000,13.850000,14.061000,13.480000,13.800000,,,,,13.752193,,,,,50.000000,,,,,,,0.002907,-0.064407,,,,,,-0.146568,,,,808680.000000,
2022-05-17,13.500000,13.800000,12.950000,13.400000,76500,0.000000,0.000000,13.500000,13.800000,12.950000,13.400000,,,,,13.691039,,,,,50.000000,,,,,,,-0.028986,-0.085324,,,,,,-0.171305,,,,1025100.000000,
2022-05-18,13.230000,13.480000,11.960000,12.330000,175100,0.000000,0.000000,13.230000,13.480000,11.960000,12.330000,,,,,13.459297,,,,,50.000000,,,,,2.041830,0.165599,-0.079851,-0.086667,,,,,,-0.237477,,,,2158983.000000,
2022-05-19,12.060000,12.700000,12.010000,12.460000,73700,0.000000,0.000000,12.060000,12.700000,12.010000,12.460000,,,,,13.291898,,,,,50.369106,,,,,1.897921,0.152321,0.010543,-0.086510,,,,,,-0.229437,,,,918302.000000,
2022-05-20,12.180000,12.680000,12.160000,12.680000,2700,0.000000,0.000000,12.180000,12.680000,12.160000,12.680000,,,,,13.190777,,,,,51.948942,,,,,1.756199,0.138501,0.017657,-0.078488,,,,,,-0.215832,,,,34236.000000,
2022-05-23,13.160000,13.990000,12.850000,13.060000,35200,0.000000,0.000000,13.160000,13.990000,12.850000,13.060000,,,,,13.169409,,,,,54.635065,,,,,1.711704,0.131065,0.029968,-0.053623,,,,,,-0.192331,,,,459712.000000,
2022-05-24,13.420000,14.250000,13.420000,14.080000,22000,0.000000,0.000000,13.420000,14.250000,13.420000,14.080000,,,,,13.316786,,,,,60.945950,,,,,1.661112,0.117977,0.078101,0.050746,,,,,,-0.129252,,,,309760.000000,
2022-05-25,14.204000,14.619000,14.200000,14.270000,11500,0.000000,0.000000,14.204000,14.619000,14.200000,14.270000,,,,,13.469837,,,,,62.006230,,,,,1.555005,0.108970,0.013494,0.157340,,,,,,-0.117502,,,,164105.000000,
2022-05-26,14.860000,14.860000,14.400000,14.690000,20600,0.000000,0.000000,14.860000,14.860000,14.400000,14.690000,13.334000,,,,13.664444,,,,,64.312704,13.334000,16.635645,10.032355,0.705352,1.465817,0.099783,0.029432,0.178973,,,,,,-0.091528,,,836835.000000,302614.000000,
2022-05-27,14.604000,14.900000,14.060000,14.530000,44000,0.000000,0.000000,14.604000,14.900000,14.060000,14.530000,13.531000,,,,13.801718,,,,,62.749900,13.531000,16.605643,10.456357,0.662458,1.409168,0.096983,-0.010892,0.145899,,,,,,-0.101422,,,667335.000000,639320.000000,
2022-05-31,14.650000,15.313000,14.600000,15.120000,11900,0.000000,0.000000,14.650000,15.313000,14.600000,15.120000,13.843500,,,,14.009804,,,,,66.028160,13.843500,16.079599,11.607401,0.785430,1.353548,0.089520,0.040606,0.157734,0.427762,,,,1.543479,-0.064935,,,631955.000000,179928.000000,
