Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,20.820000,21.030001,20.240000,20.420000,638600,0.000000,0.000000,19.082342,19.274816,18.550750,18.715727,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,13040212.000000,
2015-01-05,20.200001,20.264999,19.639999,19.740000,753200,0.000000,0.000000,18.514092,18.573666,18.000829,18.092484,,,,,,,,,,50.000000,,,,,,,-0.033300,,,,,,,-0.033300,,,,14868168.000000,
2015-01-06,19.670000,19.790001,18.785000,19.045000,1182400,0.000000,0.000000,18.028327,18.138313,17.217190,17.455490,,,,,,,,,,50.000000,,,,,,,-0.035208,,,,,,,-0.067336,,,,22518808.000000,
2015-01-07,19.215000,19.424999,18.955000,19.004999,761600,0.000000,0.000000,17.611297,17.803770,17.372997,17.418823,,,,,,,,,,50.000000,,,,,,,-0.002101,,,,,,,-0.069295,,,,14474207.238400,
2015-01-08,19.190001,19.510000,19.150000,19.170000,1733600,0.000000,0.000000,17.588392,17.881684,17.551730,17.570061,,,,,,,,,,50.000000,,,,,,,0.008682,,,,,,,-0.061214,,,,33233112.000000,
2015-01-09,19.219999,19.450001,18.990000,19.004999,841400,0.000000,0.000000,17.615879,17.826685,17.405076,17.418823,,,,,,,,,,50.000000,,,,,,,-0.008608,-0.069295,,,,,,-0.069295,,,,15990806.158600,
2015-01-12,19.049999,19.105000,18.475000,18.514999,845200,0.000000,0.000000,17.460067,17.510477,16.933058,16.969719,,,,,,,,,,50.000000,,,,,,,-0.025783,-0.062057,,,,,,-0.093291,,,,15648877.154800,
2015-01-13,18.674999,19.195000,18.325001,18.610001,711800,0.000000,0.000000,17.116369,17.592970,16.795582,17.056795,,,,,,,,,,50.000000,,,,,,,0.005131,-0.022841,,,,,,-0.088638,,,,13246598.711800,
2015-01-14,18.375000,18.695000,18.375000,18.469999,894400,0.000000,0.000000,16.841410,17.134702,16.841410,16.928480,,,,,,,,,,50.000000,,,,,,,-0.007523,-0.028150,,,,,,-0.095494,,,,16519567.105600,
2015-01-15,18.500000,18.674999,18.084999,18.115000,741600,0.000000,0.000000,16.955973,17.116367,16.575609,16.603106,,,,,,,,,,50.000000,,,,,,,-0.019221,-0.055034,,,,,,-0.112879,,,,13434084.000000,
2015-01-16,18.135000,18.629999,18.059999,18.600000,1245800,0.000000,0.000000,16.621436,17.075122,16.552695,17.047626,,,,,,,,,,50.000000,,,,,,,0.026773,-0.021310,,,,,,-0.089128,,,,23171880.000000,
2015-01-20,18.629999,19.025000,18.350000,18.900000,1059400,0.000000,0.000000,17.075122,17.437155,16.818492,17.322588,,,,,17.190626,,,,,50.000000,,,,,,,0.016129,0.020794,,,,,,-0.074437,,,,20022660.000000,
2015-01-21,18.870001,19.299999,18.770000,19.190001,980800,0.000000,0.000000,17.295098,17.689208,17.203444,17.588390,,,,,17.259693,,,,,50.000000,,,,,,,0.015344,0.031166,,,,,,-0.060235,,,,18821552.980800,
2015-01-22,19.320000,19.764999,18.855000,19.760000,868800,0.000000,0.000000,17.707535,18.115395,17.281345,18.110813,,,,,17.404611,,,,,50.000000,,,,,0.591846,0.032679,0.029703,0.069843,,,,,,-0.032321,,,,17167488.000000,
2015-01-23,19.840000,19.865000,19.480000,19.495001,631200,0.000000,0.000000,18.184137,18.207050,17.854182,17.867931,,,,,17.482225,,,,,49.953125,,,,,0.566406,0.031700,-0.013411,0.076180,,,,,,-0.045299,,,,12305244.631200,
2015-01-26,19.510000,19.650000,19.125000,19.559999,873000,0.000000,0.000000,17.881689,18.010004,17.528821,17.927515,,,,,17.555813,,,,,51.082119,,,,,0.557640,0.031105,0.003335,0.051614,,,,,,-0.042115,,,,17075879.127000,
2015-01-27,19.254999,19.434999,19.174999,19.250000,793800,0.000000,0.000000,17.647961,17.812938,17.574638,17.643379,,,,,17.570121,,,,,45.778660,,,,,0.537222,0.030449,-0.015849,0.018519,,,,,,-0.057297,,,,15280650.000000,
2015-01-28,19.490000,19.500000,18.645000,18.670000,1275200,0.000000,0.000000,17.863352,17.872517,17.088877,17.111790,,,,,17.495941,,,,,37.859191,,,,,0.561118,0.032791,-0.030130,-0.027097,,,,,,-0.085700,,,,23807984.000000,
2015-01-29,18.715000,18.950001,18.635000,18.945000,991000,0.000000,0.000000,17.153036,17.368424,17.079713,17.363840,,,,,17.474730,,,,,42.902819,,,,,0.535359,0.030832,0.014730,-0.041245,,,,,,-0.072233,,,,18774495.000000,
2015-01-30,18.799999,18.900000,18.355000,18.375000,963000,0.000000,0.000000,17.230932,17.322587,16.823073,16.841404,17.452739,,,,17.373720,,,,,36.322167,17.452739,18.475823,16.429655,0.201229,0.535859,0.031818,-0.030088,-0.057451,,,,,,-0.100147,,,939290.000000,17695125.000000,
2015-02-02,18.459999,18.645000,18.129999,18.584999,1058000,0.000000,0.000000,16.919309,17.088870,16.616851,17.033876,17.368647,,,,17.319822,,,,,39.975036,17.368647,18.216021,16.521272,0.302466,0.530080,0.031119,0.011429,-0.049847,,,,,,-0.089863,,,960260.000000,19662928.942000,
2015-02-03,18.639999,19.080000,18.575001,19.070000,764200,0.000000,0.000000,17.084289,17.487567,17.024715,17.478401,17.337943,,,,17.344853,,,,,47.469956,17.337943,18.116599,16.559286,0.590193,0.524109,0.029986,0.026097,-0.009351,-0.066112,,,,0.333057,-0.066112,,,960810.000000,14573294.000000,
2015-02-04,18.930000,19.305000,18.735001,19.150000,811600,0.000000,0.000000,17.350084,17.693786,17.171359,17.551722,17.342754,,,,17.377376,,,,,48.609766,17.342754,18.125647,16.559861,0.633459,0.523962,0.029852,0.004195,0.025709,-0.029889,,,,0.314971,-0.062194,,,942270.000000,15542140.000000,
2015-02-05,19.160000,19.330000,19.115000,19.299999,751800,0.000000,0.000000,17.560890,17.716702,17.519646,17.689205,17.356273,,,,17.426237,,,,,50.766949,17.356273,18.153896,16.558650,0.708702,0.495867,0.028032,0.007833,0.018738,0.013389,,,,0.290880,-0.054848,,,941780.000000,14509739.248200,
2015-02-06,19.295000,19.485001,19.080000,19.254999,827400,0.000000,0.000000,17.684627,17.858770,17.487571,17.647964,17.360168,,,,17.460881,,,,,50.087741,17.360168,18.162932,16.557405,0.679253,0.485306,0.027499,-0.002331,0.047891,0.013155,,,,0.290910,-0.057052,,,896470.000000,15931586.172600,
