Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,4.512500,4.602500,4.512500,4.572500,4997600,0.000000,0.000000,4.512500,4.602500,4.512500,4.572500,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,22851526.000000,
2015-01-05,4.552500,4.573750,4.495000,4.527500,4297600,0.000000,0.000000,4.552500,4.573750,4.495000,4.527500,,,,,,,,,,50.000000,,,,,,,-0.009841,,,,,,,-0.009841,,,,19457384.000000,
2015-01-06,4.543750,4.550000,4.430000,4.476250,3136000,0.000000,0.000000,4.543750,4.550000,4.430000,4.476250,,,,,,,,,,50.000000,,,,,,,-0.011320,,,,,,,-0.021050,,,,14037520.000000,
2015-01-07,4.492500,4.508750,4.450000,4.490000,2844000,0.000000,0.000000,4.492500,4.508750,4.450000,4.490000,,,,,,,,,,50.000000,,,,,,,0.003072,,,,,,,-0.018043,,,,12769560.000000,
2015-01-08,4.515000,4.556250,4.503750,4.536250,4082400,0.000000,0.000000,4.515000,4.556250,4.503750,4.536250,,,,,,,,,,50.000000,,,,,,,0.010301,,,,,,,-0.007928,,,,18518787.000000,
2015-01-09,4.542500,4.552500,4.507500,4.515000,2492000,0.000000,0.000000,4.542500,4.552500,4.507500,4.515000,,,,,,,,,,50.000000,,,,,,,-0.004684,-0.012575,,,,,,-0.012575,,,,11251380.000000,
2015-01-12,4.510000,4.510000,4.440000,4.453750,2648800,0.000000,0.000000,4.510000,4.510000,4.440000,4.453750,,,,,,,,,,50.000000,,,,,,,-0.013566,-0.016289,,,,,,-0.025970,,,,11797093.000000,
2015-01-13,4.471250,4.530000,4.386250,4.440000,3860000,0.000000,0.000000,4.471250,4.530000,4.386250,4.440000,,,,,,,,,,50.000000,,,,,,,-0.003087,-0.008098,,,,,,-0.028978,,,,17138400.000000,
2015-01-14,4.398750,4.440000,4.366250,4.416250,2708000,0.000000,0.000000,4.398750,4.440000,4.366250,4.416250,,,,,,,,,,50.000000,,,,,,,-0.005349,-0.016425,,,,,,-0.034172,,,,11959205.000000,
2015-01-15,4.421250,4.473750,4.362500,4.376250,3461600,0.000000,0.000000,4.421250,4.473750,4.362500,4.376250,,,,,,,,,,50.000000,,,,,,,-0.009057,-0.035271,,,,,,-0.042920,,,,15148827.000000,
2015-01-16,4.371250,4.395000,4.317500,4.376250,5617600,0.000000,0.000000,4.371250,4.395000,4.317500,4.376250,,,,,,,,,,50.000000,,,,,,,0.000000,-0.030731,,,,,,-0.042920,,,,24584022.000000,
2015-01-20,4.395000,4.407500,4.356250,4.375000,6724000,0.000000,0.000000,4.395000,4.407500,4.356250,4.375000,,,,,4.429895,,,,,50.000000,,,,,,,-0.000286,-0.017682,,,,,,-0.043193,,,,29417500.000000,
2015-01-21,4.373750,4.458750,4.357500,4.457500,5292800,0.000000,0.000000,4.373750,4.458750,4.357500,4.457500,,,,,4.434688,,,,,50.000000,,,,,,,0.018857,0.003941,,,,,,-0.025150,,,,23592656.000000,
2015-01-22,4.468750,4.580000,4.443750,4.567500,5408000,0.000000,0.000000,4.468750,4.580000,4.443750,4.567500,,,,,4.457302,,,,,50.000000,,,,,0.090009,0.019706,0.024678,0.034249,,,,,,-0.001093,,,,24701040.000000,
2015-01-23,4.563750,4.628750,4.561250,4.612500,4713600,0.000000,0.000000,4.563750,4.628750,4.561250,4.612500,,,,,4.483300,,,,,64.601275,,,,,0.087613,0.018995,0.009852,0.053985,,,,,,0.000000,,,,21741480.000000,
2015-01-26,4.615000,4.655000,4.600000,4.652500,4591200,0.000000,0.000000,4.615000,4.655000,4.600000,4.652500,,,,,4.511262,,,,,68.193403,,,,,0.084258,0.018110,0.008672,0.063125,,,,,,0.000000,,,,21360558.000000,
2015-01-27,4.616250,4.656250,4.588750,4.602500,3020000,0.000000,0.000000,4.616250,4.656250,4.588750,4.602500,,,,,4.526169,,,,,59.997579,,,,,0.082587,0.017944,-0.010747,0.052000,,,,,,-0.010747,,,,13899550.000000,
